source_file	line	text
001.《李敖语录香港版》感言.txt	7	在我下狱前夜，我曾秘密留下“香江托孤文件”，就我的《李敖选集》等书，有以在香港筹印。我在文件中戏谑的写道：“感谢清朝的道光皇帝，设想他若不在一百二十五年前把香港割给英国，哪能轮到我今天有‘扬眉海外’的份？”乍看起来，我这一感谢是非常为英国帝国主义张目的，有辱国体；不过仔细想想，英国帝国主义那么要不得吗？也不见得。
001.《李敖语录香港版》感言.txt	9	从香港脱离中国后，一个多世纪来，中国人试验过君主立宪、试验过开明专制、试验过保皇、试验过革命、试验过勤王复辟、试验过再造共和、试验过新华春梦、试验过金陵春梦、试验过北京红楼梦。什么都试验过，只忘了试验一件事，就是英国人统治香港那种调调儿。结果呢，一个多世纪的比赛下来，试验出来最成功的，竟是帝国主义下的香港！对比之下，我们能不气结吗？我们能不好笑吗？我们能不自我解嘲：如果当年道光皇帝不是把蕞尔小岛给了英国，而是甘心亡国，把整个大陆都给了英国，一个多世纪下来，中国人民是不是也不错呢？我看至少至少，不会比国民党统治更坏吧？当然爱国者会说：这是什么话！我们不要做亡国奴！但是，另一种声音我们也不妨想想：许多时候，做了亡国奴的自由与人权，竟比做一个政权的家奴还像样，这又怎么说呢？富兰克林说：“哪里有自由，哪里便是我的祖国。”这种声音，岂不也值得我们比比吗？
001.《李敖语录香港版》感言.txt	13	当然帝国主义者不是以平等待我之民族，但是，看看香港、看看英国“所过者化，所存者神”的经手成绩，我们忍不住要说：他们所过的残余、他们所存在的下限，都多于我们自己所给的、都高于我们自己所定的，他们的“下驷”规格，都优于我们的“上驷”标准；他们的“殖民”待遇，都胜过我们的“大国民”水平。做为中国人，连起码的自由与人权都要托庇与番领之地，我想这种国耻，比香港割给英国更丢人吧？
003.《求是报合订本》广告词.txt	5	《求是报》以一大张表现自己；以匕首一般的锋利， 在国民党心臟地区直扎下去；以特立独行的个性，我行我素、独来独往。《求是报》是李敖个人主持的“一介匹夫”的报纸，在立场上完全没有党派的同异，绝对独立、客观；在思想上完全没有教条的束缚，绝对开明清楚；在斗争上完全没有群体的盲动，绝对头脑细密，做智者的指向。（特价：6000元）
004.《国民党查禁李敖著作》序.txt	3	国民党退守台湾后，一切军警特务力量，都密集在小岛上。小岛中有高山，外有大海，交通发达，人民奴性，尤其便利军警特务的统治。所以三四十年来，国民党在台湾搞极权小朝廷，要怎么干，就怎么干，搞得得心应手，快乐已极，简直没有力量约束得了它。相对的，台湾的知识分子也“更无一个是男儿”的只会写妇人文章，出闺秀书；写死人文章，出“严制”书，对国民党不敢捋虎须，日以逃避现实，善保首领为务。在这种“你可怕，我怕你”的相对局面下，三四十年来，台湾十足是“冰河期”，写出来的书，满坑满谷满书店，都是阿谀取容的。
004.《国民党查禁李敖著作》序.txt	5	虽然“冰河期”是如此恐怖，如此黑暗，如此长久，可是却有一个决不屈服又决不媚世的天下第一男子汉出现，这个人就是李敖。李敖从以笔杆对付国民党起，人一次又一次坐牢，书一本接一本被禁，但他锲而不舍，每倒必起，心之所善，九死无悔，他就是要干干干，干得国民党昏头转向，全无还手之力，裤子全被脱光。
004.《国民党查禁李敖著作》序.txt	9	这张《国民党查禁李敖著作表》，就是国民党拿李敖全没法子的一纸文证。二三十年来，李敖有百分之九十的著作，都在这表上给查禁了，但是，李敖还是李敖，就像度过“冰河期”后，蟑螂还是蟑螂一样。唯一不同的是现在仍是“冰河期”，只不过换下一面解严的假招牌而已。对李敖说来，仍是下笔有常，出书有常，不见尧存，甘同桀亡。只可笑老桀已去，新桀已坐上轮椅，李敖也老汉推车矣，由此可见，李敖的处境，其实还不如蟑螂。
007.《洗你的脑，掐他脖子》自序.txt	3	《洗你的脑，掐他脖子》者，衰世之书也。台湾之世甚衰，两蒋衰之于前，李登辉衰之于后，积衰之渐，以成今日。政治上丑类尸位乱来，我乃志士仁人，虽讨厌政治，但以不甘被丑类摆布，只好挺身而出，对他们脖子有以掐之而；匹夫匹妇愚夫愚妇市井小民大学学生一干人等，却又浑浑噩噩，我又只好对他们大脑有以洗之。本书之作，意在斯乎？古之圣人“知其不可而为之”，我今日所为，盖圣人行，凡夫俗子未尽知也。孔子作《春秋》，有知我罪我之叹，我今毫无所叹，但笑知我者聪明人、罪我者笨蛋而已。书成之日特写自序，以志原委，兼作破题，“圣人不空出，贤者不虚生”，不空不虚，李敖其圣之时者乎？
007.《洗你的脑，掐他脖子》自序.txt	7	李敖在1999年冬，应大公司之约，发行《李敖电子报》一年，成效非凡，订户远在什么《阿扁电子报》之上。时值所谓总统选举前后，李敖就《李敖电子报》中拆穿丑类者，辑出三书，出单行本（即《洗你的脑，掐他的脖子》、《陈水扁的真面目》、《李远哲的真面目》）。其他大量文字，乃成《李敖放电集》、《李敖发电集》、《李敖送电集》、《李敖来电集》、《李敖通电集》五书。
008.简介两种.txt	11	《胡适评传》——胡适是这个时代的朝山香客，他走完他的天路历程。在这段历程里，这部评传是他真正的终点，——李敖的论定，又把棺材盖子掀了起来。
