action	id_or_source	quote_text	reason
before			36
removed	LASZSYJ-013	知之则必能行之，知之则更易行之	知行短句已在前册以更完整形态处理；本处来自政治冲突评论，校对轮删去碎片化重复。
removed	LASZSYJ-014	瞻之在前，忽焉在后	过短古典碎片，且只是政治人物讽刺语境中的借用，不单独保留。
removed	LASZSYJ-023	这要循着林肯的“思”路之旅，才能判断出他的真正意义。	现代论文式过渡句，离开上下文不够自然，校对轮删去。
removed	LASZSYJ-024	简明有余、明确不足	四字式评语过短，像摘要标签而非独立诗文格言。
removed	LASZSYJ-026	世界的范畴和事物哪有这么简单！在白与黑之间有灰，在白与黑之外有红、橙、青、蓝、紫。	来自三民主义统战文章的意识形态辨析段；虽可泛用，但校对轮按政治语境从严删去。
removed	LASZSYJ-027	对思想学说只可研究，以定其对错或是否行得通。	来自三民主义统战文章的思想学说判断，政治语境过重，校对轮删去。
removed	LASZSYJ-032	你最好把那种欲望升华	婚恋场景中的短对话残句，不够独立完整。
removed	LASZSYJ-035	老兄，我一生中还没被如此伤害过。我自己的女儿和我最要好的朋友。	情节性对话，主要价值在传记场景而非格言或诗文。
added	001.孙中山见了李鸿章吗？.txt:45-45	求其洞见本原、深明大略者，有几人哉？	校对轮保守收入：本书大量涉及党派史、革命史、国庆、统战、政体、战争与现代政治人物争议；本轮排除政治口号、党派论断、国家治理主张与时事攻击，只保留史学方法、演化与翻译辨析、山水游记、婚姻伦理、宗教伦理、修辞考证和可脱离政论语境的古典诗文格言。 校对轮补入：同段较政治口号更干净，作为见识与治学方法句可独立引用。
after			29
