id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	political_hits	notes
LATD-001	李敖通电集	006.2000年7月6日.txt	5	5	胶柱鼓瑟	传统成语	《史记》典故成语	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-002	李敖通电集	006.2000年7月6日.txt	9	9	好读书，不求甚解	陶渊明文句	陶渊明《五柳先生传》	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-003	李敖通电集	035.2000年8月16日.txt	19	19	外行看热闹，内行看门道。	传统俗语	中国俗语	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-004	李敖通电集	035.2000年8月16日.txt	19	19	中有苦心而不能显、内有调济而人不知	清代史学语	章学诚语	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。 校对补入：原文明示为清朝史学家章学诚的话，句子本体为非政治史学文句。
LATD-005	李敖通电集	035.2000年8月16日.txt	23	23	皮之不存，毛将焉附	传统成语	《左传》成语	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-006	李敖通电集	035.2000年8月16日.txt	33	33	前度刘郎	唐诗典故成语	刘禹锡《再游玄都观》典故	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-007	李敖通电集	035.2000年8月16日.txt	33	33	生死契阔	诗经成语	《诗经》	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。 校对补入：古典成语本体独立成立，非政治语录。
LATD-008	李敖通电集	038.2000年8月21日.txt	63	63	四两拨千斤	传统成语	中国成语	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。 校对补入：传统成语本体独立成立，未收入同句中含“两岸”的唐诗句。
LATD-009	李敖通电集	053.2000年9月11日.txt	11	11	你这给奴才做奴才的奴才	古典小说骂语	《水浒传》石秀骂语	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
LATD-010	李敖通电集	059.2000年9月19日.txt	5	5	本来无事只畏扰，扰者才吏非庸人	宋诗句	宋人诗句	yes		首轮保守收入：本书大量夹杂法律争讼、公文、时事批判、现代政治人物语录、民族政治论述和读者来信；现代政党人物语录、选举/两岸/外交判断、治理口号、法律条文、公文声明、新闻报道长段和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、宗教文句和少量非政治李敖警语。
