score	file	line	text	context
4	001.1958年6月.txt	27	我拿来点纸，请您替我写些字。	十时半抵南港，在参观民族学研究所的展览后，我到礼堂找胡先生，推门进去，室中坐着六七位客人胡先生立刻走过来，一面伸过手来一面叫“李先生”，我说：“我拿来点纸，请您替我写些字。”胡先生满口答应，我接着说：“您忙吧，我走了。”刚要走出来，他叫住我道：“Mr.李，我送你一个小玩意。”我随他进了卧室，他从书架上取出一本《易林断归崔篆的判决书》（此文原载《史语所集刊》第...
4	001.1958年6月.txt	27	您忙吧，我走了。	十时半抵南港，在参观民族学研究所的展览后，我到礼堂找胡先生，推门进去，室中坐着六七位客人胡先生立刻走过来，一面伸过手来一面叫“李先生”，我说：“我拿来点纸，请您替我写些字。”胡先生满口答应，我接着说：“您忙吧，我走了。”刚要走出来，他叫住我道：“Mr.李，我送你一个小玩意。”我随他进了卧室，他从书架上取出一本《易林断归崔篆的判决书》（此文原载《史语所集刊》第...
4	001.1958年6月.txt	27	Mr.李，我送你一个小玩意。	十时半抵南港，在参观民族学研究所的展览后，我到礼堂找胡先生，推门进去，室中坐着六七位客人胡先生立刻走过来，一面伸过手来一面叫“李先生”，我说：“我拿来点纸，请您替我写些字。”胡先生满口答应，我接着说：“您忙吧，我走了。”刚要走出来，他叫住我道：“Mr.李，我送你一个小玩意。”我随他进了卧室，他从书架上取出一本《易林断归崔篆的判决书》（此文原载《史语所集刊》第...
4	001.1958年6月.txt	27	不忙，这些字您什么时候有空什么时候写。	十时半抵南港，在参观民族学研究所的展览后，我到礼堂找胡先生，推门进去，室中坐着六七位客人胡先生立刻走过来，一面伸过手来一面叫“李先生”，我说：“我拿来点纸，请您替我写些字。”胡先生满口答应，我接着说：“您忙吧，我走了。”刚要走出来，他叫住我道：“Mr.李，我送你一个小玩意。”我随他进了卧室，他从书架上取出一本《易林断归崔篆的判决书》（此文原载《史语所集刊》第...
4	001.1958年6月.txt	27	好，好。	十时半抵南港，在参观民族学研究所的展览后，我到礼堂找胡先生，推门进去，室中坐着六七位客人胡先生立刻走过来，一面伸过手来一面叫“李先生”，我说：“我拿来点纸，请您替我写些字。”胡先生满口答应，我接着说：“您忙吧，我走了。”刚要走出来，他叫住我道：“Mr.李，我送你一个小玩意。”我随他进了卧室，他从书架上取出一本《易林断归崔篆的判决书》（此文原载《史语所集刊》第...
3	001.1958年6月.txt	81	快下来！	三、着火了，甲：“快下来！”乙：“我在穿袜子。”甲：“别穿什么袜子。”……甲：“怎么还不下来？”乙：“我在脱呀！”
3	001.1958年6月.txt	81	怎么还不下来？	三、着火了，甲：“快下来！”乙：“我在穿袜子。”甲：“别穿什么袜子。”……甲：“怎么还不下来？”乙：“我在脱呀！”
3	001.1958年6月.txt	81	我在脱呀！	三、着火了，甲：“快下来！”乙：“我在穿袜子。”甲：“别穿什么袜子。”……甲：“怎么还不下来？”乙：“我在脱呀！”
5	001.1958年6月.txt	99	你们一直未能成为合法夫妇，太遗憾了，等神父来了，给你们补证一次婚吧！	十、一个笑话：一对男女，没结婚就殉情而死。升天堂后，上帝怜之，说：“你们一直未能成为合法夫妇，太遗憾了，等神父来了，给你们补证一次婚吧！”可是他们等了好久好久，还等不到神父来，他们很奇怪，跑去问上帝，上帝说：“噢，我忘了！神父从来就没有升天堂的！”
5	001.1958年6月.txt	99	噢，我忘了！神父从来就没有升天堂的！	十、一个笑话：一对男女，没结婚就殉情而死。升天堂后，上帝怜之，说：“你们一直未能成为合法夫妇，太遗憾了，等神父来了，给你们补证一次婚吧！”可是他们等了好久好久，还等不到神父来，他们很奇怪，跑去问上帝，上帝说：“噢，我忘了！神父从来就没有升天堂的！”
