action	target	source_file	line_range	quote_or_candidate	reason
keep	LADHL-001	《李敖对话录》自序.txt	5-5	用口语的通俗，表达出质疑、问难和抬杠	概括对话体的表达特色。
keep	LADHL-002	《李敖对话录》自序.txt	7-7	别开生面	形容对话录体例有新局面。
keep	LADHL-003	《李敖对话录》自序.txt	7-7	虚实双修	以虚构与实录兼具概括本书体例。
keep	LADHL-004	《李敖对话录》自序.txt	7-7	音容宛在	形容读来如见其人其声。
keep	LADHL-005	001.才华盖世侠骨柔情的思想家.txt	31-31	不是逢人苦誉君，亦狂亦侠亦温文	以狂、侠、温文三面自况。
keep	LADHL-006	001.才华盖世侠骨柔情的思想家.txt	71-71	中国人写白话文，五十年来五百年内，我李敖是第一把交椅	以第一把交椅自评白话文地位。
keep	LADHL-007	001.才华盖世侠骨柔情的思想家.txt	77-77	嘴巴上骂我吹牛的人，心里都为我供了牌位。	以戏谑方式回应外界对其自负的看法。
keep	LADHL-008	001.才华盖世侠骨柔情的思想家.txt	77-77	行云流水	形容文章自然流畅。
keep	LADHL-009	001.才华盖世侠骨柔情的思想家.txt	79-79	五十年来和五百年内，中国人写白话文的前三名是李敖、李敖、李敖	以反复押韵形成自评与广告效果。
keep	LADHL-010	001.才华盖世侠骨柔情的思想家.txt	91-91	有之不必然，无之必不然	以有无关系说明条件差异。
keep	LADHL-011	001.才华盖世侠骨柔情的思想家.txt	129-129	三刀六眼	以江湖规矩比喻强悍作风。
keep	LADHL-012	001.才华盖世侠骨柔情的思想家.txt	139-139	妇人之仁	形容不合时宜的软弱仁慈。
keep	LADHL-013	001.才华盖世侠骨柔情的思想家.txt	155-155	行不言之教	指以不言而教的高境界。
keep	LADHL-014	001.才华盖世侠骨柔情的思想家.txt	163-163	天知地知你知我知	用四知典故表示私下行为仍有见证。
keep	LADHL-015	001.才华盖世侠骨柔情的思想家.txt	181-181	我从来就没有哥哥。	以一句答语化解偷嫂传闻。
keep	LADHL-016	001.才华盖世侠骨柔情的思想家.txt	191-191	我德比才高	反转才德高低的外界评价。
keep	LADHL-017	001.才华盖世侠骨柔情的思想家.txt	193-193	自反而不缩，虽千万人，吾往矣！	表达自省无愧后的独往勇气。
keep	LADHL-018	001.才华盖世侠骨柔情的思想家.txt	197-197	人家捧我，我很不安，因为捧的不够。	以反讽方式谈自我夸奖。
keep	LADHL-019	001.才华盖世侠骨柔情的思想家.txt	203-203	不必为五斗米折腰	表示不为小利屈身。
keep	LADHL-020	002.对是非绝对是不让步的.txt	61-61	今世之儒世，自以为得正心诚意之学者，皆风痹不知痛痒之人也！	批评空谈心性而无痛痒的学者。
keep	LADHL-021	002.对是非绝对是不让步的.txt	63-63	小孩子都快饿死了，文学还有什么意义？	以饥饿处境质问文学意义。
keep	LADHL-022	002.对是非绝对是不让步的.txt	59-67	为读书而读书	作为李敖反对的读书口号出现。
keep	LADHL-023	002.对是非绝对是不让步的.txt	119-123	小脚文学	用小脚比喻文学格局受缚。
keep	LADHL-024	002.对是非绝对是不让步的.txt	123-123	被层层桎梏	概括文学受多重束缚的命运。
keep	LADHL-025	003.在台大·在法庭.txt	17-17	见山不是山、见水不是水	比喻思考过程中旧认识被打破。
keep	LADHL-026	003.在台大·在法庭.txt	17-17	见山是山、见水是水	比喻思考之后回到透彻认识。
keep	LADHL-027	004.吐他一口痰.txt	479-479	我岂好辩哉？我不得已也。	说明辩论出于不得已。
keep	LADHL-028	005.答陈依玫.txt	5-5	我把你们压得太久了（久压公等），压得没人能够接替我了（但恨不见替人）！	以压住后辈之语调侃无人接替。
