file	line	quote	context
《笑傲五十年》题辞.txt	3	泰山石敢当	凡是超过五十岁的外省人，谁不在台湾五十年？五十年没什么稀奇，稀奇的是，有一个外省人，他连续在台湾五十年——一天都没离开过。他不但“连续”，并且还一路反国民党伪政府，一路神气活现的笑傲五十年。他是“红色恐怖”的缺席者、“白色恐怖”的反抗者、“绿色恐怖”的讽刺者，他不是共产党、不是国民党、不是民进党，他独来独往，他独当一面，——他是“泰山石敢当”。
001.笑傲五十年.txt	61	春蚕到死丝方尽	春蚕到死丝方尽，李敖一去兮不复还！
002.李敖画像.txt	5	泪尽胡尘里	1935年李敖出生的时候，东北已是末代皇帝溥仪的“满洲国”，李敖常说他一出生就是“遗民”，就像孔夫子一出生就是“遗民”一样。由于不甘心“泪尽胡尘里”，他们全家搬到北京。李敖在北京念书，自新鲜胡同小学以至市立四中初一上，然后转到上海缉椝中学初一上。1949年4月12日，他随家到了台湾，随身带了五百多本藏书，年纪只不过十四岁。
002.李敖画像.txt	13	虽千万人，吾往矣	事实上，国民党只是首当其中而已，李敖的威力半径，把一切人间的错误与不义，都统统加以扫荡，因此他得罪的，不止国民党。他树敌之多，史所罕见，并且每周以几何级数增加中，但他毫不在乎，他绝不怕得罪人。他说敌人不分大小，他都有耐心一个个解决，他绝不做烂好人，不做没是非的乡愿。多少年来，他一直以“虽千万人，吾往矣”的气魄独行其是，而无惧小人们争言其非。为了真理与信念，他绝不怕孤立。因此，这个单身汉兼工作狂，整天把自己埋在十万本藏书中，东征西讨，使人血压高。
002.李敖画像.txt	13	东征西讨	事实上，国民党只是首当其中而已，李敖的威力半径，把一切人间的错误与不义，都统统加以扫荡，因此他得罪的，不止国民党。他树敌之多，史所罕见，并且每周以几何级数增加中，但他毫不在乎，他绝不怕得罪人。他说敌人不分大小，他都有耐心一个个解决，他绝不做烂好人，不做没是非的乡愿。多少年来，他一直以“虽千万人，吾往矣”的气魄独行其是，而无惧小人们争言其非。为了真理与信念，他绝不怕孤立。因此，这个单身汉兼工作狂，整天把自己埋在十万本藏书中，东征西讨，使人血压高。
002.李敖画像.txt	13	独行其是	事实上，国民党只是首当其中而已，李敖的威力半径，把一切人间的错误与不义，都统统加以扫荡，因此他得罪的，不止国民党。他树敌之多，史所罕见，并且每周以几何级数增加中，但他毫不在乎，他绝不怕得罪人。他说敌人不分大小，他都有耐心一个个解决，他绝不做烂好人，不做没是非的乡愿。多少年来，他一直以“虽千万人，吾往矣”的气魄独行其是，而无惧小人们争言其非。为了真理与信念，他绝不怕孤立。因此，这个单身汉兼工作狂，整天把自己埋在十万本藏书中，东征西讨，使人血压高。
002.李敖画像.txt	13	史所罕见	事实上，国民党只是首当其中而已，李敖的威力半径，把一切人间的错误与不义，都统统加以扫荡，因此他得罪的，不止国民党。他树敌之多，史所罕见，并且每周以几何级数增加中，但他毫不在乎，他绝不怕得罪人。他说敌人不分大小，他都有耐心一个个解决，他绝不做烂好人，不做没是非的乡愿。多少年来，他一直以“虽千万人，吾往矣”的气魄独行其是，而无惧小人们争言其非。为了真理与信念，他绝不怕孤立。因此，这个单身汉兼工作狂，整天把自己埋在十万本藏书中，东征西讨，使人血压高。
002.李敖画像.txt	13	乡愿	事实上，国民党只是首当其中而已，李敖的威力半径，把一切人间的错误与不义，都统统加以扫荡，因此他得罪的，不止国民党。他树敌之多，史所罕见，并且每周以几何级数增加中，但他毫不在乎，他绝不怕得罪人。他说敌人不分大小，他都有耐心一个个解决，他绝不做烂好人，不做没是非的乡愿。多少年来，他一直以“虽千万人，吾往矣”的气魄独行其是，而无惧小人们争言其非。为了真理与信念，他绝不怕孤立。因此，这个单身汉兼工作狂，整天把自己埋在十万本藏书中，东征西讨，使人血压高。
002.李敖画像.txt	15	霹雳手段，菩萨心肠	李敖有他独特的做人方式。他性好扶弱抑强，主持正义，霹雳手段，菩萨心肠。他在穷困时候，一顿顿饿饭帮助老师；他在富有时候，一把把钞票支援难友；他在坐牢时候，一篇篇文章抢救奇冤异惨的死魂灵。李敖自诩他是顽童、是战士、是善霸、是文化基督山、是社会罗宾汉、是侠骨柔情的大作家兼大坐牢家；另一方面，他是坦白的思想家、挖黑的历史家、同时还是黑白分明的文章大家。李敖说：“五十年来和五百年内，中国人写白话文的前三名是李敖、李敖、李敖，嘴巴上骂我吹牛的人，心里都为我供了牌位。”——以目空一切之人，做手不停挥之事，朝夕不保，死生以之，这样
002.李敖画像.txt	15	扶弱抑强	李敖有他独特的做人方式。他性好扶弱抑强，主持正义，霹雳手段，菩萨心肠。他在穷困时候，一顿顿饿饭帮助老师；他在富有时候，一把把钞票支援难友；他在坐牢时候，一篇篇文章抢救奇冤异惨的死魂灵。李敖自诩他是顽童、是战士、是善霸、是文化基督山、是社会罗宾汉、是侠骨柔情的大作家兼大坐牢家；另一方面，他是坦白的思想家、挖黑的历史家、同时还是黑白分明的文章大家。李敖说：“五十年来和五百年内，中国人写白话文的前三名是李敖、李敖、李敖，嘴巴上骂我吹牛的人，心里都为我供了牌位。”——以目空一切之人，做手不停挥之事，朝夕不保，死生以之，这样
