id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	proofread_reason	notes
LAFYKTW-001	add-proofread	古典成语	不虞之毁	《孟子》相关成语	001.放别人水与放自己水.txt	7	7	李敖借古典成语，写意外而来的毁谤。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：虽处现代论战语境，但引文本身为传统成语，保留检索价值。
LAFYKTW-002	add-proofread	古典成语	不虞之誉	《孟子》相关成语	001.放别人水与放自己水.txt	7	7	李敖借古典成语，写意外而来的赞誉。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：虽处现代论战语境，但引文本身为传统成语，保留检索价值。
LAFYKTW-003	keep-proofread	古典诗句	时穷节乃见	文天祥相关诗句	001.放别人水与放自己水.txt	19	19	李敖引文天祥诗意，说明困厄时节操才显现。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-004	keep-proofread	西方谚语	一个人的食物是另一个人的毒药。	英文谚语 One man's meat is another man's poison	003.他们的食物是我们的毒药.txt	3	3	李敖引西方谚语，说明人与人立场、禀性不同，同一事物会有相反感受。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-005	add-proofread	古典诗句	少年十五二十时	王维《老将行》相关诗句	003.他们的食物是我们的毒药.txt	23	23	李敖化用王维诗句，写自己少年时期的生活记忆。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：非政治语境中的古诗句化用。
LAFYKTW-006	add-proofread	传统成句	言而有信，信而有征	中文传统成句	004.他们的恭维是我们的耻辱.txt	33	33	李敖借传统成句，要求言论须守信用且有事实凭据。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：非政治语录，属于可独立检索的传统道德成句。
LAFYKTW-007	keep-proofread	传统成句	放之四海而皆准、俟诸百世而不惑	中文传统成句	005.与虎谋皮的先决条件.txt	35	35	李敖借传统成句，指称自以为普遍有效、百世不疑的固定原则。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-008	keep-proofread	古典成句	薄天子而不为	中文古典成句	005.与虎谋皮的先决条件.txt	45	45	李敖引古典成句，形容轻视最高权位而不取。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-009	keep-proofread	俗语格言	成则为王败则为寇	中文俗语	005.与虎谋皮的先决条件.txt	45	45	李敖引俗语，写成败转化为名分评价的世俗逻辑。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-010	keep-proofread	古典文句	不敢言而敢怒	杜牧《阿房宫赋》相关文句	005.与虎谋皮的先决条件.txt	53	53	李敖借古典文句，写人在压抑中不敢发声而心中怨怒。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
