id	book	chapter	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	notes	quote_found_at_declared_range	source_excerpt
LAHSY-001	胡适研究	《胡适研究》前记	《胡适研究》前记.txt	5	5	别看他笑得那样好，我总觉得胡适之是一个寂寞的人。	胡适评语	温源宁评胡适语	李敖在前记开篇引用温源宁笔下的胡适印象，概括胡适笑容背后的寂寞气质。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。	yes	　　“别看他笑得那样好，我总觉得胡适之是一个寂寞的人。”
LAHSY-002	胡适研究	播种者胡适	001.播种者胡适.txt	35	35	要有话说，方才说话。	白话文原则	胡适《建设的文学革命论》	胡适白话文写作原则之一，强调有内容才说话。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。	yes	　　一、 要有话说，方才说话。
LAHSY-003	胡适研究	播种者胡适	001.播种者胡适.txt	37	37	有什么话，说什么话；话怎么说，就怎么说。	白话文原则	胡适《建设的文学革命论》	胡适白话文写作原则之一，强调自然表达。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。	yes	　　二、 有什么话，说什么话；话怎么说，就怎么说。
LAHSY-004	胡适研究	播种者胡适	001.播种者胡适.txt	39	39	要说我自己的话，别说别人的话。	白话文原则	胡适《建设的文学革命论》	胡适白话文写作原则之一，强调自我表达。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。	yes	　　三、 要说我自己的话，别说别人的话。
LAHSY-005	胡适研究	播种者胡适	001.播种者胡适.txt	41	41	是什么时代的人，说什么时代的话。	白话文原则	胡适《建设的文学革命论》	胡适白话文写作原则之一，强调语言要属于自己的时代。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。	yes	　　四、 是什么时代的人，说什么时代的话。（《建设的文学革命论》）
LAHSY-006	胡适研究	播种者胡适	001.播种者胡适.txt	97	97	任重而道远	论语成语	《论语》	胡适谈发展科学责任时明引古人语，本轮只取成语本体。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。 校对补入：古典成语本体独立成立，未收入同句国家科学语境。	yes	　　……这是一个起点，一个有希望的起点。在这样很困难的情形之下，我们能够有一亿一千万台币用在“长期发展科学与技术的研究”的开山工作上面，我们至少可以说科学在自由中国已开始得到“重视”，开始得到“资助”了。我们当然不可感到满足，我们至少应该感觉我们的责任之大。我们应该感觉古人说的“任重而道远”五个字的意义。为国家计划发展科学，这个责任“不亦重乎？”我们的任务是“长期发展科学”，“长期”“不亦远乎？”……两年的工作，只做了一点探路的工作、开路的工作。从今天起，我们可以平心静气想想这条“远路”的蓝图了。（《发展科学的重任和远路》，《新时代》，1卷2期） 
LAHSY-007	胡适研究	播种者胡适	001.播种者胡适.txt	107	107	只要我们有东西，不怕人家拿‘没有东西’来打我们。	治学格言	胡适语	胡适用英文格言意译出的自信句，李敖据此说明有实质贡献才不怕批评。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。	yes	　　别看他笑得那么好，我总觉得胡适之是一个寂寞的人，其实这年头儿，凡是有点真“人”味儿的，没有不寂寞的，何况是有个性的人呢？在人生大节上，胡适有他自己的新“儒行篇”，他自始至今不信权威、不信教条、不信圣人之言、不信“旧道德的死尸”、不信两千年前空洞的旧经典能解决20世纪复杂的新问题。在这生化转变的大世界里，日新月异的新时代里，胡适始终在变化的环境里维持他的人格、观点和气焰。他有不少intellectual arrogance，有人骂他是“学阀”，至少我是赞同的，我不觉得这词儿有什么讥贬的意味。相反的，对这些只会浮议、毫无风骨的穷酸文人，阀又何妨？40年来，胡适被穷酸文人的浮议骂惯了，他才不在乎这些，有的甚至写洋洒千言的专书骂他，他只觉得好玩。他最喜欢的一句话是：“You can't beat something with nothing ”。他说：“只要我们有东西，不怕人家拿‘没有东西’来打我们。”我要给他补一句：“只要我们负责任，不怕人家拿‘不负责任’来骂我们。”补全了，才是他“个人主义”的真精神。
LAHSY-008	胡适研究	播种者胡适	001.播种者胡适.txt	113	113	不叫别人牵着鼻子走	人格格言	胡适个人主义说明语	李敖用此句概括独立人格，不收同段较长的思想论述。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。	yes	　　细读这段文字，才会知道什么是胡适之的个人主义，才会知道独立的与负责的个人主义实在不是什么不得了的洪水猛兽，乃是一个极普通的大丈夫所应具有的一点最起码的人生态度。“不叫别人牵着鼻子走”，这不是大丈夫的独立精神吗？“好汉做事好汉当”，这不是大丈夫的负责气概吗？做大丈夫不是每个男子汉起码的要求吗？这样的个人主义还有什么可非议的吗？
LAHSY-009	胡适研究	播种者胡适	001.播种者胡适.txt	113	113	好汉做事好汉当	传统俗语	中国俗语	李敖借俗语说明负责气概，句子本体为常用俗谚。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。	yes	　　细读这段文字，才会知道什么是胡适之的个人主义，才会知道独立的与负责的个人主义实在不是什么不得了的洪水猛兽，乃是一个极普通的大丈夫所应具有的一点最起码的人生态度。“不叫别人牵着鼻子走”，这不是大丈夫的独立精神吗？“好汉做事好汉当”，这不是大丈夫的负责气概吗？做大丈夫不是每个男子汉起码的要求吗？这样的个人主义还有什么可非议的吗？
LAHSY-010	胡适研究	播种者胡适	001.播种者胡适.txt	119	119	爱情的代价是痛苦，爱情的方法是要忍得住痛苦。	爱情箴言	胡适题张慰慈扇语	胡适谈爱情与忍受痛苦的句子，后又化为小诗。	校对轮保守收入：本书夹杂大量苏俄、党派、国家治理、时事论战和现代人物评议，本轮只取句子本体可独立成立的诗文、治学格言、文学论句、传记方法、古典成语、宗教文句和爱情诗句。	yes	　　但在许多方面，胡适也绝非冷冰冰的人：他怀念周作人，不止一次到监狱看他；喜欢南港的小学生，为国民学校捐巨款；赞助北平的助学运动，也破例卖字；听说一个年轻朋友的裤子进了当铺，立刻寄去一千元，……从这些小故事上，我们可以看到胡适为人热情的一面。但他的热情绝不过度，热情的上限是中国士大夫，下限是英国绅士。他在讲课时，天冷了，看到女学生坐在窗边，他会走下讲台亲自为女弟子关窗户，这是他的体贴处，但当女学生疯狂地追他的时候，他绝不动心，他只在给张慰慈的扇子上写着：“爱情的代价是痛苦，爱情的方法是要忍得住痛苦。”在这点上，也许那写Marriage and Morals的风流哲人会笑他，不过在保守的中国，他在这方面是白璧无瑕的。
