score	file	line	text	context
5	《国民党研究续集》自序.txt	7	大德不踰闲，小德出入可也	中国传统对一个人的行为，有一种说法，叫“大德不踰闲，小德出入可也”。意思是一个人把握住大的行为，小的行为不妨有出入。我深信一个人入不入一个党，是属于“大德”的大的行为，不可以马马虎虎带过去。有一种人，他们很注意“小德”，他们在某种意义上，可能是好好先生、好丈夫、好老师、好兄弟、好公务员，甚至是爱国者，但以“大德”来看他，他就不及格。以日本的广田弘毅为例，他符...
4	《国民党研究续集》自序.txt	9	鞠躬尽瘁，死而后已。	在日本军国主义的统治之下、在德国法西斯主义的统治之下，像广田弘毅、史匹尔这样的人，也不知道有多少，他们都只知“小德”而不知“大德”，只重小的行为而忽略大的行为、大的规迹。他们自以为在精忠报国、自以为卖命的对象是苦难的国家，因而做孤臣、做循吏，“鞠躬尽瘁，死而后已。”殊不知他们做的，只是对一党一家一姓的愚忠、对一党一家一姓的扶同为恶而已，他们在“大德”上，是“...
5	《国民党研究续集》自序.txt	13	大德不踰闲，小德出入可也	所以，一个人，他在军国主义下不阿附军阀、在法西斯主义下不苟同纳粹、在国民党一党独大下不加入这个党，他在“先天”上，人格就高于阿附的、苟同的、入党的。这种人，即使沦落到去做下里巴人、去做下三烂、去做下水道的党外人士，他们的人格，都是高的。因为他们在“大德”上是正确的、伟大的、令人佩服的。因为他正是“大德不踰闲，小德出入可也”的大人物。
8	001.国民党与云南起义.txt	9	全国风起云涌，使袁世凯众叛亲离，不能不取消帝制忧愤而亡	这段写中华革命党“再造共和”的话，是十足歪曲革命文献的谎话。这段谎话的重点是：中华革命党是云南起义的“发动”者、是使“全国风起云涌，使袁世凯众叛亲离，不能不取消帝制忧愤而亡”的“革命”者、是“再造共和的重大史迹”的“建树”者。其实，这些都是吹牛、都不是真的。真的“再造共和”、挽回“中华民国的国命”的，却是别有其人、别有其团体，与中华革命党实在没有什么相干。中...
5	001.国民党与云南起义.txt	9	再造共和的重大史迹	这段写中华革命党“再造共和”的话，是十足歪曲革命文献的谎话。这段谎话的重点是：中华革命党是云南起义的“发动”者、是使“全国风起云涌，使袁世凯众叛亲离，不能不取消帝制忧愤而亡”的“革命”者、是“再造共和的重大史迹”的“建树”者。其实，这些都是吹牛、都不是真的。真的“再造共和”、挽回“中华民国的国命”的，却是别有其人、别有其团体，与中华革命党实在没有什么相干。中...
5	001.国民党与云南起义.txt	9	实在是历史上的奇迹	这段写中华革命党“再造共和”的话，是十足歪曲革命文献的谎话。这段谎话的重点是：中华革命党是云南起义的“发动”者、是使“全国风起云涌，使袁世凯众叛亲离，不能不取消帝制忧愤而亡”的“革命”者、是“再造共和的重大史迹”的“建树”者。其实，这些都是吹牛、都不是真的。真的“再造共和”、挽回“中华民国的国命”的，却是别有其人、别有其团体，与中华革命党实在没有什么相干。中...
4	001.国民党与云南起义.txt	9	中华民国的国命	这段写中华革命党“再造共和”的话，是十足歪曲革命文献的谎话。这段谎话的重点是：中华革命党是云南起义的“发动”者、是使“全国风起云涌，使袁世凯众叛亲离，不能不取消帝制忧愤而亡”的“革命”者、是“再造共和的重大史迹”的“建树”者。其实，这些都是吹牛、都不是真的。真的“再造共和”、挽回“中华民国的国命”的，却是别有其人、别有其团体，与中华革命党实在没有什么相干。中...
3	001.国民党与云南起义.txt	9	再造共和	这段写中华革命党“再造共和”的话，是十足歪曲革命文献的谎话。这段谎话的重点是：中华革命党是云南起义的“发动”者、是使“全国风起云涌，使袁世凯众叛亲离，不能不取消帝制忧愤而亡”的“革命”者、是“再造共和的重大史迹”的“建树”者。其实，这些都是吹牛、都不是真的。真的“再造共和”、挽回“中华民国的国命”的，却是别有其人、别有其团体，与中华革命党实在没有什么相干。中...
3	001.国民党与云南起义.txt	9	革命	这段写中华革命党“再造共和”的话，是十足歪曲革命文献的谎话。这段谎话的重点是：中华革命党是云南起义的“发动”者、是使“全国风起云涌，使袁世凯众叛亲离，不能不取消帝制忧愤而亡”的“革命”者、是“再造共和的重大史迹”的“建树”者。其实，这些都是吹牛、都不是真的。真的“再造共和”、挽回“中华民国的国命”的，却是别有其人、别有其团体，与中华革命党实在没有什么相干。中...
3	001.国民党与云南起义.txt	9	重大史迹	这段写中华革命党“再造共和”的话，是十足歪曲革命文献的谎话。这段谎话的重点是：中华革命党是云南起义的“发动”者、是使“全国风起云涌，使袁世凯众叛亲离，不能不取消帝制忧愤而亡”的“革命”者、是“再造共和的重大史迹”的“建树”者。其实，这些都是吹牛、都不是真的。真的“再造共和”、挽回“中华民国的国命”的，却是别有其人、别有其团体，与中华革命党实在没有什么相干。中...
4	001.国民党与云南起义.txt	13	国立编译馆	云南起义在目前“国立编译馆”主编的国民中学《历史科教科书》里，有这样的解释：
4	001.国民党与云南起义.txt	25	蔡锷与其师梁启超	一、四十年前的教科书明说云南起义是“蔡锷与其师梁启超”为首事之人，是“说”动“唐继尧”反对帝制的；今天的教科书却说“唐继尧”是主角，“蔡锷”是后来被“迎接”去的。
8	001.国民党与云南起义.txt	33	同时国民党李烈钧、李根源也派人到云南活动	四十年来教科书的变化，不是偶然的，它是国民党偷吃别人革命果实的一贯作业。四十年前的教科书中，在提到蔡锷、梁启超首事之后，提到“同时国民党李烈钧、李根源也派人到云南活动”，本已有混淆视听之嫌，（因为那个国民党并非后来的国民党！）但还大致不离谱儿；但是今天的教科书却完全荒腔走板了，它显然在不断的动手脚，使本末倒置、使主从异位，删了不该删的英雄、加了不该加的帮手，...
4	001.国民党与云南起义.txt	35	民国开创之功	国民党扭曲、窜改历史的原因，是由于云南起义“再造共和”，照1916年孙中山《致黎元洪盼定云南起义为国庆日电》文所说，武昌首义只是“民国开创之功”，而云南起义却是“民国中兴之业”①。这样大的功劳，国民党岂有不眼红之理？何况起义元勋又是国民党眼中钉梁启超，是头牌的“党外人士”，国民党又如何老脸兜得住？于是，千方百计的扭曲与窜改，便要应运而出了。
4	001.国民党与云南起义.txt	35	民国中兴之业	国民党扭曲、窜改历史的原因，是由于云南起义“再造共和”，照1916年孙中山《致黎元洪盼定云南起义为国庆日电》文所说，武昌首义只是“民国开创之功”，而云南起义却是“民国中兴之业”①。这样大的功劳，国民党岂有不眼红之理？何况起义元勋又是国民党眼中钉梁启超，是头牌的“党外人士”，国民党又如何老脸兜得住？于是，千方百计的扭曲与窜改，便要应运而出了。
4	001.国民党与云南起义.txt	35	党外人士	国民党扭曲、窜改历史的原因，是由于云南起义“再造共和”，照1916年孙中山《致黎元洪盼定云南起义为国庆日电》文所说，武昌首义只是“民国开创之功”，而云南起义却是“民国中兴之业”①。这样大的功劳，国民党岂有不眼红之理？何况起义元勋又是国民党眼中钉梁启超，是头牌的“党外人士”，国民党又如何老脸兜得住？于是，千方百计的扭曲与窜改，便要应运而出了。
3	001.国民党与云南起义.txt	35	再造共和	国民党扭曲、窜改历史的原因，是由于云南起义“再造共和”，照1916年孙中山《致黎元洪盼定云南起义为国庆日电》文所说，武昌首义只是“民国开创之功”，而云南起义却是“民国中兴之业”①。这样大的功劳，国民党岂有不眼红之理？何况起义元勋又是国民党眼中钉梁启超，是头牌的“党外人士”，国民党又如何老脸兜得住？于是，千方百计的扭曲与窜改，便要应运而出了。
4	001.国民党与云南起义.txt	37	隐隐为西南盟主	不幸的是，当年云南起义是谁的功劳，太明确了，大家都知道蔡锷是主角，蔡锷的老师梁启超也是主角，事实俱在，是不容国民党胡说的。大体上，国民党在云南起义后三十年中，也不太敢胡说，只是一路吃瘪。但有一点，国民党绝不放过，那就是突出唐继尧的主角身份，用以平衡、冲淡或凌驾蔡锷的功劳。唐继尧，字蓂赓，别号东大陆主人。云南东川人。二十四岁去日本，先入振武学校，后入陆军士官学...
8	001.国民党与云南起义.txt	43	另具印文，亲笔签名，迅速寄京，以明真相	由此可见，唐继尧的反动立场甚为明显，他手下的“中级军官健者”向他进言，也是“莫得要领”。直到蔡锷逃离北京，王伯群先蔡锷五天到了云南，交给他蔡锷的信，他才决定跟进（《蔡松坡先生遗集》军政文电中五年1月《至梁新会函》）。刘达武《蔡松坡先生年谱》透露：蔡锷在20日抵阿迷县时曾被云南官方人员行刺未遂；21日抵昆明，“时云南第一师师长张□□欲拥袁，第二师师长刘□□意存...
7	001.国民党与云南起义.txt	43	今据漾电，语多离奇，事隔三日，前后颠倒如此，想系他人所捏造。	由此可见，唐继尧的反动立场甚为明显，他手下的“中级军官健者”向他进言，也是“莫得要领”。直到蔡锷逃离北京，王伯群先蔡锷五天到了云南，交给他蔡锷的信，他才决定跟进（《蔡松坡先生遗集》军政文电中五年1月《至梁新会函》）。刘达武《蔡松坡先生年谱》透露：蔡锷在20日抵阿迷县时曾被云南官方人员行刺未遂；21日抵昆明，“时云南第一师师长张□□欲拥袁，第二师师长刘□□意存...
