file	line	text	flags
《爱情的秘密》目录.txt	1	《爱情的秘密》目录	external-cue
《爱情的秘密》目录.txt	3	《爱情的秘密》前置词	external-cue
《爱情的秘密》目录.txt	7	004.一首诗几件事	
《爱情的秘密》目录.txt	8	005.评改余光中的一首译诗	external-cue
《爱情的秘密》目录.txt	15	012.李诗四首	self-authored-cue
《爱情的秘密》目录.txt	18	015.情诗十四首	self-authored-cue
《爱情的秘密》目录.txt	20	017.两首反中立的诗	political-cue
《爱情的秘密》目录.txt	23	020.菩萨写诗	
《爱情的秘密》目录.txt	31	028.“于人曰浩然，沛乎塞苍冥”	
《爱情的秘密》目录.txt	33	030.孔明歌	
《爱情的秘密》目录.txt	36	033.撒尿歌	
《爱情的秘密》目录.txt	47	044.不复春归燕，却似如来佛	external-cue
《爱情的秘密》目录.txt	53	050.老虎歌	
《爱情的秘密》目录.txt	54	051.《我们七个》	external-cue
《爱情的秘密》目录.txt	56	053.也有诗兴	
《爱情的秘密》目录.txt	57	054.还有诗兴	
《爱情的秘密》目录.txt	58	055.袭唐诗七绝四首有序	
《爱情的秘密》目录.txt	60	057.旧词新改	
《爱情的秘密》目录.txt	61	058.《千秋评论》满五年了！	external-cue
《爱情的秘密》目录.txt	63	060.关于《丽达与天鹅》	external-cue
《爱情的秘密》目录.txt	65	062.诗句的实验者	external-cue
《爱情的秘密》目录.txt	66	063.猫狗诗和非猫狗诗	
《爱情的秘密》目录.txt	67	064.弗罗斯特的《雪花纷飞》	external-cue
《爱情的秘密》前置词.txt	1	《爱情的秘密》前置词	external-cue
《爱情的秘密》前置词.txt	3	眼前的所谓诗人，不论新旧，都不承认李敖是诗人，这就恰像骗子不承认君子是君子一样。所谓新诗人也好、旧诗人也罢，其实都是自欺欺人的骗子，李敖拆穿了他们，并且以真正诗人的眼睛、用真正诗的语言，为上当的读者指点迷津，脱离“‘诗’内瘴”。	external-cue
《爱情的秘密》前置词.txt	5	“‘诗’内瘴”主要有两方面，旧诗人方面，其病在迂腐滥套；新诗人方面，其病在不知所云。两者的通病是全无真情、文采与诗境，所以虽都号称为诗人、都自炫在写诗，其实全是以诗为形式的狗屁，暴殄文字，讨厌死人啦！	
《爱情的秘密》前置词.txt	7	这本《爱情的秘密》，就是李敖斥伪示真的一部奇作。以诗说情、以情叙理、以理服人，以人为拯溺对象，此乃真正诗人心术，迷津中的读者，请拭泪拭目以看此书！	external-cue
001.爱情的秘密.txt	3	在北京四中念初一时候，学校请朱光潜来讲演，因为礼堂太小，只准高班生听，所以只看到他在教室前走过，心中不无遗憾。那时他写的《给青年的十二封信》早已是畅销书。其中附录的《无言之美》一篇，我最喜欢。	external-cue
001.爱情的秘密.txt	5	《无言之美》中有这样几段：	external-cue
001.爱情的秘密.txt	7	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：	external-cue
001.爱情的秘密.txt	15	这首短诗描写爱情上无言之美的势力，可谓透辟已极了。本来爱情全是一种心灵的感应，其深刻处老子所谓不可道不可名的。所以许多诗人以为“爱情”两个字本身就太滥太寻常太乏味，不能拿来写照男女间神圣深挚的情绪。	external-cue
001.爱情的秘密.txt	19	这首布莱克的诗，颇有《诗品》中“不着一字，尽得风流”的境界。原诗如下：	external-cue
001.爱情的秘密.txt	47	我对照起朱光潜的翻译来，总觉得达意有余，诗意不足。	external-cue
001.爱情的秘密.txt	49	1962年3月18日，我试用古体诗来翻译它，内容如下：	external-cue
001.爱情的秘密.txt	81	译得虽然不满意，但总觉得比朱译稍胜。我认为诗以有韵为上，没韵的诗，只证明了掌握中文能力的不足。台湾的所谓诗人和译诗家，既不诗又不韵，像性无能者一般，是“诗无能者”，却整天以阳痿行骗，真是笑话极矣！	external-cue,political-cue
002.沙丘忆.txt	3	阿瑟·戈登（Arthur Gordon）写过一篇短篇小说，叫《奇人述异》（The Stranger Who Taught Magic），写一个十三岁的小男孩，在一天清早，蹲在河边看鱼，一个陌生人走过来，这陌生人有一张苍白清瘦的脸，一对非常特殊的眼睛，表情似愁非愁，但是友善而令人难以抗拒。陌生人希望小男孩教他钓鱼，小男孩同意了。陌生人说：“也许我们应该彼此介绍一下，不过，也许根本不必介绍。你是个愿意教的小孩子，我是个愿意学的老师，这就够了。我喊你‘小朋友’，你就喊我‘先生’吧。”	external-cue
