risk	quoteSignal	attributionSignal	file	line	text
false	false	true	001.怎样修理财阀.txt	21	说明：
false	true	true	001.怎样修理财阀.txt	49	这种进退维谷的损失，根本是说不过去的。因为据1974年度股东常会议事录附录的《工作报告》，明明记有辜振甫先生在决定林园建厂前，曾就此区
false	true	true	001.怎样修理财阀.txt	53	然后才开始买地的。既然是“经数次勘察研究”过，怎么如今又“经实地勘察发觉此区中间现有甚大鱼塭”了呢？“鱼塭”既云“甚大”，自然不该在“数次实地勘察研究”时看不到，连照相机上鱼眼都能看到的鱼塭，哪有人眼看不到的？像这样明显的无能，所造成以后“打桩”“改配”“填砂”“填土”以至“地价”“缴款”……种种纠纷与浪费，我们被欺蒙的股东，又怎么坐视呢？
false	true	true	001.怎样修理财阀.txt	71	第一年这样未能把握，闹了“振甫三迁”以后，辜振甫先生终于在周年当天给了股东们一个进度，就是1975年“5月机械性试车！”“6月生产性试车！”“7月正式生产！”“产品明年上市！”但是，时间证明这些进度都是空话，股东们的倒霉并不止于第一年就完了，第一年不幸不是一个结束，而是一个开始。果然不久，辜振甫先生首先把他的周年进度延期，第一次试车一下子就给延后九个月，从1975年5月延后到1976年2月，冒出第二次进度。但是，时间又证明这第二次进度又是空话，股东们的倒霉并不止于第一年就完了，也不止于第二年就完了，甚至不止于第三年就完了，1976年2月的试车，竟又失信！要延到5月，这是第三次进度；然后又失信，又延到7月15日，这是第四次进度；然后又失信，又延到7月29日，这是第五次进度。7月29日总算试车了。辜振甫先生本来说是1975年“7月正式生产”的，现在到了1976年7月——失信足足一年以后，原来还不能正式生产，只是第一次试车！
false	false	true	001.怎样修理财阀.txt	73	原说第一次试车到第二次试车之间，先后只差一个月，但又不行了，这个差距的进度也失信了，第二次试车差距拉开了，一拉又是七个月。于是，又延到1977年2月，这是第六次进度。股东们的倒霉，并不止于第一、二、三年就算完了，现在进入第四年第五年了！
false	false	true	001.怎样修理财阀.txt	85	本公司将来所需原料仰赖石油公司第二套、第三套轻油裂解设备所产之塔底油，本公司系在该区着手建厂之第一家，离石油公司第三套轻油裂解厂之距离亦为最近，在将来原料之运输方面已较胜一筹，亦可以说本公司已奠定了在将来国内外同业激烈竞争中的优势地位。
true	true	true	001.怎样修理财阀.txt	125	辜振甫先生这种引入“中国信托投资公司”大吃小手法，如果是普通人的行为，尚可不令人起疑，但是出在他身上，我们就不得不注意。根据他给萧同兹先生的两封亲笔信（信在李敖手中），知道他是用心很深远的人；根据他写的《欧洲共同市场的新趋向》（1962年8月26日《中央日报》），知道他是经商有理论的人；根据他以中国合成橡胶公司等八大公司董事长身份登的向当局“欢呼！再欢呼！”的全版“仝贺”广告（1978年3月22日《中国时报》），知道他是很会利用名义向上表现的人；根据1961年度台上字第2556号最高法院判决，又知道“被上诉人辜振甫”，曾被人怀疑过有“共同侵占”行为的人（判决书在李敖手中）。……上面这些片段抽样，使我们知道，辜振甫先生这个人实在很不简单。他很有钱，有钱到使他贤惠的夫人说出：“我要研究的是怎样把先生赚来的钱花掉！”（《今日经济》第六十四期叶青青《珍珠集》）因此，基于上面的全部检查，我们合理怀疑辜振甫先生是否对“中国合成橡胶股份有限公司”真正尽了心？用了力？我们合理怀疑他在有意的弄糟了这个公司，浪费了股东的投资，因为六年来的所作所为，简直太离奇了！橡胶工业中有一种叫做“离心分离法”（Centrifugal Process）的，六年来，辜振甫先生好像真把中国合成橡胶给“离心分离”了！他除了一增资二增资三增资，向股东一再要钱外，眼里何尝向下表现过？公司搬了家，他连发张明信片通知股东都不肯，反而在报上通知了外面的人（1978年2月25日《联合报》）；发召集股东年会通知，也在违背《公司法》第172条的规定的日期前以平信发出。凡此种种目中无人，不是“离心分离”，又是什么呢？
false	false	true	001.怎样修理财阀.txt	141	说明：
true	true	true	001.怎样修理财阀.txt	149	第二、姑试以来函所谓“3月3日付邮”计算，依《民法》第120条第2项：“以日、星期、月或年定期间者，其始日不算入。”此种以翌日起算方法，为法律基本算法，故3月3日不能算入。请参看《最高法院判例要旨》1977年9月版上册。此其一。复依《民法》第122条：“于一定期日或期间内，应为意思表示或给付者，其期日或其期间之末日，为星期日、纪念日或其他休息日时，以其休息日之次日代之。”3月3日既不能算入，则3月4日为一定期日，但3月4日又适为星期日，故3月4日亦不能算入。此其二。复依《民法》第123条第2项：“月或年非连续计算者，每月为三十日。每年为三百六十五日。”《公司法》第172条第1项“一个月前”之立法，如对应第2项之“十五日前”法意，准用三十日“自然计算法”解释，而不适用“历法计算法”，则3月31日不能算入。请参看《云五社会科学大辞典》第六册。此其三。设别作《民法》第123条第1项“称月或年者，依历计算”算法，则必对应《民法》第121条第2项有无相当日之解释。郑玉波教授于《民法总则》曾指出《民法》所定期间之计算法，均系由起算点向将来计算（顺算），唯《公司法》第172条属起算点回溯计算（逆算）性质，则顺算之小月无相当日而以月之日末不计其少者，必得于逆算时大月而不计其多，故3月31日仍无法算入。此其四。复依《民法》第121条第2项：期间不以星期、月或年之始日起算者，以最后之星期、月或年，与起算日相当日之一日，为期间之末日。故开会日4月3日不能算入。张龙文《论股东会之召集》（《法学丛刊》第二十四期）所谓“发信日及会日不算入”，即系指此。此其五。综上一至五，足证徒从常识观点，判断3月3日发信，4月3日开会，应为一个月，遂以为“尚无不合”，是不明《民法》及《公司法》第172条之法律算法。本案常识算法与法律算法横竖有四日之差，发信日理应不晚于3月1日以前，而非3月3日。开会通知书上亦油印3月1日，是发信日不符而致延误，已一目了然；来函用“尚无不合”字样，理曲其中，且已情见乎辞。
false	false	true	001.怎样修理财阀.txt	175	说明：
