id	source_file	line_start	line_end	present	political_hits	quote_text
LAJJSZMM-001	001.仗打败，反多星.txt	69	69	yes		唯器与名，不可以假人
LAJJSZMM-002	003.康泽回忆中的蒋介石.txt	11	11	yes		错认颜标是鲁公
LAJJSZMM-003	003.康泽回忆中的蒋介石.txt	39	39	yes		但使龙城飞将在，不教胡马度阴山。
LAJJSZMM-004	004.《拆穿蒋介石》导言.txt	7	7	yes		更无一个是男儿
LAJJSZMM-005	011.蒋介石与“不立文字”.txt	3	3	yes		不立文字，见性成佛
LAJJSZMM-006	011.蒋介石与“不立文字”.txt	3	3	yes		不立文字，教外别传
LAJJSZMM-007	011.蒋介石与“不立文字”.txt	3	3	yes		单传心印
LAJJSZMM-008	011.蒋介石与“不立文字”.txt	3	3	yes		法离文字
LAJJSZMM-009	011.蒋介石与“不立文字”.txt	3	3	yes		乃至三乘十二分教，皆是拭不净故纸
LAJJSZMM-010	011.蒋介石与“不立文字”.txt	3	3	yes		拈花示众
LAJJSZMM-011	011.蒋介石与“不立文字”.txt	3	3	yes		破颜微笑
LAJJSZMM-012	011.蒋介石与“不立文字”.txt	5	5	yes		东海西海，有志一同
LAJJSZMM-013	011.蒋介石与“不立文字”.txt	5	5	yes		昔云门说法如云雨，绝不喜人记录其语。见必骂逐曰：‘汝口不用，反记吾语，异时裨贩我去。’
LAJJSZMM-014	013.秘刊《蒋介石国大现形记》经过.txt	9	9	yes		张大义而垂青史
LAJJSZMM-015	013.秘刊《蒋介石国大现形记》经过.txt	9	9	yes		长城但自坏，千古痛稠结，肉食无远谋，野史有直笔。
LAJJSZMM-016	019.蒋介石毁损古物.txt	3	3	yes		出其东门，有女如云。虽则如云，匪我思存。缟衣綦巾，聊乐我员。
LAJJSZMM-017	019.蒋介石毁损古物.txt	5	5	yes		美轮美奂
LAJJSZMM-018	024.谁是支持西藏独立的元凶？.txt	3	3	yes		渺渺三魂，活佛竟成死鬼；迢迢万里，东来不见西归。
LAJJSZMM-019	032.中央研究院近代史研究所所长怎样曲笔回护蒋介石.txt	3	3	yes		断烂朝报
LAJJSZMM-020	032.中央研究院近代史研究所所长怎样曲笔回护蒋介石.txt	5	5	yes		矮子里面挑大个
LAJJSZMM-021	034.蒋夫人断袖记.txt	143	143	yes		回忆三十年来，始而寄迹海上，继而留学国外，长离膝下，十有余年。
LAJJSZMM-022	034.蒋夫人断袖记.txt	143	143	yes		且因邮电不通，音讯久疏，母不知儿生死，因抑郁以成疾；儿亦未能亲侍汤药，以娱慈母之心。
LAJJSZMM-023	034.蒋夫人断袖记.txt	143	143	yes		用以纪念吾母，并志无涯之哀悼
LAJJSZMM-024	034.蒋夫人断袖记.txt	277	277	yes		这不是比狗彘都不如吗？
LAJJSZMM-025	037.为宋美龄事质问《自由时报》.txt	21	21	yes		说大人，则藐之
LAJJSZMM-026	038.为宋美龄事再质问《自由时报》.txt	11	11	yes		明着说好话，暗中下毒手
LAJJSZMM-027	039.宋美龄出洋相.txt	39	39	yes		哭秦庭
