id	book	chapter	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	notes	quote_found_at_declared_range	source_excerpt
LAHSYW-001	胡适与我	《胡适与我》自序	《胡适与我》自序.txt	3	3	交友以自大其身，求士以求此身之不朽	古典格言	李恕谷语，胡适转引	李敖在自序中转述胡适喜欢引用的李恕谷名言，用来说明求友与求士的身后意义。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　二十年前，我由萌芽出版社印行《胡适给赵元任的信》，把每一封信都加上我拟的标题，其中有一封拟题为“收徒弟的哲学”，是1959年11月5日胡适写给赵元任的。信中劝赵元任退休后也回到南港中央研究院来，大家一起收徒弟。胡适说：“‘交友以自大其身，求士以求此身之不朽’，这是李恕谷（塨）的名言，我曾读了大感动。这是‘收徒弟’的哲学！”
LAHSYW-002	胡适与我	《胡适与我》自序	《胡适与我》自序.txt	11	11	‘吾志若不就，他无所愿，但愿先子死耳！’予惊问故，曰：‘吾生平知己，舍子其谁？得子为吾传以传，复何恨哉？’	知己文句	王源《刘处士墓表》记刘献廷语	校对轮把刘献廷托付知己作传的一整段合并收入，避免第一轮拆句过碎。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。 校对补入：合并第一轮两条拆分引文。	yes	　　在胡适“求士”的心里，我是他特别另眼看待的一位。我父亲是他的学生，我并不是他的徒弟，但是云龙契合之际，我却在他生前死后，做了比任何人都识其大者的事。这种奇缘与情义，求之古今人物，亦属罕见。清朝王源《刘处士墓表》中记“〔刘献廷〕尝从容谓余曰：‘吾志若不就，他无所愿，但愿先子死耳！’予惊问故，曰：‘吾生平知己，舍子其谁？得子为吾传以传，复何恨哉？’”我想，胡适死而有知，当有刘献廷这一感叹。
LAHSYW-003	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	5	19	哈哈笑声里，\n六十八岁来到，\n看你白头少年，\n一点都不老。\n寿星说话不妨多，\n喝酒可要少，\n不然太太晓得，\n那可不得了！	寿诗	李敖《好事近》	李敖给胡适六十八岁生日的小词，写得轻快诙谐。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　哈哈笑声里，\n\n　　六十八岁来到，\n\n　　看你白头少年，\n\n　　一点都不老。\n\n　　寿星说话不妨多，\n\n　　喝酒可要少，\n\n　　不然太太晓得，\n\n　　那可不得了！
LAHSYW-004	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	29	29	凡能做打油诗的，才可以做好诗。	诗论格言	胡适回信	胡适回李敖生日诗时对打油诗与好诗关系的幽默判断。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　谢谢你送我的生日诗！（你把“喝酒”写作“渴酒”了。）我常说，凡能做打油诗的，才可以做好诗。你这首诗可以算是成功的打油诗，可以预测你做白话诗的前途。
LAHSYW-005	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	39	41	南港山边吹寿风，一吹吹上一老翁，六十九年真好过，今天又要做寿星。	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第一首，写南港寿风与寿星。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　南港山边吹寿风，一吹吹上一老翁，\n\n　　六十九年真好过，今天又要做寿星。
LAHSYW-006	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	45	47	昨晚读书到三更，“动手动脚”大用功，野鸡报晓才睡觉，不梦周公梦任公。	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第二首，以读书到三更写胡适勤读与旧友。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　昨晚读书到三更，“动手动脚”大用功，\n\n　　野鸡报晓才睡觉，不梦周公梦任公。
LAHSYW-007	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	51	53	怀疑直疑到王充，橘汁喝下谈笑生，有人愈老愈顽固，院长愈老愈年轻。	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第三首，以王充、怀疑精神和老而年轻作寿意。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　怀疑直疑到王充，橘汁喝下谈笑生，\n\n　　有人愈老愈顽固，院长愈老愈年轻。
LAHSYW-008	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	57	59	“人生七十古来稀”，“旧梦”应该梦老妻，卫生麻将随处打，纽约却闹三缺一。	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第四首，借古句和家庭生活写诙谐寿意。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　“人生七十古来稀”，“旧梦”应该梦老妻，\n\n　　卫生麻将随处打，纽约却闹三缺一。
LAHSYW-009	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	63	65	博士虽老却多情：情书常到纽约城，半日独做骨牌戏，“一生梦想大光明”。	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第五首，写胡适晚年情趣与乐观。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　博士虽老却多情：情书常到纽约城，\n\n　　半日独做骨牌戏，“一生梦想大光明”。
LAHSYW-010	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	69	71	高才经济在从容，大刀阔斧不雕虫，杀鸡何须屠龙手？垂老应知莫“拷红”。	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第六首，以大才不雕虫写胡适气度。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　高才经济在从容，大刀阔斧不雕虫，\n\n　　杀鸡何须屠龙手？垂老应知莫“拷红”。
LAHSYW-011	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	75	77	四十年来做文雄，但求立异不求同，佛法无边难清算，故国胡适有“幽灵”。	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第七首，写胡适文名与立异精神。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　四十年来做文雄，但求立异不求同，\n\n　　佛法无边难清算，故国胡适有“幽灵”。
LAHSYW-012	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	81	83	拥护科学不谈玄：研究和尚不参禅，洋房明镜笑白发，如此新派老少年！	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第八首，写科学态度与新派老少年。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　拥护科学不谈玄：研究和尚不参禅，\n\n　　洋房明镜笑白发，如此新派老少年！
LAHSYW-013	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	93	95	大笔蓝天抹彩霞，右臂写得有点麻，年轻“努力向上跑”；年老仍然向前爬。	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第十首，把早年努力与晚年奋进连在一起。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　大笔蓝天抹彩霞，右臂写得有点麻，\n\n　　年轻“努力向上跑”；年老仍然向前爬。
LAHSYW-014	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	99	101	当年提倡写白话，四十年来不变卦，真理自古要辩驳，哪能缩头怕挨骂？	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第十一首，写白话与辩驳真理的精神。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　当年提倡写白话，四十年来不变卦，\n\n　　真理自古要辩驳，哪能缩头怕挨骂？
LAHSYW-015	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	117	119	千篇文字百卷书，又领“风骚”又高呼，“福不唐捐”功须记，圣人自古不空出！	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第十四首，写文字成就与功不唐捐。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　千篇文字百卷书，又领“风骚”又高呼，\n\n　　“福不唐捐”功须记，圣人自古不空出！
LAHSYW-016	胡适与我	给胡适的两首寿诗	001.给胡适的两首寿诗.txt	129	131	不知老来不知愁，垂柳三尺不嫌柔，西风虽笑长条弱，几番风雨鞭高楼。	寿诗	李敖《白话打油诗三十首》	李敖七十寿诗第十六首，以垂柳写老来韧性。	校对轮保守收入：本书大量涉及胡适遗著、论战、党派、宪政、战时外交和现代政治人物；本轮继续排除明显政论、现代政治争辩、政治人物攻防、法律案材料、碎片化场景笑话和过度具体的人物评语，只保留可独立成立的寿诗、古典文句、治学方法、书话格言、语文格言、幽默语和非政治出版/编选格言。	yes	　　不知老来不知愁，垂柳三尺不嫌柔，\n\n　　西风虽笑长条弱，几番风雨鞭高楼。
