action	id	quote_text	source_or_origin	reason
before				校对前条目数：173
add	LAYHS-010	万山不许一溪奔，拦得溪声日夜喧，到得前头山脚尽，堂堂溪水出前村。	杨万里《桂源铺绝句》	李敖讲胡适书杨万里诗赠雷震时引用。
add	LAYHS-014	邻人满墙头，感叹亦歔欷	杜甫《羌村三首》	李敖说明胡适书杜甫诗中省略的两句。
add	LAYHS-023	情人太累，女人太贵	大陆流行俗语	李敖谈情感与情绪控制时转引流行俗语。
add	LAYHS-043	劝君莫惜金缕衣，劝君惜取少年时，花开堪折直须折，莫待无花空折枝。	杜秋娘《金缕衣》	李敖比较赫里克诗意与唐诗时引用。
add	LAYHS-050	白日升天，鸡鸣天上，犬吠云中，唯以鼠恶，留之。	《水经注》唐公房故事	李敖谈逃世与入世时引用唐公房成仙故事。
add	LAYHS-051	孤独的愉悦	爱因斯坦语意	李敖谈自己欣赏的独处生活方式时引用爱因斯坦说法。
add	LAYHS-052	独与天地精神往来	《庄子》语意	李敖用庄子语说明独处境界。
add	LAYHS-059	双眼自将秋水洗，一生不受古人欺。	袁枚诗句	李敖谈破除迷信和传统欺蔽时引用。
add	LAYHS-067	天塌时候，也会捞到天鹅	李敖语	李敖谈英雄与失败时以谐趣格言说明逆境取势。
add	LAYHS-068	有失败，有英雄，但没有什么失败的英雄	李敖语	李敖谈文天祥、史可法一类英雄成败时提出的判断。
add	LAYHS-069	两亿年在你手里，时间已化螺纹	李敖小说诗句	李敖谈鹦鹉螺化石与抽象时间具体化时引用自己的诗句。
add	LAYHS-070	大禹圣者，乃惜寸阴。至于众人，当惜分阴。	《晋书·陶侃传》	李敖谈时间可被具体化表达时引用陶侃语。
add	LAYHS-082	数天涯依然骨肉，几家能够	清人词句	李敖谈乱世离散与骨肉重逢时引用。
add	LAYHS-086	马边悬人头，马后载妇女	蔡琰《悲愤诗》	李敖讲蔡文姬被掳故事时引用《悲愤诗》句。
add	LAYHS-087	不信青春唤不回，不容青史尽成灰。低回海上酬功宴，万里江山酒一杯	于右任诗句	李敖谈保存历史真相时引用于右任诗。
add	LAYHS-090	人生自古谁无死，留取丹心照汗青	文天祥《过零丁洋》	李敖纠正冷欣误把《过零丁洋》句归入《正气歌》时引用。
add	LAYHS-103	童子操笔，所伤为何	李敖改传统成句	李敖把“童子操刀”改成写作语境的诙谐题句。
add	LAYHS-106	至如初学分布，但求平正，既知平正，务追险绝，既能险绝，复规平正，初谓未及，中则过之，后乃通会	孙过庭《书谱》	李敖解释“人书俱老”的书法境界时引用《书谱》。
add	LAYHS-110	天若有情天亦老	李贺诗句	李敖谈大陆官场吟诗传统时引用。
add	LAYHS-111	潮平两岸阔，风正一帆悬	王湾《次北固山下》	李敖谈政治场合吟诗时引用唐诗句。
add	LAYHS-112	海上生明月，天涯共此时	张九龄诗句	李敖谈政治场合吟诗时引用唐诗句。
add	LAYHS-113	高人骑矮驴，老汉骑小驴，不怕驴是驴，就怕人是驴	李敖照片说明	李敖展示犹太教师骑驴照片时引用自己的打油题句。
add	LAYHS-131	群胡同笑，四座并欢	《世说新语》王导故事语意	李敖谈王导口才与鼓舞众人时引用。
