source_file	line	risk	text	context
001.中国史的拨云见日.txt	9	true	“蓝云”是国民党的乌云，国民党核心组织有蓝衣社，故以蓝代表。在这种乌云下，历史只是国民党一党史观下的“獭祭”对象，同时羼进大量的假史料、假解释，弄得处处是谎话，历史老师就是谎话老师，甚至久假不归，还不知自己整天说谎呢！	 /     “蓝云”是国民党的乌云，国民党核心组织有蓝衣社，故以蓝代表。在这种乌云下，历史只是国民党一党史观下的“獭祭”对象，同时羼进大量的假史料、假解释，弄得处处是谎话，历史老师就是谎话老师，甚至久假不归，还不知自己整天说谎呢！ / 
001.中国史的拨云见日.txt	11	true	“红云”是共产党的乌云，共产党尚赤，故以红代表。在这种乌云下，历史变得不像国民党那样粗糙，但却认真得陷入自以为科学的教条中，左派史家一下笔就自谦水平不高，但是在马克思、恩格斯的框框下，水平又如何高得起来？“强史就我”固然可笑，但“强史就马克思、恩格斯”，又比古人高明多少？	 /     “红云”是共产党的乌云，共产党尚赤，故以红代表。在这种乌云下，历史变得不像国民党那样粗糙，但却认真得陷入自以为科学的教条中，左派史家一下笔就自谦水平不高，但是在马克思、恩格斯的框框下，水平又如何高得起来？“强史就我”固然可笑，但“强史就马克思、恩格斯”，又比古人高明多少？ / 
004.中国人的加水思想.txt	5	true	这类笑话，降至国民党统治下的台湾，却也别有实例。台湾跟国民党走的女作家有谢冰莹、男作家有陈纪滢。有一次“中国文艺协会”刊印小册子，把两人的名字弄错，谢冰莹印成谢冰“滢”，陈纪滢印成陈纪“莹”。陈纪滢看了，冒出黄腔一句说：“咦，我身上的水，怎么跑到谢冰莹身上了？”	 / 　　这类笑话，降至国民党统治下的台湾，却也别有实例。台湾跟国民党走的女作家有谢冰莹、男作家有陈纪滢。有一次“中国文艺协会”刊印小册子，把两人的名字弄错，谢冰莹印成谢冰“滢”，陈纪滢印成陈纪“莹”。陈纪滢看了，冒出黄腔一句说：“咦，我身上的水，怎么跑到谢冰莹身上了？” / 
004.中国人的加水思想.txt	7	true	其实这种名字上有水上身的例子，在中国传统上，不但不是手民之误，并且还是国粹之一呢。刘成禺《世载堂杂忆》有《谈前清刑部则例》一条，其中说：“清代犯大辟不赦之罪，犯者本名，如有吉、祥、宏、大字面，文卷中皆为之特加偏旁，凡廷寄、上谕及刑部奏折、通行文告，多照此例。习惯加‘刀’旁、加‘水’旁，如白莲教林青，则加水旁为林清，马新贻案张文祥，为汶祥。太平天国谭绍光、胡以光、赖文光，公文中皆用绍洸、以洸、文洸。洪大全解京凌迟，大字亦上加一点。独对于洪秀全、杨秀清、李秀成、石达开，皆未加偏旁，不知其故。或云：因认为‘罪大恶极’，其原名已通国皆知，如加偏旁，转滋误会也。”由此看来，给大逆不道者名加三点水，已是清朝惯例，故白莲教的林青，就一变而成林清。可叹他无先见之明，不能比照民进党的尤清，先自行加水免罚也。	 / 　　其实这种名字上有水上身的例子，在中国传统上，不但不是手民之误，并且还是国粹之一呢。刘成禺《世载堂杂忆》有《谈前清刑部则例》一条，其中说：“清代犯大辟不赦之罪，犯者本名，如有吉、祥、宏、大字面，文卷中皆为之特加偏旁，凡廷寄、上谕及刑部奏折、通行文告，多照此例。习惯加‘刀’旁、加‘水’旁，如白莲教林青，则加水旁为林清，马新贻案张文祥，为汶祥。太平天国谭绍光、胡以光、赖文光，公文中皆用绍洸、以洸、文洸。洪大全解京凌迟，大字亦上加一点。独对于洪秀全、杨秀清、李秀成、石达开，皆未加偏旁，不知其故。或云：因认为‘罪大恶极’，其原名已通国皆知，如加偏旁，转滋误会也。”由此看来，给大逆不道者名加三点水，已是清朝惯例，故白莲教的林青，就一变而成林清。可叹他无先见之明，不能比照民进党的尤清，先自行加水免罚也。 / 
004.中国人的加水思想.txt	9	true	正因为有这种加水思想，所以推而广之，对大逆不道而名非“通国皆知”者，都一律加水不误。孙中山在革命之初，还没有大名气，所以孙文的名字，就变成孙“汶”。广州起义失败后，在清吏按察使告示及赏格上，就有“孙汶即逸仙，香山县东乡翠微村人。额角不宽，年约二十九岁。花红银一千元”等语，而在前言中，也有“拿获匪犯陆皓东等各名审办，惟尚有首要各匪孙汶等在逃未获，亟应悬赏缉拿，合行出示晓谕”等语，可见一汶再汶，不乏文证。这种告示以外，在内部文件中，也不乏其例。例如光绪朝宫中档第003347号中，就有“此次惠匪起事，实系逆犯孙汶等为首，纠结死党，在香港租界设立同义兴松柏公司，购备洋枪铅药马匹干粮旗帜号衣，招集各路会匪，付给资本银三十万元，分头布置，约期大举”等语；在宣统三年三月十五日两广总督张鸣岐致军机处电文中，也有“温生才供：年四十二岁，实系嘉应州丙村人，前供名生财，顺德县人，均系混供。素充长随，后因出洋学习工艺，投入孙汶革命党，回华后专持暗杀主义”等语。可见文件上予以加水，是很普遍的事。	 / 　　正因为有这种加水思想，所以推而广之，对大逆不道而名非“通国皆知”者，都一律加水不误。孙中山在革命之初，还没有大名气，所以孙文的名字，就变成孙“汶”。广州起义失败后，在清吏按察使告示及赏格上，就有“孙汶即逸仙，香山县东乡翠微村人。额角不宽，年约二十九岁。花红银一千元”等语，而在前言中，也有“拿获匪犯陆皓东等各名审办，惟尚有首要各匪孙汶等在逃未获，亟应悬赏缉拿，合行出示晓谕”等语，可见一汶再汶，不乏文证。这种告示以外，在内部文件中，也不乏其例。例如光绪朝宫中档第003347号中，就有“此次惠匪起事，实系逆犯孙汶等为首，纠结死党，在香港租界设立同义兴松柏公司，购备洋枪铅药马匹干粮旗帜号衣，招集各路会匪，付给资本银三十万元，分头布置，约期大举”等语；在宣统三年三月十五日两广总督张鸣岐致军机处电文中，也有“温生才供：年四十二岁，实系嘉应州丙村人，前供名生财，顺德县人，均系混供。素充长随，后因出洋学习工艺，投入孙汶革命党，回华后专持暗杀主义”等语。可见文件上予以加水，是很普遍的事。 / 
004.中国人的加水思想.txt	11	true	《破涕录》有这样一段：“曾记前清时，当孙氏之初出亡，清政府行文通缉，于孙氏之名，皆加一水旁，书作汶字，盖本作史者之惯例，凡对于大逆不道者之名，必加水旁以示区别；若记外国人之译名，则加口旁也。其时日本大阪适有华裔商姓孙名淦者，为驻日公使某所侦知，以为必是孙汶之弟兄，拘之，既察知该商为上海人，与孙氏实不相干，始释之。此一牵涉，尤为匪夷所思。”可见姓名加水，加到后来，竟有糊涂大官人以为孙汶是本名了。中国人加水思想之泛滥，竟可荒唐到这种程度了。	 / 　　《破涕录》有这样一段：“曾记前清时，当孙氏之初出亡，清政府行文通缉，于孙氏之名，皆加一水旁，书作汶字，盖本作史者之惯例，凡对于大逆不道者之名，必加水旁以示区别；若记外国人之译名，则加口旁也。其时日本大阪适有华裔商姓孙名淦者，为驻日公使某所侦知，以为必是孙汶之弟兄，拘之，既察知该商为上海人，与孙氏实不相干，始释之。此一牵涉，尤为匪夷所思。”可见姓名加水，加到后来，竟有糊涂大官人以为孙汶是本名了。中国人加水思想之泛滥，竟可荒唐到这种程度了。 / 
005.中国人的贪污思想.txt	5	true	中国人的贪污分三大类：一类是贪得无厌型，一类是政治作用型，一类是应付开支型。	 / 　　中国人的贪污分三大类：一类是贪得无厌型，一类是政治作用型，一类是应付开支型。 / 
005.中国人的贪污思想.txt	9	true	政治作用型是指贪污避祸，根本不是要贪污，只是消弭人主的猜忌。汉朝萧何“多买田地、贱贳贷以自污”“贱强买民田宅数千万”，目的无他，意在告诉汉高帝我无大志，只是爱钱耳；宋朝石守信被“杯酒释兵权”后，“专务聚敛，集财巨万”“募民辇瓦木，驱迫甚急，而佣值不给”，目的也无他，意在告诉宋太祖我无大志，只是爱钱耳。……这样有意的贪污自污，当事人实非爱钱，但是格于人主，不得不爱它一下。此类政治作用的贪污，有的甚至是奉命的。南唐以五万两银子贿赂宋朝赵普，人主却说“此不可不受”，最后南唐派本家老弟来朝，人主除赏赐以外，秘密送来红包，打开一看，数目正与五万两银子相等！可见奉命贪污，可作为人主明察秋毫的政治作用，贪污之为用，亦大矣哉！	 / 　　政治作用型是指贪污避祸，根本不是要贪污，只是消弭人主的猜忌。汉朝萧何“多买田地、贱贳贷以自污”“贱强买民田宅数千万”，目的无他，意在告诉汉高帝我无大志，只是爱钱耳；宋朝石守信被“杯酒释兵权”后，“专务聚敛，集财巨万”“募民辇瓦木，驱迫甚急，而佣值不给”，目的也无他，意在告诉宋太祖我无大志，只是爱钱耳。……这样有意的贪污自污，当事人实非爱钱，但是格于人主，不得不爱它一下。此类政治作用的贪污，有的甚至是奉命的。南唐以五万两银子贿赂宋朝赵普，人主却说“此不可不受”，最后南唐派本家老弟来朝，人主除赏赐以外，秘密送来红包，打开一看，数目正与五万两银子相等！可见奉命贪污，可作为人主明察秋毫的政治作用，贪污之为用，亦大矣哉！ / 
005.中国人的贪污思想.txt	11	true	应付开支型是指贪污原因，根本在入不敷出。有趣的是，这种入不敷出，并不以小官穷吏为然，封疆大吏也一样。在后魏时代，根本没有官禄之制。清官贫苦异常。如高允住草屋、吃盐菜，儿子要采樵自给，才能活命。到了明清，也好不到哪儿去。明朝广西道御史刘准，由进士授官，月支俸米一石五斗，不能养活母亲妻小。到了清朝，总督年俸不过一百八十两、巡抚年俸不过一百五十五两，都不能活。雍正创制“养廉银”救命，但是行之既久，物价上升，其廉也未易养，再加上财政拮据，“养廉银”也停支或削减，发挥不了作用。政府方面，一方面养廉，一方面贪污，最明显的是卖官鬻爵，做官要捐，才有官做。并且越捐越不值钱。一个知县（县太爷），在乾隆时要捐四千六百两才能做，到了光绪时，只消二千六百两就成了。照许世英的回忆，一名小京官的官俸是纹银七十两，但可分到“印结费”三十两。“印结费”就是捐官晋京朝见时的“孝敬”。晋京朝见，必须同乡京官用印具结作保，被保的人，一律要出钱，汇集起来，由同乡京官公分。因为京中开支大，必须贪外官之污，而羊毛出在羊身上，外官不贪污，也不能活。于是贿赂公行，满朝皆贪污。可见这种公然的贪污，是制度使然。制度使中国人不以贪污为耻、制度腐化了世道人心。	 / 　　应付开支型是指贪污原因，根本在入不敷出。有趣的是，这种入不敷出，并不以小官穷吏为然，封疆大吏也一样。在后魏时代，根本没有官禄之制。清官贫苦异常。如高允住草屋、吃盐菜，儿子要采樵自给，才能活命。到了明清，也好不到哪儿去。明朝广西道御史刘准，由进士授官，月支俸米一石五斗，不能养活母亲妻小。到了清朝，总督年俸不过一百八十两、巡抚年俸不过一百五十五两，都不能活。雍正创制“养廉银”救命，但是行之既久，物价上升，其廉也未易养，再加上财政拮据，“养廉银”也停支或削减，发挥不了作用。政府方面，一方面养廉，一方面贪污，最明显的是卖官鬻爵，做官要捐，才有官做。并且越捐越不值钱。一个知县（县太爷），在乾隆时要捐四千六百两才能做，到了光绪时，只消二千六百两就成了。照许世英的回忆，一名小京官的官俸是纹银七十两，但可分到“印结费”三十两。“印结费”就是捐官晋京朝见时的“孝敬”。晋京朝见，必须同乡京官用印具结作保，被保的人，一律要出钱，汇集起来，由同乡京官公分。因为京中开支大，必须贪外官之污，而羊毛出在羊身上，外官不贪污，也不能活。于是贿赂公行，满朝皆贪污。可见这种公然的贪污，是制度使然。制度使中国人不以贪污为耻、制度腐化了世道人心。 / 
005.中国人的贪污思想.txt	13	true	国民党调查局在2月1日成立了肃贪处，准备大举惩治贪污，我看了很好笑。中国人惩贪，从明太祖剥皮到国民党戡乱时期贪污治罪条例的死刑条款，何代不严？但贪污之事，何代无之？根本的原因很多，在政府方面，制度上必须修正两点，方有起色。第一是监督工作，不能出自政府本身；第二是薪金给付，必须合乎情理。例如公教人员房租津贴每月七百元，这种数目，连间厕所都租不到，如何养廉？这样开玩笑，人不贪污，其可得乎？	 / 　　国民党调查局在2月1日成立了肃贪处，准备大举惩治贪污，我看了很好笑。中国人惩贪，从明太祖剥皮到国民党戡乱时期贪污治罪条例的死刑条款，何代不严？但贪污之事，何代无之？根本的原因很多，在政府方面，制度上必须修正两点，方有起色。第一是监督工作，不能出自政府本身；第二是薪金给付，必须合乎情理。例如公教人员房租津贴每月七百元，这种数目，连间厕所都租不到，如何养廉？这样开玩笑，人不贪污，其可得乎？ / 
