action	id	source_file	line_range	quote_text	reason
add	LAWHBY-061	016.复仇——不共戴天.txt	15-15	父不受诛，子复仇可也；父受诛，子复仇，推刃之道也。	补收《公羊传》复仇界限语。
add	LAWHBY-062	016.复仇——不共戴天.txt	17-17	调人掌司万民之难而谐和之。	补收《周礼》调人制度名句。
add	LAWHBY-063	016.复仇——不共戴天.txt	17-17	仇若在九夷之东、八蛮之南、六戎之西、五狄之北，虽有至孝之心，能往讨之乎？	补收郑玄答赵商语，说明复仇规范的柔性处理。
add	LAWHBY-068	018.豸.txt	15-15	懈豸神羊，能别曲直，楚王尝获之，故以为冠	补收獬豸与法冠典故。
add	LAWHBY-069	018.豸.txt	17-17	卿不识字。	补收《朝野佥载》法史笑谈中的问句。
add	LAWHBY-070	018.豸.txt	17-17	獬豸岂识字？但为国触罪人而已。	补收《朝野佥载》法史笑谈中的答句。
add	LAWHBY-071	018.豸.txt	19-19	不直之臣，兽即触之。	补收《云笈七签》獬豸触不直之臣传说。
add	LAWHBY-072	018.豸.txt	21-21	庶有豸乎？	补收《左传》豸字训诂例。
add	LAWHBY-073	018.豸.txt	21-21	豸，止也。	补收《日知录》训诂语。
add	LAWHBY-074	019.洋麒麟.txt	7-7	其他动物莫之能御，但只有处女能生擒之	补收中古独角兽传说要句。
add	LAWHBY-075	019.洋麒麟.txt	7-7	头枕处女大腿之日，即化刚为柔之时。	补收李敖概括独角兽传说的格言式句子。
add	LAWHBY-076	019.洋麒麟.txt	9-9	洋麒麟友于之处，处女在焉；中国麒麟敌触之人，人犯在焉。	补收中西独角兽/獬豸比较句。
add	LAWHBY-077	019.洋麒麟.txt	11-11	亚细亚洲印度国产独角兽，形大如马，极轻快，毛色黄、头有角，长四五尺，其色明，做饮器，能解毒。	补收《坤舆图说》独角兽文献记载。
add	LAWHBY-078	019.洋麒麟.txt	13-13	横看成囚，纵看却是自由。	补收李敖释独角兽诗意的格言句。
add	LAWHBY-082	020.立肺石.txt	21-21	肺石，赤石也。	补收郑玄肺石注。
add	LAWHBY-083	020.立肺石.txt	21-21	谓必使之坐赤石者，使之赤心，不妄告也。	补收贾公彦肺石疏。
add	LAWHBY-084	020.立肺石.txt	21-21	肺主声，所以达其冤也。	补收凌杨藻转述肺石解释。
add	LAWHBY-121	034.论“不敢毁伤”.txt	13-13	非为痛，身、体、发、肤，不敢毁伤，是以啼耳！	补收《世说新语》范宣不敢毁伤语。
add	LAWHBY-131	035.“生稊”与“生华”.txt	19-19	老过则枯、少过则稚者，老之太过则枯槁、少之太过则幼稚也。以老分少，则稚者长也；以稚分老，则枯者荣也。	补收《易经》注疏解释生稊之象。
add	LAWHBY-132	035.“生稊”与“生华”.txt	21-21	其衰老虽被拯救，其益少也。	补收《易经》注疏解释老妇得士夫。
add	LAWHBY-152	044.直不疑与隽不疑.txt	9-9	毁誉听之于人、是非存之于己	补收李敖评直不疑的格言式概括。
