id	source_file	line_start	line_end	present	political_hits	quote_text
LAJJCS-001	001.蒋宋美龄的一个错误.txt	3	3	yes		似是而非
LAJJCS-002	002.蒋夫人未婚夫小史.txt	21	21	yes		爱屋及乌
LAJJCS-003	002.蒋夫人未婚夫小史.txt	21	21	yes		红颜未嫁身先丧，长使鳏夫泪满襟
LAJJCS-004	002.蒋夫人未婚夫小史.txt	25	25	yes		请于湘丈，得以越礼侍奉者数夕
LAJJCS-005	002.蒋夫人未婚夫小史.txt	35	35	yes		满坑满谷
LAJJCS-006	002.蒋夫人未婚夫小史.txt	35	35	yes		粥少僧多
LAJJCS-007	002.蒋夫人未婚夫小史.txt	37	37	yes		国步尚多艰，公不少留，太息前途演荆棘
LAJJCS-008	002.蒋夫人未婚夫小史.txt	37	37	yes		泰山今失望，吾将安仰？恪遵遗训慎行藏
LAJJCS-009	002.蒋夫人未婚夫小史.txt	49	49	yes		横刀夺爱
LAJJCS-010	002.蒋夫人未婚夫小史.txt	49	49	yes		驾轻就熟
LAJJCS-011	002.蒋夫人未婚夫小史.txt	49	49	yes		事半功倍
LAJJCS-012	005.关于“蒋经国致生母信”.txt	27	27	yes		明察秋毫
LAJJCS-013	005.关于“蒋经国致生母信”.txt	27	27	yes		言不由衷
LAJJCS-014	006.蒋经国奉共产党之命不做共产党.txt	21	21	yes		单刀直入
LAJJCS-015	006.蒋经国奉共产党之命不做共产党.txt	67	67	yes		天渊之别
LAJJCS-016	006.蒋经国奉共产党之命不做共产党.txt	81	81	yes		口口声声
LAJJCS-017	006.蒋经国奉共产党之命不做共产党.txt	83	83	yes		踌躇再三
LAJJCS-018	006.蒋经国奉共产党之命不做共产党.txt	83	83	yes		情词恳切
LAJJCS-019	007.蒋经国怎样在赣南开溜？.txt	11	11	yes		先天下之跑而跑
LAJJCS-020	007.蒋经国怎样在赣南开溜？.txt	17	17	yes		一败千里
LAJJCS-021	007.蒋经国怎样在赣南开溜？.txt	19	19	yes		忧心忡忡
LAJJCS-022	007.蒋经国怎样在赣南开溜？.txt	31	31	yes		胸有成竹
LAJJCS-023	007.蒋经国怎样在赣南开溜？.txt	55	55	yes		冠冕堂皇
LAJJCS-024	007.蒋经国怎样在赣南开溜？.txt	55	55	yes		光风霁月
LAJJCS-025	007.蒋经国怎样在赣南开溜？.txt	57	57	yes		言中有言
LAJJCS-026	007.蒋经国怎样在赣南开溜？.txt	65	65	yes		慷慨激昂，声泪俱下
LAJJCS-027	007.蒋经国怎样在赣南开溜？.txt	67	67	yes		兵临城下
LAJJCS-028	007.蒋经国怎样在赣南开溜？.txt	69	69	yes		众口一辞
LAJJCS-029	007.蒋经国怎样在赣南开溜？.txt	77	77	yes		无可奈何
LAJJCS-030	007.蒋经国怎样在赣南开溜？.txt	79	79	yes		停锣住鼓
LAJJCS-031	007.蒋经国怎样在赣南开溜？.txt	83	83	yes		措手不及
LAJJCS-032	007.蒋经国怎样在赣南开溜？.txt	83	83	yes		溜之大吉
LAJJCS-033	007.蒋经国怎样在赣南开溜？.txt	83	83	yes		破釜沉舟
LAJJCS-034	007.蒋经国怎样在赣南开溜？.txt	89	89	yes		兵不血刃
LAJJCS-035	009.蒋经国章亚若疑案余波.txt	5	5	yes		显妣章太夫人讳亚若之墓
LAJJCS-036	010.驳蒋纬国论戴传贤.txt	3	3	yes		不忍重违母命，以伤骨肉之情，不获已，仍以长子经国嗣之。
LAJJCS-037	010.驳蒋纬国论戴传贤.txt	3	3	yes		世世子孙，读斯文者，知吾母与吾今日哀其子若弟之苦心，庶奉吾弟祭祀，永永弗替。
LAJJCS-038	010.驳蒋纬国论戴传贤.txt	3	3	yes		亡弟瑞青，讳周传，年四岁而夭，母哀之甚，欲勿殇命，以周泰长子经国嗣
LAJJCS-039	010.驳蒋纬国论戴传贤.txt	7	7	yes		油尽灯枯
LAJJCS-040	010.驳蒋纬国论戴传贤.txt	9	9	yes		为贤者讳、为尊者讳、为亲者讳
LAJJCS-041	011.拥戴杂写.txt	3	3	yes		你看像几岁，就几岁。
LAJJCS-042	011.拥戴杂写.txt	3	3	yes		你看像谁儿子，就是谁儿子
LAJJCS-043	011.拥戴杂写.txt	9	9	yes		放荡不羁
LAJJCS-044	011.拥戴杂写.txt	11	11	yes		男女问题，是生死关头！
LAJJCS-045	011.拥戴杂写.txt	11	11	yes		认假作真
LAJJCS-046	013.蒋纬国和谁乱伦？.txt	9	9	yes		初试云雨情
LAJJCS-047	014.蒋纬国是东吴大学物理系毕业的吗？.txt	5	5	yes		唯斯人而有斯疾
LAJJCS-048	014.蒋纬国是东吴大学物理系毕业的吗？.txt	5	5	yes		有其父必有其子
LAJJCS-049	014.蒋纬国是东吴大学物理系毕业的吗？.txt	15	15	yes		皇天不负苦心人
LAJJCS-050	016.陈平景上穷碧落下黄泉，许以祺动手动脚找东西.txt	1	1	yes		上穷碧落下黄泉
