id	source_file	line_start	line_end	category	source_or_origin	quote_text	summary
LAYJJ-001	001.19601027军队演讲.txt	19	19	古典格言	汉代故事	为政不在多言，顾力行何如耳。	李敖讲实践诚实荣誉时引古人答语。
LAYJJ-002	003.19890414李敖来台40周年演讲.txt	37	37	唐诗	杜甫《石壕吏》	暮投石壕村，有吏夜捉人	李敖讲抓丁时引用杜甫诗。
LAYJJ-003	003.19890414李敖来台40周年演讲.txt	37	37	唐诗	杜甫《石壕吏》	老翁逾墙走，老妇出看门	李敖继续引《石壕吏》并说明字句。
LAYJJ-004	003.19890414李敖来台40周年演讲.txt	37	37	唐诗	杜甫《石壕吏》	出入无完裙	李敖引《石壕吏》说明无衣之苦。
LAYJJ-005	003.19890414李敖来台40周年演讲.txt	39	39	唐诗	白居易《新丰折臂翁》	云南望乡鬼	李敖讲避兵故事时引用白居易诗句。
LAYJJ-006	003.19890414李敖来台40周年演讲.txt	93	93	古典文句	《论语》	子不语怪力乱神	李敖批评公开谈迷信时引孔子语。
LAYJJ-007	003.19890414李敖来台40周年演讲.txt	161	161	儒家格言	《孟子》	穷则独善其身，达则兼济天下。	李敖回答听众时引用儒家处世语。
LAYJJ-008	004.19901029李敖全美华人协会颁奖典礼录音演讲.txt	21	21	古典诗句	文天祥《正气歌》	在齐太史简，在晋董狐笔	李敖讲董狐笔时引用《正气歌》。
LAYJJ-009	004.19901029李敖全美华人协会颁奖典礼录音演讲.txt	23	23	古典文句	《史记》赵氏孤儿故事	立孤与死孰难？	李敖讲赵氏孤儿时引公孙杵臼语。
LAYJJ-010	004.19901029李敖全美华人协会颁奖典礼录音演讲.txt	23	23	古典文句	《史记》赵氏孤儿故事	死易，立孤难耳！	李敖讲赵氏孤儿时引程婴答语。
LAYJJ-011	004.19901029李敖全美华人协会颁奖典礼录音演讲.txt	23	23	古典文句	《史记》赵氏孤儿故事	赵氏先君遇子厚，子强为其难者，吾为其易者，请先死。	李敖讲程婴、公孙杵臼分任难易时引用。
LAYJJ-012	005.1992年李敖社会大学演讲.txt	35	35	儒家格言	《孟子》	虽有镃基，不如待时；虽有智慧，不如乘势。	李敖借《孟子》说明智慧与时势的关系。
LAYJJ-013	006.19990509李敖来台50周年演讲.txt	211	211	史传格言	《史记·管晏列传》	化祸而为福，转败而为功	李敖谈机会主义时引管子本领。
LAYJJ-014	006.19990509李敖来台50周年演讲.txt	215	215	宋诗	陆游诗句	樽前作剧莫相笑，我死诸君思我狂	李敖演讲结尾引用陆游诗。
LAYJJ-015	006.19990509李敖来台50周年演讲.txt	219	219	清诗	龚自珍诗句	故人有子尚饘粥，抱君等身大著作	李敖展示《李敖大全集》时引龚自珍诗。
LAYJJ-016	010.19991110李敖中山大学演讲.txt	19	19	近代诗句	黄遵宪《台湾行》	一轮红日当空高，千家白旗随风飘。搢绅耆老相招邀，夹跪道旁俯折腰。	李敖讲甲午后台湾情形时引用黄遵宪诗。
LAYJJ-017	012.19991121李敖花莲演讲.txt	43	43	儒家格言	孔孟思想	死生有命，富贵在天	李敖谈宿命、造命、正命时引用。
LAYJJ-018	012.19991121李敖花莲演讲.txt	43	43	儒家格言	《孟子》	舜何人也，予何人也，有为者亦若是	李敖说明儒家也重视努力时引用。
LAYJJ-019	012.19991121李敖花莲演讲.txt	43	43	儒家格言	《孟子》	君子不立于岩墙之下	李敖谈防患避祸时引用。
LAYJJ-020	013.19991123李敖淡江大学演讲.txt	59	59	李敖广告语	李敖为花园新城所写广告词	不是花园在你家里，是你家在花园里。	李敖用作一流中文表达的例子。
LAYJJ-021	013.19991123李敖淡江大学演讲.txt	59	59	李敖格言	李敖自评	五十年来和五百年内，中国人写白话文的前三名是——李敖，李敖，李敖。	李敖说明自己广告式自评的语言效果。
LAYJJ-022	013.19991123李敖淡江大学演讲.txt	61	61	宋诗	王安石《泊船瓜洲》	春风又绿江南岸，明月何时照我还	李敖讲中文动词化与炼字时引用。
LAYJJ-023	013.19991123李敖淡江大学演讲.txt	61	61	宋词	岳飞《满江红》	莫等闲、白了少年头，空悲切	李敖说明形容词作动词时引用。
LAYJJ-024	013.19991123李敖淡江大学演讲.txt	61	61	宋词	蒋捷词句	红了樱桃，绿了芭蕉	李敖说明中文活用时引用。
LAYJJ-025	013.19991123李敖淡江大学演讲.txt	61	61	古文	欧阳修《醉翁亭记》	临溪而渔，溪深而鱼肥，酿泉为酒，泉香而酒洌	李敖讲欧阳修炼句时引用今本。
LAYJJ-026	013.19991123李敖淡江大学演讲.txt	61	61	古文异文	欧阳修《醉翁亭记》旧刻异文	酒洌而泉香	李敖讲欧阳修改句时引用旧文。
LAYJJ-027	013.19991123李敖淡江大学演讲.txt	65	65	李敖歌词	李敖《忘了我是谁》	不看你的眼，不看你的眉，看了心里都是你，忘了我是谁。	李敖谈自作歌词的简练表达。
LAYJJ-028	018.19991208李敖文化大学演讲.txt	23	45	李敖歌词	李敖《只爱一点点》	不爱那么多，只爱一点点。别人的爱情像海深，我的爱情浅。不爱那么多，只爱一点点。别人的爱情像天长，我的爱情短。不爱那么多，只爱一点点。别人眉来又眼去，我只偷看你一眼。	李敖在文化大学演讲中朗读自作歌词。
LAYJJ-029	022.19991221李敖中兴大学演讲.txt	15	15	儒家格言	《孟子》	虽千万人吾往矣！	李敖回忆改革丧礼时引用勇气之语。
LAYJJ-030	022.19991221李敖中兴大学演讲.txt	17	17	现代诗句	鲁迅诗句	横眉冷对千夫指	李敖谈突破观念时引用鲁迅诗。
LAYJJ-031	024.19991229李敖交通大学演讲.txt	63	63	儒家文句	《论语》	知之为知之，不知为不知，是知也	李敖回答学生时引用孔子语并重新解释求知态度。
