id	file	line_start	line_end	chapter	category	quote_text	source_or_origin	summary	notes
LACMHO-001	003.晚节不保的青年党.txt	13	13	晚节不保的青年党	古人诗句	公自平生怀直气，谁能晚节负初心	古人诗句	李敖借古诗批评李璜晚节不保。	
LACMHO-002	005.陈立夫不是CC吗？.txt	21	21	陈立夫不是CC吗？	古人诗句	上都新事常先到，老圃闲谈未易欺。	古人诗句	李敖借诗句说明博读旁引可破传闻欺饰。	
LACMHO-003	008.跋孙铭九给张学良和李敖的照片.txt	79	79	跋孙铭九给张学良和李敖的照片	古人传信语	浮者自浮、沉者自沉	古人传信旧语	李敖以古人传信语反衬自己公开印行文字的传信方式。	
LACMHO-004	009.何柱国两篇《西安事变前后的张学良》书后.txt	9	9	何柱国两篇《西安事变前后的张学良》书后	题赠短语	再生之德	何柱国题银盾语	何柱国以四字题赠纪念杨虎城相救之德。	
LACMHO-005	011.《张学良研究》前言.txt	9	9	《张学良研究》前言	宗教经典句	我为他已丢弃万事看作粪土。	《腓立比书》	张学良引用保罗书信表达宗教心境。	
LACMHO-006	011.《张学良研究》前言.txt	9	9	《张学良研究》前言	宗教经典句	忘记背后，努力面前的，向着标杆直跑，要得上帝在耶稣基督里从上面召我来得的奖赏。	《腓立比书》	张学良引用保罗书信说明忘记过去、向前奔跑的信仰态度。	
LACMHO-007	015.别窝囊张学良了！.txt	13	13	别窝囊张学良了！	宗教经典句	在罪人中我是个罪魁	保罗书信	李敖指出张学良再引保罗之言表达宗教层次。	
LACMHO-008	018.吁请张学良先生.txt	5	11	吁请张学良先生	近人诗句	冲绳岛上话南菁，\n海浪天风不解听。\n乞与人间留纪录，\n当年侪辈剩先生。	胡适口占诗	胡适在冲绳岛上口占诗，劝钮永建留下历史记录。	
LACMHO-009	018.吁请张学良先生.txt	23	23	吁请张学良先生	古人诗句	公自平生怀直气，谁能晚节负初心！	古人诗句	李敖再次引用古诗，吁请张学良保持晚节、公布真相。	
LACMHO-010	020.“扬眉”不够，“吐气”才算.txt	15	15	“扬眉”不够，“吐气”才算	古人诗句	此度见花枝，白头誓不归	古人诗句	李敖借古诗寄望张学良以行动吐气。	
