decision	id	source_file	line_range	category	quote_text	reason
keep	LALTRS-001	《李敖书信集》自序.txt	5-5	李敖自述格言	吾心所是，却老而弥笃	以老而弥笃概括心志不改。
keep	LALTRS-002	《李敖书信集》自序.txt	5-5	李敖自述短语	异端性格与独立气概	概括自我性格。
keep	LALTRS-003	《李敖书信集》自序.txt	7-7	古人格言	不诚之事，不可为之。	以诚为行事底线。
keep	LALTRS-004	《李敖书信集》自序.txt	7-7	李敖书信格言	可以告人以诚	以坦然存诚概括书信。
keep	LALTRS-005	003.才吏自扰.txt	11-13	古诗句	本来无事只畏扰，\n扰者才吏非庸人！	以才吏自扰写善意扰人。
keep	LALTRS-008	003.才吏自扰.txt	15-15	成语	庸人自扰	和才吏自扰对举。
keep	LALTRS-009	003.才吏自扰.txt	15-15	李敖化用短语	才吏自扰	指出能吏也会扰人。
keep	LALTRS-010	003.才吏自扰.txt	15-15	李敖警句	真正俯仰无愧的人，才会为他们的善良和守“正”不阿（他们以为的“正”），而制造出悲剧！	提醒善意和自信也可能造成悲剧。
keep	LALTRS-011	005.一个作家的反叛.txt	5-5	古人格言	不为酒饮，乃为醉饮	写饮酒重在醉意。
keep	LALTRS-012	005.一个作家的反叛.txt	33-33	李敖写作格言	受过良好思想方法训练的人，该先学会想得清楚、写得简单。	强调思考清楚、表达简单。
keep	LALTRS-013	005.一个作家的反叛.txt	33-33	李敖写作格言	过度地想和写，会使一个人糊涂而入迷津。	提醒过度自我沉溺会伤害表达。
keep	LALTRS-014	007.论识货.txt	17-17	小说名句	这腔热血只要卖与识货的！	写知己识货时的热血相托。
keep	LALTRS-015	007.论识货.txt	17-17	人物俗语	人家利用我，是看得起我。	以自嘲姿态看待被利用。
keep	LALTRS-016	007.论识货.txt	29-29	小说俗语	人生一世，草生一秋！	以草木一秋感叹人生短暂。
keep	LALTRS-017	007.论识货.txt	29-29	小说豪语	水里水里去！火里火里去！	写为识己者赴汤蹈火。
keep	LALTRS-018	007.论识货.txt	29-29	小说豪语	若能够见用得一日，便死了开眉展眼！	写一日见用也无憾。
keep	LALTRS-019	007.论识货.txt	31-31	小说人物语	我弟兄三个真真实实地并没半点儿假！	写赤诚无伪。
keep	LALTRS-021	012.我为什么“战斗性隐居”？.txt	11-11	李敖读史短语	诸葛亮写《出师表》，我们只看到他明谏之切，却没看到他隐痛之深。	从《出师表》读出隐痛。
keep	LALTRS-022	012.我为什么“战斗性隐居”？.txt	13-13	古典成语	宁静致远	写孤独宁静的志趣。
keep	LALTRS-023	012.我为什么“战斗性隐居”？.txt	13-13	李敖自述格言	一心想把自己的生命支付在最该我做的事情上。	强调把余生投入要事。
keep	LALTRS-024	012.我为什么“战斗性隐居”？.txt	17-17	李敖人生格言	只有这样“不近人情”，我才能好好把握住余生，做对自己最能尽其才、做对世人最有益的事。	以自律换取余生的才用。
keep	LALTRS-025	017.兔唇与真理.txt	5-5	李敖化用诗句	一年不易又中秋	把中秋易逝改写为艰难度日。
keep	LALTRS-026	017.兔唇与真理.txt	5-5	李敖人生格言	受难的人有受难的人的活法	写艰难处境中的活法。
keep	LALTRS-027	017.兔唇与真理.txt	5-5	古文成句	苦其心志	以磨练心志解释艰苦。
keep	LALTRS-028	017.兔唇与真理.txt	5-5	李敖人生格言	人生的艰苦对他说来，绝对得可偿失、绝对值回票价。	把艰苦视为值得的经验。
keep	LALTRS-029	017.兔唇与真理.txt	7-7	民间神话语	我月亮是死而复生的，我同样的，也叫人类死而复生。	月亮托兔传话中的复生之语。
keep	LALTRS-030	017.兔唇与真理.txt	7-7	民间神话语	我月亮是死而不复生的，我同样的，也教人类死而不复生。	兔子误传后的死亡之语。
keep	LALTRS-031	017.兔唇与真理.txt	9-9	李敖人生格言	兔儿爷纵使错误，也该是对的。	以传错真理的故事写错误与正确。
keep	LALTRS-032	017.兔唇与真理.txt	9-9	李敖人生格言	小市民的人生是缺少真理的，男子汉的人生却为真理献身，即使嘴唇给打破，也在所不惜	写为真理承受代价。
keep	LALTRS-033	018.自大者言.txt	5-5	英语习语	from the horse's mouth	指从当事人口中取得消息。
keep	LALTRS-034	018.自大者言.txt	5-5	英语习语	to look a gift horse in the mouth	指挑剔赠礼。
keep	LALTRS-035	018.自大者言.txt	5-5	英语习语	to mount the high horse	指摆出傲慢姿态。
keep	LALTRS-036	018.自大者言.txt	7-7	李敖自述格言	我从无“满脸骄气”，却总有“一身傲骨”。	区分骄气与傲骨。
keep	LALTRS-037	018.自大者言.txt	7-7	李敖自述短语	拒人千里之外，而不拒人于‘千秋’之外	以幽默写隐居与发声。
keep	LALTRS-038	018.自大者言.txt	9-9	李敖人格格言	自大如果变为一种施教或武器，自大是可贵的。	把自大解释为方法。
keep	LALTRS-039	018.自大者言.txt	9-9	古诗句	不畏浮云遮望眼，自缘身在最高层	以高处视野写自许气魄。
keep	LALTRS-040	018.自大者言.txt	9-9	古文成句	诚于中，形于外	写内在诚意自然外现。
keep	LALTRS-043	020.乱世中的一个感想.txt	15-15	人生格言	我的自卫意识远落在求真精神之后。	以求真压过自卫。
keep	LALTRS-044	020.乱世中的一个感想.txt	15-15	人生格言	一个理想主义者常常不免要为他的理想付出这类吃亏的代价的。	写理想主义的代价。
keep	LALTRS-045	020.乱世中的一个感想.txt	15-15	人生格言	我们没有决定性的理由（decisive reason）来断言这个地球上没有真诚的人。	保留对真诚的信念。
keep	LALTRS-046	020.乱世中的一个感想.txt	15-15	交友格言	我们还得在共同的工作里交友。	以共同工作检验朋友。
keep	LALTRS-047	020.乱世中的一个感想.txt	17-17	李敖人生格言	珍惜余生，反求诸自己，做千秋大业	强调把余生转向自我完成。
keep	LALTRS-048	020.乱世中的一个感想.txt	17-17	李敖创作格言	成品是检验真理的唯一标准	以成品检验理念。
keep	LALTRS-049	020.乱世中的一个感想.txt	17-17	交友格言	共同创造出成品，才是朋友的最大意义	把共同创作视为友谊意义。
keep	LALTRS-050	023.做光明磊落的朋友·做光明磊落的敌人.txt	17-17	李敖交友格言	使你过分痛苦的朋友，还是让他去做敌人吧！	以痛苦程度区分友敌。
keep	LALTRS-051	023.做光明磊落的朋友·做光明磊落的敌人.txt	19-19	李敖自述格言	凡夫俗子愈大愈没是非，我却愈大愈是非分明。	写年岁增长后的判断。
keep	LALTRS-052	023.做光明磊落的朋友·做光明磊落的敌人.txt	21-21	李敖道德格言	左右逢源，是一种道德上的软弱	批评无原则圆滑。
keep	LALTRS-053	023.做光明磊落的朋友·做光明磊落的敌人.txt	23-23	李敖交友格言	去像个朋友或去像个敌人，不要什么都不像！	要求关系立场清楚。
keep	LALTRS-054	023.做光明磊落的朋友·做光明磊落的敌人.txt	23-23	李敖交友格言	如果我不能训练朋友如何做朋友，我愿训练敌人如何做敌人。	以锋利语气谈友敌。
keep	LALTRS-055	023.做光明磊落的朋友·做光明磊落的敌人.txt	23-23	李敖自述格言	巨人总是很寂寞的，因为他连个入流的敌人都碰不到。	写巨人与敌手的孤独。
keep	LALTRS-056	023.做光明磊落的朋友·做光明磊落的敌人.txt	23-23	李敖文学化格言	为什么唐吉诃德要同风车作战了——因为配称为他的敌人的朋友太少了！	以唐吉诃德比喻难逢对手。
keep	LALTRS-057	024.别人捧得不够.txt	7-7	文学炼字例	泉洌而酒香	文章炼字的旧稿。
keep	LALTRS-058	024.别人捧得不够.txt	7-7	文学炼字例	泉香而酒洌	文章炼字的改稿。
keep	LALTRS-059	024.别人捧得不够.txt	7-7	李敖文论短语	文章大家认真如此。	赞文章大家认真。
keep	LALTRS-060	024.别人捧得不够.txt	9-9	李敖写作格言	文章写出来，要能读，读得顺、读得有力、读得音色天成。	强调文章朗读的节奏和力量。
keep	LALTRS-061	024.别人捧得不够.txt	13-13	西方诗句	去努力、去追求、去寻找——永不退却，不屈服。	写追求与不屈。
keep	LALTRS-062	024.别人捧得不够.txt	19-19	作家轶语	每当别人捧他，他就不安，因为别人捧得不够	幽默写文豪自负。
keep	LALTRS-063	024.别人捧得不够.txt	23-29	古诗	不是逢人苦誉君，\n亦狂亦侠亦温文，\n照人胆似秦时月，\n送我情如岭上云。	以亦狂亦侠亦温文赞人。
keep	LALTRS-064	025.永怀沈铭三先生.txt	11-11	古话	至德者寿	以德高而寿赞长者。
keep	LALTRS-065	025.永怀沈铭三先生.txt	19-19	读书评语	《呻吟语》是中国正人君子的教科书	以《呻吟语》概括传统人格教材。
keep	LALTRS-066	025.永怀沈铭三先生.txt	19-19	李敖交友格言	我变得喜欢交够朋友的朋友	偏爱旧式厚道的朋友。
keep	LALTRS-067	025.永怀沈铭三先生.txt	19-19	李敖交友格言	我对工业社会里的朋友之道一概不欣赏，我觉得那种友情现实、速成而易消	批评速成易消的友情。
keep	LALTRS-068	025.永怀沈铭三先生.txt	19-19	李敖交友格言	成为我的朋友的，我就忠心耿耿，他们对我也是一样。	写互相忠心的友道。
keep	LALTRS-069	026.天下没有不散的筵席.txt	5-5	俗语	天下没有不散的筵席	写聚散无常。
keep	LALTRS-070	026.天下没有不散的筵席.txt	9-9	古人临终语	久压公等，但恨不见替人！	自谦压住后进、无人接替。
keep	LALTRS-071	028.我为什么不鼓掌？.txt	11-11	李敖文论格言	要维持“不说混话”的水平	把不说混话作为文章水准。
keep	LALTRS-072	029.愈来愈像小偷了.txt	33-33	李敖隐居格言	不闻其声，不见其人，只感到他强大的影响力，由神秘而生到神秘而死，高人出没，当如是也！	写隐居者仍保有影响力。
keep	LALTRS-073	029.愈来愈像小偷了.txt	37-43	西方诗句	I know that he exists;\nSomewhere, in silence,\nHe has hid his rare life\nFrom our gross eyes.	写稀有生命隐于粗俗目光之外。
keep	LALTRS-074	029.愈来愈像小偷了.txt	45-45	李敖自述格言	我会在Somewhere存在，但绝不in silence，要说的话，一句也不会少说	化用诗句写不沉默的存在。
keep	LALTRS-075	032.扳手与玫瑰.txt	7-7	广告标题	扳手与玫瑰	以工具与花象征力量和优雅。
keep	LALTRS-076	032.扳手与玫瑰.txt	7-7	广告标题	The wrench and the rose	英文广告主题。
keep	LALTRS-077	032.扳手与玫瑰.txt	9-13	广告文案	On Iberia Air Lines of Spain the wrench comes first then the rose.\nThe wrench stands for the careful way all Iberia DC - 8 Fan Jets are serviced. It also stands for the skill of Iberia pilots with millions of miles of experience.\nNext in importance is the rose. It represents the gracious way all Iberia people delight inshowing their passengers what Spanish hospitality really means.	以扳手与玫瑰分别代表服务技术和待客优雅。
keep	LALTRS-078	032.扳手与玫瑰.txt	15-15	李敖化用格言	这是“力”与“美”的联合作业。	把广告意象转为力与美的并用。
keep	LALTRS-080	034.“我心里有老虎在闻玫瑰”.txt	25-25	西方诗句	我心里有老虎在闻玫瑰。	以老虎与玫瑰并置刚柔。
keep	LALTRS-081	034.“我心里有老虎在闻玫瑰”.txt	25-25	西方诗句	In me the tiger sniffs the rose.	萨松名句英文原文。
keep	LALTRS-082	040.人见人怕鬼见愁.txt	15-15	思想格言	现在世界最缺乏的是善意与力量的结合，有善意者多无力量，有力量者多无善意	说明善意与力量常分离。
keep	LALTRS-083	041.佛头上与太岁头上.txt	7-7	成语	佛头着粪	比喻污损美好事物。
keep	LALTRS-084	041.佛头上与太岁头上.txt	7-7	成语	太岁头上动土	比喻触犯难惹对象。
keep	LALTRS-085	041.佛头上与太岁头上.txt	7-7	李敖论断格言	每个人都有论断别人的自由，但是不能在错误的事实上加以论断	强调判断必须依事实。
keep	LALTRS-089	048.善有恶报又何妨！.txt	11-11	古文成句	见善如不及，见恶如探汤。	写趋善避恶的急切。
keep	LALTRS-092	048.善有恶报又何妨！.txt	23-23	李敖道德格言	为善本身是自足的，不宜要求善报来成全这一自足	说明为善不应要求回报。
keep	LALTRS-093	048.善有恶报又何妨！.txt	23-23	李敖道德格言	不宜因遭遇恶报而怀疑本身上的善。	强调不因恶报否定善。
keep	LALTRS-094	048.善有恶报又何妨！.txt	27-27	李敖道德格言	善有恶报又何妨！	以反问坚持为善。
keep	LALTRS-095	048.善有恶报又何妨！.txt	27-27	李敖道德格言	只要为善就是最乐了	把为善本身视为快乐。
keep	LALTRS-096	048.善有恶报又何妨！.txt	27-27	李敖道德格言	想在为善以外别有希冀的人，不但毁了善的本身，也将自寻烦恼。	指出善外求报会自寻烦恼。
keep	LALTRS-097	054.迟来的“Ping”.txt	15-15	读者格言	人心常有公理在，只是大家要命地只把它摆在心里	写公理常藏在人心。
keep	LALTRS-098	054.迟来的“Ping”.txt	19-19	读者赠语	我愿中国有不世之才，愿不世之才有不世之作。	盼才与作品相配。
keep	LALTRS-099	054.迟来的“Ping”.txt	37-37	词话评语	稼轩是极有性情人，学稼轩者，胸中须先具一股真气奇气，否则虽纸上奔腾，其中俄空焉。	论学辛弃疾须先有真气奇气。
keep	LALTRS-100	054.迟来的“Ping”.txt	37-37	李敖自述格言	我打遍天下的一“Ping”其实非我之才，而是我之真。	把锋芒归于真性情。
keep	LALTRS-101	056.寿星杂感.txt	7-7	李敖人生格言	花瓶只是花瓶做得，人是不可做花瓶的	以花瓶比喻人不可只作摆设。
keep	LALTRS-102	056.寿星杂感.txt	23-23	西方格言	你只要看一个人的书就好了，不必看他这个人	主张以作品认识作者。
keep	LALTRS-103	056.寿星杂感.txt	23-23	李敖自述格言	我的乐趣就在孤独上面。	把孤独视为乐趣。
keep	LALTRS-104	056.寿星杂感.txt	25-25	李敖英雄格言	英雄豪杰对世态人心，早就有苍茫与大度的了解。	写英雄看透人心仍有大度。
keep	LALTRS-105	056.寿星杂感.txt	25-25	李敖英雄格言	他们还是要在夹道欢呼中或路人啐骂里，走上前去。	写英雄不因褒贬停止前行。
keep	LALTRS-106	056.寿星杂感.txt	27-27	成语	盗亦有道	写盗也有原则。
keep	LALTRS-107	056.寿星杂感.txt	27-27	李敖英雄格言	现代罗宾汉必然以孤独为“人生最大乐趣”了。	把现代侠者的孤独写成乐趣。
keep	LALTRS-108	056.寿星杂感.txt	29-29	西方格言	所有伟大生活都有无趣的阶段。	写伟大生活也有平淡阶段。
keep	LALTRS-109	056.寿星杂感.txt	29-29	西方格言	All great lives have contained uninteresting stretches.	罗素英文原句。
keep	LALTRS-110	056.寿星杂感.txt	29-29	西方格言	伟人的生活除了少数伟大时期外，并无令人兴奋的地方。	写伟人生活多半安静平淡。
keep	LALTRS-111	056.寿星杂感.txt	29-29	西方格言	Nor have the lives of most great men been excitiing except at a few great moments.	罗素英文原句。
keep	LALTRS-112	056.寿星杂感.txt	29-29	西方格言	从全体看来，安静的生活是伟人的特征，他们的喜乐并不是世俗心目中所认定的那一种。	论伟人的安静生活。
keep	LALTRS-113	056.寿星杂感.txt	29-29	西方格言	一切伟大的成绩必由于历久不懈的工作，其全神贯注与繁重程度，使人没有余力去从事狂热的娱乐。	强调伟大成绩来自持久专注。
keep	LALTRS-114	056.寿星杂感.txt	29-29	古文成句	形若槁木，心若死灰	写外形枯寂、内心淡定。
keep	LALTRS-115	057.可以怀古，不必怀乡.txt	15-15	古诗句	却恐他乡胜故乡	写他乡也可能胜故乡。
keep	LALTRS-116	057.可以怀古，不必怀乡.txt	15-15	古诗句	此心安处即为乡	以心安定处为故乡。
keep	LALTRS-117	057.可以怀古，不必怀乡.txt	15-15	古诗句	埋骨何须桑梓地，人间何处不青山	写不必拘泥故乡归葬。
keep	LALTRS-119	057.可以怀古，不必怀乡.txt	21-21	李敖人生格言	怀古是一种博大的情操，怀乡却是一种渺小的滥情	将怀古与怀乡作价值区分。
keep	LALTRS-120	057.可以怀古，不必怀乡.txt	23-23	李敖人生格言	重要的是自己要真正有功德于苍生，长江美不美、黄河壮不壮、水塘臭不臭，都其余事也！	强调功德重于乡土景物。
keep	LALTRS-121	059.左眼·右眼·青眼·白眼.txt	7-7	李敖道德格言	伪善的执行人是伪君子	界定伪善与伪君子。
keep	LALTRS-122	059.左眼·右眼·青眼·白眼.txt	17-17	古文名段	又能为青白眼，见礼俗之士，以白眼对之。及嵇喜来吊（吊阮籍母丧），籍作白眼，喜不怿而退。喜弟康闻之，乃赍酒挟琴造焉，籍大悦，乃见青眼。由是礼法之士，疾之若雠。	阮籍青白眼典故。
keep	LALTRS-123	059.左眼·右眼·青眼·白眼.txt	19-19	古诗联句	青山当户，白眼看人。	以白眼看人写冷峻姿态。
keep	LALTRS-124	059.左眼·右眼·青眼·白眼.txt	19-19	李敖化用短语	实无青眼可资垂注，故一律白眼对之。	化用青白眼典故写态度。
keep	LALTRS-125	061.1958年9月20日致胡适信.txt	27-27	古诗句	未识想风采，别去令人思	写未见时想见、别后思念。
keep	LALTRS-126	062.1968年生日给王尚勤.txt	27-27	俗话	与其长期闹头疼，不如干脆昏倒一次	以剧烈一次解决长期痛苦。
keep	LALTRS-128	063.1981年李敖家书.txt	5-5	西方文学名句	幸福的家庭都有同样的幸福，不幸的家庭却各有各的不幸。	家庭幸福与不幸的名句。
keep	LALTRS-129	063.1981年李敖家书.txt	31-31	古训	不痴不聋，不做阿家翁	劝长辈对子孙事装聋作哑。
keep	LALTRS-130	064.1971年9月30日致萧孟能信.txt	11-11	古典德目短语	口不言人过	列为朋友长处之一。
keep	LALTRS-131	064.1971年9月30日致萧孟能信.txt	11-11	古话	为善若升，为恶若崩	善难恶易的古训。
keep	LALTRS-132	064.1971年9月30日致萧孟能信.txt	11-11	李敖交友格言	十年相处的记录，不该为一时的小利所毁	提醒友谊记录不可毁于小利。
keep	LALTRS-135	065.1973年3月5日致周渝信.txt	7-7	李敖自述格言	生命已入化境，此丹炉之赐也！	以丹炉比喻磨炼后的生命。
keep	LALTRS-136	065.1973年3月5日致周渝信.txt	9-9	人物评语	智慧成熟极早	梁实秋评李敖学识。
keep	LALTRS-137	065.1973年3月5日致周渝信.txt	9-9	文人性格短语	文人式的任才使气	概括早年文人习气。
keep	LALTRS-138	065.1973年3月5日致周渝信.txt	9-9	古典成语	从心所欲	写性格修炼后的自在。
keep	LALTRS-139	071.1980年末李敖致高信疆.txt	5-5	李敖文化短语	文化楚奴	比喻受制的文化人。
keep	LALTRS-140	071.1980年末李敖致高信疆.txt	5-5	李敖文化短语	文化自耕农	比喻自立经营的文化人。
keep	LALTRS-141	071.1980年末李敖致高信疆.txt	5-5	李敖出版格言	以有限退休之金，做无限出版之业，千乞小心。	提醒出版事业量力而行。
keep	LALTRS-142	071.1980年末李敖致高信疆.txt	5-5	李敖编辑格言	阁下做人成功，彼等作文失败，杂志必将泯然而失个性	提醒迁就作者会损伤杂志个性。
delete	LALTRS-006	003.才吏自扰.txt	15-15	引语短句	恃清官而胆气粗	清官、官吏治理色彩较重，校对轮按公共治理语境删除。
delete	LALTRS-007	003.才吏自扰.txt	15-15	西方格言短语	道德的过失	仅为短碎概念，独立格言价值不足。
delete	LALTRS-020	012.我为什么“战斗性隐居”？.txt	7-7	李敖自述短语	战斗性隐居	从杂志停办与外部压力语境中抽出的自述短语，公共斗争色彩较重。
delete	LALTRS-041	020.乱世中的一个感想.txt	11-11	李敖人生格言	爱惜生命之道、充分发挥打击力之道、乱世中不失掉自我之道	含乱世、打击、救世等公共斗争语气，校对轮从严删除。
delete	LALTRS-042	020.乱世中的一个感想.txt	11-11	李敖人生格言	“看破红尘”仍要独力救世之道	救世语境较重，不作为非政治性人生格言保留。
delete	LALTRS-079	033.大丈夫不怕失败.txt	1-1	李敖题名格言	大丈夫不怕失败	题名直接出自落选安慰信，选务背景过重。
delete	LALTRS-086	048.善有恶报又何妨！.txt	7-7	古文名句	滂死则祸塞，何敢以罪累君，又令老母流离乎！	范滂案具体情节句，古代案件与公权语境过重。
delete	LALTRS-087	048.善有恶报又何妨！.txt	7-7	古文名句	既有令名，复求寿考，可兼得乎？	范滂案临别语中的名寿取舍，仍依附案件语境，校对轮删除。
delete	LALTRS-088	048.善有恶报又何妨！.txt	7-7	古文名句	吾欲使汝为恶，则恶不可为；使汝为善，则我不为恶！	范滂母子临别句，案件语境重于独立道德格言。
delete	LALTRS-090	048.善有恶报又何妨！.txt	19-19	古文名句	相劝为恶，恶不可为；相劝为善，正见今日，如何？	《南史》案件感慨句，和古代狱事牵连过深。
delete	LALTRS-091	048.善有恶报又何妨！.txt	19-19	古文名句	吾一生为善，未蒙善报；常不为恶，今为恶终。悠悠苍天，抱直无诉！	《魏书》案件感慨句，和古代刑难语境牵连过深。
delete	LALTRS-118	057.可以怀古，不必怀乡.txt	21-21	李敖人生格言	现代人可以怀古（我就最喜欢流连江山胜迹，我生平最大的愿望不是徐复观那样去孔林，而是去挖孔夫子的坟，看看里面有些什么有益于中华文化），但实在不必怀乡。	句子过长且夹有私人文化愿望，不宜作为独立格言。
delete	LALTRS-127	062.1968年生日给王尚勤.txt	29-29	李敖人生格言	小文属于她自己，并不属于任何人。	私人家书中的儿童归属判断，项目独立检索价值不足。
delete	LALTRS-133	064.1971年9月30日致萧孟能信.txt	11-11	李敖劝诫语	是升是崩，敬盼你能做出永不后悔的选择。	私人合作纠纷中的劝诫语，脱离上下文后格言性不足。
delete	LALTRS-134	065.1973年3月5日致周渝信.txt	5-5	李敖友情语	在这年头，这类情谊，已算旧式的了。而你居然如此古典，你真该被侧目相看了！	私人友情称许，独立诗文格言价值不足。
exclude		004.谁来激烈？.txt	15-51			近人公共争论语境中的旧诗包装，本轮不收。
exclude		006.为“护照”而战.txt	全文			以现代出入境与公权冲突为主，未收。
exclude		011.公器、选举及其他.txt	全文			以选务、公器与公共发言为主，未收。
exclude		014.坐假牢与判假刑.txt	全文			以诉讼和判刑语境为主，未收。
exclude		030.选举期间的三封信.txt	全文			现代选务语境过重，未收。
exclude		036.回陈水扁的一封信.txt	全文			现代公共人物书信，未收。
exclude		037.给谢长廷的一封信.txt	全文			现代公共人物书信，未收。
exclude		042.给施启扬老兄的公开信.txt	全文			法律与公共问责语境过重，未收。
exclude		049.关于同志的质疑.txt	全文			现代公共概念和论辩语境过重，未收。
exclude		050.质问黄少谷先生.txt	全文			现代公共人物质问，未收。
exclude		052.封建主义是海峡两岸的共同敌人.txt	全文			公共论述语境过重，未收。
