action	id	quote_text	source_or_origin	reason
before				校对前条目数：123
add	LAYMTX-124	天机不可泄露，你附耳上来。	京剧《空城计》逸事	李敖讲高庆奎临场应对时引出的舞台名句。
add	LAYMTX-125	谈笑之间，强虏（曹操）灰飞烟灭	苏轼《念奴娇·赤壁怀古》，源文插注“曹操”	李敖讲诸葛亮与赤壁想象时引用苏轼词句。
add	LAYMTX-126	此我之不幸，而汝曹之幸也	《三国志》曹操语	李敖讲曹冲早死与曹丕继承时引用。
add	LAYMTX-127	本是同根生，相煎何太急	曹植《七步诗》	李敖讲曹丕、曹植兄弟关系时引用。
add	LAYMTX-128	合葬，非礼也	邴原拒曹操冥婚语	李敖讲曹冲冥婚与经典礼法冲突时引用。
add	LAYMTX-129	有真身示现，有妙相庄严，有床上俯仰，有笔下波澜，有布偶能语，有双头佛尊，有奇情高论，有道大通神。	李敖《从生离到死别》	李敖以四字排比介绍《上山·上山·爱》的小说内容。
add	LAYMTX-130	有山谷依然，有夕阳空好，有美人寄迹，有造化入诗，有灵塔出树，有蜻蜓邀盟，有幽冥同路，有墓里前身	李敖《从生离到死别》	李敖以四字排比介绍《上山·上山·爱》后段情节。
add	LAYMTX-131	满堂花醉三千客，一剑霜寒十四州	吴越国王请僧题句原文	李敖辨析孙中山、于右任误写“四十州”时引原句。
add	LAYMTX-132	最是仓皇辞庙日	李煜词	李敖讲李后主辞庙时补足引用词句上半。
add	LAYMTX-133	没有见到江冬秀，没有见到胡适的夫人，不会了解胡适的伟大	林语堂语意	李敖讲胡适婚姻时引用林语堂的评价。
add	LAYMTX-134	屡游相须，曾经御览	王安石胡须逸事	李敖讲王安石逸事时引用。
add	LAYMTX-135	妻不贤，子不孝，麻将不上张，谁都没有办法	中国俗语	李敖讲居浩然麻将守则时引用俗语。
after				校对后条目数：135
