id	source_file	line_start	line_end	present	political_hits	quote_text
LAJJGYJ-001	《蒋经国研究》缘起.txt	23	23	yes		以子之矛，攻子之盾
LAJJGYJ-002	004.中华民国总统怎样暗杀政敌？.txt	5	5	yes		东窗事发
LAJJGYJ-003	004.中华民国总统怎样暗杀政敌？.txt	5	5	yes		天衣无缝
LAJJGYJ-004	004.中华民国总统怎样暗杀政敌？.txt	5	5	yes		无懈可击
LAJJGYJ-005	004.中华民国总统怎样暗杀政敌？.txt	19	19	yes		水落石出
LAJJGYJ-006	004.中华民国总统怎样暗杀政敌？.txt	23	23	yes		三下五除二
LAJJGYJ-007	004.中华民国总统怎样暗杀政敌？.txt	77	77	yes		后之视今，亦犹今之视昔
LAJJGYJ-008	004.中华民国总统怎样暗杀政敌？.txt	77	77	yes		前曾见古人，后复见来者
LAJJGYJ-009	004.中华民国总统怎样暗杀政敌？.txt	77	77	yes		身死名裂
LAJJGYJ-010	005.蒋经国怀胎二十多个月吗？.txt	31	31	yes		阳翟有妇人，妊身三十月，乃生子
LAJJGYJ-011	006.蒋经国的另一个爸爸.txt	19	19	yes		为配王氏女合葬之，且为之立嗣
LAJJGYJ-012	006.蒋经国的另一个爸爸.txt	23	23	yes		禁迁葬者与嫁殇者。
LAJJGYJ-013	006.蒋经国的另一个爸爸.txt	23	23	yes		生时非夫妇，死而迁葬之，使相从
LAJJGYJ-014	006.蒋经国的另一个爸爸.txt	23	23	yes		原之所以自容于明公，公之所以待原者，以能守训典而不易也！若听明公之命，则是凡庸也！明公焉以为哉？
LAJJGYJ-015	006.蒋经国的另一个爸爸.txt	27	27	yes		新妇年少，终必他适，可令吾子鳏处地下耶？
LAJJGYJ-016	006.蒋经国的另一个爸爸.txt	33	33	yes		能执干戈以卫社稷， 虽欲无殇，不亦可乎？
LAJJGYJ-017	006.蒋经国的另一个爸爸.txt	37	37	yes		大宗无子，不可以绝
LAJJGYJ-018	006.蒋经国的另一个爸爸.txt	37	37	yes		礼之所以立后，曰重大宗也；小宗无子，以为可以绝者也。故不为之立后。大宗无子，不可以绝，故立后以继之。小宗不可拟大宗，故曰重大宗也。曷为后大宗不后小宗？重本也。大宗者，祖之正体也，本也；小宗者，祖之旁体也，支也。本存而支亡，亡而犹存也，尊者存焉耳。本亡而支存，存而犹亡也，存者微矣。是故小宗无后，祖不绝；大宗无后，祖绝矣！
LAJJGYJ-019	006.蒋经国的另一个爸爸.txt	37	37	yes		小宗无后，祖不绝；大宗无后，祖绝矣！
LAJJGYJ-020	006.蒋经国的另一个爸爸.txt	39	39	yes		长支长子不得出继他支
LAJJGYJ-021	006.蒋经国的另一个爸爸.txt	47	47	yes		不忍重违母命，以伤骨肉之至情，不获已，仍以长子经国嗣之
LAJJGYJ-022	006.蒋经国的另一个爸爸.txt	49	49	yes		世世子孙，读斯文者，知吾母与吾今日哀其子若弟之苦心，庶奉吾弟祭祀，永永弗替
LAJJGYJ-023	006.蒋经国的另一个爸爸.txt	57	57	yes		上中下三等社会，凡子弟未婚夭亡，类多择一门户相当，年龄相若之亡女，为之定婚，迎接木主过门，礼节如生人嫁娶，名曰‘冥配’。盖以不如是，则灵魂将无所依归，不能入祠祭祀，且不能立后，一经冥配，即取得被继承人之资格，得为之立后也。
LAJJGYJ-024	007.蒋经国同任显群争女人.txt	17	17	yes		糟糠之妻不可弃
LAJJGYJ-025	007.蒋经国同任显群争女人.txt	31	31	yes		世间祸故不可忽，箦中死尸能报雠。
LAJJGYJ-026	008.蒋经国其实还不知阿斗.txt	9	9	yes		百花发时我不发，我一发时百花煞。要与秋风战一场，满身披上黄金甲！
LAJJGYJ-027	008.蒋经国其实还不知阿斗.txt	9	9	yes		诗以人传
LAJJGYJ-028	008.蒋经国其实还不知阿斗.txt	41	41	yes		亲贤臣、远小人
LAJJGYJ-029	008.蒋经国其实还不知阿斗.txt	97	97	yes		不识庐山真面目，只缘身在此山中
LAJJGYJ-030	008.蒋经国其实还不知阿斗.txt	149	149	yes		穷则变、变则通！
LAJJGYJ-031	008.蒋经国其实还不知阿斗.txt	157	157	yes		文王周公、制礼作乐
LAJJGYJ-032	008.蒋经国其实还不知阿斗.txt	173	173	yes		为民父母
LAJJGYJ-033	008.蒋经国其实还不知阿斗.txt	173	173	yes		作之君、作之师
LAJJGYJ-034	008.蒋经国其实还不知阿斗.txt	191	191	yes		扶不起的阿斗
LAJJGYJ-035	008.蒋经国其实还不知阿斗.txt	195	195	yes		礼贤下士
LAJJGYJ-036	008.蒋经国其实还不知阿斗.txt	195	195	yes		然诺重千金
LAJJGYJ-037	011.苏联时期的蒋经国（江南）.txt	9	9	yes		中学为体，西学为用
LAJJGYJ-038	014.蒋“青天”在赣南的故事（曹云霞）.txt	5	5	yes		无官不贪，无吏不污
LAJJGYJ-039	015.蒋专员的“五有”和“十多”（曹云霞）.txt	25	25	yes		顺水推舟
LAJJGYJ-040	015.蒋专员的“五有”和“十多”（曹云霞）.txt	25	25	yes		一筹莫展
LAJJGYJ-041	017.蒋家父子不是“人”（孟绝子）.txt	49	49	yes		哀哉，奉孝！痛哉，奉孝！惜哉，奉孝！
LAJJGYJ-042	017.蒋家父子不是“人”（孟绝子）.txt	49	49	yes		丞相于虎窟中逃难之时，全无惧怯；今到城中，人已得食，马已得料，正须整顿军马复仇，何反痛哭？
LAJJGYJ-043	017.蒋家父子不是“人”（孟绝子）.txt	49	49	yes		吾哭郭奉孝耳！若奉孝在，决不使吾有此大失也！
LAJJGYJ-044	018.吴国桢口中的蒋氏父子（江南）.txt	21	21	yes		情词恳切，应予照准。
LAJJGYJ-045	018.吴国桢口中的蒋氏父子（江南）.txt	107	107	yes		盖棺定论
LAJJGYJ-046	018.吴国桢口中的蒋氏父子（江南）.txt	153	153	yes		府令如山
LAJJGYJ-047	018.吴国桢口中的蒋氏父子（江南）.txt	153	153	yes		拖泥带水
