id	source_file	line_start	line_end	present	political_hits	quote_text
LAJJSPZ-001	001.《蒋介石评传》序（汪荣祖）.txt	5	5	yes		同做冯妇
LAJJSPZ-002	002.《蒋介石评传》序（李敖）.txt	15	15	yes		干父之蛊
LAJJSPZ-003	002.《蒋介石评传》序（李敖）.txt	15	15	yes		为亲者讳
LAJJSPZ-004	003.第一章、发迹以前.txt	19	19	yes		禁迁葬者与嫁殇者。
LAJJSPZ-005	003.第一章、发迹以前.txt	19	19	yes		生时非夫妇，死而迁葬之，使相从
LAJJSPZ-006	003.第一章、发迹以前.txt	19	19	yes		原之所以自容于明公，公之所以待原者，以能守训典而不易也！若听明公之命，则是凡庸也！明公焉以为哉？
LAJJSPZ-007	003.第一章、发迹以前.txt	25	25	yes		能执干戈以卫社稷，虽欲无殇，不亦可乎？
LAJJSPZ-008	003.第一章、发迹以前.txt	27	27	yes		大宗不可绝
LAJJSPZ-009	003.第一章、发迹以前.txt	27	27	yes		礼之所以立法，曰重大宗也；小宗无子，以为可以绝者也，故不为之立后，大宗无子，不可以绝，故立后以继之。
LAJJSPZ-010	003.第一章、发迹以前.txt	27	27	yes		一门两不绝
LAJJSPZ-011	003.第一章、发迹以前.txt	27	27	yes		长支长子不得出继他支
LAJJSPZ-012	003.第一章、发迹以前.txt	37	37	yes		吾夫既死，与之同棺共穴可也。
LAJJSPZ-013	003.第一章、发迹以前.txt	43	43	yes		曾几何时，星沈露冷，从此白云孤庵，但有凄望心恻而已。
LAJJSPZ-014	003.第一章、发迹以前.txt	43	43	yes		蜿蜒陂陀，曲折如羊肠
LAJJSPZ-015	003.第一章、发迹以前.txt	43	43	yes		永怀鞠育，昊天罔极
LAJJSPZ-016	003.第一章、发迹以前.txt	125	125	yes		当仁不让
LAJJSPZ-017	003.第一章、发迹以前.txt	125	125	yes		富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫
LAJJSPZ-018	003.第一章、发迹以前.txt	131	131	yes		风萧萧兮易水寒
LAJJSPZ-019	004.第二章、粤海波澜多.txt	11	11	yes		一丘之貉
LAJJSPZ-020	004.第二章、粤海波澜多.txt	73	73	yes		月出震方，波平如镜，攒峰倒映，人在画中。
LAJJSPZ-021	004.第二章、粤海波澜多.txt	75	75	yes		雪满山原，一白无际
LAJJSPZ-022	004.第二章、粤海波澜多.txt	93	93	yes		取道北溪，探四明石窗，蹑鼠尾山巅，向西北驰下
LAJJSPZ-023	004.第二章、粤海波澜多.txt	147	147	yes		其介如石
LAJJSPZ-024	004.第二章、粤海波澜多.txt	147	147	yes		吾能于亭后小筑三椽，隐居自适，斯愿足矣！
LAJJSPZ-025	004.第二章、粤海波澜多.txt	147	147	yes		养天地正气，法古今完人。
LAJJSPZ-026	004.第二章、粤海波澜多.txt	175	175	yes		兄可敝屣尊荣，不能敝屣道义！
LAJJSPZ-027	006.第四章、内斗内行.txt	105	105	yes		杯酒释兵权
LAJJSPZ-028	006.第四章、内斗内行.txt	105	105	yes		黄袍加身
LAJJSPZ-029	006.第四章、内斗内行.txt	105	105	yes		目空一切
LAJJSPZ-030	006.第四章、内斗内行.txt	105	105	yes		重文偃武
LAJJSPZ-031	007.第五章、金陵梦魇.txt	287	287	yes		秀才遇见兵
LAJJSPZ-032	007.第五章、金陵梦魇.txt	287	287	yes		血更浓于水
LAJJSPZ-033	007.第五章、金陵梦魇.txt	287	287	yes		用武之地
LAJJSPZ-034	007.第五章、金陵梦魇.txt	287	287	yes		治标而不能治本
LAJJSPZ-035	007.第五章、金陵梦魇.txt	311	311	yes		何不食肉糜
LAJJSPZ-036	007.第五章、金陵梦魇.txt	311	311	yes		一鼓作气，再而衰，三而竭
LAJJSPZ-037	007.第五章、金陵梦魇.txt	311	311	yes		异曲同工
LAJJSPZ-038	007.第五章、金陵梦魇.txt	347	347	yes		棋差一着，输个满盘
LAJJSPZ-039	008.第六章、被迫抗战.txt	351	351	yes		不知彼，不知己
LAJJSPZ-040	009.第七章、蜀中无大将.txt	405	405	yes		要劫劫皇杠，要玩玩娘娘
LAJJSPZ-041	009.第七章、蜀中无大将.txt	449	449	yes		看花愁近最高楼
LAJJSPZ-042	009.第七章、蜀中无大将.txt	467	467	yes		虽不杀伯仁，伯仁因我而死
LAJJSPZ-043	011.第九章、打不过毛泽东.txt	25	25	yes		金玉其外，败絮其中
LAJJSPZ-044	011.第九章、打不过毛泽东.txt	25	25	yes		楼台七宝倏成灰
LAJJSPZ-045	011.第九章、打不过毛泽东.txt	75	75	yes		可以死，可以无死，死，伤勇。
LAJJSPZ-046	011.第九章、打不过毛泽东.txt	105	105	yes		瞒天过海
LAJJSPZ-047	011.第九章、打不过毛泽东.txt	265	265	yes		百无一用之书生
LAJJSPZ-048	011.第九章、打不过毛泽东.txt	271	271	yes		一生辛苦，乃落得如此一文不值之下场
LAJJSPZ-049	011.第九章、打不过毛泽东.txt	271	271	yes		忧心如焚
LAJJSPZ-050	011.第九章、打不过毛泽东.txt	355	355	yes		扶不起的阿斗
LAJJSPZ-051	011.第九章、打不过毛泽东.txt	355	355	yes		可怜汉主求仙意，博得胡僧话劫灰
LAJJSPZ-052	012.第十章、作弄李宗仁.txt	23	23	yes		“远水”救不了“近火”
LAJJSPZ-053	012.第十章、作弄李宗仁.txt	23	23	yes		背黑锅
LAJJSPZ-054	012.第十章、作弄李宗仁.txt	23	23	yes		吃回头草
LAJJSPZ-055	012.第十章、作弄李宗仁.txt	23	23	yes		替死鬼
LAJJSPZ-056	012.第十章、作弄李宗仁.txt	185	185	yes		蛛丝马迹
LAJJSPZ-057	012.第十章、作弄李宗仁.txt	255	255	yes		改弦更张
LAJJSPZ-058	012.第十章、作弄李宗仁.txt	255	255	yes		故步自封
LAJJSPZ-059	013.第十一章、孤岛上的父与子.txt	45	45	yes		无可奈何花落去
LAJJSPZ-060	014.第十二章、朝代的终结.txt	181	181	yes		打破砂锅问到底
LAJJSPZ-061	014.第十二章、朝代的终结.txt	181	181	yes		弃车保帅
LAJJSPZ-062	014.第十二章、朝代的终结.txt	181	181	yes		投鼠忌器
