decision	id	book	chapter	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	notes
keep	LAHS11001	红色11	第一幕——夏至	002.第一幕——夏至.txt	293	293	白虎临身日，临身必有灾。	小说引文	《警世通言》	解释白虎凶神时转引古小说中的俗信句。	
keep	LAHS11002	红色11	第一幕——夏至	002.第一幕——夏至.txt	293	293	前朱鸟而后玄武，左青龙而右白虎。	古书引文	《礼记》	解释四象方位时引《礼记》古句。	
keep	LAHS11003	红色11	第一幕——夏至	002.第一幕——夏至.txt	297	297	见者主有喜庆	古书引文	《岭南异物志》，李时珍《本草纲目》转引	说明变色龙吉兆时引古书评价。	
keep	LAHS11004	红色11	第一幕——夏至	002.第一幕——夏至.txt	297	297	啮人不可疗	古书引文	李时珍《本草纲目》	说明变色龙危险时引古书警语。	
keep	LAHS11005	红色11	第一幕——夏至	002.第一幕——夏至.txt	315	315	此何遽不为福乎？	寓言引文	《淮南子》塞翁失马故事	讲塞翁失马寓言时引塞翁语。	
keep	LAHS11006	红色11	第一幕——夏至	002.第一幕——夏至.txt	315	315	此何遽不能为祸乎？	寓言引文	《淮南子》塞翁失马故事	讲塞翁失马寓言时引塞翁语。	
keep	LAHS11007	红色11	第一幕——夏至	002.第一幕——夏至.txt	315	315	塞翁失马，焉知非福	成语典故	《淮南子》塞翁失马故事	概括祸福相倚的传统寓言。	
keep	LAHS11008	红色11	第一幕——夏至	002.第一幕——夏至.txt	315	315	福之为祸，祸之为福，化不可极，深不可测	古书引文	《淮南子》	说明祸福变化难测时引《淮南子》。	
keep	LAHS11009	红色11	第一幕——夏至	002.第一幕——夏至.txt	315	315	其为政也，善因祸而为福，转败而为功	史书引文	司马迁《史记》评管仲	比较管仲哲学时引《史记》评语。	
keep	LAHS11010	红色11	第一幕——夏至	002.第一幕——夏至.txt	315	315	祸兮福之所倚，福兮祸之所伏	古书引文	《老子》	说明祸福倚伏时引老子名句。	
keep	LAHS11011	红色11	第一幕——夏至	002.第一幕——夏至.txt	315	315	祸福无不自己求之者	儒家引文	《孟子》	讨论人对祸福的主动性时引孟子。	
