id	source_file	line	quote_text	category	source_or_origin	reasons	context
LAFCR-003	《第一流人的境界》题辞.txt	3-3	急流勇进	成语	题辞	short-common-phrase;low-source-specificity	朝菌不知晦朔、蟪蛄不知春秋、井底之蛙不知天多大、岛国之民不知陆之深。反讽的是，朝菌、蟪蛄、井蛙、岛民，却自以为知道，而自以为了不起。其实，在高明光大的标准下，他们非但不是二流货、三流货，甚至是不入流的。让不入流的人认识什么是境界，什么是第一流人的境界，是李敖的大功德。李敖自己急流勇进、逆流而上，带你随波直逐第一流。
LAFCR-004	《第一流人的境界》题辞.txt	3-3	逆流而上	成语	题辞	short-common-phrase;low-source-specificity	朝菌不知晦朔、蟪蛄不知春秋、井底之蛙不知天多大、岛国之民不知陆之深。反讽的是，朝菌、蟪蛄、井蛙、岛民，却自以为知道，而自以为了不起。其实，在高明光大的标准下，他们非但不是二流货、三流货，甚至是不入流的。让不入流的人认识什么是境界，什么是第一流人的境界，是李敖的大功德。李敖自己急流勇进、逆流而上，带你随波直逐第一流。
LAFCR-005	001.狮子的道路.txt	3-3	百兽之王	成语	题辞	political-context;short-common-phrase;low-source-specificity	《伊索寓言》里有一篇《狮子、周彼得和象》。说狮子常常向天神周彼得（Jupiter）诉苦，说我长得大、力气大，斗争起来也劲道十足；又有尖牙利爪，又为百兽之王，可是竟怕公鸡叫，多没面子啊！周彼得说,我已经把我自己有的一切特点都给了你，而你的胆量，除了怕公鸡叫这一点外，其他也都没问题。你还埋怨什么啊！可是狮子想不通，总是为它的怕公鸡叫而痛不欲生。这时它碰到一头大象，看到大象老是扇耳朵，很奇怪。它问大象为什么要这样，大象说，你可看到那蚊子吗？它们钻进我耳朵，我就死定了！狮子恍然大悟，说好啦！这么大的一头野兽，居然怕这么小的一只蚊子，我还诉什么苦呢？我的处境至少比大象好得多啊，比较之下，公鸡总比蚊子大啊！
LAFCR-006	001.狮子的道路.txt	3-3	恍然大悟	成语	题辞	political-context;short-common-phrase;low-source-specificity	《伊索寓言》里有一篇《狮子、周彼得和象》。说狮子常常向天神周彼得（Jupiter）诉苦，说我长得大、力气大，斗争起来也劲道十足；又有尖牙利爪，又为百兽之王，可是竟怕公鸡叫，多没面子啊！周彼得说,我已经把我自己有的一切特点都给了你，而你的胆量，除了怕公鸡叫这一点外，其他也都没问题。你还埋怨什么啊！可是狮子想不通，总是为它的怕公鸡叫而痛不欲生。这时它碰到一头大象，看到大象老是扇耳朵，很奇怪。它问大象为什么要这样，大象说，你可看到那蚊子吗？它们钻进我耳朵，我就死定了！狮子恍然大悟，说好啦！这么大的一头野兽，居然怕这么小的一只蚊子，我还诉什么苦呢？我的处境至少比大象好得多啊，比较之下，公鸡总比蚊子大啊！
LAFCR-007	001.狮子的道路.txt	5-5	美中不足	成语	题辞	short-common-phrase;low-source-specificity	人生的很多例子，其实很象这狮子，自己的条件都优秀，可是老是为一些美中不足自寻烦恼，弄得惶惶不可终日。在这种情况发生的时候，叫他别怕公鸡叫是没用的，因为他会有“强迫观念”，愈不怕公鸡叫就公鸡愈叫。这时候，他应该面对大象，从“痛苦比较学”中发明一种理论，把自己骗倒。他要听听大象诉说委屈，看到大象的愁眉苦脸，就会发现自己的愁云惨雾，其实是何足道哉的，——关怀别人，忘了自己，听大象诉委屈而忘了自己的委屈，这才是狮子的道路。
LAFCR-008	001.狮子的道路.txt	5-5	何足道哉	成语	题辞	short-common-phrase;low-source-specificity	人生的很多例子，其实很象这狮子，自己的条件都优秀，可是老是为一些美中不足自寻烦恼，弄得惶惶不可终日。在这种情况发生的时候，叫他别怕公鸡叫是没用的，因为他会有“强迫观念”，愈不怕公鸡叫就公鸡愈叫。这时候，他应该面对大象，从“痛苦比较学”中发明一种理论，把自己骗倒。他要听听大象诉说委屈，看到大象的愁眉苦脸，就会发现自己的愁云惨雾，其实是何足道哉的，——关怀别人，忘了自己，听大象诉委屈而忘了自己的委屈，这才是狮子的道路。
LAFCR-013	002.第一流人的境界.txt	11-11	鸡毛蒜皮	成语	题辞	short-common-phrase;low-source-specificity	第一流的人认定 Life is too short to be little .(人生短得不够扯鸡毛蒜皮），他必须忍住不为小事所缠。他有很快分辨出什么是“无关的事项”（irrelevancy)的能力，然后立刻砍掉它。
LAFCR-014	003.论传奇人物.txt	9-9	弱水三千	成语	题辞	short-common-phrase;low-source-specificity	传奇人物自有他的弱水三千，而不止于一瓢；自有他的取舍，而不同于世俗的得失。
LAFCR-015	003.论传奇人物.txt	5-5	不拘一格	成语	题辞	short-common-phrase;low-source-specificity	传奇人物生命力极强、智慧极高、勇气十足。他的充沛的生命力，无法把他安在一个固定的角色上，碌碌一生。传奇人物不拘一格，他不是书生，也不是剑客，但他是书剑飘零型的人物。他也许是一阵子书呆、一阵子军人、一阵子怪杰、一阵子作家、一阵子商人、一阵子投机者、一阵子情场浪子、一阵子赌台常客、一阵子热如火、一阵子冷如冰、一阵子老僧入定、一阵子顽若狡童。……或整年在温柔乡里，或终岁在离群索居中。
LAFCR-016	003.论传奇人物.txt	5-5	书剑飘零	成语	题辞	short-common-phrase;low-source-specificity	传奇人物生命力极强、智慧极高、勇气十足。他的充沛的生命力，无法把他安在一个固定的角色上，碌碌一生。传奇人物不拘一格，他不是书生，也不是剑客，但他是书剑飘零型的人物。他也许是一阵子书呆、一阵子军人、一阵子怪杰、一阵子作家、一阵子商人、一阵子投机者、一阵子情场浪子、一阵子赌台常客、一阵子热如火、一阵子冷如冰、一阵子老僧入定、一阵子顽若狡童。……或整年在温柔乡里，或终岁在离群索居中。
LAFCR-017	003.论传奇人物.txt	5-5	老僧入定	成语	题辞	short-common-phrase;low-source-specificity	传奇人物生命力极强、智慧极高、勇气十足。他的充沛的生命力，无法把他安在一个固定的角色上，碌碌一生。传奇人物不拘一格，他不是书生，也不是剑客，但他是书剑飘零型的人物。他也许是一阵子书呆、一阵子军人、一阵子怪杰、一阵子作家、一阵子商人、一阵子投机者、一阵子情场浪子、一阵子赌台常客、一阵子热如火、一阵子冷如冰、一阵子老僧入定、一阵子顽若狡童。……或整年在温柔乡里，或终岁在离群索居中。
LAFCR-018	003.论传奇人物.txt	5-5	温柔乡	成语	题辞	short-common-phrase;low-source-specificity	传奇人物生命力极强、智慧极高、勇气十足。他的充沛的生命力，无法把他安在一个固定的角色上，碌碌一生。传奇人物不拘一格，他不是书生，也不是剑客，但他是书剑飘零型的人物。他也许是一阵子书呆、一阵子军人、一阵子怪杰、一阵子作家、一阵子商人、一阵子投机者、一阵子情场浪子、一阵子赌台常客、一阵子热如火、一阵子冷如冰、一阵子老僧入定、一阵子顽若狡童。……或整年在温柔乡里，或终岁在离群索居中。
LAFCR-019	003.论传奇人物.txt	5-5	离群索居	成语	题辞	short-common-phrase;low-source-specificity	传奇人物生命力极强、智慧极高、勇气十足。他的充沛的生命力，无法把他安在一个固定的角色上，碌碌一生。传奇人物不拘一格，他不是书生，也不是剑客，但他是书剑飘零型的人物。他也许是一阵子书呆、一阵子军人、一阵子怪杰、一阵子作家、一阵子商人、一阵子投机者、一阵子情场浪子、一阵子赌台常客、一阵子热如火、一阵子冷如冰、一阵子老僧入定、一阵子顽若狡童。……或整年在温柔乡里，或终岁在离群索居中。
LAFCR-020	003.论传奇人物.txt	13-13	神机莫测	成语	题辞	political-context;short-common-phrase;low-source-specificity	传奇人物亦刚亦柔亦狂亦狷，但都行之于神机莫测。女人抓不住他、男人伤不了他、朋友吃不消他、敌人又被他烦死。他的生命力有一股力量、一团火，永远折腾没完。
LAFCR-033	005.“通身是手眼”.txt	25-25	天马行空	成语	题辞	short-common-phrase;low-source-specificity	我素来不喜欢大部分的佛门言语，因为佛门言语在语意上太含糊、没有界定，不知它们说什么。而一般说经家和笺注家却乱作解人，附会指出说这个说那个，其实全是胡扯。整个的《大藏经》，其实绝大部分都是玄学字汇的排列组合，完全没有真实的意义。滚入这种“玄学障”里的人，整天的活动，一如笼中踏自转轮的松鼠，辛苦得不亦乐乎，结果却在原地未动分毫。佛门的对话，大率类此。一方实在不清楚知道或真的知道对方在说些什么；而对方的回答，也是天马行空。所以读佛经，只得就勉强可敲定的片言支句予以检定，其他的莫名其妙，只好去它的蛋了。
LAFCR-034	005.“通身是手眼”.txt	25-25	莫名其妙	成语	题辞	short-common-phrase;low-source-specificity	我素来不喜欢大部分的佛门言语，因为佛门言语在语意上太含糊、没有界定，不知它们说什么。而一般说经家和笺注家却乱作解人，附会指出说这个说那个，其实全是胡扯。整个的《大藏经》，其实绝大部分都是玄学字汇的排列组合，完全没有真实的意义。滚入这种“玄学障”里的人，整天的活动，一如笼中踏自转轮的松鼠，辛苦得不亦乐乎，结果却在原地未动分毫。佛门的对话，大率类此。一方实在不清楚知道或真的知道对方在说些什么；而对方的回答，也是天马行空。所以读佛经，只得就勉强可敲定的片言支句予以检定，其他的莫名其妙，只好去它的蛋了。
LAFCR-039	006.论“真金不怕火炼”.txt	13-13	金玉其外	成语	题辞	short-common-phrase;low-source-specificity	乙：羼了假的也没大关系。很多人没有碰到火炼，他会漂亮下去，就算是镀金的，虽然只是金玉其外。但在金粉世界里，冒充久了，也就弄假成真。很多漂亮的事，都是慢慢弄假成真的。
LAFCR-040	006.论“真金不怕火炼”.txt	13-13	弄假成真	成语	题辞	short-common-phrase;low-source-specificity	乙：羼了假的也没大关系。很多人没有碰到火炼，他会漂亮下去，就算是镀金的，虽然只是金玉其外。但在金粉世界里，冒充久了，也就弄假成真。很多漂亮的事，都是慢慢弄假成真的。
LAFCR-041	006.论“真金不怕火炼”.txt	17-17	原形毕现	成语	题辞	short-common-phrase;low-source-specificity	乙：一般人太脆弱，是禁不住火炼的。所以火炼之下，立刻就原形毕现，一点残余的金色都没有了，这就是说，他们变成赤裸的市井小人了，对任何漂亮的事都不肯做，连弄假去做都不肯了。
LAFCR-042	006.论“真金不怕火炼”.txt	29-29	大器晚成	成语	题辞	short-common-phrase;low-source-specificity	乙：那又不尽然，很多人又是大器晚成的，你别忘了姜太公八十遇文王。
LAFCR-043	006.论“真金不怕火炼”.txt	37-37	默默无闻	成语	题辞	short-common-phrase;low-source-specificity	乙：在死后。有些优秀的人，活的时候一生默默无闻或根本不算老几，但死后或死了多少年以后，忽然大走红运，一些思想家和画家，常有这种奇遇。
LAFCR-048	007.对敌人的道德.txt	9-9	正人君子	成语	题辞	political-context;short-common-phrase;low-source-specificity	甲：是的，道德是一种有机体，道德也会生老病死。你有没有注意到很多道德项目，尽管活在书中——像“世界爷”活在加州，其实已跟我们同时而不同代了。我从道德项目中找一个“对敌人的道德”做例子。中国古代的名射手子濯孺子，侵略到卫国，卫国派人追他。他跟副官说：“今天我病了，没法射箭，今天看样子要死了，你知道追我们的人是谁吗？”副官说：“追我们的是庾公之斯。”子濯孺子说：“是他呀，那我死不了了。他是我学生尹公之他的学生，尹公之他是正人君子，他不会乱收学生的，他的学生也一定是正人君子。”过了一会，庾公之斯果然追上来了，奇怪地问子濯孺子：“老先生，你怎么手里不拿弓呢？”子濯孺子说他病了。庾公之斯说：“你是我太老师，我不能用你教的技术来对付你，但今天也不能不公事公办。”于是他拔了四支箭，把箭头都敲掉，射了四下就走了。——这个故事，说明了一种不趁人于危的道德的延伸，即使对敌人也不例外。这种道德，现代已经死了。现代若有庾公之斯这种人，在战场上，看到敌人病了，恐怕还要乘机多射几箭呢。即使不射,回来也要被军法审判。古代的庾公之斯敢阵前放水，也明知他的后台老板跟他有同样的道德标准，就像小说中华容道放了曹阿瞒的关老爷一样，心里多少知道军法审不到他。
LAFCR-049	007.对敌人的道德.txt	9-9	公事公办	成语	题辞	political-context;short-common-phrase;low-source-specificity	甲：是的，道德是一种有机体，道德也会生老病死。你有没有注意到很多道德项目，尽管活在书中——像“世界爷”活在加州，其实已跟我们同时而不同代了。我从道德项目中找一个“对敌人的道德”做例子。中国古代的名射手子濯孺子，侵略到卫国，卫国派人追他。他跟副官说：“今天我病了，没法射箭，今天看样子要死了，你知道追我们的人是谁吗？”副官说：“追我们的是庾公之斯。”子濯孺子说：“是他呀，那我死不了了。他是我学生尹公之他的学生，尹公之他是正人君子，他不会乱收学生的，他的学生也一定是正人君子。”过了一会，庾公之斯果然追上来了，奇怪地问子濯孺子：“老先生，你怎么手里不拿弓呢？”子濯孺子说他病了。庾公之斯说：“你是我太老师，我不能用你教的技术来对付你，但今天也不能不公事公办。”于是他拔了四支箭，把箭头都敲掉，射了四下就走了。——这个故事，说明了一种不趁人于危的道德的延伸，即使对敌人也不例外。这种道德，现代已经死了。现代若有庾公之斯这种人，在战场上，看到敌人病了，恐怕还要乘机多射几箭呢。即使不射,回来也要被军法审判。古代的庾公之斯敢阵前放水，也明知他的后台老板跟他有同样的道德标准，就像小说中华容道放了曹阿瞒的关老爷一样，心里多少知道军法审不到他。
LAFCR-050	007.对敌人的道德.txt	9-9	趁人于危	成语	题辞	political-context;short-common-phrase;low-source-specificity	甲：是的，道德是一种有机体，道德也会生老病死。你有没有注意到很多道德项目，尽管活在书中——像“世界爷”活在加州，其实已跟我们同时而不同代了。我从道德项目中找一个“对敌人的道德”做例子。中国古代的名射手子濯孺子，侵略到卫国，卫国派人追他。他跟副官说：“今天我病了，没法射箭，今天看样子要死了，你知道追我们的人是谁吗？”副官说：“追我们的是庾公之斯。”子濯孺子说：“是他呀，那我死不了了。他是我学生尹公之他的学生，尹公之他是正人君子，他不会乱收学生的，他的学生也一定是正人君子。”过了一会，庾公之斯果然追上来了，奇怪地问子濯孺子：“老先生，你怎么手里不拿弓呢？”子濯孺子说他病了。庾公之斯说：“你是我太老师，我不能用你教的技术来对付你，但今天也不能不公事公办。”于是他拔了四支箭，把箭头都敲掉，射了四下就走了。——这个故事，说明了一种不趁人于危的道德的延伸，即使对敌人也不例外。这种道德，现代已经死了。现代若有庾公之斯这种人，在战场上，看到敌人病了，恐怕还要乘机多射几箭呢。即使不射,回来也要被军法审判。古代的庾公之斯敢阵前放水，也明知他的后台老板跟他有同样的道德标准，就像小说中华容道放了曹阿瞒的关老爷一样，心里多少知道军法审不到他。
LAFCR-051	007.对敌人的道德.txt	17-17	放之四海而皆准	成语	题辞	political-context;low-source-specificity	甲：“我们中国”吗？请你告诉我，阿贝拉会战（The Battle of Arbela）时，亚历山大不肯夜袭敌人，他说他不愿偷取胜利，他要公开又公平的打，使对方输了也心服。这种道德又是哪国的？可见并非中国国粹，也不是我们中国所能专利，当然也不只中国和希腊有：送还敌人尸首的征服者威廉是英国的；送还敌人迷途的狗的华盛顿是美国的；嫌潜水艇不够光明正大而拒绝这种战术的拿破仑是法国的……这种“对敌人的道德”存在的时候，简直是“放之四海而皆准”的，可是却不能“俟诸百世而不惑”。因为，我说过，道德是会生老病死的。
LAFCR-052	007.对敌人的道德.txt	17-17	俟诸百世而不惑	古文成句	孟子	political-context	甲：“我们中国”吗？请你告诉我，阿贝拉会战（The Battle of Arbela）时，亚历山大不肯夜袭敌人，他说他不愿偷取胜利，他要公开又公平的打，使对方输了也心服。这种道德又是哪国的？可见并非中国国粹，也不是我们中国所能专利，当然也不只中国和希腊有：送还敌人尸首的征服者威廉是英国的；送还敌人迷途的狗的华盛顿是美国的；嫌潜水艇不够光明正大而拒绝这种战术的拿破仑是法国的……这种“对敌人的道德”存在的时候，简直是“放之四海而皆准”的，可是却不能“俟诸百世而不惑”。因为，我说过，道德是会生老病死的。
