id	decision	source_file	line_start	line_end	quote_text	category	reason
LAQWBW-001	keep	003.戴季陶二三事（黄贻谋）.txt	17	17	天下为公	礼记成句	文中借戴季陶口号出现；本轮只保留古典成句，不收其政治宣传语境。
LAQWBW-002	keep	003.戴季陶二三事（黄贻谋）.txt	17	17	选贤任能	礼记成句	与“天下为公”并列出现，按古典政治理想成句保留。
LAQWBW-003	keep	003.戴季陶二三事（黄贻谋）.txt	19	19	爱莫能助	传统成语	文中形容推托无力相助，保留成语本身。
LAQWBW-004	keep	003.戴季陶二三事（黄贻谋）.txt	21	21	投闲置散	传统成语	形容有才者被闲置，保留成语。
LAQWBW-005	keep	003.戴季陶二三事（黄贻谋）.txt	25	25	寻章摘句	传统成语	形容在故纸堆中摘取文字，保留成语。
LAQWBW-006	keep	003.戴季陶二三事（黄贻谋）.txt	25	25	赴汤蹈火，在所不辞	传统成语	文中引戴季陶训词，保留成语化部分，周边训诫不入表。
LAQWBW-007	keep	003.戴季陶二三事（黄贻谋）.txt	27	27	狡兔死，走狗烹	史传成语	文中以此概括功臣失势之鉴，保留典故成语。
LAQWBW-008	keep	003.戴季陶二三事（黄贻谋）.txt	29	29	天庭饱满，地角方圆	相术成语	文中转述相面语，保留传统术语。
LAQWBW-009	keep	003.戴季陶二三事（黄贻谋）.txt	33	33	恩威并济	传统成语	形容同时施恩与立威，保留成语。
LAQWBW-010	keep	003.戴季陶二三事（黄贻谋）.txt	35	35	清水衙门	传统俗语	文中形容表面无油水的机关，保留俗语。
LAQWBW-011	keep	003.戴季陶二三事（黄贻谋）.txt	35	35	官官相护	传统成语	文中形容官场互护，保留成语。
LAQWBW-012	keep	003.戴季陶二三事（黄贻谋）.txt	35	35	如丧考妣	传统成语	文中形容悲痛失态，保留成语。
LAQWBW-013	keep	003.戴季陶二三事（黄贻谋）.txt	39	39	不伦不类	传统成语	文中形容陈设混杂，保留成语。
LAQWBW-014	keep	003.戴季陶二三事（黄贻谋）.txt	41	41	以马上得天下则可，不能以马上治天下	史传名句	戴季陶引用古典治术成句，保留古典句本身。
LAQWBW-015	keep	003.戴季陶二三事（黄贻谋）.txt	41	41	国家兴亡，匹夫有责	传统格言	文中化用传统责任格言，按古典格言保留。
LAQWBW-016	keep	003.戴季陶二三事（黄贻谋）.txt	41	41	修身、齐家、治国、平天下	大学名句	文中引用修齐治平成句，保留古典名句。
LAQWBW-017	keep	003.戴季陶二三事（黄贻谋）.txt	49	49	气象勿傲勿暴勿怠；颜色宜和宜静宜庄。	联语	折扇所录对联，保留完整联语。
LAQWBW-018	keep	003.戴季陶二三事（黄贻谋）.txt	49	49	大肚能容，容天下难容之事；开颜常笑，笑世间可笑之人。	联语	折扇所录弥勒联，保留传统联语。
LAQWBW-019	keep	009.“国民大会”见闻点滴（李韫晖）.txt	25	25	万人丛中一握手，使我衣袖三年香。	诗句	作者回忆见宋美龄时引诗句；只保留诗句，不收政治回忆语境。
LAQWBW-020	keep	010.有关CC点滴见闻录（黄应昌）.txt	9	9	守口如瓶	传统成语	文中形容守秘，保留成语。
LAQWBW-021	keep	010.有关CC点滴见闻录（黄应昌）.txt	89	89	大道之行也，我知之矣。智者愚之，愚者不及也。	古籍引文	作为条幅古书引文保留，周边政治派系叙述不入表。
LAQWBW-022	keep	013.昙花一现的内政部调查局（刘介鲁）.txt	7	7	换汤不换药	传统俗语	文中形容机构改名而实质不变，保留俗语。
LAQWBW-023	keep	015.杨虎城将军被捕经过（王根僧）.txt	55	55	一将功成万骨枯	唐诗名句	杨虎城谈内战时引唐诗成句，保留诗句本身。
LAQWBW-024	keep	018.深夜怀友（叶公超）.txt	3	3	我不是一个信徒，只是一个Eliot的读者。	文学谈话语	叶公超澄清自己与艾略特的关系，属文学讨论语境，非政治语录。
LAQWBW-025	keep	018.深夜怀友（叶公超）.txt	3	3	引经据典	传统成语	胡适谈诗中用典时使用，保留成语。
LAQWBW-026	keep	018.深夜怀友（叶公超）.txt	5	5	放暗箭	传统俗语	文中形容背后攻击，保留俗语。
LAQWBW-027	keep	018.深夜怀友（叶公超）.txt	15	15	希望是他的动力。	现代格言	文中概括胡适性格，非政治语录，保留为格言式短句。
LAQWBW-028	keep	020.胡适之（温源宁）.txt	5	5	夜阑人静	传统成语	文中形容深夜安静，保留成语。
LAQWBW-029	keep	020.胡适之（温源宁）.txt	9	9	文如其人	文论成语	文中借布风之说评论胡适散文，保留文论成语。
LAQWBW-030	keep	021.胡适之先生（朱文长）.txt	13	13	只开风气不为师	胡适诗句	文中称胡适答诗中有此句，保留诗句。
LAQWBW-031	keep	021.胡适之先生（朱文长）.txt	15	15	以谈会友	化用成语	胡适自称公开接见客人为以谈会友，保留化用语。
LAQWBW-032	keep	021.胡适之先生（朱文长）.txt	17	17	老子又不是我的老子，我哪会有什么成见呢？	胡适谐语	胡适谈老子年代问题时的机智语，属学术轶事。
LAQWBW-033	keep	021.胡适之先生（朱文长）.txt	17	17	在大学里，各位教授将各种学说介绍给大家，同学应当自己去选择，看哪个合乎真理。	胡适教育语	胡适谈大学中不同学说并陈与学生自择，非政治语录。
LAQWBW-034	keep	021.胡适之先生（朱文长）.txt	23	23	有朝祖国抬头日，来写青山第二碑！	胡适诗句	胡适写被封碑记后所作诗句，保留诗句。
LAQWBW-035	keep	023.追忆胡适之先生（蒋复璁）.txt	13	13	慰堂，你们为什么这样不宽容人啊？	胡适语	胡适劝人宽容之语，非政治语录。
LAQWBW-036	keep	023.追忆胡适之先生（蒋复璁）.txt	13	13	先行其言，而后从之。	论语名句	蒋复璁以《论语》句说明胡适行而不言，保留古典名句。
LAQWBW-037	keep	024.胡适之先生哀词（毛子水）.txt	5	5	学莫便乎近其人。	荀子名句	毛子水哀词开篇引荀子语，保留古典名句。
LAQWBW-038	keep	024.胡适之先生哀词（毛子水）.txt	5	5	高山仰止，景行行止	诗经名句	作者追思胡适人格时用《诗经》成句，保留。
LAQWBW-039	keep	024.胡适之先生哀词（毛子水）.txt	5	5	见义勇为	传统成语	文中列举胡适德行，保留成语。
LAQWBW-040	keep	024.胡适之先生哀词（毛子水）.txt	5	5	舍己从人	尚书成语	文中列举胡适德行，保留成语。
LAQWBW-041	keep	024.胡适之先生哀词（毛子水）.txt	5	5	无地自容	传统成语	作者自省时使用，保留成语。
LAQWBW-042	keep	027.胡适是什么样的学者？（石原皋）.txt	5	5	十里洋场	传统俗语	文中写旧上海环境，保留俗语。
LAQWBW-043	keep	027.胡适是什么样的学者？（石原皋）.txt	5	5	风月场中	传统俗语	文中写旧式声色场合，保留俗语。
LAQWBW-044	keep	027.胡适是什么样的学者？（石原皋）.txt	7	7	使君有妇	乐府典故	文中写胡适恋爱故事时用罗敷典故，保留。
LAQWBW-045	keep	027.胡适是什么样的学者？（石原皋）.txt	7	7	罗敷有夫	乐府典故	文中写恋爱两造皆有婚约，以典故表达，保留。
LAQWBW-046	keep	027.胡适是什么样的学者？（石原皋）.txt	7	7	恨不相逢未嫁娶	唐诗化用	文中写错过婚嫁时机，保留诗意化用。
LAQWBW-047	keep	027.胡适是什么样的学者？（石原皋）.txt	7	7	万事俱备，只欠东风	三国成语	文中形容条件皆备，保留成语。
LAQWBW-048	keep	027.胡适是什么样的学者？（石原皋）.txt	7	7	鱼与熊掌两者不可得兼	孟子名句	文中写名与爱不可兼得时化用，保留。
LAQWBW-049	keep	027.胡适是什么样的学者？（石原皋）.txt	11	17	咬不开，捶不碎的核儿，\n关不住核儿里的一点生意；\n百尺的宫墙，千年的礼教，\n锁不住一个少年的心！	胡适诗	文中引胡适一九二二年《有感》诗，保留整段。
LAQWBW-050	keep	027.胡适是什么样的学者？（石原皋）.txt	23	23	朋友之妻不可欺	传统俗语	小节标题式俗语，保留。
LAQWBW-051	keep	030.马寅初先生在重庆大学（叶沛婴）.txt	27	27	说一是一，说二是二	传统俗语	文中形容马寅初意志坚定，保留俗语。
LAQWBW-052	keep	030.马寅初先生在重庆大学（叶沛婴）.txt	27	27	威武不能屈、富贵不能淫	孟子名句	文中形容马寅初操守，保留孟子名句。
LAQWBW-053	keep	030.马寅初先生在重庆大学（叶沛婴）.txt	43	43	穷途末路	传统成语	文中形容反动派走向末路，保留成语本身。
