status	id	source_file	line_start	line_end	category	source_or_origin	quote_text	summary
added	LAYJJ-031	024.19991229李敖交通大学演讲.txt	63	63	儒家文句	《论语》	知之为知之，不知为不知，是知也	李敖回答学生时引用孔子语并重新解释求知态度。
added	LAYJJ-032	025.20000104李敖师范大学演讲.txt	13	13	小说俗语	《水浒传》王婆语	潘驴邓小贤	李敖讲民间语言和古典小说口语时引用。
added	LAYJJ-046	029.20000110李敖成功大学演讲.txt	29	29	古典诗句	文天祥《正气歌》	悠悠我心忧，苍天曷有极。哲人日已远，典刑在夙昔。	李敖讲成功与失败时引用《正气歌》。
added	LAYJJ-047	029.20000110李敖成功大学演讲.txt	29	29	儒家格言	《论语》	求仁得仁	李敖谈文天祥取舍时引用孔子语。
added	LAYJJ-048	029.20000110李敖成功大学演讲.txt	29	29	儒家格言	《论语》	仁者不忧	李敖谈文天祥取舍时引用孔子语。
added	LAYJJ-051	037.20000329李敖少年观护所演讲.txt	99	99	历史歌诀	李敖记汉代帝王歌诀	高惠文景武昭宣，元成哀平孺子新，光武明章和殇安，顺冲质桓灵献	李敖讲记忆方法时朗读的押韵歌诀。
added	LAYJJ-074	048.20100525李敖台湾大学演讲.txt	61	61	古典文句	明儒语	束书不观	李敖谈面对出版洪流的读书选择时引用。
added	LAYJJ-082	053.20110723李敖香港书展演讲.txt	35	35	俗语	现代俗语	不是猛龙不过江。	李敖在香港书展演讲开头纠正主持人说法。
removed	LAYJJ-065						马上得天下，你不能马上治天下	政事格言，核心是治国与权力治理；校对轮按政治语录边界删除。
removed	LAYJJ-071						向阳花木	源文把完整诗句拆成词库短片段，单独入库过碎；校对轮删除。
removed	LAYJJ-072						早逢春	源文把完整诗句拆成词库短片段，单独入库过碎；校对轮删除。
removed	LAYJJ-075						货恶其弃于地也，不必藏于己；力恶其不出于身也，不必为已。	虽为《礼记》古文，但本段用于宪法、马克思主义与分配制度论述；校对轮按政治思想语境删除。
