id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LADB-001	keep-first-pass	李敖式文句	斯文在兹，斯法在焉	小引文句	《李敖刀笔集》小引.txt	3	3	本书在相关章节使用或引录“斯文在兹，斯法在焉”，保留其可独立检索的李敖式文句性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-002	keep-first-pass	中文成语	有识之士	传统成语	《李敖刀笔集》小引.txt	3	3	本书在相关章节使用或引录“有识之士”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-003	keep-first-pass	中文成语	滥竽充数	传统成语	001.告徐复观的状子.txt	33	33	本书在相关章节使用或引录“滥竽充数”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-004	keep-first-pass	中文成语	连篇累牍	传统成语	001.告徐复观的状子.txt	33	33	本书在相关章节使用或引录“连篇累牍”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-005	keep-first-pass	中文熟语	障眼法	中文熟语	001.告徐复观的状子.txt	33	33	本书在相关章节使用或引录“障眼法”，保留其可独立检索的中文熟语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-006	keep-first-pass	中文成语	别创一格	传统成语	001.告徐复观的状子.txt	57	57	本书在相关章节使用或引录“别创一格”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-007	keep-first-pass	中文成语	登龙有术	传统成语	001.告徐复观的状子.txt	57	57	本书在相关章节使用或引录“登龙有术”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-008	keep-first-pass	中文格言式评语	能见人之所未见，言人之所不敢言	报刊评语	001.告徐复观的状子.txt	57	57	本书在相关章节使用或引录“能见人之所未见，言人之所不敢言”，保留其可独立检索的中文格言式评语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-009	keep-first-pass	中文成语	恬不知耻	传统成语	001.告徐复观的状子.txt	57	57	本书在相关章节使用或引录“恬不知耻”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-010	keep-first-pass	中文成语	恨入骨髓	传统成语	001.告徐复观的状子.txt	65	65	本书在相关章节使用或引录“恨入骨髓”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-011	keep-first-pass	中文成语	今古奇观	传统成语	001.告徐复观的状子.txt	65	65	本书在相关章节使用或引录“今古奇观”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-012	keep-first-pass	中文成语	拍案称奇	传统成语	001.告徐复观的状子.txt	65	65	本书在相关章节使用或引录“拍案称奇”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
LADB-013	keep-first-pass	中文熟语	牵着别人的鼻子走	中文熟语	001.告徐复观的状子.txt	65	65	本书在相关章节使用或引录“牵着别人的鼻子走”，保留其可独立检索的中文熟语性质。	首轮保守收录：《李敖刀笔集》为法律诉状、媒体争议、机关往返与政治人物/机构批评密集文本；现代党政口号、政策判断、诉状请求、判例定义、机关复函、人名攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、法律/新闻伦理格言及少量李敖式题句。
