source_file	line	text
001.写在居浩然《十论》的前面.txt	5	《十论》是我平生喜欢读的书之一。我最早读它，在台大文学院。有一天好友马宏祥跟我说：“居浩然的《十论》大可一看。我原以为这个淡江英专校长是个普通党国元老的纨绔子弟，其实不然。此公为文，极有创见，并且文笔清新可读。”经过这一介绍，我把《十论》读了一遍，深觉马宏祥的判断不错，从此对居浩然另眼相看。
001.写在居浩然《十论》的前面.txt	9	淡江大学的前身淡江英专的全名是私立淡江英语专科学校，这个学校的创办背后有一段动人的悲欢离合故事，我先由居浩然的父亲居正说起。
001.写在居浩然《十论》的前面.txt	11	居正是湖北广济人，生于1876年，那正是清朝光绪二年，民国成立前三十二年。居正先在中国受旧教育，后来到日本留学，念的是法政大学，并且从事革命运动。当时中国的革命，有两大家：一类是边缘革命家、一类是中原革命家。边缘革命家只会在海外或沿海省份旁敲侧击，结果作秀有余，动摇清廷根本不足；中原革命家则主张打硬仗，他们深入民间、腹地和内陆，冒真险、犯大难，进行革命。辛亥武昌起义的成功，就是中原革命家判断正确的明证。中原革命家之一、因痛恨蒋介石而唾弃政治的大儒熊十力，在居正《辛亥札记》序中就说：“武汉为南北关键，一旦动摇，则四方瓦解。”武昌起义的终使清廷四方瓦解，原因正是在此。而武昌起义的大功臣，就是居正。
001.写在居浩然《十论》的前面.txt	19	居瀛玖自从给日本人做养女后，一连二十一年，没能回到自己的祖国。但她心怀祖国、心怀祖国的亲人。她瞒了养父母，偷着写信给弟弟居浩然。居浩然刚进清华大学不久，忽然收到一封日本寄来的英文信，起先摸不着头脑，后来才知道是“玖姐”写来的。信中说她家常有中国客人上门拜访，从客人口中，得知她原来是居家的女儿，遂想尽办法，想跟亲人联络。因为她一句中国话也不会说，除日文中的汉字外，也不识中文。而且就是那些汉字，读音和意义也和中文不同。所以希望回信用英文，寄到她英语学院老师田中女士家收转，这当然是背着养父母通信的缘故。
001.写在居浩然《十论》的前面.txt	25	居瀛玖结婚后，在1935年第一次来到祖国，她在上海和居浩然等见了面，大家很高兴。但是高兴归高兴，语言不通却是麻烦。双方英文都能写不能说，虽然可用笔谈，但是总嫌隔了一层。于是居瀛玖发愤学中国话，几年以后，她不但能说国语、上海话，还会说台湾话，她真回归做中国人了。
001.写在居浩然《十论》的前面.txt	27	可是，好景不长，当抗战开始的时候，姐弟的音讯断了，一断就是八年。抗战胜利后，亲人们又重拾旧欢。很快的，国民党垮了，从大陆垮到了台湾，居家也不例外。1950年，居家到了台湾。台湾因为是居瀛玖丈夫张惊声的故乡，所以居家因人和得了地利，居瀛玖把后草山的房子让出来，给娘家亲人住，自己搬到武昌街。居浩然回忆：“她这种克己为人的美德真是饶有古风，也可以说二次世界大战前的日本教育尚保存了中国的传统道德，我们自己则道德沦丧久矣。”
001.写在居浩然《十论》的前面.txt	37	居浩然在被扫地出门后二十七年死去，他死后，居太太——张建邦的舅妈——徐萱女士，在海外看到王小痴和我纪念居浩然的文章，“非常感动”，乃在前年3月，写了一封信给王小痴和我，另附相关文件。相关这些文件，透露了居瀛玖、居浩然惨淡经营学校的许多辛苦，也透露了张建邦的许多不为人知的行径。相关文件第一件是“居浩然与淡江英专”，居太太写道：
001.写在居浩然《十论》的前面.txt	63	居太太把居浩然跟淡江英专的事，只写了这么四点，当然只是简述。事实上，可补充的真相还有很多。例如所谓“淡江英专是我们张家的财产”之说，就大有问题。第一，淡江英专成立于1950年9月，当时所谓财产，只是借用淡江中学的两间教室而已，实际一无所有。张惊声素怀大志，“造反有一手，建设非所长”，他当时因为是淡江中学校长，遂得以淡江中学的英语补习班为基础，扩充升级为淡江英专。张惊声死后，居正派居浩然去淡水实地勘察，并指示如果学生人数不多，不如停办算了。居浩然实地勘察后，向爸爸报告说：“学生人数确是不多，但无法停办。当初申请立案时报部验明银行存有基金新台币二十五万元，现若停办，依法基金应缴存国库。新台币二十五万元时值一万二千五百元美金，董事长连五百元美金都没有，拿什么缴给国库？那么，原来的基金呢？原来的基金乃是假的！我姐夫付给银行二十五万元借款一天的利息，就在这一天教育厅督学到学校及银行验明属实！”事实既然是张惊声并没有真的出资，欲罢不能，只好硬着头皮办下去。
001.写在居浩然《十论》的前面.txt	65	第二，居太太说：“浩然与地方士绅联络，他们捐赠淡水土地十甲作为英专的永久校址。”这是真的。因为当时台湾只有一所大学和三所学院，别无大专，居浩然用生花妙舌，说动淡水地方人士，使他们乐见淡水地方有大专出现，因而捐出了五虎岗的十甲土地，这种功劳，是谁家的财产乎？
001.写在居浩然《十论》的前面.txt	67	至于居太太说今天张建邦把淡江校史改编，“没有居浩然这一回事”，“他在五年多期间辛苦成就的事情”，都被抹杀，“都写在别人的功劳上”，这是真的。“创业维艰，建校五年比继承事业五十年还要艰苦。前人种树，后人夺树而纳凉；后人不但不惭愧，反而蒙蔽事实，自鸣得意”，这都是真的，这些都是张建邦的颠倒真相、忘恩负义，都是令我们不得不口诛笔伐的可耻行径！
