file	line	text	context
001.看谁文章写得好？（代序）.txt	11	唐宋八大家	用狗屁来说明，实在不是骂人，而是一种评判标准。所谓文章，基本问题只是两个：一、你要表达什么？二、你表达得好不好？两个问题是二合一的，绝不能分开。古往今来，文章特多，可是好文章不多的原因，就在没能将这二合一的问题摆平。中国人一谈写文章排名，韩愈就是老大，他是“唐宋八大家”的头牌，又是“文起八代之衰”的大将，承前启后，代表性特强，可是你去读读他的全集看，你会发现读不下去。你用上面两个问题一套：一、他要表达什么？答案是：他思路不清，头脑很混，他主张“非圣人之志，不敢存”，但什么是圣人之志？他自己也不知道；二、他表达得好不好？答案是：他好用古文奇字，做气势奔放状，文言文在他手下，变成了抽象名词排列组合，用一大堆废话，来说三句话就可说清楚的小意思，表达得实在不好。
001.看谁文章写得好？（代序）.txt	11	文起八代之衰	用狗屁来说明，实在不是骂人，而是一种评判标准。所谓文章，基本问题只是两个：一、你要表达什么？二、你表达得好不好？两个问题是二合一的，绝不能分开。古往今来，文章特多，可是好文章不多的原因，就在没能将这二合一的问题摆平。中国人一谈写文章排名，韩愈就是老大，他是“唐宋八大家”的头牌，又是“文起八代之衰”的大将，承前启后，代表性特强，可是你去读读他的全集看，你会发现读不下去。你用上面两个问题一套：一、他要表达什么？答案是：他思路不清，头脑很混，他主张“非圣人之志，不敢存”，但什么是圣人之志？他自己也不知道；二、他表达得好不好？答案是：他好用古文奇字，做气势奔放状，文言文在他手下，变成了抽象名词排列组合，用一大堆废话，来说三句话就可说清楚的小意思，表达得实在不好。
001.看谁文章写得好？（代序）.txt	11	非圣人之志，不敢存	用狗屁来说明，实在不是骂人，而是一种评判标准。所谓文章，基本问题只是两个：一、你要表达什么？二、你表达得好不好？两个问题是二合一的，绝不能分开。古往今来，文章特多，可是好文章不多的原因，就在没能将这二合一的问题摆平。中国人一谈写文章排名，韩愈就是老大，他是“唐宋八大家”的头牌，又是“文起八代之衰”的大将，承前启后，代表性特强，可是你去读读他的全集看，你会发现读不下去。你用上面两个问题一套：一、他要表达什么？答案是：他思路不清，头脑很混，他主张“非圣人之志，不敢存”，但什么是圣人之志？他自己也不知道；二、他表达得好不好？答案是：他好用古文奇字，做气势奔放状，文言文在他手下，变成了抽象名词排列组合，用一大堆废话，来说三句话就可说清楚的小意思，表达得实在不好。
001.看谁文章写得好？（代序）.txt	13	如崇山大海	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里？好的标准是什么？
001.看谁文章写得好？（代序）.txt	13	如幽岩怪壑	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里？好的标准是什么？
001.看谁文章写得好？（代序）.txt	13	如秋山平远	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里？好的标准是什么？
001.看谁文章写得好？（代序）.txt	13	如长江大河	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里？好的标准是什么？
001.看谁文章写得好？（代序）.txt	13	如断岸千尺	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里？好的标准是什么？
001.看谁文章写得好？（代序）.txt	13	如波泽春涨	糟糕的还不在文章不好，而在不好却不知道不好，还以为那是好。这就表示了，中国人评判文章，缺乏一种像样的标准。以唐宋八大家而论，所谓行家，说韩愈文章“如崇山大海”、柳宗元文章“如幽岩怪壑”、欧阳修文章“如秋山平远”、苏轼文章“如长江大河”、王安石文章“如断岸千尺”、曾巩文章“如波泽春涨”……说得玄之又玄，除了使我们知道水到处流山一大堆以外，实在摸不清文章好在哪里？好的标准是什么？
001.看谁文章写得好？（代序）.txt	23	诗歌	中国文章，一开始不是文章，而是“诗歌”，那是春秋以前的事。诗歌是当时白话和文言二合一的产物，当时的写作技巧很单调，最喜欢用单字重复来绘影绘声，描写黄莺，就来个“其鸣喈喈”，描写桃花，就来个“灼灼其华”，很少会变花样。我们读《诗经》，看到的，多是这类原始的表达法。
001.看谁文章写得好？（代序）.txt	23	其鸣喈喈	中国文章，一开始不是文章，而是“诗歌”，那是春秋以前的事。诗歌是当时白话和文言二合一的产物，当时的写作技巧很单调，最喜欢用单字重复来绘影绘声，描写黄莺，就来个“其鸣喈喈”，描写桃花，就来个“灼灼其华”，很少会变花样。我们读《诗经》，看到的，多是这类原始的表达法。
001.看谁文章写得好？（代序）.txt	23	灼灼其华	中国文章，一开始不是文章，而是“诗歌”，那是春秋以前的事。诗歌是当时白话和文言二合一的产物，当时的写作技巧很单调，最喜欢用单字重复来绘影绘声，描写黄莺，就来个“其鸣喈喈”，描写桃花，就来个“灼灼其华”，很少会变花样。我们读《诗经》，看到的，多是这类原始的表达法。
001.看谁文章写得好？（代序）.txt	35	新八股派	狗屁的原因是：白话文的正宗基础太薄弱，胡适等人公开表示他们老一代的白话文是放小脚式的，提倡有心，创作无力；另一方面，白话文的起步一再误入歧途，它们走上“新八股派”、“新之乎者也派”、“旧的吗了呢派”、“新鸳鸯蝴蝶派”等错路上去，乍看起来，捧来捧去，仿佛成功，实际情形却是做人成功，作文失败。小毛头们在这种文风里长大，自然种屁得屁，要他们写出不受污染的清新之作，又奇迹何来？
001.看谁文章写得好？（代序）.txt	35	新之乎者也派	狗屁的原因是：白话文的正宗基础太薄弱，胡适等人公开表示他们老一代的白话文是放小脚式的，提倡有心，创作无力；另一方面，白话文的起步一再误入歧途，它们走上“新八股派”、“新之乎者也派”、“旧的吗了呢派”、“新鸳鸯蝴蝶派”等错路上去，乍看起来，捧来捧去，仿佛成功，实际情形却是做人成功，作文失败。小毛头们在这种文风里长大，自然种屁得屁，要他们写出不受污染的清新之作，又奇迹何来？
001.看谁文章写得好？（代序）.txt	35	旧的吗了呢派	狗屁的原因是：白话文的正宗基础太薄弱，胡适等人公开表示他们老一代的白话文是放小脚式的，提倡有心，创作无力；另一方面，白话文的起步一再误入歧途，它们走上“新八股派”、“新之乎者也派”、“旧的吗了呢派”、“新鸳鸯蝴蝶派”等错路上去，乍看起来，捧来捧去，仿佛成功，实际情形却是做人成功，作文失败。小毛头们在这种文风里长大，自然种屁得屁，要他们写出不受污染的清新之作，又奇迹何来？
001.看谁文章写得好？（代序）.txt	35	新鸳鸯蝴蝶派	狗屁的原因是：白话文的正宗基础太薄弱，胡适等人公开表示他们老一代的白话文是放小脚式的，提倡有心，创作无力；另一方面，白话文的起步一再误入歧途，它们走上“新八股派”、“新之乎者也派”、“旧的吗了呢派”、“新鸳鸯蝴蝶派”等错路上去，乍看起来，捧来捧去，仿佛成功，实际情形却是做人成功，作文失败。小毛头们在这种文风里长大，自然种屁得屁，要他们写出不受污染的清新之作，又奇迹何来？
003.大慈大悲李敖菩萨.txt	45	大慈大悲观世音菩萨	红尘看破了，是不是就跑到山林里、古庙里，低眉合十，整天念念有词，了此残生，就算完了呢？是不是人生如梦，既昭然若揭，就“大慈大悲观世音菩萨”一番，就算完了呢？
