score	file	line	text	reasons	context
5	002.第一部——三十年前.txt	49	你阁下写的书，也包括在内。	trigger-context,punctuated,political-context	作家大学生还告诉我，这位妹妹，本是北一女中的学生，但她不喜欢斲丧性灵的学校教育，所以念完高二就不念了。当时全家反对她，但她不听，终于自动休了学。她跑到南部乡下亲戚家里，在竹林和风声里独自住了几天。她自由自在的活着，她有勇气这样做。她飘来飘去，但绝非不良少年，相反的，她程度好得很，她的知识很渊博，这和她的聪明与用功有关，她有两书架的藏书，书架上从《拓扑学》到拓本，从《板桥杂记》到版画，从《失乐园》（Paradise Lost）到《儿童的诗园》（Child's Gardon of Verse），几乎一应俱全。“当然，”作家大学生特别补了一句。“你阁下写的书，也包括在内。”至于写作情形，不知道，只知道她常常写东西，但写什么，发表不发表，都不知道。总之，她很神秘，她不太喜欢交朋友。
4	002.第一部——三十年前.txt	139	中道崩殂	trigger-context,chinese-compact,political-context	1949年，独夫蒋介石被共产党赶到台湾的时候，有两三百万大陆人，跟他或被迫跟他同来这个岛上，我的父母身在其中，当时我十四岁，没有选择权，也一起来了。对一个从十四岁成长的少年，那真是漫漫长夜，从初中到高中，从大学到军队，到处都是蓝色统治下的白色恐怖，令人窒息。人们都走了屈从的、逃避的、同流合污的顺民之路，我却不甘如此。我把人生设定了一个主轴，那个主轴就是我要做一个伟大的知识分子，博学多闻、特立独行，并且要经世致用，有利国家和人民。我从在北京念小学时候，就受了左派书刊的鼓舞，加深了这一怀抱。但我因为好学深思，思想上并不像左派那样褊狭。十四岁到台湾，我脱离了大陆的狂飙，却坐困在海岛的高压，从中学而大学，我一直在这一主轴上锻炼我自己、期勉我自己。我遭遇了许多困难的经验，其中最大的，是我缺乏真正使我五体投地的师承与榜样；而在同辈中，我又因自己过分超群而变得难以向朋友学到什么；而与我同行的女朋友们，也都“中道崩殂”、劳燕分飞；再加上早年的穷...
8	002.第一部——三十年前.txt	141	好啦，请你不要自杀，只有你老是给我惹麻烦。您老六十八岁了，总之，也活不了太久了。	known-pattern,punctuated,political-context	这个政府控制了三十一家报纸，也就是全部的报纸，它不准异己办报。它所控制的报纸，可以毫无忌惮的造谣生事，诽谤官方所要斗臭或打击的人。想告它诽谤吗？绝对没有成功的希望，因为法院又是官方控制的。我就告过两家，可是法院连传都不传他们，就判他们无罪。所以，同他们在新闻上和法律上缠斗，异己绝无希望，除了呕气以外，一无所得。当德国的阿登纳（Adenauer），在纳粹势力如日中天的时候、在全国人都向纳粹低眉俯首的时候，他曾表现了“虽千万人，吾往矣”的气概，但换得的，却是被极权政府整得灰头土脸——法庭上诬陷他诈欺背信、监狱中折磨他夜不安枕、名誉被破坏、财产被没收、自由无缘、家庭破碎。他当时在新闻上和法律上若与纳粹缠斗，绝无希望，他只有在监狱中等待、在修道院的玫瑰花丛中等待，等待有朝一日，海晏河清。他六十八岁时候，集中营主管对他说：“好啦，请你不要自杀，只有你老是给我惹麻烦。您老六十八岁了，总之，也活不了太久了。”可笑这集中营主管狗眼看人低，他没想...
9	002.第一部——三十年前.txt	141	虽千万人，吾往矣	known-pattern,punctuated,chinese-compact,political-context	这个政府控制了三十一家报纸，也就是全部的报纸，它不准异己办报。它所控制的报纸，可以毫无忌惮的造谣生事，诽谤官方所要斗臭或打击的人。想告它诽谤吗？绝对没有成功的希望，因为法院又是官方控制的。我就告过两家，可是法院连传都不传他们，就判他们无罪。所以，同他们在新闻上和法律上缠斗，异己绝无希望，除了呕气以外，一无所得。当德国的阿登纳（Adenauer），在纳粹势力如日中天的时候、在全国人都向纳粹低眉俯首的时候，他曾表现了“虽千万人，吾往矣”的气概，但换得的，却是被极权政府整得灰头土脸——法庭上诬陷他诈欺背信、监狱中折磨他夜不安枕、名誉被破坏、财产被没收、自由无缘、家庭破碎。他当时在新闻上和法律上若与纳粹缠斗，绝无希望，他只有在监狱中等待、在修道院的玫瑰花丛中等待，等待有朝一日，海晏河清。他六十八岁时候，集中营主管对他说：“好啦，请你不要自杀，只有你老是给我惹麻烦。您老六十八岁了，总之，也活不了太久了。”可笑这集中营主管狗眼看人低，他没想...
6	002.第一部——三十年前.txt	141	走老运	known-pattern,political-context	这个政府控制了三十一家报纸，也就是全部的报纸，它不准异己办报。它所控制的报纸，可以毫无忌惮的造谣生事，诽谤官方所要斗臭或打击的人。想告它诽谤吗？绝对没有成功的希望，因为法院又是官方控制的。我就告过两家，可是法院连传都不传他们，就判他们无罪。所以，同他们在新闻上和法律上缠斗，异己绝无希望，除了呕气以外，一无所得。当德国的阿登纳（Adenauer），在纳粹势力如日中天的时候、在全国人都向纳粹低眉俯首的时候，他曾表现了“虽千万人，吾往矣”的气概，但换得的，却是被极权政府整得灰头土脸——法庭上诬陷他诈欺背信、监狱中折磨他夜不安枕、名誉被破坏、财产被没收、自由无缘、家庭破碎。他当时在新闻上和法律上若与纳粹缠斗，绝无希望，他只有在监狱中等待、在修道院的玫瑰花丛中等待，等待有朝一日，海晏河清。他六十八岁时候，集中营主管对他说：“好啦，请你不要自杀，只有你老是给我惹麻烦。您老六十八岁了，总之，也活不了太久了。”可笑这集中营主管狗眼看人低，他没想...
4	002.第一部——三十年前.txt	145	从不曾想到我是给关起来了	trigger-context,chinese-compact,political-context	我来自白山黑水的祖国，到了玉山浊水的岛上，虽然岛是祖国的一部分、我是祖国的一部分，但因政治的缘故，我只能局限在千分之三的中国领土上做战士，虽然在比例上，我的努力会因岛的狭小而使自己“与之偕小”，限制了躯壳，但努力的精神和成果并不受它限制，也限制不了，就像《湖滨散记》（Walden）的作者梭罗（Thoreau）坐牢的时候，他说他“从不曾想到我是给关起来了，高墙实在等于浪费材料……他们根本不知道如何对付我……他们总以为我唯一目的是想站到墙外面。每在我沉思的时候，看守那种紧张样子，真教人好笑。他们哪里知道才一转身，我就毫无阻挡的跟着出去了……。”梭罗当然不会小说中穿墙透壁的功夫，他这种来去自如，是指观念上的解脱，观念上“从不曾想到我是给关起来了”。他虽然身在斗室之内，但却心在六合之外，神游四海、志驰八方，就像拉夫瑞斯（Richard lovelace）在牢里写诗给情人所描写的一样。
5	002.第一部——三十年前.txt	145	从不曾想到我是给关起来了，高墙实在等于浪费材料……他们根本不知道如何对付我……他们总以为我唯一目的是想站到墙外面。每在我沉思的时候，看守那种紧张样子，真教人好笑。他们哪里知道才一转身，我就毫无阻挡的跟着出去了……。	trigger-context,punctuated,political-context	我来自白山黑水的祖国，到了玉山浊水的岛上，虽然岛是祖国的一部分、我是祖国的一部分，但因政治的缘故，我只能局限在千分之三的中国领土上做战士，虽然在比例上，我的努力会因岛的狭小而使自己“与之偕小”，限制了躯壳，但努力的精神和成果并不受它限制，也限制不了，就像《湖滨散记》（Walden）的作者梭罗（Thoreau）坐牢的时候，他说他“从不曾想到我是给关起来了，高墙实在等于浪费材料……他们根本不知道如何对付我……他们总以为我唯一目的是想站到墙外面。每在我沉思的时候，看守那种紧张样子，真教人好笑。他们哪里知道才一转身，我就毫无阻挡的跟着出去了……。”梭罗当然不会小说中穿墙透壁的功夫，他这种来去自如，是指观念上的解脱，观念上“从不曾想到我是给关起来了”。他虽然身在斗室之内，但却心在六合之外，神游四海、志驰八方，就像拉夫瑞斯（Richard lovelace）在牢里写诗给情人所描写的一样。
4	002.第一部——三十年前.txt	145	与之偕小	trigger-context,chinese-compact,political-context	我来自白山黑水的祖国，到了玉山浊水的岛上，虽然岛是祖国的一部分、我是祖国的一部分，但因政治的缘故，我只能局限在千分之三的中国领土上做战士，虽然在比例上，我的努力会因岛的狭小而使自己“与之偕小”，限制了躯壳，但努力的精神和成果并不受它限制，也限制不了，就像《湖滨散记》（Walden）的作者梭罗（Thoreau）坐牢的时候，他说他“从不曾想到我是给关起来了，高墙实在等于浪费材料……他们根本不知道如何对付我……他们总以为我唯一目的是想站到墙外面。每在我沉思的时候，看守那种紧张样子，真教人好笑。他们哪里知道才一转身，我就毫无阻挡的跟着出去了……。”梭罗当然不会小说中穿墙透壁的功夫，他这种来去自如，是指观念上的解脱，观念上“从不曾想到我是给关起来了”。他虽然身在斗室之内，但却心在六合之外，神游四海、志驰八方，就像拉夫瑞斯（Richard lovelace）在牢里写诗给情人所描写的一样。
5	002.第一部——三十年前.txt	151	我认识人愈多，我愈喜欢狗。	trigger-context,punctuated,political-context	像隐士一样，我喜欢在山上，讨厌山下的红尘。除非有特别的事，我是很少下山的。朋友们知道我这种隐士的性格，他们也不轻易找我。我虽是一个战斗的人，但我对人际很厌倦，我认为现代技术的统治，已使人愈来愈软弱，使个人抵抗政府与环境的能力愈来愈小，所以个人就变得不可靠也不可爱。“我认识人愈多，我愈喜欢狗。”这句巴斯噶（Blaise Pascal）的名言，是我最欣赏的。戴高乐（Charles de Gaulle）也欣赏这句话，大概强者在历经万劫以后，都会如此洞彻人际。但这并非说自己要形如槁木、心如死灰，而是仍旧努力、不灰心、不停止；仍旧要说自己的、写自己的、表现自己的。
9	002.第一部——三十年前.txt	153	得志与民由之，不得志独行其道	known-pattern,punctuated,chinese-compact,political-context	在山上，我孤独而有效率的生活着。戴高乐在做第五共和总统前，他住在巴黎郊外最后的一幢房子里，保持自我，远离群众的吵闹，但他并非遁世，而是在培养浩然之气——大丈夫的浩然之气、“得志与民由之，不得志独行其道”的浩然之气。戴高乐是我最欣赏的法国人，他给我平地上突起一座山的感觉。而阳明山，正是这样一座山。
