file	line	quote	context
《李敖刀笔集》小引.txt	3	有识之士	中国近代有所谓“刀笔精华”一类书出版，教人打官司，迹其所为，盖“刀笔吏”之流亚，不足登堂入法。但今日法网灰灰而不恢恢，亦令人忧虑。有识之士如李敖者深感“刀笔精华”虽不可取，但“新刀笔精华”却不可无，这本《李敖刀笔集》就是这样一个范本。从这本书中，你不但可以看到李敖恢复了恢恢的法网，并且张开天网，也让它恢恢起来。——正义之士的快意就在这里。斯文在兹，斯法在焉。
001.告徐复观的状子.txt	33	滥竽充数	一、李敖诉状，提到“中西文化争论”问题；本人首应声明，在文化讨论中，本人从不以李敖为对手。盖身为现代之中国人，不论其愿意与否，一方面必受本国文化之影响，故旅居美国数世之华侨，其血液中仍多浸透有祖国之文化。一方面亦必受西方文化之影响，故穷乡僻壤之村妪野老，西方文化，亦必深入于其生活环境之中。对于每一文化研究工作者而言，其所从事者，乃对于每一具体文化问题之了解、把握。其所关心者，乃对于每一具体文化问题所了解、把握者，有无错误。至于一般所谓中化西化之争，乃空洞笼统，无从讨论之过时口号，与文化研究工作者毫无关涉。例如本人研
001.告徐复观的状子.txt	35	近乎卜巫之间	二、李敖系以诽谤为专业；其发展之程度，早经威胁到整个社会与民族之安全。李敖因诽谤诬陷胡秋原先生而被台北地方法院判刑，此处不论。兹将其年来诽谤行为，根据初步不完全之统计，作成附表二。计其对个人指名之诽谤，自孔子以至胡适、钱穆，凡57人。其对集体诽谤，自台湾大学文学院、中央研究院、孔孟学会、立法院、内政部、各大学中文系、全国研究中国文化者、全体较李敖年长之学人、全政府官吏、全国民党员，以至整个中华民族。谓孔子之像为“恐怖”，将孔子思想与西门庆、魏忠贤，等列齐观。对研究孔子思想之人，除加以毒词秽语外，并谓“早应打耳刮子”
001.告徐复观的状子.txt	39	志士仁人	㈠年来少数外国野心家，利用本国少数汉奸，倡为大陆与台湾，本系两个不同民族之邪说；并在伦敦出有《台湾专号》，公开加以鼓吹，以图达到分离独立之目的。目前为应付内外之危机，以开反攻复国之新运，必以加强团结为第一义。一个民族之历史文化，为一个民族得以团结之精神纽带，此乃古今中外之定论。台湾沦陷期间，大陆有心人士，未尝有一日忘台湾，并非在台湾有何现实上之利益，盖出于因历史文化而来之情与理之所不容自己。而台湾之志士仁人，更冒险犯难，未尝一日忘祖国，此岂有爱于满清及北洋军阀之统治？亦出于由历史文化而来之情与理之所不容自己。读书人
001.告徐复观的状子.txt	39	有心人	㈠年来少数外国野心家，利用本国少数汉奸，倡为大陆与台湾，本系两个不同民族之邪说；并在伦敦出有《台湾专号》，公开加以鼓吹，以图达到分离独立之目的。目前为应付内外之危机，以开反攻复国之新运，必以加强团结为第一义。一个民族之历史文化，为一个民族得以团结之精神纽带，此乃古今中外之定论。台湾沦陷期间，大陆有心人士，未尝有一日忘台湾，并非在台湾有何现实上之利益，盖出于因历史文化而来之情与理之所不容自己。而台湾之志士仁人，更冒险犯难，未尝一日忘祖国，此岂有爱于满清及北洋军阀之统治？亦出于由历史文化而来之情与理之所不容自己。读书人
001.告徐复观的状子.txt	65	今古奇观	“全盘西化？”西方是个什么样子？他和您我一样，未越国门一步，知道个啥？可是他下笔如有神，说得天花乱坠、头头是道，你不看他的文笔则已，稍一过目，不是拍案称奇，就是恨入骨髓；要嘛，跟他现代化；要嘛，把他空投美国；此其间，不能有半点“无动于中”的保留。一个没有正式受过西洋教育的人，况且还是搞古董的，对洋玩艺儿崇拜、向往、醉心到这步田地，自己“超越前进”也就算了，还要硬牵着别人的鼻子走，似乎不走还不行；这，我只好也把它列入“今古奇观”这一类。
001.告徐复观的状子.txt	65	天花乱坠	“全盘西化？”西方是个什么样子？他和您我一样，未越国门一步，知道个啥？可是他下笔如有神，说得天花乱坠、头头是道，你不看他的文笔则已，稍一过目，不是拍案称奇，就是恨入骨髓；要嘛，跟他现代化；要嘛，把他空投美国；此其间，不能有半点“无动于中”的保留。一个没有正式受过西洋教育的人，况且还是搞古董的，对洋玩艺儿崇拜、向往、醉心到这步田地，自己“超越前进”也就算了，还要硬牵着别人的鼻子走，似乎不走还不行；这，我只好也把它列入“今古奇观”这一类。
001.告徐复观的状子.txt	67	对簿公堂	一个“天生的怪人”，生活在这个千奇百怪的社会里，做出许多怪事，似乎是颇为正常的。他损人、挖苦人、泼辣的骂人，还要把人带进法院，对簿公堂。他反传统、反文化遗产、反社会“善良风气”，一个劲儿的反到底。他笔锋所至，“不论亲疏”，学者名流固无论矣；连颇为善待他的先后同学、名女作家于梨华，也要带上一笔；揭他们的底牌，抓他们的疮疤。这样的人，成为众矢之的，似乎也是颇为正常的。
001.告徐复观的状子.txt	69	旁征博引	问题是：我们只应该注意他所做、所说、所写，而不应该根据这些去旁征博引，考虑到“思想问题”。来台湾时，才是十来岁的孩子，不可能跟那“一帮人”搭上丝毫关系，这是浅而分明的事实和道理。一种争论，任何一方问题牵涉到争论以外的问题，或许才是“送帽专使”。
001.告徐复观的状子.txt	73	何足道哉	作为一个青年人，一个旁观者对于所谓“李敖问题”，雅不愿见人施予太大的压力。多少怪现象，我们都容纳了；一个吵吵闹闹的“孩子”，容纳不了？我们面对的敌人，有那么多唬人的玩艺，尚且无所畏怯；区区李敖，一怪物耳，何足道哉？
