score	file	line	text	context
5	《李敖自传与回忆》目录.txt	8	北土非吾愿，东林怀我师	005.“北土非吾愿，东林怀我师”
8	《李敖自传与回忆》自序.txt	5	北土非吾愿，东林怀我师	大体说来，《李敖自传》写的是家世、童年和小学时代；《从上海到海上》写的是初一；《我最难忘的一位老师》、《怀严侨》写的是中学时代的奇遇；《“北土非吾愿，东林怀我师”》写的是大学时代和研究所时代的师生之情；《提升文星的一个回忆》写的是文星时代的风云契合；《我最难忘的一个警察》、《最后的九日》写的是被国民党软禁时代的从容与机变；《我最难忘的一个“匪谍”》、《我最难...
8	《李敖自传与回忆》自序.txt	5	纵迹大纲、情怀小样	大体说来，《李敖自传》写的是家世、童年和小学时代；《从上海到海上》写的是初一；《我最难忘的一位老师》、《怀严侨》写的是中学时代的奇遇；《“北土非吾愿，东林怀我师”》写的是大学时代和研究所时代的师生之情；《提升文星的一个回忆》写的是文星时代的风云契合；《我最难忘的一个警察》、《最后的九日》写的是被国民党软禁时代的从容与机变；《我最难忘的一个“匪谍”》、《我最难...
4	《李敖自传与回忆》自序.txt	5	人民公敌	大体说来，《李敖自传》写的是家世、童年和小学时代；《从上海到海上》写的是初一；《我最难忘的一位老师》、《怀严侨》写的是中学时代的奇遇；《“北土非吾愿，东林怀我师”》写的是大学时代和研究所时代的师生之情；《提升文星的一个回忆》写的是文星时代的风云契合；《我最难忘的一个警察》、《最后的九日》写的是被国民党软禁时代的从容与机变；《我最难忘的一个“匪谍”》、《我最难...
4	001.李敖自传.txt	33	你这位先生，妻不贤，子不孝。	十二个小孩中，爸爸在男孩中排行老二。老大（我们叫大爷）李孟谦，是个村学究，为人谦和得有点怕羞。太太（我们叫大娘）是三姑六婆型的，有一男一女。儿子（李纯仁，我们叫大哥）很伪善。有一次大爷去算命，算命先生说：“你这位先生，妻不贤，子不孝。”说得大爷满脸通红，连忙说：“差一点，差一点。”
4	001.李敖自传.txt	33	差一点，差一点。	十二个小孩中，爸爸在男孩中排行老二。老大（我们叫大爷）李孟谦，是个村学究，为人谦和得有点怕羞。太太（我们叫大娘）是三姑六婆型的，有一男一女。儿子（李纯仁，我们叫大哥）很伪善。有一次大爷去算命，算命先生说：“你这位先生，妻不贤，子不孝。”说得大爷满脸通红，连忙说：“差一点，差一点。”
8	001.李敖自传.txt	45	七两为参，三两为宝	吉林的特产是东北三宝，所谓“人参”“貂皮”“乌拉草”。人参在传说中，是一种“土行孙”式可在地下行走的植物，去挖的时候，要小心翼翼的围捕，方不被它跑掉。人参每次出土，有的相隔十多年、有的相隔二十多年。人参总在地下隐居百年以上，它虽在地下隐居，却要在林间、岩下、腐土、低温、背阴向阳、倚水又排水良好、每日阳光三至五小时等条件下，才有珍贵的结果。东北土话说“七两为参...
3	001.李敖自传.txt	45	人参	吉林的特产是东北三宝，所谓“人参”“貂皮”“乌拉草”。人参在传说中，是一种“土行孙”式可在地下行走的植物，去挖的时候，要小心翼翼的围捕，方不被它跑掉。人参每次出土，有的相隔十多年、有的相隔二十多年。人参总在地下隐居百年以上，它虽在地下隐居，却要在林间、岩下、腐土、低温、背阴向阳、倚水又排水良好、每日阳光三至五小时等条件下，才有珍贵的结果。东北土话说“七两为参...
6	001.李敖自传.txt	49	乌撒者，蛮名也。所辖乌撒、乌蒙等六部。后乌蛮之裔，尽得其地，因取远祖乌撒为部名。至元十一年始附，十三年立乌撒路。	根据《李氏宗谱》，我的远籍实际是云南乌撒。据《元史·地理志》：“乌撒者，蛮名也。所辖乌撒、乌蒙等六部。后乌蛮之裔，尽得其地，因取远祖乌撒为部名。至元十一年始附，十三年立乌撒路。”乌撒路包括现在云南镇雄县和贵州威宁县；到了明朝，改为乌撒卫，就是现在的威宁县。《李氏宗谱》上说是明太祖洪武年间自乌撒迁到山东潍县的。洪武十四年（1381）秋天，明太祖曾派傅友德为征南...
3	001.李敖自传.txt	53	我们不能盲从	爸爸名叫李鼎彝，字玑衡。1920年（民国九年）进入北大国文学系。那时正是五四运动后第一年，正是北大的黄金时代。蔡元培是他的校长，陈独秀、胡适、周树人（鲁迅）、周作人、钱玄同、沈尹默等等是他的老师，他的同班同学，后来较有成绩的，有搞中国文学史的陆侃如、冯沅君，有搞国语运动的魏建功，同届的同学有冯友兰、周德伟、陈雪屏。爸爸本人书念得并不出色。他讲过北大的四则见闻...
4	001.李敖自传.txt	57	京师大学堂	爸爸在1926年（民国十五年）北大毕业，吉林省政府想公费送他留学，他那时已经二十八岁了，急于回家乡养家，所以就拒绝了。因为是“京师大学堂”毕业的，回到家乡，非常拉风，他立刻被聘为吉林四中（六中？）校长，当时的待遇极好，远非日后的穷教员可比。当时对教育界人士和知识分子的重视与尊敬，也远非日后的风气可比。爸爸说：军阀张作霖，在孔夫子诞辰的时候，脱下军装，换上长袍...
4	001.李敖自传.txt	73	季子平安否	所谓“下关东”，是专指山东、河北等省的穷人，朝山海关外的东北偷渡。东北是满洲人的老家，满洲人入关建立清朝后，把东北划为禁区，除了发配罪犯，禁止汉人去东北。所以当时中国的东北，就像英国的澳洲一样，只是罪犯的大本营。顾贞观《金缕曲》中“季子平安否”所指的吴汉槎，就是最有名的一个囚犯。但是，东北地大物博，它的富庶，对山东、河北等省的穷人，的确构成大诱惑。这种诱惑，...
