action	target	source_file	line_range	quote_or_candidate	reason
keep	LASXLHJ-001	005.每人每年只花二十元买书.txt	9-9	怪力乱神	以怪异、勇力、悖乱、鬼神一类内容概括不正经的读物趣味。
keep	LASXLHJ-002	014.中医解决不了检验问题.txt	3-3	视病，尽见五藏症结，特以诊脉为名耳	以扁鹊能看见五脏症结说明其诊病并非仅靠把脉。
keep	LASXLHJ-003	014.中医解决不了检验问题.txt	9-9	我有禁方，年老，欲传与公，公毋泄。	长桑君向扁鹊传授秘方前的嘱托，保留为史传人物对白。
keep	LASXLHJ-004	014.中医解决不了检验问题.txt	9-9	饮是以上池之水，三十日当知物矣。	长桑君告知扁鹊服药方法，带出“上池之水”的典故。
keep	LASXLHJ-005	014.中医解决不了检验问题.txt	11-11	上池之水	指尚未落到地面的雨露之水，文中据以解释扁鹊传说。
keep	LASXLHJ-006	014.中医解决不了检验问题.txt	11-11	视见垣一方人	指能够看见墙另一边的人，文中用作解释扁鹊神视传说。
keep	LASXLHJ-007	027.陈翰珍的真面目.txt	11-11	若待有余而济人，则一生无济人之事。有心帮助人，就要强迫自己节衣缩食，民国十七年，设了翰珍奖助学金后，我连烟都戒了。	以不等有余才济人、而要节衣缩食帮助人概括公益实践的主动性。
keep	LASXLHJ-008	037.俞大维乃一浑人.txt	7-7	经文纬武奇男子，特立独行大丈夫。	以经文纬武、特立独行称颂人物的才具与人格。
keep	LASXLHJ-009	051.杨西崑来坐.txt	5-5	你们没有办公厅，你们的办公厅就在田里。	以办公地点应在现场说明农耕队工作重在深入田间。
keep	LASXLHJ-010	064.乱世情鸯又二例.txt	13-13	砣不离秤、秤不离砣	以秤砣相依比喻夫妻或伴侣分不开。
keep	LASXLHJ-011	082.收到章太炎字.txt	7-7	汉第六曲《战城南》，今第六曲《定武功》，言曹公初破邺，武功之定，始乎此也。	解释汉魏鼓吹曲《战城南》《定武功》的承改关系。
keep	LASXLHJ-012	082.收到章太炎字.txt	9-9	定武功，济黄河。河水汤汤，旦莫有橫流波。袁氏欲衰，兄弟寻干戈。决漳水，水流滂沱。嗟城中如流鱼，谁能复顾室家！计穷虑尽，求来连和。和不时，心中忧戚。贼众内溃，君臣奔北。拔邺城，奄有魏国。王业艰难，览观古今，可为长叹。	以曹操破邺、袁氏败亡写王业艰难和古今长叹。
keep	LASXLHJ-013	082.收到章太炎字.txt	15-15	嗟城中如流鱼	李敖特别指出标点本误断的一句，写城中受困如流鱼。
keep	LASXLHJ-014	082.收到章太炎字.txt	23-23	毁土山、地道，凿堑围城，周回四十里。初令浅，示若可越。〔审〕配望见，笑之，不出争利。操一夜濬之，广深二丈，引漳水以灌之，城中饿死者过半	记曹操围邺凿堑引漳水的战事，说明《定武功》所指史事。
keep	LASXLHJ-015	085.张大千题牡丹诗.txt	5-11	一种天香异， /  / 千株国色新。 /  / 为怜花似脸， /  / 半醉调太真。	以天香、国色、太真写牡丹艳丽。
keep	LASXLHJ-016	089.秦始皇陵新消息.txt	5-5	令匠做机弩矢，有所穿近者辄射之。	写秦陵设置机关弩矢以防接近者。
keep	LASXLHJ-017	089.秦始皇陵新消息.txt	5-5	以水银为百川江河大海，机相灌输，上具天文，下具地理。	写秦陵地宫以水银象征江河大海并配合天地布局。
keep	LASXLHJ-018	089.秦始皇陵新消息.txt	5-5	下外羡门，尽闭工匠臧者，无复出者。	写秦陵完工后封闭墓道、工匠不得复出的残酷设计。
keep	LASXLHJ-019	096.妖僧的新妖妄.txt	7-7	金蝉脱壳	比喻用脱身之法摆脱困境，文中作为宗教仪式名目出现。
keep	LASXLHJ-020	096.妖僧的新妖妄.txt	15-15	取之有道，用之有道	以获得和使用钱财都应合乎正道来概括金钱价值观。
keep	LASXLHJ-021	107.蔡万霖的“金玉满堂”.txt	3-3	金玉满堂，莫之能守；富贵而骄，自遗其咎。	以金玉满堂难守、富贵而骄自招灾咎警戒富贵骄盈。
keep	LASXLHJ-022	107.蔡万霖的“金玉满堂”.txt	3-3	王长史谓林公：‘真长可谓金玉满堂。’林公曰：‘金玉满堂，复何为简选？’王曰：‘非为简选，直致言处自寡耳。’	以“金玉满堂”称誉才学充盈，并用问答解释并非简选而是言处自寡。
keep	LASXLHJ-023	115.戒之在失.txt	3-3	戒之在得	孔子以年老戒贪得，李敖借来反衬“戒之在失”。
keep	LASXLHJ-024	115.戒之在失.txt	3-3	戒之在失	把戒贪得反转为戒失去，用来讽刺老人防失之心。
keep	LASXLHJ-025	119.囚犯产品大哥莫笑二哥.txt	1-1	大哥莫笑二哥	以彼此相差无几来劝不要互相讥笑。
keep	LASXLHJ-026	120.七日参禅，军头落泪.txt	3-3	人如果只有物质生活而没有精神生活，将只是虚度一生。	以精神生活不可缺少说明只有物质生活会使人生虚度。
keep	LASXLHJ-027	123.引以为耻.txt	3-3	吾愧居卢前，耻居王后！	杨炯以愧居卢照邻前、耻居王勃后表达对四杰排序的态度。
keep	LASXLHJ-028	131.胡虚一信中的傅正.txt	19-19	人善被人欺	以人太善良便易受欺负来概括处境中的怨叹。
keep	LASXLHJ-029	135.看周之鸣藏艺品.txt	7-7	宋米元章行草书易说帖，名贤题识，项子京珍秘	书画收藏题识，标举米芾《易说帖》及历代题识珍秘。
keep	LASXLHJ-030	135.看周之鸣藏艺品.txt	9-9	此卷予从项氏借摹刻于戏鸿堂帖，甲戌修禊日再展现于长安苑西邸中	董其昌记述从项氏借卷摹刻入《戏鸿堂帖》及再展观之事。
keep	LASXLHJ-031	135.看周之鸣藏艺品.txt	13-13	吴兴书易学，米书不易学，二公书品，于此辨矣	以赵孟頫书容易学、米芾书不易学来判别二人书品。
keep	LASXLHJ-032	135.看周之鸣藏艺品.txt	13-13	吾尝评米书以为宋朝第一，毕竟出东坡之上，山谷直以品胜，非专门名家也	评米芾书法为宋朝第一，并比较苏轼、黄庭坚的书品。
keep	LASXLHJ-033	135.看周之鸣藏艺品.txt	13-13	自唐以后未有能过元章书者，虽赵文敏亦于元章叹服曰：今人去古远矣	称唐以后无人超过米芾，并引赵孟頫叹今人去古已远。
keep	LASXLHJ-034	135.看周之鸣藏艺品.txt	15-15	法无定相、气概成章耳	以法无固定形态而气概自然成章概括画法自由。
keep	LASXLHJ-035	144.胡适死了三十年.txt	3-3	吾道一以贯之	孔子以一贯之道概括自身思想，李敖借来批评文人死后改口。
keep	LASXLHJ-036	146.郭为藩抄袭.txt	5-5	林木不可胜用也	孟子论不违农时、资源可持续时的文句。
keep	LASXLHJ-037	153.关于杨西崑的资料.txt	33-33	量入为出	以收入多少决定支出多少，概括节制生活原则。
keep	LASXLHJ-038	153.关于杨西崑的资料.txt	35-35	在中国人的社会里，就需要不停的学习。	以不断学习概括在中国人社会中的处世能力。
exclude		005.每人每年只花二十元买书.txt	3-3	饱暖思艺文	现代官员文化口号，未收
exclude		013.“六亿农民皆诗人”之后.txt	1-3	六亿农民皆诗人	大跃进政治口号，未收
exclude		031.梁肃戎临别瞎说.txt	15-15	依法而来，依法而去 / 非法而来，非法而去	现代政论语境，未收
exclude		043.李登辉的“正学”论.txt	3-3	拒辟邪辞，阐扬正学	现代政治人物贺词，未收
exclude		058.林洋港口出无耻之言.txt	3-3	盛德伟业，灿若日星，举世景仰	现代政治人物颂词，未收
exclude		067.“五绝”与“七绝”.txt	3-3	五绝 / 七绝 / 绝子绝孙	私下讥刺玩笑，未收
exclude		068.“小警总”.txt	3-5	低头向暗壁，千唤不一回 / 小警总	李敖自作宠猫笑语与政治绰号，未收
exclude		071.宠猫江江颂.txt	3-31	宠猫江江颂	李敖自作诗，未整首收入
exclude		122.听刘绍唐、杨西昆谈往.txt	31-31	斯威夫特、海斯利特观点转述	无明确原句且出处待考，未收
exclude		113.视野问题.txt	3-3	足不出户能知天下事	私人转述李敖自况，且前集已收更规范的老子成句，不补
exclude		119.囚犯产品大哥莫笑二哥.txt	11-35	充耳不闻？尊口难开？ / 三缄其口 / 奴工产品出口	政治新闻附录标题和普通成语，不补
exclude		120.七日参禅，军头落泪.txt	3-7	拿到的皈依手册，比这一年所得的勋章，都还要高。	个人宗教体验比较句及李敖军政评论，不补
exclude		123.引以为耻.txt	3-3	读史以识世局、决大势 / 引以为耻	现代出版文案和李敖自嘲，不补
exclude		133.张灵甫死事异说.txt	7-19	张灵甫电文/绝笔	现代军事政治语录，未收
exclude		149.《北京法源寺》广告词.txt	3-3	北京法源寺广告词	李敖自拟宣传文案，未收
exclude		153.关于杨西崑的资料.txt	5-25	非洲就是你嘛 / 外交下乡，农业出洋	现代外交政治报道语录，未收
exclude		154.台大怪火案.txt	5-37	怨魂 / 不屈服的抗争 / 二二八活动文案	现代政治活动文案，未收
exclude		155.《人民日报》论西藏.txt	3-49	西藏人权/主权相关引语	现代政治宣传语境，未收
