file	line	terms	context
《李敖智慧书》题辞.txt	3	满街皆圣人 | 生公说法	佛门人物谈智慧，谈来谈去，全弄玄虚，堕入魔道而不自知；李敖大师谈智慧，全讲实证，“生公说法鬼神听”，生工再世，也要带着鬼神一齐顶礼。今生今世，人类、新人类、新新人类都被思想污染了，王阳明当年说“满街皆圣人”，他错了，其实满街皆混蛋（包括笨蛋、蠢蛋和坏蛋），如何别做混蛋，有赖鸡飞蛋打，李敖智慧书，就教你怎么飞怎么打。
001.为打倒而打倒.txt	17	五花八门	所谓制度，是五花八门的。古往今来，在各种政治性的书中，我们可以看到不少。但在这些制度中，我总觉得堵塞性的细节多，断流性的痛快少。因此，我想从根本上，谈谈新陈代谢的法子。
001.为打倒而打倒.txt	19	五花八门	在五花八门的制度约束中，《寂寞小阳春》中的主题，被我想起，我觉得，我们实在该建立一种“定时打倒”的制度，要规定好，在某年某月某一天，我们要把政治人物“定时打倒”。我们要把他出局，出局的目的不是不爱他，而是更爱真理；不是不要他，而是要他全寿全归。爱默生说每个英雄到头来都是讨厌鬼（Every hero becomes a bore at last.），政治人物也是如此。
001.为打倒而打倒.txt	21	有眼不识泰山	古代希腊有一种“贝壳放逐制度”（ostricism），由公民投票，把被逐者的名字，写在贝壳上，然后逐出国外，通常是五到十年。大英雄兼政治家，被尊为“正直者”（The just）的阿里斯太提斯（Aristides），就被这样出局过。在投票前夜，他碰到一个老百姓，这老百姓是文盲，又有眼不识泰山，不知道眼前这位就是“正直者阿里斯太提斯”，他拿出一枚贝壳，请阿里斯太提斯代写名字，阿里斯太提斯问你要写谁，他说我要写“阿里斯太提斯”。阿里斯太提斯不动声色，为他写了，然后问他那家伙是不是得罪了你，老百姓说没有，只是我整天听到正直者阿里斯太提斯、正直者阿里斯太提斯，听得我烦了，所以我要把他赶走，以求耳根清净。
001.为打倒而打倒.txt	23	大快人心 | 摇旗呐喊	“贝壳放逐制度”的原意是防止暴政，虽然演变结果，有着不少直接民主的流弊，但它在解决英雄讨人厌一点上，那个文盲老百姓的可爱，到真使我们叹赏。我们中国老百姓不幸，年复一年、月复一月、日复一日、夜以继日，日之所见、耳之所闻，总是一些政治人物的名字在使我们不清净、使我们无限厌烦，对他们这些肉麻当有趣，我们老百姓实在该“打倒”他们，这种“打倒”，不为什么，光是“为打倒而打倒”，就够了。他们把持一切，干了那么久，我们就是换换庄、换换胃口，也好啊！就是耳根清净一下，也好啊！我们必须努力建立一种制度，一种专门“为打倒而打倒”的制度，在诸多“打倒”的理由之外，再加上这一本身自足的理由，也是大快人心的。——“每个政治人物到头来都是讨厌鬼”，我们在摇旗呐
002.要民主，先丑化.txt	3	说大人，则藐之。 | 说大人，则藐之	《孟子》里有一句话，叫：“说大人，则藐之。勿视其巍巍然。……吾何畏彼哉!”意思是说：见那些大倌人呀，可要轻视他们，别给他们唬住了。……为什么要怕他们呢?
002.要民主，先丑化.txt	13	说大人，则藐之。 | 说大人，则藐之 | 以小击大	另一面的戏路很多，其中最精彩的，该算“以小击大法”。以小击大是鼓励小百姓轻视大倌人，“说大人，则藐之。”使小百姓一再看到大倌人出洋相，来增加小百姓的信心，显示大倌人的人味和乏味，拉近双方，同演民主大戏。
002.要民主，先丑化.txt	15	不苟言笑 | 高高在上 | 男盗女娼 | 仁义道德 | 威风八面 | 以小击大	所谓“以小击大法”，就是小百姓要可以丑化大倌人，你大倌人仁义道德，我小百姓就要你男盗女娼；你大倌人威风八面，我小百姓就要你弃甲曳兵；你大倌人不苟言笑，我小百姓就要你忍俊不禁；你大倌人目不斜视，我小百姓就要你贼眼溜溜。……总之，以小击大的结果，就是把大倌人打成跟小百姓同一水平。只有大倌人不高高在上，跟小百姓同一水平，才有民主之可言。否则官在民上，又民从何来？主从何来？
002.要民主，先丑化.txt	21	真金不怕火炼	相反的，丑化正反映出言论自由，在杰斐逊的容忍下，他被骂做小偷、懦夫、诈欺犯、邪教徒、铸假钱者、伪造文书者、离经叛道者、不信正教者、导人不义者、霸占孤儿寡妇者。……虽然这样，杰斐逊仍旧一声不响，仍旧开放心胸和言路，让人丑化他。他知道丑话声中，民主会变得美化。——大倌人为什么要怕丑化呢？如果你是猪八戒，没人丑化得了你；如果你不是，真金不怕火炼，又怕什么呢？
002.要民主，先丑化.txt	23	作之君、作之师 | 作之师	看民主，不在堂皇的宪法；找民主，不在庄严的议会；测量民主，不在磨拳擦掌的斗争。民主的真髓，表现得不该这么复杂。民主本身，不仅是一种制度，而是一种信仰、一种生活的态度、一种普遍的方向与目标。达到这种方向与目标的起点，不是教条、不是训政、不是规范、不是“作之君、作之师”，而是开放言论，摊出箭靶，让小百姓一阵臭骂、一阵臭骂、又一阵臭骂。只有任由小百姓丑化的大倌人，才配行民主；只有敢于丑化大倌人的小百姓，才配谈民主。否则的话，一切都是民主假戏而已，我们别信它！
