file	line	matched_quote	previous_id	previous_book	previous_source	context
003.第二章——寂寞余花.txt	47	与人为善	LAMR-087	李敖回忆录	020.前程（1997-·62岁以后）.txt:35-35	“判定善的真伪，要从他的做出来的看。做出来的是善，我们就与人为善，认为那是善；如果他没做，只是他想去行善。说去行善，就都不算。我认为唐太宗做了，不管是后悔后做了、还是忏悔后做了、还是为了女人寡妇做了、还是为了收揽民心做了，不管是什么理由，他做了。你就很难说他是伪善。只能说他动机复杂、纯度不够而已。”
003.第二章——寂寞余花.txt	47	与人为善	LAFLZ-051	李敖风流自传	201.帮孟大中伪造文书.txt:3-3	“判定善的真伪，要从他的做出来的看。做出来的是善，我们就与人为善，认为那是善；如果他没做，只是他想去行善。说去行善，就都不算。我认为唐太宗做了，不管是后悔后做了、还是忏悔后做了、还是为了女人寡妇做了、还是为了收揽民心做了，不管是什么理由，他做了。你就很难说他是伪善。只能说他动机复杂、纯度不够而已。”
003.第二章——寂寞余花.txt	47	与人为善	LABBZ-047	波波颂	018.论“向将军道歉”.txt:75-75	“判定善的真伪，要从他的做出来的看。做出来的是善，我们就与人为善，认为那是善；如果他没做，只是他想去行善。说去行善，就都不算。我认为唐太宗做了，不管是后悔后做了、还是忏悔后做了、还是为了女人寡妇做了、还是为了收揽民心做了，不管是什么理由，他做了。你就很难说他是伪善。只能说他动机复杂、纯度不够而已。”
003.第二章——寂寞余花.txt	47	与人为善	LAJFM-011	你是景福门	018.恶心到大陆去了.txt:13-13	“判定善的真伪，要从他的做出来的看。做出来的是善，我们就与人为善，认为那是善；如果他没做，只是他想去行善。说去行善，就都不算。我认为唐太宗做了，不管是后悔后做了、还是忏悔后做了、还是为了女人寡妇做了、还是为了收揽民心做了，不管是什么理由，他做了。你就很难说他是伪善。只能说他动机复杂、纯度不够而已。”
003.第二章——寂寞余花.txt	47	与人为善	LAWZYZH-084	为自由招魂	022.《叶明勋密件》书后.txt:65-65	“判定善的真伪，要从他的做出来的看。做出来的是善，我们就与人为善，认为那是善；如果他没做，只是他想去行善。说去行善，就都不算。我认为唐太宗做了，不管是后悔后做了、还是忏悔后做了、还是为了女人寡妇做了、还是为了收揽民心做了，不管是什么理由，他做了。你就很难说他是伪善。只能说他动机复杂、纯度不够而已。”
003.第二章——寂寞余花.txt	47	与人为善	LAMS-073	我梦碎，所以我梦醒	049.“解严”梦碎.txt:11-11	“判定善的真伪，要从他的做出来的看。做出来的是善，我们就与人为善，认为那是善；如果他没做，只是他想去行善。说去行善，就都不算。我认为唐太宗做了，不管是后悔后做了、还是忏悔后做了、还是为了女人寡妇做了、还是为了收揽民心做了，不管是什么理由，他做了。你就很难说他是伪善。只能说他动机复杂、纯度不够而已。”
003.第二章——寂寞余花.txt	47	与人为善	LAXK-075	李敖新刊	037.无出其左，有谢可击.txt:67-67	“判定善的真伪，要从他的做出来的看。做出来的是善，我们就与人为善，认为那是善；如果他没做，只是他想去行善。说去行善，就都不算。我认为唐太宗做了，不管是后悔后做了、还是忏悔后做了、还是为了女人寡妇做了、还是为了收揽民心做了，不管是什么理由，他做了。你就很难说他是伪善。只能说他动机复杂、纯度不够而已。”
003.第二章——寂寞余花.txt	47	与人为善	LAZWJ-010	李敖杂文集	005.退孙中山的票.txt:5-5	“判定善的真伪，要从他的做出来的看。做出来的是善，我们就与人为善，认为那是善；如果他没做，只是他想去行善。说去行善，就都不算。我认为唐太宗做了，不管是后悔后做了、还是忏悔后做了、还是为了女人寡妇做了、还是为了收揽民心做了，不管是什么理由，他做了。你就很难说他是伪善。只能说他动机复杂、纯度不够而已。”
003.第二章——寂寞余花.txt	53	与人为善	LAMR-087	李敖回忆录	020.前程（1997-·62岁以后）.txt:35-35	“法师真是佛心，喜欢与人为善，到了这样从宽录取的程度。”“宽是宽了一点，但也不是不讲究分寸。像我说唐太宗盖这个悯忠寺，是种善因，并不是做善行，这就是分寸。”
003.第二章——寂寞余花.txt	53	与人为善	LAFLZ-051	李敖风流自传	201.帮孟大中伪造文书.txt:3-3	“法师真是佛心，喜欢与人为善，到了这样从宽录取的程度。”“宽是宽了一点，但也不是不讲究分寸。像我说唐太宗盖这个悯忠寺，是种善因，并不是做善行，这就是分寸。”
003.第二章——寂寞余花.txt	53	与人为善	LABBZ-047	波波颂	018.论“向将军道歉”.txt:75-75	“法师真是佛心，喜欢与人为善，到了这样从宽录取的程度。”“宽是宽了一点，但也不是不讲究分寸。像我说唐太宗盖这个悯忠寺，是种善因，并不是做善行，这就是分寸。”
003.第二章——寂寞余花.txt	53	与人为善	LAJFM-011	你是景福门	018.恶心到大陆去了.txt:13-13	“法师真是佛心，喜欢与人为善，到了这样从宽录取的程度。”“宽是宽了一点，但也不是不讲究分寸。像我说唐太宗盖这个悯忠寺，是种善因，并不是做善行，这就是分寸。”
003.第二章——寂寞余花.txt	53	与人为善	LAWZYZH-084	为自由招魂	022.《叶明勋密件》书后.txt:65-65	“法师真是佛心，喜欢与人为善，到了这样从宽录取的程度。”“宽是宽了一点，但也不是不讲究分寸。像我说唐太宗盖这个悯忠寺，是种善因，并不是做善行，这就是分寸。”
