source_file	line	status	text
002.“我自成佛不读经”.txt	5	pending	你的信将被老景等传观，以后每一书来皆如是处置，想能同意也。新汉和你一诗，也算是奉劝之意。诗曰：
009.爱情牢骚.txt	13	pending	“爱情的成功”和“个人的尊严”几乎是不能并存的，随便在一个周末的晚上，你试到女生宿舍门口去瞧瞧，那种门庭若市的场面，低首下心的奴才男人，你立刻便会倒胃口了，鲁仲连说得好：
010.有耳无膜.txt	7	pending	尊意言吾人当有一乐器以为习，此提议甚好，然乐器奇昂，似非吾侪小民所能胜荷，我甚好吉他，但目前力不从心，老景有小提琴一具，不过也不见他练。尊意劝我停止唱Dear John等名曲，同室诸君知道了咸表赞同，为虎作伥，助纣为虐有如是乎？真可浩叹也夫！贾岛诗云：
011.赫本欠资.txt	11	selected	上次那信本来多贴了两毛邮票，想不到仍是过重，以致欠资，真抱歉之至。你喜欢那赫本，我很高兴，陶渊明诗谓“弱女虽非男，慰情聊胜无。”岂此之意耶？
012.十字街头筑隐居.txt	11	pending	何况跟他们这些“影子”生气，这根本是第二流的作风，第一等人是不该如此的，老氏说：
012.十字街头筑隐居.txt	15	pending	W.S. Landor 也唱道：
012.十字街头筑隐居.txt	33	selected	大风起兮眉飞扬，老子本是狂中狂，
012.十字街头筑隐居.txt	59	pending	让我拭目以待，守株以待罢！佛书上说：
015.小舟之逝，从此始矣！.txt	29	pending	我认为我们所求的在于sense of balance，使自己言行统一，不矛盾，使思想和行为剑及履及的在一起，不可分家，或一个在前，一个落后！为了使自己统一独立，社会的压迫我们都可以受，难道竟在女人面前让我们以道殉人地折腰吗？这怎么说呢？所以我大大反对你说的：“……你如和那些俗男子可往还，同样的道理可适用于俗女子——如跳舞、鬼扯……用不着显示你的对世俗的愤慨，和你‘洪水猛兽’的襟怀的。”唉！老马，我们岂是这等人么？为找女人而去教堂，为找女人而练跳舞之徒素为我所卑视，人总该是正大光明的“显示”出他自己，得意如是，失意如是，腾达如是，落魄如是，“藏好”、“掩真”、“遮善”、“隐恶”都是不必的，古人说：
018.譬如赤子.txt	11	selected	孟夫子曾提倡做“不失其赤子之心”的大人，可是我们所见所闻，这种人未免人少了，他们都失掉了“赤子之心”。
021.只消捡起一块石头.txt	5	selected	×××看到我勤抽纸烟，骂我越来越走下坡路，我没理她，她这种态度与×××的牛气论有何分别？我现在越来越对传统的taboo卑视，我心里会说：“何物传统，胆敢阻老子一意孤行!”每当我找不到一个持之有故言之成理而使人心服的证据来支持这传统的时候，传统立刻便失去拘束我的能力了，我立刻便脱缰了。
021.只消捡起一块石头.txt	13	pending	徐子明曾言白话文为狗叫文，姚老问他为什么他竟也讲白话？徐子明说：“我跟狗不能不狗叫！”我今日平心想来，此老之言颇有三分至理，既然前后左右皆是狗世界，激怒群狗倒也没必要，只要“它”狗眼不看人低一点，吾人倒也不妨善与之相处，和光同尘目的是少麻烦，并非屈服也。王右军诗：
023.寡情如此.txt	17	selected	休作狮子吼。（吾人思路高卓，人又热烈，佛言作狮子吼，吾人当之无愧。）
023.寡情如此.txt	25	selected	家里的一棵昙花开了，夜伴昙花，別府感怀，佛言“如优昙钵华，时一现耳”。忆及四年前一夜看昙花时见×之往事，亦昙花一现而已，浮云世变，沧海人间，若不带着几分勇迈之气以应之，一定被折磨得使人憔悴不堪。好在迩来心肠铁石，情不易感，泪不轻垂，大有古人所谓“痴顽老子”的气概，亦一佳事也。小儿女态太多并不见得可贵，且甚讨人厌，以其殊失英雄或丈夫气派也。张孝祥词：
