id	file	line_start	line_end	chapter	category	quote_text	source_or_origin	summary
LACMHN-001	001.利玛窦和近代西学的东传.txt	27	27	利玛窦和近代西学的东传	器物史文句	又有自鸣钟者，秘不知其术。	《续文献通考·乐考》	清高宗敕撰文献称自鸣钟术理隐秘。
LACMHN-002	001.利玛窦和近代西学的东传.txt	27	27	利玛窦和近代西学的东传	器物史文句	盖气机所为，他人不能为也。	《续文献通考·乐考》	清代文献以气机解释自鸣钟运作。
LACMHN-003	001.利玛窦和近代西学的东传.txt	29	29	利玛窦和近代西学的东传	传教史轶语	这是活佛。	明神宗语	记录明神宗初见天主圣像时的惊叹。
LACMHN-004	001.利玛窦和近代西学的东传.txt	33	33	利玛窦和近代西学的东传	传教史轶语	这些人是回回？	明神宗语	明神宗看见利玛窦等画像后的询问。
LACMHN-005	001.利玛窦和近代西学的东传.txt	33	33	利玛窦和近代西学的东传	传教史轶语	这二人吃猪肉，一定不是回回。	宫中太监语	太监以饮食习俗辨别西洋人与回回。
LACMHN-006	001.利玛窦和近代西学的东传.txt	43	43	利玛窦和近代西学的东传	明史文句	帝嘉其远来，假馆授粲，给赐优厚。士卿以下，重其人，咸与晋接。利玛窦安之，遂留居不去。	《明史》	《明史》概括利玛窦留居北京的待遇。
LACMHN-007	001.利玛窦和近代西学的东传.txt	51	51	利玛窦和近代西学的东传	韩愈文句	凶秽之余，不宜令入宫禁者也。	韩愈语	礼部借韩愈语反对贡品入宫。
LACMHN-008	001.利玛窦和近代西学的东传.txt	53	53	利玛窦和近代西学的东传	明代奏疏文句	无怪乎本夷之郁病而思归也。	礼部奏疏	礼部复题中描写利玛窦久候不得归的处境。
LACMHN-009	001.利玛窦和近代西学的东传.txt	55	55	利玛窦和近代西学的东传	经典成句	自天子以至庶人	传统经学成句	李敖用来概括利玛窦在北京影响所及之广。
LACMHN-010	001.利玛窦和近代西学的东传.txt	57	57	利玛窦和近代西学的东传	传教史称语	西土圣人	《谈往》	中国人称利玛窦为西土圣人的说法。
LACMHN-011	001.利玛窦和近代西学的东传.txt	59	59	利玛窦和近代西学的东传	历法史文句	大统历已坏，会须修之。	《谈往》所记	以历法危机说明利玛窦之学带来的震动。
LACMHN-012	001.利玛窦和近代西学的东传.txt	59	59	利玛窦和近代西学的东传	传教史评语	胸包天上之天，目空地外之地。	《谈往》所记	形容利玛窦天文地理知识宏阔。
LACMHN-013	001.利玛窦和近代西学的东传.txt	69	69	利玛窦和近代西学的东传	儒教比较文句	其言多与孔孟合	明人记利玛窦	刘斗墟以儒家标准赞利玛窦之言。
LACMHN-014	001.利玛窦和近代西学的东传.txt	73	73	利玛窦和近代西学的东传	书信文句	间邂逅留都，略偕之语，窃以为此海内博物通达君子矣！	徐光启追忆利玛窦	徐光启回忆初遇利玛窦后的评价。
LACMHN-015	001.利玛窦和近代西学的东传.txt	91	91	利玛窦和近代西学的东传	人物评语	百千万言中，求一语不合忠孝大旨，求一语无益于人心世道者，竟不可得。	徐光启评利玛窦	徐光启为利玛窦学说辩护。
LACMHN-016	001.利玛窦和近代西学的东传.txt	99	99	利玛窦和近代西学的东传	传教史文句	此我西来路程也。	利玛窦语	利玛窦指示大地全图时的自述。
LACMHN-017	001.利玛窦和近代西学的东传.txt	107	107	利玛窦和近代西学的东传	传教史文句	此乃敝邦之幸，因先生得有闻于诸夏矣！	利玛窦语	利玛窦感谢李之藻助其地图为中国所知。
LACMHN-018	001.利玛窦和近代西学的东传.txt	155	155	利玛窦和近代西学的东传	宗教文句	此后有生之年，皆上帝所赐，应尽为上帝用也。	李之藻语	李之藻病愈受洗后的自述。
LACMHN-019	001.利玛窦和近代西学的东传.txt	159	159	利玛窦和近代西学的东传	人物评语	阿其所好，若规诫何？先生思救人，而不欲奉己，思挽流俗，而不敢辱教规：先生之德也！其所全多矣。	李之藻评利玛窦	李之藻以守教规称许利玛窦。
LACMHN-020	001.利玛窦和近代西学的东传.txt	165	165	利玛窦和近代西学的东传	传教史格言	在中国传教最好的方法，就是我死掉。	利玛窦语	利玛窦对身后传教效果的判断。
LACMHN-021	001.利玛窦和近代西学的东传.txt	171	171	利玛窦和近代西学的东传	佛典文句	仰世界，假世界，侧世界。	《杂华经》	袁中道以佛典世界观比附利玛窦地圆说。
LACMHN-022	001.利玛窦和近代西学的东传.txt	179	179	利玛窦和近代西学的东传	清人评语	历象器算，是其所长，君子固当节取，若谓道术，吾自守吾家法可耳！	张尔岐《蒿庵闲话》	张尔岐主张取西学器算而守自家道术。
LACMHN-023	001.利玛窦和近代西学的东传.txt	185	185	利玛窦和近代西学的东传	铭文	美日寸影，勿尔空过，所见万品，与时并流。	利玛窦墓前晷石铭	晷石铭文以日影劝人惜时。
LACMHN-024	002.惨刑与迫害.txt	13	13	惨刑与迫害	历法史文句	五官正周子愚言大西洋归化人庞迪我、熊三拔等深明历法，其所携历书，有中国载籍所未及者，当令译上，以资采择。	明代史料	明廷采择西洋历书的奏请。
LACMHN-025	002.惨刑与迫害.txt	21	21	惨刑与迫害	辩诬文句	遽云为细作，此何等事，待住京十七年方言之？	徐光启家书	徐光启质疑把传教士指为细作的说法。
LACMHN-026	002.惨刑与迫害.txt	23	23	惨刑与迫害	传教史轶语	西方贤者如何有许多议论？	徐光启家书记皇帝问语	皇帝近侍转述对西方贤者的询问。
LACMHN-027	002.惨刑与迫害.txt	23	23	惨刑与迫害	传教史轶语	在这里一向闻得他好，主上甚明白也	徐光启家书记内侍答语	内侍说明皇帝对传教士已有好印象。
LACMHN-028	002.惨刑与迫害.txt	49	49	惨刑与迫害	迫害史轶语	若不是可怜你长须白发，一定要打你六十棒。	地方官语	龙华民被捕时官员的恐吓语。
LACMHN-029	002.惨刑与迫害.txt	59	59	惨刑与迫害	迫害史文句	有足踢者、有拳击者、有批颊者，其势之来，有同暴风雨；有推击者，近类波浪；有唾吾人之面者；有拔吾人之毛发者；挫辱甚至，未能毕书。	传教士受难记录	传教士记录遭受殴辱的情形。
LACMHN-030	002.惨刑与迫害.txt	61	61	惨刑与迫害	迫害史文句	将我辈囚置于一狭小之木笼中，项手带链，发长，衣服不整，示我辈为外来蛮夷。	传教士受难记录	传教士记录木笼押解的屈辱。
LACMHN-031	002.惨刑与迫害.txt	91	91	惨刑与迫害	史料成句	邪说惑众	明代奏疏	徐如珂等斥天主教的成语式罪名。
LACMHN-032	002.惨刑与迫害.txt	91	91	惨刑与迫害	史料文句	煽惑群众，夜聚晓散，一如白莲无为诸教。	明代奏疏	礼科给事中余懋孳攻击天主教的语句。
LACMHN-033	002.惨刑与迫害.txt	95	95	惨刑与迫害	宗教比较文句	彼国教人，皆务修身以事天主，闻中国圣贤之教，亦皆修身事天，理相符合。	徐光启奏疏	徐光启从修身事天角度为天主教辩护。
LACMHN-034	002.惨刑与迫害.txt	95	95	惨刑与迫害	宗教比较文句	以昭事上帝为宗本，以保救身灵为切要，以忠孝慈爱为功夫，以迁善改恶为入门，以忏悔涤除为进修，以先天真福为作善之荣赏。	徐光启奏疏	徐光启概括天主教教义与伦理功夫。
LACMHN-035	002.惨刑与迫害.txt	95	95	惨刑与迫害	宗教比较文句	诸陪臣之言，与儒家相合，与释老相左	徐光启奏疏	徐光启判断天主教与儒释道关系。
LACMHN-036	002.惨刑与迫害.txt	105	105	惨刑与迫害	历法史格言	熔西洋之巧算，入大统之模型	徐光启主持《崇祯历书》宗旨	概括中西学者合作修历的方向。
LACMHN-037	002.惨刑与迫害.txt	121	121	惨刑与迫害	宗教诗句	你们为主子唱一首新歌吧（Singet dem Herrn ein neues Lied）。	钢琴题句	利玛窦进呈乐器上的赞美诗句。
LACMHN-038	002.惨刑与迫害.txt	137	137	惨刑与迫害	清代谕文	尔汤若望，来自西洋，涉海十万里，明末居京师，精于象纬，闳通历法	清廷谕汤若望	清廷谕文表彰汤若望历法之学。
