file	line	context
《李敖新刊》目录.txt	9	006.大学生岂可请愿！
《李敖新刊》目录.txt	26	023.关于《我被迫离开台湾大学的经过》
《李敖新刊》总序.txt	9	我从在台湾出书以来，在我名下被禁的书，高达九十六种之多，国民党钳制言论自由，有如此破世界纪录的成绩，真令中外侧目。或说这种对异己的不容忍，是国民党师承中国文化使然。其实中国文化也不尽如此。骆宾王生前是骂武则天的，但在《新唐书》说他“亡命”后、《旧唐书》说他“伏诛”后，武则天却找人寻访他的作品，找到了十卷，“盛传于世。”骆宾王《在狱咏蝉》诗说：“无人信高洁，谁...
005.羊头化的遗教.txt	5	孙中山在三民主义自序中曾要求他的同志读者，“本此基础，触类引伸、匡补阙遗，更正条理”，可见他并没把他的著作当成圣经，所以，遗教被弹性处理，如与时俱进，并不算错。但是，如果弹性处理得过了头，并且冒出来的是面目全非的羊头，则遗教已被调包，换成了狗肉。狗肉并非不能卖，而是不可挂着羊头卖，挂羊头卖狗肉，则是一种牵强附会、一种欺骗，既对不住羊头，也对不住顾客。尤有进者...
005.羊头化的遗教.txt	7	《中华民国宪法》劈头就说“依据孙中山先生创立中华民国之遗教”，“制定本宪法”，但是搬出“本宪法”与遗教一对照，便发现抵触丛生。乍看起来，定章分节，全是遗教的外壳，从第三章国民大会，到第十一章地方制度，无一不“五权宪法”也；但实际上，从第三章国民大会起，就大干一票，只师遗教之词、而不师其意了。第二十五条先打了国民大会职权的折扣、第二十七条又剥夺了国民大会一大部...
006.大学生岂可请愿！.txt	1	大学生岂可请愿！
006.大学生岂可请愿！.txt	5	二十多年过去了，余传韬没去搞反对党，却当了国立中央大学校长。他在中大校长任上，一干六年，可是最近却出了纰漏。报上说：“国立中央大学六名学生，昨日上午再度前往教育部，要求了解教育部续聘余传韬校长之理由，并对教育部成立中大‘沟通小组’未能有学生代表参加，表示异议。教育部主任秘书刘清田昨天答应请愿学生，未来‘沟通小组’可以考虑增列学生代表。”可见此一风波，尚在发展...
006.大学生岂可请愿！.txt	7	二十多年前，我在台大历史系做研究生时候，发生了陈骥、吴章铨陈情事件。陈骥、吴章铨向校方提出陈情，替历史系提出兴革意见，台大校长钱思亮、文学院院长沈刚伯，一怒之下，把陈吴二位记过，二人大呼负负，我戏呼这是“台大的陈胜吴广起义”。我跟朋友说：“你们看到我怎样对付台湾大学了吗？——我写文章公然攻击台湾大学，可是钱思亮、沈刚伯不敢动我一根毫毛！他们就是不敢对我这特大...
006.大学生岂可请愿！.txt	9	“台大的陈胜吴广起义”后二十年，台大学生毕竟有了一点点进步，一九八四年五月四日，八位台大学生跑到教育部请愿，提出兴革意见。事后他们说，他们这样做，“希望效法‘五四运动’的精神。”台大学生把他们的行动与五四牵连，用意至好。但是我总觉得，这些年轻人对“‘五四运动’的精神”，似乎了解得不够。“‘五四运动’的精神”是大学生反对鸟政府、打部长、揍官僚，使“顽劣之伪政府...
006.大学生岂可请愿！.txt	11	继台大学生跑到教育部后，如今中大学生也跑去请愿了，我感到这些大学生实在没气魄。我觉得，如果余传韬真要不得，他们至少该有当年清华学生“九年清华、三赶校长”的气魄。清华学生对校长不满意，前后将两任校长（张煜全、金邦正）列队欢送、迫出校外，使另一任校长（罗忠诒）根本到不了差。今天的中大学生不敢如此，只知向教育部请愿讨参加沟通名额，这是没出息的。如果我是余传韬，我要...
