id	present	political_hits	duplicate_count	quote_text	source_file	line_start	line_end
LAXA50-001	yes		1	泰山石敢当	《笑傲五十年》题辞.txt	3	3
LAXA50-002	yes		1	春蚕到死丝方尽，李敖一去兮不复还！	001.笑傲五十年.txt	61	61
LAXA50-003	yes		1	泪尽胡尘里	002.李敖画像.txt	5	5
LAXA50-004	yes		1	史所罕见	002.李敖画像.txt	13	13
LAXA50-005	yes		1	独行其是	002.李敖画像.txt	13	13
LAXA50-006	yes		1	东征西讨	002.李敖画像.txt	13	13
LAXA50-007	yes		1	霹雳手段，菩萨心肠	002.李敖画像.txt	15	15
LAXA50-008	yes		1	扶弱抑强	002.李敖画像.txt	15	15
LAXA50-009	yes		1	黑白分明	002.李敖画像.txt	15	15
LAXA50-010	yes		1	目空一切	002.李敖画像.txt	15	15
LAXA50-011	yes		1	手不停挥	002.李敖画像.txt	15	15
LAXA50-012	yes		1	侠骨柔情	002.李敖画像.txt	15	15
LAXA50-013	yes		1	一言而得，一言而丧	003.幸亏有我.txt	11	11
LAXA50-014	yes		1	几人称帝，几人称王	003.幸亏有我.txt	11	11
LAXA50-015	yes		1	天下可无洪，不可无公。	003.幸亏有我.txt	29	29
LAXA50-016	yes		1	天下可无晦，不可无公。	003.幸亏有我.txt	29	29
LAXA50-017	yes		1	天下无洪轨，何有哉？苍生可乱，岂可一日无公？	003.幸亏有我.txt	29	29
LAXA50-018	yes		1	天下不可无公	003.幸亏有我.txt	29	29
LAXA50-019	yes		1	自知之明	003.幸亏有我.txt	31	31
LAXA50-020	yes		1	万古如长夜	003.幸亏有我.txt	35	35
LAXA50-021	yes		1	别开生面	003.幸亏有我.txt	35	35
LAXA50-022	yes		1	饱更忧患	003.幸亏有我.txt	39	39
LAXA50-023	yes		1	面目全非	003.幸亏有我.txt	39	39
LAXA50-024	yes		1	天地不仁	004.大人格与小人格.txt	9	9
LAXA50-025	yes		1	玉石之美有五德	004.大人格与小人格.txt	9	9
LAXA50-026	yes		1	鸡有五德	004.大人格与小人格.txt	9	9
LAXA50-027	yes		1	管仲非仁者与？桓公杀公子纠，不能死，又相之。	004.大人格与小人格.txt	15	15
LAXA50-028	yes		1	管仲相桓公，霸诸侯，一匡天下，民到与今受其赐。	004.大人格与小人格.txt	15	15
LAXA50-029	yes		1	微管仲，吾其披发左衽矣！	004.大人格与小人格.txt	15	15
LAXA50-030	yes		1	自经于沟渎而莫之知也！	004.大人格与小人格.txt	15	15
LAXA50-031	yes		1	大处着眼	004.大人格与小人格.txt	15	15
LAXA50-032	yes		1	桓公九合诸侯，不以兵车，管仲之力也。如其仁！如其仁！	004.大人格与小人格.txt	19	19
LAXA50-033	yes		1	代圣人立言	004.大人格与小人格.txt	21	21
LAXA50-034	yes		1	继绝学	004.大人格与小人格.txt	21	21
LAXA50-035	yes		1	百孔千疮	004.大人格与小人格.txt	21	21
LAXA50-036	yes		1	一丘之貉	004.大人格与小人格.txt	21	21
LAXA50-037	yes		1	答非所问	004.大人格与小人格.txt	21	21
LAXA50-038	yes		1	瞻之在前，忽焉在后	004.大人格与小人格.txt	23	23
LAXA50-039	yes		1	虽千万人，吾往矣！	004.大人格与小人格.txt	35	35
LAXA50-040	yes		1	特立独行	004.大人格与小人格.txt	35	35
LAXA50-041	yes		1	庸德之行，庸言之谨	004.大人格与小人格.txt	37	37
LAXA50-042	yes		1	管仲之器小哉！	004.大人格与小人格.txt	41	41
LAXA50-043	yes		1	功成名就	004.大人格与小人格.txt	41	41
LAXA50-044	yes		1	天下为公	004.大人格与小人格.txt	41	41
LAXA50-045	yes		1	忘恩负义	004.大人格与小人格.txt	41	41
LAXA50-046	yes		1	生我者父母，知我者鲍子也。	004.大人格与小人格.txt	59	59
LAXA50-047	yes		1	独善其身	004.大人格与小人格.txt	67	67
LAXA50-048	yes		1	兼善天下	004.大人格与小人格.txt	67	67
LAXA50-049	yes		1	乡愿	004.大人格与小人格.txt	67	67
LAXA50-050	yes		1	捋虎须	004.大人格与小人格.txt	69	69
LAXA50-051	yes		1	禹、稷、卨与之为善则行，鮌、讙兜欲与为恶则诛。	005.中国式好人.txt	29	29
LAXA50-052	yes		1	龙逢、比干欲与之为善则诛，于莘、崇侯与之为恶则行。	005.中国式好人.txt	31	31
LAXA50-053	yes		1	管仲相之则霸，竖貂辅之则乱。	005.中国式好人.txt	33	33
LAXA50-054	yes		1	非圣无法	005.中国式好人.txt	39	39
LAXA50-055	yes		1	求忠臣于孝子之门	005.中国式好人.txt	43	43
LAXA50-056	yes		1	一视同仁	005.中国式好人.txt	47	47
LAXA50-057	yes		1	子见南子	005.中国式好人.txt	47	47
LAXA50-058	yes		1	不为五斗米折腰	005.中国式好人.txt	51	51
LAXA50-059	yes		1	临大节而不可夺	005.中国式好人.txt	51	51
LAXA50-060	yes		1	从容就义	005.中国式好人.txt	51	51
LAXA50-061	yes		1	举世而誉之而不加劝	005.中国式好人.txt	55	55
LAXA50-062	yes		1	举世而非之而不加沮	005.中国式好人.txt	55	55
LAXA50-063	yes		1	八面玲珑	005.中国式好人.txt	55	55
LAXA50-064	yes		1	随波逐流	005.中国式好人.txt	55	55
LAXA50-065	yes		1	举目揽八荒，谁为真男子？	005.中国式好人.txt	57	57
LAXA50-066	yes		1	退让贤路	006.好人坏在哪里？.txt	9	9
LAXA50-067	yes		1	退让恶路	006.好人坏在哪里？.txt	9	9
LAXA50-068	yes		1	坏人都在台上唱戏，好人蹲在屋里叹气。	006.好人坏在哪里？.txt	9	9
LAXA50-069	yes		1	普渡众生	006.好人坏在哪里？.txt	17	17
LAXA50-070	yes		1	张其恶	006.好人坏在哪里？.txt	17	17
LAXA50-071	yes		1	扶同为恶	006.好人坏在哪里？.txt	17	17
LAXA50-072	yes		1	乃若其情，则可以为善矣，乃所谓善也。	006.好人坏在哪里？.txt	27	27
LAXA50-073	yes		1	虽恶不罚	006.好人坏在哪里？.txt	27	27
LAXA50-074	yes		1	虽善不赏	006.好人坏在哪里？.txt	27	27
LAXA50-075	yes		1	至善只是此心纯乎天理之极便是	006.好人坏在哪里？.txt	27	27
LAXA50-076	yes		1	善意铺成了到地狱之路	006.好人坏在哪里？.txt	27	27
LAXA50-077	yes		1	抑强扶弱	006.好人坏在哪里？.txt	27	27
LAXA50-078	yes		1	自欺欺人	006.好人坏在哪里？.txt	27	27
LAXA50-079	yes		1	人饥己饥	007.好人笨在哪里？.txt	7	7
LAXA50-080	yes		1	其笨如牛	007.好人笨在哪里？.txt	11	11
LAXA50-081	yes		1	不矜细行，终累大德	008.从大规迹评论人.txt	5	5
LAXA50-082	yes		1	大德不逾闲，小德出入可也	008.从大规迹评论人.txt	7	7
LAXA50-083	yes		1	小心翼翼	008.从大规迹评论人.txt	17	17
LAXA50-084	yes		1	精忠报国	008.从大规迹评论人.txt	21	21
LAXA50-085	yes		1	鞠躬尽瘁，死而后已。	008.从大规迹评论人.txt	21	21
LAXA50-086	yes		1	独行其道	008.从大规迹评论人.txt	23	23
