《李敖书序集》第一轮提取报告
生成日期：2026-06-21
源目录：C:\Users\zzy87\Desktop\project\leeao-poem\《大李敖全集6.0》分章节\007.采访序跋类\002.李敖书序集
输出 CSV：C:\Users\zzy87\Desktop\project\leeao-poem\exports\李敖书序集_诗文格言歌谣引用.csv
输出 TXT：C:\Users\zzy87\Desktop\project\leeao-poem\exports\李敖书序集_诗文格言歌谣引用.txt
收录条数：76

候选概况：
- sourceFiles=20
- quoteCandidates=252
- attributedLines=149
- reviewCandidates=217

分类统计：
- 楚辞成句: 1
- 传统成语: 9
- 道家格言: 1
- 读书格言: 3
- 杜甫诗句: 2
- 杜甫诗句变体: 1
- 佛家俗语: 1
- 古代谏诤语: 1
- 古典词句: 1
- 古典诗句: 1
- 古文名句: 1
- 古训格言: 1
- 近代伦理格言: 2
- 老子式成句变体: 1
- 论语成句: 5
- 孟子成句: 3
- 孟子典故变体: 1
- 人物格言: 1
- 人物评语: 1
- 诗经成语: 1
- 史传成句: 1
- 史传典故: 1
- 史记成句: 1
- 史记人物评语: 1
- 史记文学观念: 1
- 世说典故: 1
- 世说典故成语: 1
- 宋词名句: 1
- 苏轼典故: 1
- 苏轼典故变体: 1
- 俗语变体: 1
- 外国格言: 5
- 外国文学评论: 2
- 王安石人物评语: 2
- 现代诗: 1
- 现代文学评论: 1
- 现代学术格言: 1
- 现代学术评语: 3
- 小说序文: 3
- 序文摘句: 3
- 学术评语: 1
- 易传成句: 1
- 友人题诗: 2
- 资治通鉴格言: 1
- 作家自述: 1

本轮排除：
- 002《汪政权的开场与收场》相关表白：属于现代政权史材料，未收。
- 012《政海秘辛》开头毛泽东《蝶恋花》：革命悼亡词，未收。
- 014《国共斗争的见闻》主要人物自白和园林叙述：现代党派史语境过重，未收。
- 020《历年办理匪案汇编》序：军法、案件、社论材料集中，整篇未收。
- 普通对话、校勘问答、书目说明、李敖自作判断句，除明确外部诗文格言外均未收。

明细：
id	source_file	line_start	line_end	category	source_or_origin	quote_text	summary	notes
LASHXJ-001	001.写在居浩然《十论》的前面.txt	45	45	俗语变体	传统俗语“前人种树，后人乘凉”的反讽变体	前人种树，后人夺树而纳凉	以树荫被后来者夺取，概括遗业被侵占的讽刺意味。	
LASHXJ-002	001.写在居浩然《十论》的前面.txt	73	73	论语成句	《论语·述而》“求仁而得仁”成句	求仁得仁	用以表示所求之道已经得到，因而无怨。	
LASHXJ-003	001.写在居浩然《十论》的前面.txt	105	105	道家格言	《老子》成句	天网恢恢，疏而不漏	以恢恢天网比喻终有公道与报应。	
LASHXJ-004	001.写在居浩然《十论》的前面.txt	105	105	楚辞成句	《楚辞·招魂》名句	魂兮归来	以招魂语寄托遥祭与哀悼。	
LASHXJ-005	001.写在居浩然《十论》的前面.txt	137	137	古典词句	古典词句化用，文中作乱离亲情之叹	数天涯，依然骨肉，几家能够？	以天涯骨肉相隔，写乱离中亲人难全。	
LASHXJ-006	001.写在居浩然《十论》的前面.txt	157	157	论语成句	《论语·公冶长》成句	乘桴浮于海	借孔子浮海之叹，比喻离去与远行。	
LASHXJ-007	001.写在居浩然《十论》的前面.txt	161	175	友人题诗	居浩然《天涯怀李敖》	傲骨本天生\n\n非能口舌争\n\n有才君佯狂\n\n无势我真怜\n\n击鼓敢骂曹\n\n任性终误萧\n\n浮云遮白日\n\n狱中作长啸	以傲骨、佯狂、击鼓骂曹等意象写友人身世与狱中气概。	收录为李敖文中引用的友人诗，不作李敖自作处理。
LASHXJ-008	001.写在居浩然《十论》的前面.txt	177	177	易传成句	《周易·系辞》相关成句	情见乎辞	用以说明真情自然显露于文字。	
LASHXJ-009	004.介绍《紫禁城的黄昏》.txt	29	35	现代诗	胡适《有感》	咬不开、捶不碎的核儿，\n\n关不住核儿里的一点生意；\n\n百尺的宫墙，千年的礼教；\n\n锁不住一个少年的心！	以核儿和宫墙意象写少年生命力不可禁锢。	
LASHXJ-010	004.介绍《紫禁城的黄昏》.txt	39	39	序文摘句	溥仪为庄士敦《紫禁城的黄昏》所作序	嗟夫！丧乱之余，得此目击身经之实录，信乎其可贵也！	称许亲历实录在乱离之后的可贵。	
