action	target	source_file	line_range	quote_or_candidate	reason
keep	LASXLQJ-001	056.梁肃戎不但无耻，而且肉麻.txt	11-11	万人丛中一握手，使我衣袖三年香。	以握手后衣袖留香写对贤者风采的仰慕。
keep	LASXLQJ-002	057.陈正澄来坐.txt	5-5	不出户，知天下	以不必亲履也能通晓天下说明见识可由学问与判断而来。
keep	LASXLQJ-003	064.《一江春水向东流》还在查禁中.txt	1-1	一江春水向东流	片名化用李煜词句，以江水东流写愁绪绵延。
keep	LASXLQJ-004	131.“一旦为贼常成靶”.txt	5-5	树欲静而风不息	以树想静而风不停比喻外缘牵动，事情难以按主观愿望止息。
keep	LASXLQJ-005	131.“一旦为贼常成靶”.txt	5-5	立地成佛	以顿悟成佛的说法概括即时转变的可能。
keep	LASXLQJ-006	145.国民党的电影问题.txt	9-9	只许官家放火，不许百姓点灯	以官民标准不一讽刺双重尺度。
keep	LASXLQJ-007	147.享受西湖.txt	3-3	我不去看西湖，我乃去享受西湖。	把游览转为享受，点出山水体验重在领受而非观看。
keep	LASXLQJ-008	150.黄奠华法官的持平之言.txt	21-21	瓜无滚圆、人无十全	以瓜不会全圆比喻人无完人。
keep	LASXLQJ-009	163.刘辰旦来谈.txt	9-9	齐白石的儿子表示，不要老是说什么假画假画，说久了，你的真画也没人敢买了。	以真伪之争会损害真品信任，概括艺术市场中的名声效应。
keep	LASXLQJ-010	164.“真人不露相”？.txt	5-5	真人不露相	以真正有本事的人不由外貌显露来说明才具不可貌相。
keep	LASXLQJ-011	167.任显群有“衣冠冢”.txt	7-7	结发伉俪死能同穴	以结发夫妻死后同穴寄托夫妻相守之愿。
keep	LASXLQJ-012	167.任显群有“衣冠冢”.txt	9-9	一个成功的男人背后必有一个出色的女人，一个温馨的家庭中必有个伟大的母亲	以家庭中的女性支撑概括成功与温馨背后的照护力量。
keep	LASXLQJ-013	167.任显群有“衣冠冢”.txt	11-11	家丑不外扬	以家庭内部不体面的事不向外张扬概括维护家名的旧式信念。
keep	LASXLQJ-014	167.任显群有“衣冠冢”.txt	11-11	做人要厚道、心胸要宽大、得助人处且助人、得饶人处且饶人	以厚道、宽大、助人、饶人概括待人宽厚的处世原则。
keep	LASXLQJ-015	167.任显群有“衣冠冢”.txt	11-11	天下事岂能尽如人意，做人但求无愧于心	以世事难尽如愿，转而要求做人无愧于心。
keep	LASXLQJ-016	176.看扁阿扁.txt	15-15	宽以待己而严以律人	以待己宽、待人严概括自我与他人的双重标准。
exclude		071.“宁入地狱，不坐冤狱”.txt	1-37	宁入地狱，不坐冤狱	现代司法新闻遗书语，未作为诗文格言收录
exclude		107.“台湾人畏威而不怀德”.txt	1-7	台湾人畏威而不怀德	现代政治人物对群体的政治判断，未收
exclude		130.李光耀的独见.txt	19-19	这条路行不通，让我们试试新方法。	现代政治判断，未收
exclude		131.“一旦为贼常成靶”.txt	7-7	一旦为贼常成靶	李敖自拟警句且承接政论语境，未收
exclude		141.解牛经.txt	3-3	解牛经／目有全牛	典故反用但不是稳定引句，未收
exclude		153.天帝教与妄人.txt	7-13	无形应化有形，有形配合无形	宗教政治声明语，未收
exclude		182.吴丰山主持的黄色广告.txt	5-23	黄色广告语	商业情色广告文案，未收
