id	book	chapter	source_file	line_start	line_end	quote_text	category	reason
LAZHXJ-011	李敖自传与回忆续集	004.“一朝眉羽成，钻破亦在我”	004.“一朝眉羽成，钻破亦在我”.txt	57	57	未有民族文化已衰息断绝，而其国家之生命犹得长存者。	现代史学名言	现代民族国家论断，属于政治史论语录，不作为诗文格言保留
LAZHXJ-072	李敖自传与回忆续集	004.“一朝眉羽成，钻破亦在我”	004.“一朝眉羽成，钻破亦在我”.txt	69	69	诚吾国历史人物中最具贞德之一人。稟贞德而蹈贞运，斯以见天心之所属，而吾国家民族此一时代贞下起元之大任，所以必由公胜之也。	现代文言颂词	为现代政治人物祝寿的颂词，属于政治人物语录
LAZHXJ-018	李敖自传与回忆续集	006.为旧帐算新帐	006.为旧帐算新帐.txt	11	11	方才有不能不谈政治的感觉	现代文人语	胡适谈政治的现代文人语，属于政治语录
LAZHXJ-019	李敖自传与回忆续集	006.为旧帐算新帐	006.为旧帐算新帐.txt	11	11	发誓要想谈政治	现代文人语	胡适谈政治的现代文人语，属于政治语录
LAZHXJ-020	李敖自传与回忆续集	006.为旧帐算新帐	006.为旧帐算新帐.txt	15	15	我回国时……打定不谈政治的决心，要想在思想文艺上替中国建筑一个革新的基础。	现代文人自述	胡适自述不谈政治与革新中国，属于现代政治相关语录
LAZHXJ-029	李敖自传与回忆续集	015.“太轻了，不算！”	015.“太轻了，不算！”.txt	3	5	太轻了，不算！	现代口语名言	政治犯刑求语境中的现代口语，不属于诗文格言
LAWN-034	我最难忘的事和人	007.我最难忘的一个官僚同学	007.我最难忘的一个官僚同学.txt	275	275	当国家企图将国民铸成同种格式时，文化即已停滞矣！	西方哲人名言	关于国家塑造国民的现代政治哲学语录
LAWN-041	我最难忘的事和人	007.我最难忘的一个官僚同学	007.我最难忘的一个官僚同学.txt	293	293	人为政治的动物。	西方哲学名言	以政治参与为核心的西方政治哲学语录
LAYTAS-047	李敖议坛哀思录	119.我是很列宁的	119.我是很列宁的.txt	55	55	她可以把民主政治说得天花乱坠，却不知道如何过民主生活。	西方人物格言	评价现代政治人物与民主政治的政治语录
LACTDB-026	传统下的独白	006.假如我是女人	006.假如我是女人.txt	53	53	人是政治的动物	西方哲学格言	以政治为核心的西方政治哲学格言
LAWC2-156	李敖文存二集	论没有“流血的自由”	011.论没有“流血的自由”.txt	15	15	吾辈为国家为社会死，义也！各国改革，孰不流血？吾当为前驱！	近代志士名言	近代革命志士赴死语，属于政治革命语录
LAWLDH-041	文化论战丹火录	文化论战丹火录	002.文化论战丹火录.txt	833	833	仇视（自己的国家）变为我每日的面包。我和仇视一起生活，恰似别人和亲爱的女人生活一起。	外国引文	关于仇视国家的现代政治意识形态引文
