source_file	line	risk	text
《李敖书札集》目录.txt	32		029.老孟老孟，你说是否？
001.致管区警察头子书.txt	19		〔跋〕1982年11月28日，管区转告说信今天收到，纯属误会，李先生多心了。请李先生把身份证留在大厦柜台即可，他们即来补为校正无误云云。这一答复，证明了这个岛上的公务员并非不会改正他们的错误，当他们知过能改的时候，我们应该夸奖他们。
002.讨老婆的一个新害处.txt	13		台中蓝灯出版社，最近举办创立十五周年，五折大优待，在《暖流》和《名人》杂志，刊登巨幅广告，据说读者反应十分热烈。
002.讨老婆的一个新害处.txt	15		蓝灯刊登的新书预告中，有两本前《自由中国》杂志发行人雷震的遗著：《制宪述要》《监察权的过去与未来》。据说预约者十分踊跃。
002.讨老婆的一个新害处.txt	21		笔者特地走访蓝灯出版社发行人丁颖先生，承丁先生面告，该社当初之所以打算印行雷著，纯系敬仰雷先生之风骨和节操，为了纪念雷先生，才有此计划。如今既然雷夫人出面，不许别人纪念，又不许出书表达仰慕之怀，也只好作罢，何况印行该二书又无任何利润可图（按二书均系一百页左右之小书，利润不高）。丁先生还说，他实在不了解，何以八十年代出版社（康宁祥所属）可以印《自由中国选集》，香港七十年代杂志社印《雷震回忆录》，蓝灯出版社却不许印行二十年前的旧作？
002.讨老婆的一个新害处.txt	25	risk	照理说，雷夫人宋英女士一向政治立场十分严明，也是十分明理的人，有人“胆敢”冒被查禁印行其夫遗作，理应高兴才是，如今却阻挠他人纪念雷震，印行雷著，实在令人百思不解，难以置信。
002.讨老婆的一个新害处.txt	29		我在《我的殷海光》中说：
002.讨老婆的一个新害处.txt	31	risk	第二天下午，殷海光死了。殷师母后来在《“这必死的，总要变成不死的！”》中说：“到家不久李敖及孟祥柯和我一齐去怀恩堂商量一些事情及决定追思礼拜的日子。”她这段话，是长话短说了。因为头一天笔记的事，使我感到一批教棍可能利用殷海光，我该特别防范一下。果然回到殷家，殷师母就坚持以宗教仪式办后事，并说已跟怀恩堂的周联华牧师约好，现在就去。殷师母大概没想到我是个激烈反对者，她约我一起去怀恩堂，要我代他们润色一下已写好的殷海光“安息在主的怀里”的通告稿。不料我一见周联华，就把他责备一顿，我说你给国民党的达官贵人做后事吧，何必又来糟蹋殷海光！孟绝子在旁也支持我的责备。我坚持删掉“安息在主的怀里”等鬼话，争执不下。最后我只同意用“永生”字眼，“永生”不算是宗教字眼，但可使教棍们自以为是，殷师母总算同意了。再回殷家，殷师母在廖融融等许多人面前向我说：“李敖，你是战士，可是殷海光不是了，殷海光已属于上帝！”王晓波在《殷海光先生临终日志》中记这天晚上“廖融融言：殷师母告其得上帝启示，殷先生遗稿概不出版。并言其与殷先生结婚以来，每日担惊受怕，不愿殷先生阴影再笼罩她。殷先生死了，她应该要得到解脱。”王晓波的记录，告诉了我们：思想家是不宜有“对我丈夫的思想一点也不懂”的太太的，思想家讨错了老婆，在他死后，对他思想的流传必是一种妨碍，从托尔斯泰到胡适，无一例外。殷师母是我尊敬的女性，但是教棍生涯使她把最后一年的殷海光“夏君璐化”，这显然更使思想家警惕。《诗经》有一句是：“‘殷’鉴不远，在‘夏’后之世。”用来做有趣的曲解，正好对这段殷夏婚姻，有了先知式的预言。
002.讨老婆的一个新害处.txt	33		殷太太这一举动，在你的《纪念殷海光教授逝世十三年》中也有旁证，可见已是定说。
002.讨老婆的一个新害处.txt	43		海光先生今年病情转剧，我因前年去年两次送殷先生就医，反落埋怨，埋怨倒不重要，重要的是处理殷先生病况，技术问题不易统一，人多口杂，责任不清，反易误事。所以今年之事，我一开始即面告黄三（胜常）三点，并表示如此三点不能实行，我再介入，是与人扶同误殷先生，我绝不干。现黄三已出国，殷先生病情日坏，上午晓波来说，大家约我商讨，我认为此事仍非人多口杂所能解决，所以综合前向黄三所说三点，合为出面说明如下，烦请晓波婉为上达殷师母，如蒙明裁，当为海光先生之幸。
