file	line	quote	context
001.为司法黑暗发榜.txt	7	万古如长夜	中国国民党口口声声说他们推翻满清、打倒军阀，其实他们在许多方面，还不如满清、不如军阀，其中之一，就是他们对司法的祸害。满清、军阀虽然千不是万不是，但在司法上，却相当尊重制度、尊重习惯，而国民党却双杀之，结果司法黑暗至今。——“天不生‘李敖’，万古如长夜。”生了李敖，黑暗总算被揭发了。
001.为司法黑暗发榜.txt	7	口口声声	中国国民党口口声声说他们推翻满清、打倒军阀，其实他们在许多方面，还不如满清、不如军阀，其中之一，就是他们对司法的祸害。满清、军阀虽然千不是万不是，但在司法上，却相当尊重制度、尊重习惯，而国民党却双杀之，结果司法黑暗至今。——“天不生‘李敖’，万古如长夜。”生了李敖，黑暗总算被揭发了。
001.为司法黑暗发榜.txt	9	快意恩仇	我从三十二年前被国民党大员告到国民党法院开始，便一路“过堂”、“听审”、“惊奇”、“拍案”，高潮迭起，几无宁年。个人也由“被告”而“原告”、由“小民”而“刁民”、由“自卫”而“卫人”，由“卫人”而好管闲事、为弱者打抱不平。于是跟国民党司法黑暗的前卫人士起了冲突，不论是法官污吏、不论是禁子牢头、不论是司法长官法务部长，一干人等，都在我“点名批判”之列。三十二年间，为真理、为正义、为自己、为别人，我打了太多太多的官司，与法官一干人等冲突几十场、出庭几百次、下笔几十万言，好讼之性，自少到老；是非之争，老而弥坚。坚挺之余，
001.为司法黑暗发榜.txt	11	上得山多终遇虎	第一组——“一、迟来的澄清”是就我被萧孟能诬告而遭冤狱的怪案看司法黑暗。这只是简要说明，详细驳正我都发表在《李敖千秋评论丛书》里了。冤狱发生于一九八〇年，地院法官陈联欢本依法判我无罪，但高院法官林晃、黄剑青、顾锦才却枉法以“不承认亲笔字据”、“不承认科学鉴定”、“窜改笔录”、“代栽证据”、“捏造配偶”、“歪曲情理”等荒谬手法，陷我于狱。后来得知，冤狱之成，与国民党“军机处”王昇主持的“刘少康办公室”有关。我出狱后，锲而不舍，追究出萧孟能诬告我内情，那时政治因素已结案，法官们乃依法判决，诬告我的萧孟能失掉政治靠山，一
001.为司法黑暗发榜.txt	11	锲而不舍	第一组——“一、迟来的澄清”是就我被萧孟能诬告而遭冤狱的怪案看司法黑暗。这只是简要说明，详细驳正我都发表在《李敖千秋评论丛书》里了。冤狱发生于一九八〇年，地院法官陈联欢本依法判我无罪，但高院法官林晃、黄剑青、顾锦才却枉法以“不承认亲笔字据”、“不承认科学鉴定”、“窜改笔录”、“代栽证据”、“捏造配偶”、“歪曲情理”等荒谬手法，陷我于狱。后来得知，冤狱之成，与国民党“军机处”王昇主持的“刘少康办公室”有关。我出狱后，锲而不舍，追究出萧孟能诬告我内情，那时政治因素已结案，法官们乃依法判决，诬告我的萧孟能失掉政治靠山，一
001.为司法黑暗发榜.txt	13	官官相护	这一冤狱，我曾以再审寻求救济，但是与林晃、黄剑青、顾锦才同属高院刑庭的法官王瑶、陈健民、吴谦仁以裁定驳回了它。官官相护，我一点也不惊异。
001.为司法黑暗发榜.txt	31	无所遁形	第三组——“三、钟曜唐——这样的法官配做院长吗？”是就一件我坐牢时过手的冤狱资料看司法黑暗。在这些文字里，我们看到法官钟曜唐的酷吏面孔，看到这种酷吏如何草率审案、做案。在他做手脚的吕安仁案中，他把进餐厅的时间定为“六十八年一月二十六日下午十时许”。这种判决，在最基本的时间认定上，就先犯了两个大错：第一，那天是一月“25日”而非“26日”，早由原告被告双方所认同；第二，进餐厅时间是“十时半”而非“十时许”，也由原告被告双方所认同。但钟曜唐为了“十时半”进餐厅，“十一时”就死人，前后只有半小时，其中包括入座、饮宴、争执
001.为司法黑暗发榜.txt	35	明镜高悬	林晃的判决书说：“凶器亦无查获，不过杀害被害人之凶器为刀类可以确定。”事实上，真是这样吗？光以凶器而论，从法官们的丰富想象力中就各说各话：凶器先是“钝器”，再转为“刀器”，再转为“刀类”，再转为“刀”，再转为“一不明钝器物体”，这算什么判决呢？“钝器”的伤和“刀类”的伤根本是两种不同的伤痕，如验尸报告是“钝器”的伤痕，则“刀类”即为不真；如验尸报告是“刀类”的伤痕，则“钝器”即为不真，怎么可以在判决书中忽而“钝器”，忽而“刀类”，忽而又“钝器”？这不是猜谜，又是什么？但猜尽管各猜各的，草率判人死刑则又有志一同，这是
001.为司法黑暗发榜.txt	39	草菅人命	另一件从华定国冤狱到吕德冤狱中，我提出了在法官做案之前，刑警先期做案的原始文件，吕德冤狱就是显例。华定国冤狱也是我一路关心的案子，我特别做了一张过手推事表。在这表中，我们看到从法官张剑男判决华定国死刑起，历经杨力行、林晃、林锡湖、梁仰芝、廖茂荣、毕庶寅、钟曜唐等一共八十九个法官，都一路判华定国死刑。直到一九八一年九月十一日——即七年死囚牢中后，才由更审第十一次法官谷凤岐、姚锡玖、薛尔毅改判无罪。自此一连七次审判，法官们相沿都判无罪。直到更第十八次法官廖茂荣、洪根树、钱通又别出新审，判了无期徒刑。旋由最高法院法官陈焕
001.为司法黑暗发榜.txt	41	水落石出	第五组——“六、人间何处有青天”是就“武汉大旅社命案”看司法黑暗。武汉大旅社姚嘉荐命案是三十七年前轰动台湾的第一大案，发生在一九五九年七月十八日。因蒋中正下手令“查明事实，从严侦办”，遂由调查局改办。在第二年一月二十六日，调查局改变了姚嘉荐原系自杀的官方纪录，平了官方的反，改说是谋杀，把全案移送台北地检处，旋即提起公诉。三月二十四日，地院宣判，七名被告，均处重刑。计开：黄学文、林祖簪、游全球、王蔼云四人，死刑；吴亮、陈华洲，无期徒刑；杨熏春，十六年。此后一直审了又判、判了又审、审了又判、判了又审，前后拖了十八年，更
