source_file	line	risk	text	context
001.四部备要暨四部丛刊书目対照表例.txt	913	true	宋：范冲淹//范文正公集二十卷、别集四卷、政府奏议二卷、尺牍三卷、年谱一卷、言行拾遗事录四卷、鄱阳遗事录一卷、又附录十三种	宋：范冲淹//范文正公集二十卷、别集四卷、政府奏议二卷、尺牍三卷、年谱一卷、言行拾遗事录四卷、鄱阳遗事录一卷、又附录十三种
001.四部备要暨四部丛刊书目対照表例.txt	1063	false	以上这个大表和附记，是三十年前——1952年8月9日到27日做成的，我根据的资料，是省立台中图书馆的藏书。在这十八天中，我几乎每天都跑到这个图书馆，坐在长板凳上，埋头我的“学术研究”。那时候，我刚念完高中一年级，十七岁，已写了《李敖札记》四卷。这个大表，收在四卷札记中的第三卷里。	以上这个大表和附记，是三十年前——1952年8月9日到27日做成的，我根据的资料，是省立台中图书馆的藏书。在这十八天中，我几乎每天都跑到这个图书馆，坐在长板凳上，埋头我的“学术研究”。那时候，我刚念完高中一年级，十七岁，已写了《李敖札记》四卷。这个大表，收在四卷札记中的第三卷里。
002.《古今图书集成》研究.txt	1	false	《古今图书集成》研究	《古今图书集成》研究
002.《古今图书集成》研究.txt	3	false	中国文化从有书籍开始，已两千年。两千年来，最有代表性的“大”书，举例如下：	中国文化从有书籍开始，已两千年。两千年来，最有代表性的“大”书，举例如下：
002.《古今图书集成》研究.txt	5	false	经书——《皇清经解》（阮元编，清代儒者经解一百八十余种，原刻本二百九十六册，补刊本三百六十册）与《皇清经解续编》（王先谦编，续收二百零九种，三百三十册）	经书——《皇清经解》（阮元编，清代儒者经解一百八十余种，原刻本二百九十六册，补刊本三百六十册）与《皇清经解续编》（王先谦编，续收二百零九种，三百三十册）
002.《古今图书集成》研究.txt	7	false	史书——《二十五史》	史书——《二十五史》
002.《古今图书集成》研究.txt	9	false	子书——《百子全书》（即“子书百家”，清光绪元年湖北崇文书局刊印的大丛书》	子书——《百子全书》（即“子书百家”，清光绪元年湖北崇文书局刊印的大丛书》
002.《古今图书集成》研究.txt	11	false	丛书——《丛书集成》（四千册）	丛书——《丛书集成》（四千册）
002.《古今图书集成》研究.txt	13	false	实录——《清实录》（一千二百四十册）	实录——《清实录》（一千二百四十册）
002.《古今图书集成》研究.txt	15	false	佛书——《大藏经》	佛书——《大藏经》
002.《古今图书集成》研究.txt	17	false	道书——《道藏》	道书——《道藏》
002.《古今图书集成》研究.txt	19	false	典制——《十通》	典制——《十通》
002.《古今图书集成》研究.txt	21	false	韵藻——《佩文韵府》（原分一百零六卷，四库重编为四百四十卷）与《韵府拾遗》（一百二十卷）	韵藻——《佩文韵府》（原分一百零六卷，四库重编为四百四十卷）与《韵府拾遗》（一百二十卷）
002.《古今图书集成》研究.txt	23	false	百科全书——《古今图书集成》	百科全书——《古今图书集成》
002.《古今图书集成》研究.txt	25	false	其中百科全书项下，《古今图书集成》千古独步，字数高达一亿四千四百万，是书中之王。	其中百科全书项下，《古今图书集成》千古独步，字数高达一亿四千四百万，是书中之王。
002.《古今图书集成》研究.txt	29	false	唐朝的：《艺文类聚》一百卷，四十八部（欧阳询）、《北堂书钞》一百六十卷，十九部（虞世南）、《初学记》三十卷，二十三部（徐坚）	唐朝的：《艺文类聚》一百卷，四十八部（欧阳询）、《北堂书钞》一百六十卷，十九部（虞世南）、《初学记》三十卷，二十三部（徐坚）
