id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	political_hits	notes
LADZ-001	李敖颠倒众生	001.20000508从敖之吾兄说起.txt	19	19	众生不成佛，我不成佛	佛教文句	《地藏菩萨本愿经》语意	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
LADZ-002	李敖颠倒众生	001.20000508从敖之吾兄说起.txt	19	19	我不下地狱，谁下地狱	佛教俗语	地藏菩萨愿语	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
LADZ-003	李敖颠倒众生	001.20000508从敖之吾兄说起.txt	21	21	至矣尽矣，方知小子之名；颠之倒之，反在诸公之上	联语	古代落榜者联	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
LADZ-004	李敖颠倒众生	001.20000508从敖之吾兄说起.txt	21	21	名落孙山	成语典故	孙山落第典故	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
LADZ-005	李敖颠倒众生	005.20000516黄旗梦远.txt	27	27	上穷碧落下黄泉	诗句	白居易《长恨歌》	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
LADZ-006	李敖颠倒众生	005.20000516黄旗梦远.txt	25	25	谎话、他妈的谎话、统计学	西方统计格言	狄斯累利语	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
LADZ-007	李敖颠倒众生	006.20000517历史解释权.txt	5	5	在齐太史简，在晋董狐笔	诗句	文天祥《正气歌》	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
LADZ-008	李敖颠倒众生	006.20000517历史解释权.txt	5	5	行不出境，返不讨贼	史传名句	董狐书法典故	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
LADZ-009	李敖颠倒众生	009.20000522追杀李登辉.txt	7	7	言必信、行必果	古典成语	《论语·子路》语	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
LADZ-010	李敖颠倒众生	009.20000522追杀李登辉.txt	9	9	天行有常，不为尧存，不为桀亡	古典名句	《荀子·天论》	yes		首轮保守收入：节目文字稿政论密度高，仅取可独立成立的诗文、佛经、古文名句、成语俗谚和少量非政治格言。
