file	line	covered_ids	context
001.《李敖风流自传》破题.txt	3	LAFLZ-001	英雄割据虽已矣！文采风流今尚存。——杜甫《丹青引》
001.《李敖风流自传》破题.txt	5	LAFLZ-002	吾爱孟夫子，风流天下闻。我找李大师，云端不可寻。
001.《李敖风流自传》破题.txt	7		前两句是李白赞美孟浩然的诗。后两句是电脑云端找不到的诗。
003.两位老太太.txt	3		我的写法采“随意唠叨体”。我虽然已不耐繁剧文字，但自传例外，该啰唆之处，绝不轻饶，还要特别啰唆一下。汗牛也、充栋也、上网也、下载也，古今自传多矣，但最好的，出自两位老太太，一位是赵元任太太杨步伟，一位是胡适太太江冬秀。老太太式自传的最大好处，在她随意唠叨。唯其随意，故少弄假；唯其唠叨，故无遗珠。李敖者，行文固大手笔也，以大手笔效老妪书，能解老妪，方足以读自传，知我者，其唯老太太乎？我的收藏中，有一章打字稿，上面有胡老太太亲笔改动，是骂干女婿干女儿钱思亮和钱思亮老婆忘恩负义的，骂得很生动。胡适生前招朋引类，引来的多是...
005.地——我住在中国.txt	3		我否认“中华民国”的存在，有人问你不承认“中华民国”，那你住在哪里？我夷然答曰：“我住在中国。”所谓“中华民国”，事实上，根本相当于中国的一个省，以一个省的现状——拖了长达六十六年的现状，居然要“省可敌国”、“分庭抗礼”，这是很不要脸的抹杀事实的态度。如果大陆上一九四九年起没出现中华人民共和国，也许“中华民国”四字还可蒙混适用，但是，中华人民共和国早就成立了，为中国人民、世界各国所承认了，“中华民国”早已亡国属实！我最爱挖掘国民党的文件，我早就指出：一九五〇年三月十三日，“中华民国”的亡国总统蒋介石在“阳明山庄”秘...
006.人——曾经走过这样一位血肉之躯.txt	3	LAFLZ-004|LAFLZ-005|LAFLZ-006	总结八十年的成就，似乎止于“示范”与“播种”。李敖一生独来独往而能独立存在，贫贱不移、威武不屈，是为“示范”；又在年复一年重围中，自台岛流窜祖国，以自由智慧崇中反美为天下倡，是为“播种”。只是世界和中国太大，阻力也多，究竟能播多少种，难以评估。最后能把握的，也是以“示范”为主。爱因斯坦（A. Einstein）论印度圣雄甘地（M. Gandhi）说：“后代子孙很难相信这世界上曾经走过这样一位血肉之躯。”（Generations to come will scarce believe that such a one ...
009.上帝管两头，我管中间.txt	3		虽然如此，我仍旧自勉我自己一段话：“当它变得什么也不是，你跟它同在一起，你也变得什么也不是。你不必对陨石做什么，如果你不与陨石同碎，你还是做你自己的世界性普遍性永恒性生命性的工作吧。”这就是我一生的计划，也是我余生的方向。我一生的计划是整理所有的人类的观念与行为，做出结论。人类的观念与行为种类太多了、太复杂了，我想一个个归纳出细目，然后把一个个细目理清、研究、解释、结论，找出来龙去脉。这不像是一个人做得了做得好的大工作，可是我却一个人完成它。这是我一生留给人类的最大礼物，因为人类还没有一个人，能够穷一生之力，专心整...
010.视——息眼之所.txt	3		最喜欢把眼睛闭起来，埋在十七岁情人大腿的内侧。光滑、柔软、温暖、香馨，还有弹性……眼睛埋在那里，我愿从此一瞑不视，那是我永远向往的安息地方。不但大腿内侧是我“息眼之所”。年复一年的辛苦、日复一日的萦扰，在须臾之间，全化为无形，出现在目前的，只有横陈裸体，恰似那《神女赋》中的云梦人儿，或近或远、或俯或仰，陪你解脱又为你解脱，让你飘浮天上，又婆娑人间。全部起点始于埋入，把头埋进十七岁情人大腿之中，或从大腿正面，或从大腿背面，整个脸贴上去，鼻子贴上去，嘴唇、舌尖都贴上去，眼睛贴上去，养眼在她温柔的大腿里，动也不要动，就那...
011.声——日本女人蝴蝶夫人.txt	3		我的一个朋友薛起文是音响迷，整天整夜为新款音响神魂颠倒。市面上一有新货出来，他就疯了，千方百计，要汰旧换新，搬进搬出，几无宁日。我问他新旧之间，有那么大的落差吗？他苦笑一下，摇了摇头。人生啊，N就很好了，为什么拼命追求N+1？不断用新音响听追魂曲的人，何不减1一下，N就好了？薛起文最喜欢听CD歌剧，尤嗜《蝴蝶夫人》。我认为《蝴蝶夫人》最令人吃不消的，在段落之间，失声失音太长，以为歌剧已完、夫人已死，不料又活回来。歌剧迷薛起文跟我说：他每听《蝴蝶夫人》就要哭，他太太不许他用大音响了，他买了一台随身听，偷偷在浴室放，结...
012.色——日本女人与叫床.txt	3		我太太小屯向我说了一句妙话，她说：“当你开始喜欢日本女人，就证明你老了。”真糟糕，我近年已有喜欢日本女人的倾向，日本女人的A片叫床，比洋婆子细腻多了，其中似乎以白石瞳叫得最好。写真集要数叶月里绪菜最好。我在电视节目中，展示叶月里绪菜的露毛照片，反证中国在这方面不如日本开放、自由。为了这一展示，台湾的新闻局行文警告了电视公司，但不敢警告我，这次似乎李敖吸引不了他们——日本阴毛取代了一切。人间最好听的声音，不是蝴蝶夫人的歌剧，而是蝴蝶夫人的叫床。
