source_file	line	flag	text
《李敖书笺集》目录.txt	18	risk	　　015.驳国民党议员的四点胡说
《李敖书笺集》目录.txt	22	risk	　　019.驳国民党议员老婆的一片胡说
《李敖书笺集》目录.txt	43		　　040.爱因斯坦的两段话
001.我为什么支持王八蛋？.txt	5	risk	　　二十年无音信，忽接先生来书，并欲践宿诺，非常感佩。先生说：“流浪二十多年……亲尝‘搞民主’的中国知识分子，没有几个是懂‘信义’的。”并要我“研究研究”。
001.我为什么支持王八蛋？.txt	7	risk	　　我的看法是：“‘搞民主’的中国知识分子”，即相当于反对党人士，这些人士，因为是政治人士，他们的品德，即不能高估（对搞政治的人，不论哪一派，都要严予注意，不可轻信），我们支持他们，支持的，不是他们本人，而是支持反对党政治，我们为反对一党独大、一党独裁而支持他们，他们也就在这一“反对”大方向上的正确，而值得我们支持。除了这一大方向的正确外，其实由政客对政客观点对比，他们与国民党殊少不同，在习性上，且尤其相近，他们的个人极少比国民党中拔尖的个人好。简单说来，他们只是在大方向上胜过国民党而已，其他方面，跟国民党是半斤八两。但话说回来，要完成两党以至多党政治，支持王八蛋打龟儿子就在所难免，否则全是龟儿子独大、龟儿子独裁，绝不是办法，在龟儿子的暴政下，只有支持王八蛋来取得平衡，英国的保守党工党、美国的民主党共和党，都是龟儿子党王八蛋党平衡的范例，引西证中，洵可如是观。
001.我为什么支持王八蛋？.txt	9	risk	　　正因为真相不过如此，我对“‘搞民主’的中国知识分子”无所谓失望，对党外人士无所谓失望，他们不懂“信义”不足怪，不懂许多应有的道德品质也不足怪，只要他们在大方向上不太迷失，就不必苛求。古话说“贤者识其大者，不贤者识其小者”，我今下一歪解，该说“不贤者识其大者”，唯有对不贤者能识其大，其他他们的小把戏，也就不足道了。
002.斥财阀.txt	11		　　我是贵公司P006348-0信用卡用户，从1977年向贵公司领取信用卡后，信用成长，已长达六年。六年以来每收到贵公司缴款通知书后，即行拨汇，从未失误。消费之时，偶有贵公司规定之特殊情形需超额消费，有时高达三万元以上者（如为家母看病，一次支付中华开放医院），经收账员电询，贵公司无不首肯。不意今晚8点40分，我去仁爱路远东百货公司购物，总额一万元整，收账员电询贵公司，贵公司之洪姓职员坚持不肯，且态度不佳，经我电询，他说你李敖是黑名单中的人云云，一反过去贵公司之态度。我认为贵公司太不尊重老顾客了，也太不尊重六年来累积的信用了。贵公司这种无礼的态度，我概不接受。兹随信附还信用卡，并予折断作废，请贵公司挂号退还我六年前的约定书，及我的照片。
002.斥财阀.txt	21	risk	　　上面这封信寄出后，我没收到你的信，却收到10月26日所谓“国泰信托公司信用卡部经理杨朝佐”的信，信中承认：“因本公司新进值班人员之缺乏经验，致对电脑资料判断有所误会。”因而“郑重表示歉意”，并把我折断作废的信用卡另行补发一张，以为这样就算了。其实这是不能使我满意的，因为我请你答复的问题，你全没答复。并且全世界的电脑，也不会被全世界任何“缺乏经验”的“新进值班人员”，“判断”出“你李敖是黑名单中的人”这种“误会”，除非你们的电脑直接与警备总部或调查局连线作业，所以，你们的“歉意”，是骗小孩子，我无法接受。
002.斥财阀.txt	25	risk	　　一位朋友向我说，也许国泰信托这些莫名其妙的事，它的董事长蔡辰男不知道，你先查清楚，再发作才好。所以我决定再写这信，并把信寄到你家里，确实让你知道，请你确实针对我上次的信，给我答复清楚。请你放明白一点，我不是华侨银行那些窝囊废，可以被你们财阀欺负。你去问问你爸爸、问问蔡万霖，当年我母亲张桂贞买国泰信义公寓时，我是怎么跟你们财阀斗争的。别以为我脾气好到可以让你们和你们的靠山国民党横行与神气，我不高兴的时候, 你们休想高兴！
004.从主流到乱流.txt	5	risk	　　这次由刘会云出面做敢死队，申请《文星》杂志登记，官方死拖活拖，总是不批下来，最后拖不下去了，总算核准。据内政部1961.4.18内警字第57897号致台湾省政府新闻处代电：“查依出版法第9条呈准登记之杂志，经依同法第12条规定注销登记，或依第41条规定撤销登记后，倘仍用原杂志名称申请登记有损上项法条之效力，兹为加强出版品管理并辅导杂志正常发行起见，凡经依法注销登记或撤销登记之杂志，在注销或撤销之后三年内，任何人不得沿用其原名称申请登记。”原来的《文星》杂志早在十八年前结束，早已超过三年禁限的六倍以上，照他们自订的法令，他们一点也没有刁难的余地，所以，死拖活拖一阵后，只好执照照发了（虽然如此，我仍怀疑若用《自由中国》或《美丽岛》等名义申请，他们会发执照。虽然这些杂志也都超过三年以上的禁限）。在发执照的同时，他们以（72）府新一字第08226号函刘会云说：“台端申请办理《文星》杂志，准予登记。”“案经行政院新闻局七十二年2月28日（72）瑜版二字第01369号函复照准，略以：查前《文星》杂志虽注销已满三年以上，唯该刊发行人因该刊权益问题在法院诉讼，致使本申请案之核办有所延搁。顷经台湾高等法院裁定结案，应予照准。并附发局版台志字第3579号登记证一张。”国民党宋楚瑜之流这些鬼话，全是胡扯：第一、《文星》杂志早在十八年前结束，又何来发行人？第二、纵有所谓发行人权益问题，也是萧孟能与李敖之间，又与第三者（刘会云）有什么相干？岂可依法无据的延搁第三者的权益？所以宋楚瑜之流的死拖活拖，故意延搁，是依法无据的，是想能多掐文星一天就多掐一天的。他们唯恐我要办文星，他们不知道，文星已是历史，我要搞就搞新的，我才不会办呢！
004.从主流到乱流.txt	7	risk	　　回想十九年前，在国民党掐死《文星》杂志的时候，我曾说：“文星是一道主流，虽然这主流反对国民党，但反对之道，还有规格可寻，还可聚合各路细流，成为高明的导向；文星一旦没了，主流就会变成乱流，国民党早晚会更惨，还要赔上国家的命脉和别人的青春。国民党有一天会知道当一切情势改变了的时候，他们将欲求有《文星》而不可得！甚至欲求有《自由中国》而不可得！他们那时候才会发现——迟来的发觉——《文星》《自由中国》式的反对他们，是太客气了的！可惜笨得要命的国民党永远不会明白，他们总是不见棺材不流泪。马歇尔说国民党会做好事但总做得太迟，他的看法，真是一针见血了！”
004.从主流到乱流.txt	11		　　这次会云拿到《文星》杂志执照，虽然在登记上是一个全新的杂志，但对我这些文星老人说来，这一现象，显然却是当年文星的复活，虽然在事实上，我们明知过去的文星，已经一去不返了。
004.从主流到乱流.txt	13	risk	　　我请会云申请《文星》杂志登记的用意，目的无他，就在证明文星不是你萧孟能的，文星是一个公器，萧孟能说文星是他的，我就请第三者申请个文星给他看！他去年7月20日到法院告我、又招待记者，11月30日，台北地方法院推事林茂雄驳回了他，理由是：
004.从主流到乱流.txt	15		　　自诉意旨以被告等有犯行使伪造私文书罪，无非以被告等擅用“文星杂志”四字于所出版之《文星杂志选集》之封面，并刊登广告为论据。唯查刑法伪造文书罪之文书，其内容须能证明一定之权利义务关系或一定之事实。学说上称前者为关于权利义务之文书，例如契约、遗嘱、委托书等是；称后者为关于证明事实之文书，例如介绍书、身份证等。本案自诉人所指之“文星杂志”四字乃杂志之名称，既非证明任何权利义务，复与证明身份、能力、品行等重要事项无关，揆诸上开说明，即非刑法上之私文书。又自诉人亦自承《文星杂志》早于民国五十六年间自动注销登记，该杂志前所刊登之文章并无版权及注册登记，亦未禁止转载，及被告等出版之《文星杂志选集》未曾使用《文星杂志》底页原注册登记之字号、发行人及印刷者等情，复有行政院新闻局函一纸及《文星杂志选集》六册附卷可稽。综上所述“文星杂志”四字即非刑法上之私文书，而被告等出版之《文星杂志选集》又未使用原《文星杂志》注册登记之文号，纵被告等擅自使用“文星杂志”名义出版选集，亦无构成行使伪造私文书罪可言。
004.从主流到乱流.txt	19	risk	　　查刑法第十五章伪造文书罪上所指之“文书”，其内容须能证明一定之权利义务关系或一定之事实。学者称前者为关于权利义务之文书，例如契约、遗嘱、委托书等是：称后者为关于证明事实之文书，例如介绍书、身份证等是。本件自诉意旨系以被告等擅用“文星杂志”四字于所出版之《文星杂志选集》之封面，并刊登广告为论据。唯查自诉人所指之“文星杂志”四字乃杂志之名称，既非在于证明任何权利义务之用意，亦非在于证明任何身份、能力、品行等重要事实，揆诸上开说明，自非刑法第十五章所称之“文书”，自不待言。即自诉人于原审亦自承《文星杂志》早于民国五十六年间已自动注销登记，该杂志前所刊登之文章并无版权及注册登记，亦未禁止转载，及被告等出版之《文星杂志选集》未曾使用《文星杂志》以前登记之原注册字号、发行人及印刷者于底页上等情属实，复有《文星杂志选集》六册附卷足资凭核。而《文星杂志》之发行权早于民国五十六年8月18日已经台北市政府以五十六.八.十八府新一字第41474号函知发行人注销登记，亦有行政院新闻局七十一年11月25日（71）瑜版二字第18535号函在卷可稽。原审以上述“文星杂志”四字既非刑法上之私文书，而被告等出版之《文星杂志选集》亦未使用原《文星杂志》之注册登记文号，因认被告等纵使擅自使用“文星杂志”名义出版选集，亦无由成立行使伪造私文书之可言，依据刑事诉讼法第326条第3项、第252条第10款，以被告等被诉犯罪嫌疑不足，为自诉驳回之裁定，经核并无不合。抗告意旨仍执陈词，指责原裁定不当，为无理由，应予驳回。
004.从主流到乱流.txt	21	risk	　　由此可见，萧孟能招待记者、散发消息，说李敖无权使用《文星》名义之事，完全禁不住法律上的裁定。可是这种法律裁定的结果，国民党报纸却全部封杀。说李敖“行使伪造私文书罪”了，他们就大登特登；但查清楚李敖是清白的了，他们就一字不登——国民党如此卑鄙破坏政敌李敖的名誉，我岂是咽得下这口气的人哉？我会不反击国民党吗？
004.从主流到乱流.txt	23	risk	　　至于萧孟能为《文星杂志选集》的事，招待记者，被我告到法院，去年5月23日，地方法院推事林茂雄判决说：
004.从主流到乱流.txt	25	risk	　　上开事实，业据自诉人李敖指诉棊详，复有被告所散布之致《民众日报》社采访组函件，萧孟能控告李敖等伪造文书之记者会书面说明，自诉李敖伪造文书之自诉状影本各一纸及七十一年6月21日《中央日报》《民众日报》《民族晚报》《自立晚报》，七十一年6月22日之《中央日报》《中国日报》《联合报》《台湾日报》《中华日报》《民生报》《民众日报》《自由报》《民族晚报》等有关刊登被告记者招待会内容之影本附卷足稽，讯据被告萧孟能亦坦承有散发前开书函、说明书、自诉状及举行记者招待会，但否认有诽谤之行为，辩称：系自卫、自辩及保护合法利益，以善意发表言论，且所指摘之事项均属真实，并无诽谤李敖名誉之事云云，然查被告自诉伪造文书，既已提起自诉，是否构成犯罪，理应静候法院依法定程序审判，而竟舍此不由，反散发文件，举行记者招待会，大肆渲染指责李敖伪造文书、欺世盗名、公然向法律挑战、恶棍、掠夺他人著作权、盗名兼以盗利等足以毁损李敖名誉之事，已逾因自卫、自辩或保护合法之利益而善意发言论之范围，其且有诽谤之故意甚为显然。况被告自诉李敖伪造文书一案，亦因罪嫌不足经裁定自诉驳回确定，有本院七十一年度自字第591号，台湾高等法院七十二年度抗字第32号裁定书附卷足凭，也无法证明被告所诽谤之事为真实。被告所辩委无可采，事证明确，犯行足堪认定。
004.从主流到乱流.txt	27	risk	　　最后判决：“萧孟能散布文字，指摘足以毁损他人名誉之事，累犯处有期徒刑五月，如易科罚金，以九元折算一日。”萧孟能上诉后，高等法院推事王江深、刘瑞村、刘睿辉改以“萧孟能公然侮辱人，处罚金三百元，如易服劳役，以三十元折算一日”判他，遂告定谳。到了去年年底，地院推事李璋鹏，又以“萧孟能意图为自己不法之利益，而窃占他人之不动产，处拘役五十日”。萧孟能上诉，今年4月25日，高院推事史英、徐承志、林式庄把“上诉驳回”，萧孟能的窃占罪遂告确定。判决书说：
004.从主流到乱流.txt	29	risk	　　萧孟能意图为自己不法之利益，明知坐落台北市复兴南路与信义路四段交叉路口之角地，即台北市大安区复兴段三小段876号，面积三五八平方米，为台北市琉公农田水利会所有，竟与其所有之台北市大安区复兴段三小段877号，面积二十六平方米土地，一并于民国六十六年11月28日与周康熙签订借用空地合约书，出借与周康熙作为摆售鲜花、盆景等营业用地，为期二年，自六十六年12月1日起，至六十八年11月30日止，而向周康熙收取新台币五十万元之保证金。案经刘会云向台湾台北地方法院检察处检察官告发，由检察官侦查起诉。
004.从主流到乱流.txt	31		　　又说：
005.“望君早归”不如“望君牺牲”.txt	11	risk	　　你前天在立法院“以退席方式抗议行政院长俞国华未在三天前向立法院提出书面的施政方针报告”，你对国民党公然未按立法院议事规则第64条第3项规定于三天前将书面报告提出表示的特立独行，是令我们鼓掌的。我给长廷兄的信上说我们希望你一上台，就“该多一点迥异别人的新气象”，这次你做的，的确有新气象。
005.“望君早归”不如“望君牺牲”.txt	13		　　一般说来，学法律出身的、做律师的，都以稳健、保守者多，但是其中脱颖而出的豪杰，一旦不持盈保泰，由于有法学素养，反倒比他人邃密，而成绩斐然。你送我的丹诺的书，就充分显示了这一点。甘地在南非，在律师职业形势大好之际，毅然不做律师，加入反抗暴政活动，更是显例。
005.“望君早归”不如“望君牺牲”.txt	15	risk	　　我觉得党外的情况，有赖于有新气象的头头去一次又一次的特立独行，只有特立独行，才能不为势劫（包括不为国民党所劫，也不为党外的浑人们所劫）；才能领导群众而不为群众所领导；才能维持真我，永保此心的澄明。甘地当年是国大党的祖师爷，但在国大党风光之日，他不惜退出国大党以特立独行。今天的党外的一个缺点是：许多人的气质太像国民党了，许多人太软弱，以对美丽岛的入狱者为例，我觉得整个的党外都表现得软弱，因为大家整天就是要特赦要放人，这多没种！多没出息！这是根本上错认了志士仁人抗暴斗争的性质。这种性质，甘地早就说过了。甘地说：
005.“望君早归”不如“望君牺牲”.txt	19		　　甘地又说：
006.手下·下手·快.txt	5		　　老兄选区公民刘会云（即上个月你托她转话给我的那位刘小姐），有正本信给老兄，副本信给行政院，请老兄公事公办。这位公民写信的重点是揭发一桩黑暗，黑暗者，行政院以几百万年复一年为死人押租豪华大厦也（原为行政院政务委员叶公超所押，叶公超已死近三年，犹押个不停，此种浪费公帑，自为老兄所不肯坐视也）。
006.手下·下手·快.txt	7		　　看到一日的《八十年代》社论——《施性忠当选的感想》，最后说：
006.手下·下手·快.txt	13	risk	　　昨天午后台中方面长途电话，说中部地区警方人员已到书报摊上查扣《千秋评论》第三十四期《不老·不死·尸》，查禁命令还没到，他们就先动手了。国民党的“手下·下手·快”，由此可见一斑。
