priority	source	score	tag	file	line	text	same_line_export_ids	context
30	known	0	literary-check	014.粗谈中国知识分子五病.txt	35	知识的力量	LACW-141|LACW-142	上面这一病症，归根结底，乃是中国知识分子疏于自省而来。中国的知识分子最不能察觉自己与时代的关系，因而常常走上知识的歧路，无益世道，也无益实学。历来什么易数、骈文、律诗、八股、心性、理气、朴学、精神价值等等，都可以说是虚耗青春之学——“虚学”。虚学就是真知的反面，也是真知的绊脚石。中国知识分子不但搞虚学，竟还想用虚学来修身、齐家、治国、平天下，其不量力，已是十分明显。中国知识分子如果能够自省，应该察觉出什么是他们力之所及的，什么是他们虚学败事的。国力的元素狠多，知识的力量只是其一，虚学闹来的知识，甚至没有力量可言。“救国救民”“以天下为己任”有其限度，尤其是当天下这么复杂的今天，更不是空头的“己任”，过分的责任感所能“救”得了的。一个大学教授的影响力，甚至比不上一个电影明星；一个活生生的哲学系研究生的说服力，甚至
20	known	0	likely-exclude	020.出版缘起示例.txt	37	推陈出新		中国近六十年来，卓越的个人与少数，可说名家辈出。但在书剑飘零的时代，他们的精神和作品，却往往虚掷或散逸，没有得到持续性的发挥。为了弥补这一缺憾，为了延续已经遗留的种子和已经点燃的烟火，我们决定出版这套《名家文库》来做一点时代的记录。我们希望：从这些记录里，中国的下一代可以窥见上一辈的一些辛勤与智慧，一些轨迹，和一些鸿爪遗痕。我们相信：读者从这一角度来看这套丛书，自会发现推陈出新的意义，这点推陈出新的意义，正是时代演进的基本过程。长江的后浪，必定推着前浪，今日的前浪，也就是昨日的新潮。现在就让我们在浪花拍岸的时代里，欣赏一点潮声罢！
20	known	0	likely-exclude	034.被歪曲的革命家.txt	13	除旧布新		孙中山小时候，曾劝妈妈不要为姐姐缠足，虽然格于习俗，未能成功。民国元年孙中山做临时大总统，立刻“饬内政部通饬各省劝令禁缠足”：“当此除旧布新之际，此等恶俗，尤宜先事革除，以培国本。为此令仰该部速行通饬各省，一体劝禁，其有故违禁令者，予其家属以相当之罚，切切此令。”这种作风，岂是中国“文人雅士”所能干得出来的？“中国人”传统的鉴赏把戏，是描写女人小脚的“香钩”“弓鞋”“莲步”“帘底纤纤月”，甚至还有辜鸿铭的“闻小脚癖”的一派，他们这种荒唐事，岂不要给“西方人”耻笑？
18	review	8	literary-check	026.我的殷海光.txt	231	李敖，你是战士，可是殷海光不是了，殷海光已属于上帝！	LACW-154|LACW-155	第二天下午，殷海光死了。殷师母后来在《“这必死的，总要变成不死的！”》中说：“到家不久，李敖及孟祥柯和我一齐去怀恩堂商量一些事情及决定追思礼拜的日子。”她这段话，是长话短说了。因为头一天笔记的事，使我感到一批教棍可能利用殷海光，我该特别防范一下。果然回到殷家，殷师母就坚持以宗教仪式办后事，并说已跟怀恩堂的周联华牧师约好，现在就去。殷师母大概没想到我是个激烈反...
17	review	7	literary-check	026.我的殷海光.txt	231	到家不久，李敖及孟祥柯和我一齐去怀恩堂商量一些事情及决定追思礼拜的日子。	LACW-154|LACW-155	第二天下午，殷海光死了。殷师母后来在《“这必死的，总要变成不死的！”》中说：“到家不久，李敖及孟祥柯和我一齐去怀恩堂商量一些事情及决定追思礼拜的日子。”她这段话，是长话短说了。因为头一天笔记的事，使我感到一批教棍可能利用殷海光，我该特别防范一下。果然回到殷家，殷师母就坚持以宗教仪式办后事，并说已跟怀恩堂的周联华牧师约好，现在就去。殷师母大概没想到我是个激烈反...
16	review	8	literary-check	015.副不副，副哉？副哉？.txt	9	大脑叫停、小脑反射		“风靡型的名人”的特色之一，是他们能影响群众，施展影响，有的靠歌声舞影，有的靠浅笑轻颦，有的靠双拳，有的靠大腿，在传播工具日新月异的今天，“风靡型的名人”，已经差不多都被娱乐界和运动界等明星型包办，但他们对群众的影响，是以“大脑叫停、小脑反射”的状态为基础的，换句话说，他们很难深入群众的大脑，被风靡的部位，全是四肢。
16	review	6	literary-check	026.我的殷海光.txt	11	李敖的文章是最好的！	LACW-085|LACW-086	我在台大，乍看起来，不是用功的学生，因为很多大学生念的书，我早在小学中学时候就念过了。在知识上，我是早慧的、早熟的。我在高一的时候，就写信跟钱穆讨论他书中的错误，钱穆回信给我，惊讶我的水准。到台大后，我穿着长袍，整天搞“大学生同居”，形式上，我是有点“安事诗书”“束书不观”的。我不上课，不抄笔记，也不买老师的账，尤其是我看不起的老师。在大一的第一篇作文上，国...
16	review	6	literary-check	026.我的殷海光.txt	23	他完全不像思想家、不像哲学家、不像大学教授，他倒像是北门邮局门口卖春宫画的，当然卖春宫画的不会顾盼自雄。	LACW-090	约会订在下午，在殷海光家里，我如约前往。开门的是殷海光，他给我的印象可真糟：又瘦又小的身材、又蹭又蹬的跛脚、粗糙的双手、杂灰的头发、风霜的脸、一对称不佳的小眼睛，从三角眼皮下不友善地瞪着你。他的头与四肢，联合得很生硬，他紧闭嘴唇，作顾盼自雄状。真是作状，因为他的造型，实在极少雄的条件，但他硬要诚于中形于外，结果好像他外在的瘦小，快被他内在的伟大绷裂了似的，看...
16	review	6	literary-check	026.我的殷海光.txt	23	他为什么这么做作？这么紧张？罗素的信徒不该这样啊！	LACW-090	约会订在下午，在殷海光家里，我如约前往。开门的是殷海光，他给我的印象可真糟：又瘦又小的身材、又蹭又蹬的跛脚、粗糙的双手、杂灰的头发、风霜的脸、一对称不佳的小眼睛，从三角眼皮下不友善地瞪着你。他的头与四肢，联合得很生硬，他紧闭嘴唇，作顾盼自雄状。真是作状，因为他的造型，实在极少雄的条件，但他硬要诚于中形于外，结果好像他外在的瘦小，快被他内在的伟大绷裂了似的，看...
16	review	6	literary-check	026.我的殷海光.txt	231	对我丈夫的思想一点也不懂	LACW-154|LACW-155	第二天下午，殷海光死了。殷师母后来在《“这必死的，总要变成不死的！”》中说：“到家不久，李敖及孟祥柯和我一齐去怀恩堂商量一些事情及决定追思礼拜的日子。”她这段话，是长话短说了。因为头一天笔记的事，使我感到一批教棍可能利用殷海光，我该特别防范一下。果然回到殷家，殷师母就坚持以宗教仪式办后事，并说已跟怀恩堂的周联华牧师约好，现在就去。殷师母大概没想到我是个激烈反...
