action	id	quote_text	reason
before			校对前条目数：26
added		一出道就是流氓，靠打天下起家	003.2000年4月13日.txt:21：校对复核补入；原文明确标为李敖曾说过的非政治自述。
added		狂气、流气、义气、勇气形成李敖的综合体	003.2000年4月13日.txt:21：校对复核补入；李敖自述人格风格，非政治文句。
added		我第一是文学家，第二是诗人，第三是历史学家	003.2000年4月13日.txt:39：校对复核补入；独立引号句，属于李敖自我定位。
added		故事是假的，场景是真的	007.2000年4月19日.txt:87：校对复核补入；李敖谈小说技法，句子本体可独立成立。
added		是邪？非邪？立而望之，偏何姗姗其来迟！	022.2000年5月10日.txt:13：校对复核补入；汉武帝思李夫人故事中的古典文句。
added		但愿空诸所有	022.2000年5月10日.txt:39：校对复核补入；原文指向庞居士之愿，按佛家文句收录。
added		慎勿实诸所无	022.2000年5月10日.txt:39：校对复核补入；与上一句成对出现，按佛家文句收录。
added		长袖善舞、多财善贾	032.2000年5月24日.txt:57：校对复核补入；传统成语本体可独立成立，未收现代时事判断。
after			校对后条目数：34
