id	source_file	line_start	line_end	category	risk_in_quote	quote_text
LASHF-001	007.再致施性忠老哥.txt	11	11	古人格言		知耻近乎勇
LASHF-002	008.三致施性忠老哥.txt	7	7	读书格言		我对书有耐心，对人无耐心
LASHF-003	008.三致施性忠老哥.txt	7	7	妙语		书房里的战士
LASHF-004	008.三致施性忠老哥.txt	7	7	西方格言		许多书的成功，乃在作者与群众之间有互相吻合的庸俗想法
LASHF-005	008.三致施性忠老哥.txt	7	7	成语		独行其道
LASHF-006	008.三致施性忠老哥.txt	7	7	成语		不合时宜
LASHF-007	008.三致施性忠老哥.txt	7	7	典故妙语		苏东坡一肚皮不合时宜
LASHF-008	008.三致施性忠老哥.txt	7	7	妙语		不但所生非地（非台湾人），且亦非时（非古人）也
LASHF-009	009.关于“直笔”的讨论.txt	7	7	诗文引用		当时意气论交人
LASHF-010	009.关于“直笔”的讨论.txt	7	7	成语		含糊其辞
LASHF-011	009.关于“直笔”的讨论.txt	7	7	成语		随心所欲
LASHF-012	009.关于“直笔”的讨论.txt	21	21	成语		因小失大
LASHF-013	009.关于“直笔”的讨论.txt	21	21	成语		举世无两
LASHF-014	009.关于“直笔”的讨论.txt	21	21	格言		爱真理甚于爱老师
LASHF-015	009.关于“直笔”的讨论.txt	27	27	成语典故		百尺竿头更进一步
LASHF-016	011.从小事看认真.txt	3	3	古人格言		执事敬
LASHF-017	011.从小事看认真.txt	3	3	处世格言		做事不论大小，都不马虎、都不含糊、都勇于负责
LASHF-018	011.从小事看认真.txt	3	3	成语		小题大做
LASHF-019	011.从小事看认真.txt	29	29	处世格言		做人要讲究诚信原则，做邻居亦如此
LASHF-020	011.从小事看认真.txt	31	31	俗语		长痛不如短痛
LASHF-021	011.从小事看认真.txt	31	31	俗语妙喻		要喝牛奶，去买牛奶就好了，何必养母牛？
LASHF-022	011.从小事看认真.txt	31	31	成语		出尔反尔
LASHF-023	011.从小事看认真.txt	41	41	成语		叠床架屋
LASHF-024	011.从小事看认真.txt	41	41	成语		滑天下大稽
LASHF-025	011.从小事看认真.txt	51	51	成语化用		于心何忍，百思不解
LASHF-026	011.从小事看认真.txt	53	53	成语		快刀斩乱麻
LASHF-027	011.从小事看认真.txt	53	53	处事格言		有主意胜于没主意
LASHF-028	011.从小事看认真.txt	53	53	成语		巧妇为无米之炊
LASHF-029	011.从小事看认真.txt	55	55	俗语		没办法中的办法
LASHF-030	011.从小事看认真.txt	55	55	成语		强人所难
LASHF-031	011.从小事看认真.txt	55	55	成语		壮士断臂
LASHF-032	011.从小事看认真.txt	55	55	成语		亡羊补牢
LASHF-033	011.从小事看认真.txt	55	55	处世格言		我个人可以任劳，但是绝不任怨
LASHF-034	011.从小事看认真.txt	55	55	妙语		是坐看大厦云起，还是卧任大厦灰灭？
LASHF-035	011.从小事看认真.txt	77	77	处世格言		大丈夫该为自己无端惹起这一问题自责
LASHF-036	011.从小事看认真.txt	83	83	成语		敷衍了事
LASHF-037	011.从小事看认真.txt	83	83	成语		开源节流
LASHF-038	011.从小事看认真.txt	97	97	成语		坐享其成
LASHF-039	012.复李声庭.txt	5	5	妙语		今之古人
LASHF-040	012.复李声庭.txt	7	7	书名妙语		今之古书
LASHF-041	012.复李声庭.txt	7	7	成语		日久湮没
LASHF-042	012.复李声庭.txt	7	7	读书格言		书籍的品质堕落至此，真是太可悲了。
LASHF-043	012.复李声庭.txt	9	9	成语典故		百尺竿头
LASHF-044	012.复李声庭.txt	9	9	成语		先知先觉
LASHF-045	013.复李杰四弟.txt	5	5	妙语		四十年隔世
LASHF-046	013.复李杰四弟.txt	7	7	诗词引用		但愿人长久
LASHF-047	013.复李杰四弟.txt	9	9	成语化用		由绚烂归于平淡
LASHF-048	013.复李杰四弟.txt	9	9	人物评语		勇士心路历程
LASHF-049	013.复李杰四弟.txt	9	9	写作格言		毫无忌讳，细腻而坦白
LASHF-050	014.复六叔.txt	5	5	妙语		四十年隔世
LASHF-051	014.复六叔.txt	7	7	写作格言		所有血泪据实写出，都是感人的史诗
LASHF-052	014.复六叔.txt	9	9	西方格言		所有家庭幸福皆同但不幸各异
LASHF-053	014.复六叔.txt	9	9	成语		欲说还休
LASHF-054	014.复六叔.txt	9	9	人生格言		风云际合，偶成交汇，然后各自东西
LASHF-055	014.复六叔.txt	11	11	文学评语		成为新时代的《战争与和平》
LASHF-056	014.复六叔.txt	13	13	写作格言		苦难是最动人的记录，它们是血泪换来的
LASHF-057	014.复六叔.txt	13	13	文史格言		垂之久远，以张正义、以为存真
LASHF-058	014.复六叔.txt	13	13	人生格言		活得窝囊，死得雄奇
LASHF-059	017.《乌鸦评论》及其他.txt	97	97	俗语		一脚踢
LASHF-060	017.《乌鸦评论》及其他.txt	97	97	诗文引用		山水有清音
LASHF-061	017.《乌鸦评论》及其他.txt	97	97	诗文化用		浊世有清音
LASHF-062	017.《乌鸦评论》及其他.txt	97	97	古人格言		成败利钝、非个人之明所能逆睹
LASHF-063	017.《乌鸦评论》及其他.txt	97	97	古人格言		鞠躬尽瘁，死而后已
LASHF-064	018.给邻居的一封信.txt	9	9	古人格言		既在其位，应谋其政
LASHF-065	018.给邻居的一封信.txt	9	9	处事格言		尽责以除积弊
LASHF-066	018.给邻居的一封信.txt	11	11	处世妙语		以免认起真来，与邻居伤和气
LASHF-067	018.给邻居的一封信.txt	43	43	成语化用		人间公道，义无此理
LASHF-068	018.给邻居的一封信.txt	55	55	成语		独行其是
LASHF-069	018.给邻居的一封信.txt	61	61	成语		皆大欢喜
LASHF-070	018.给邻居的一封信.txt	61	61	处事格言		做事，不论大小，一律认真以赴
LASHF-071	026.花老犹见燕归迟.txt	5	5	词句引用		风片片，雨丝丝，一日相望十二时，奚事春来人不至，花前又见燕归迟
LASHF-072	026.花老犹见燕归迟.txt	7	7	妙语		人间奇遇，我恰为证人耳
LASHF-073	026.花老犹见燕归迟.txt	9	9	西方妙语		闻道是子不如父，则父子两人必有一人出了毛病。
