file	line	kind	text	context
《李敖全集》目录.txt	1	keyword_line		《李敖全集》目录
《李敖全集》目录.txt	3	keyword_line		001.《李敖全集》自序
《李敖全集》目录.txt	12	keyword_line		010.台湾大学的新“十诫”
《李敖全集》目录.txt	14	keyword_line		012.私生子与罗光
《李敖全集》目录.txt	18	keyword_line		016.论医师法规
《李敖全集》目录.txt	21	keyword_line		019.一个专为书呆子写的出版企划书
《李敖全集》目录.txt	22	keyword_line		020.出版缘起示例
《李敖全集》目录.txt	23	keyword_line		021.刁民歌
《李敖全集》目录.txt	26	keyword_line		024.李诗廿四首
001.《李敖全集》自序.txt	1	keyword_line		《李敖全集》自序
001.《李敖全集》自序.txt	7	keyword_line		这种消极抵抗，在我以同等学力考进台大后，又一再重施：在法律系，我自愿休学；在历史研究所，又自愿休学。……在二十六岁以前的我，花了太多太多的代价，竭力保持自己的完整——我一个人，在跟环境斗、跟环境苦斗。
001.《李敖全集》自序.txt	11	keyword_line		《文星》的盛世拖了四年，最后杂志被禁、书店被封，一切都百举待废、后患无穷。朝野双方，追杀李敖，几无宁日，这好像是有道理的。因为我在四年中间，做到了否定我的人十四年也消灭不了的大成绩。这种大成绩，我用否定者的文字，来一段肯定——
001.《李敖全集》自序.txt	13	keyword_line		“李敖君在自由中国文化论坛上所掀起的这股狂潮，实在是政府迁台以后的空前盛事，其意识形态与西方自热门爵士音乐兴起后风行的摇滚、扭腰、冲浪，以至由‘披头’歌而疯狂一时的阿哥哥舞完全相似。英国的‘披头’，自诩‘比耶稣更受欢迎’，台湾的李敖，则口口声声，自己是‘得人心的英雄’。而且，我们，我们这位文化界的‘披头’明星李敖君，在台湾的‘卖座’情形，大概只有使台北一度成为狂人城的梁兄哥凌波小姐可以与之媲美，被人求签名、索相片的‘阵势’，亦完全相同。文坛上，勉强可以比拟的，似乎也只有新近暴享大名的‘窗外’女作家琼瑶女士。”（但没...
001.《李敖全集》自序.txt	15	keyword_line		这种肯定，从皮相看的地方多，实在不足以为李敖光宠，我还是引一段从骨子里追杀我的，以证明在我敌人眼中，我的大成绩何在。这段追杀登在1966年2月21号的《徽信新闻报》（《中国时报》前身）上，出自徐复观之手。他的指控是长篇大论的，我只引第二项中说我“发展之程度，早经威胁到整个社会与民族之安全”那一段——
001.《李敖全集》自序.txt	17	keyword_line		“兹将其年来诽谤行为，根据初步不完全之统计，作成附表二。计其对个人指名之诽谤，自孔子以至胡适、钱穆，凡五十七人。其对集体之诽谤，自台湾大学文学院、中央研究院、孔孟学会、立法院、内政部、各大学中文系、全体研究中国文化者、全体较李敖年长之学人、全政府官吏、全国民党员，以至整个中华民族。谓孔子之像为‘恐怖’、将孔子思想与西门庆、魏忠贤，等列齐观。对研究孔子思想之人，除加以毒词秽语外，并谓‘早应打耳刮子’。对祭孔子之礼童，诋之为‘大鬼’。对主祭之台北市长，指为被杀作祭品之‘牺牲’。对胡适为‘大懵懂’，‘把文史学风带到这种迂...
001.《李敖全集》自序.txt	21	keyword_line		《文星》被封杀以后，我陷入十四年的大霉运，欲卖牛肉面而不可得，这是又一段一个人跟环境斗、跟环境苦斗的历程。这段历程，凄楚而惨烈，结论是：我还是我，李敖没有变。去年我复出后，有两次跟一大堆大学生谈话，有些不知天高地厚的小毛头，当场指摘我，我笑着说：“我从大学毕业到今天，正好二十年，不论环境怎么打击我，我顽强得很、坚定的很，我没有变。我一个人，在跟团体斗。二十年下来，我还在斗。你们呢？毕业后能继续斗五年，不改本色，还要斗下去、还能斗下去，我就服你们！”
001.《李敖全集》自序.txt	29	keyword_line		康宁祥在《假如政府像企业公司》里，写道：“李敖先生是胡适先生嫡传弟子，对史学文学的研究相当杰出，为什么难以见容与政府，也要尝受六、七年的铁窗味？”康宁祥的问题，触及了我在台湾岛上处境的核心，我李敖的做法，“难以见容与政府”，这是很当然的事，我一点也不注意。教我注意的，毋宁是黄信介的一段谈话，黄信介说：“台湾戒严以来二十八年，都没有新的报纸取得发行许可，杂志勉强还有，但是大都是外省人办的，以外省人的眼光来看台湾的政治，例如《自由中国》，虽然办得很好，但与本地人的看法仍不免有出入，又如李敖，可以说是本地人了，因他来台时...
