《李敖书牍集》校对报告

首轮条目数：101
校对删除：28
校对后条目数：73

删除条目：
- LASHD-014	004.来回带物法.txt:7	罗斯福说丘吉尔的主意每天有一百个，但只有一个是好的，但那个好主意，就可以打胜仗。	罗斯福评丘吉尔的现代政治人物/战争胜负语录，校对轮按政治人物语录删除。
- LASHD-030	009.与朋友交，其写信乎？.txt:33	不到黄河不死心	俗语出自狱中来信与党外政治走向段落，校对轮删除。
- LASHD-031	009.与朋友交，其写信乎？.txt:33	到了黄河又如何	李敖化用语直接服务党外处境与政治人物排挤语境，删除。
- LASHD-032	009.与朋友交，其写信乎？.txt:33	为长者折枝，可为也；挟泰山以超北海，不可为也。	《孟子》语被置于党外政治争权段落中，校对轮删除。
- LASHD-033	009.与朋友交，其写信乎？.txt:33	不识时务	成语直接用于党外政治处境判断，删除。
- LASHD-046	010.天行有常.txt:17	永丰有常	“永丰有常”为选举候选人姓名化用，落在助选倒戈语境中，校对轮删除。
- LASHD-054	014.“不提李敖之名”记趣.txt:1	不提李敖之名	题名即为封锁/避名现象，非独立诗文格言，删除。
- LASHD-055	014.“不提李敖之名”记趣.txt:13	不提李敖之名	短语用于概括封锁李敖的方式，校对轮删除。
- LASHD-056	014.“不提李敖之名”记趣.txt:13	不愿提法	分类短语服务避名/封锁现象说明，非独立格言，删除。
- LASHD-057	014.“不提李敖之名”记趣.txt:13	不敢提法	分类短语服务避名/封锁现象说明，非独立格言，删除。
- LASHD-058	014.“不提李敖之名”记趣.txt:15	乃在法律尊严前所不能不忍受之精神虐待。	徐复观语处在法律与避名争议中，按公共/司法语境删除。
- LASHD-059	014.“不提李敖之名”记趣.txt:23	违君之教，不敢以此书问世，仍盼痛加纠绳	题赠语被用于说明不敢提名和出版顾虑，校对轮删除。
- LASHD-060	014.“不提李敖之名”记趣.txt:23	高级知识分子的伪善与胆怯	概括句直接评价知识分子避讳李敖的胆怯，公共争议语境过强，删除。
- LASHD-061	014.“不提李敖之名”记趣.txt:31	高级知识分子的伪善与胆怯	与 LASHD-060 同文重复，仍落在避名和封锁语境中，删除。
- LASHD-062	014.“不提李敖之名”记趣.txt:33	骨牌理论	“骨牌理论”直接比喻文星犯讳、被捕后避名延续，删除。
- LASHD-069	014.“不提李敖之名”记趣.txt:49	世道人心、学人风范	概括句总结孙立人被隐名的世道人心，政治人物避名语境过强，删除。
- LASHD-070	019.律师·正义·缩.txt:9	自反而不缩	《孟子》语被用于律师诉讼对垒与诽谤官司，按司法语境删除。
- LASHD-071	019.律师·正义·缩.txt:11	当年林肯做律师时候，每在发现委任人错了的时候，即拒绝为不合正义的“我方”辩护	林肯律师故事被用于具体诉讼攻防与律师伦理劝告，校对轮删除。
- LASHD-072	019.律师·正义·缩.txt:11	林肯终能成为伟人，良有以也。	林肯伟人评价承接诉讼劝告，现代政治人物/司法语境过强，删除。
- LASHD-080	020.从肚皮到头皮.txt:19	烈士暮年，壮心不已	曹操诗句用于调查局冤案与司法灾难赞语，校对轮删除。
- LASHD-082	023.“良友渐随千劫尽”.txt:7	读圣贤书，所学何事	古典责问语直接劝诫官员面对狱政积弊，按官署/司法语境删除。
- LASHD-090	031.关于“记忆”的讨论.txt:7	浮云一别后，流水二十年。	韦应物诗句所在句直接叙述警备总部、特务和政治性案子，删除。
- LASHD-091	031.关于“记忆”的讨论.txt:7	天涯若比邻	王勃诗句紧接政治性案件与特务保人记忆，校对轮删除。
- LASHD-092	031.关于“记忆”的讨论.txt:7	比邻若天涯	李敖反用语直接来自政治性案件后的人际疏离，删除。
- LASHD-098	034.给李政一的一封信.txt:13	晴空乱流（clear-air turbulence）	“晴空乱流”直接比喻搅动蒋经国、国民党、党外与宪法语境，删除。
- LASHD-099	034.给李政一的一封信.txt:15	愚人船	“愚人船”用于台湾政治处境比喻，校对轮删除。
- LASHD-100	034.给李政一的一封信.txt:15	我思化人本无着，偶然此地遗其骸。愚夫奇货据灵躅，兴废乃到空山来。	《两当轩集》诗句被改用于小岛政治处境，删除。
- LASHD-101	034.给李政一的一封信.txt:17	患难见真情	普通成语紧接狱中字条与患难政治经历，独立引用价值弱，删除。
