action	target	source_file	line_range	quote_or_candidate	reason
keep	LASHXJ-001	001.写在居浩然《十论》的前面.txt	45-45	前人种树，后人夺树而纳凉	以树荫被后来者夺取，概括遗业被侵占的讽刺意味。
keep	LASHXJ-002	001.写在居浩然《十论》的前面.txt	73-73	求仁得仁	用以表示所求之道已经得到，因而无怨。
keep	LASHXJ-003	001.写在居浩然《十论》的前面.txt	105-105	天网恢恢，疏而不漏	以恢恢天网比喻终有公道与报应。
keep	LASHXJ-004	001.写在居浩然《十论》的前面.txt	105-105	魂兮归来	以招魂语寄托遥祭与哀悼。
keep	LASHXJ-005	001.写在居浩然《十论》的前面.txt	137-137	数天涯，依然骨肉，几家能够？	以天涯骨肉相隔，写乱离中亲人难全。
keep	LASHXJ-006	001.写在居浩然《十论》的前面.txt	157-157	乘桴浮于海	借孔子浮海之叹，比喻离去与远行。
keep	LASHXJ-007	001.写在居浩然《十论》的前面.txt	161-175	傲骨本天生\n\n非能口舌争\n\n有才君佯狂\n\n无势我真怜\n\n击鼓敢骂曹\n\n任性终误萧\n\n浮云遮白日\n\n狱中作长啸	以傲骨、佯狂、击鼓骂曹等意象写友人身世与狱中气概。
keep	LASHXJ-008	001.写在居浩然《十论》的前面.txt	177-177	情见乎辞	用以说明真情自然显露于文字。
keep	LASHXJ-009	004.介绍《紫禁城的黄昏》.txt	29-35	咬不开、捶不碎的核儿，\n\n关不住核儿里的一点生意；\n\n百尺的宫墙，千年的礼教；\n\n锁不住一个少年的心！	以核儿和宫墙意象写少年生命力不可禁锢。
keep	LASHXJ-010	004.介绍《紫禁城的黄昏》.txt	39-39	嗟夫！丧乱之余，得此目击身经之实录，信乎其可贵也！	称许亲历实录在乱离之后的可贵。
keep	LASHXJ-011	004.介绍《紫禁城的黄昏》.txt	39-39	庄士敦雄文高行，为中国儒者所不及	称赞庄士敦文章与品行兼具。
keep	LASHXJ-012	004.介绍《紫禁城的黄昏》.txt	45-45	我的责任要紧，我的责任要紧。	以重复短句凸显尽责与守职。
keep	LASHXJ-013	005.推荐《海国男儿》.txt	3-3	赫克脱·马洛是一个例外，他在英国比在本国获得更多的桂冠。	指出马洛在异国获得的文学声誉更高。
keep	LASHXJ-014	005.推荐《海国男儿》.txt	5-5	Nowhere else are more clearly shown the directness of narrative，the simplicity of style, the clearness of sight of a writer who is rather an observer than a poet, and whose pictures “ are rather photographs than paintings”.	称许马洛叙事直接、文风简洁、观察清明。
