id	file	line_start	line_end	chapter	category	quote_text	source_or_origin	summary	notes	modern_political_flags
LACANS-001	001.中国艺术史一个断层的重建.txt	27	27	中国艺术史一个断层的重建	御题诗	考古虽然多有舛。临池何碍是其长。一千文抚精神蕴。八百年腾纸墨光。初仕成都遇淳化。疑摹智永识欧阳。侍书际会传佳话。訾议宁须论米黄。	清高宗题王著《千文》	乾隆为王著《千文》所题七言律诗。		
LACANS-002	001.中国艺术史一个断层的重建.txt	31	31	中国艺术史一个断层的重建	题跋	王著初为隆平主薄。太宗皇帝时。著因进书。召转光禄寺丞侍书。锡以章绶。仍供职馆殿。太宗工书。草行飞白。神踪冠世。天格自高。非臣下所可伦拟。而著书虽丰妍熟。终渐疎慢。及是御前。莫遑下笔。著本临学右军行法。尔后浸成院体。今之书诏。盖著之源流。臣越题。	周越跋王著《千文》	北宋周越题跋全文，是本书讨论的核心艺术史材料。		
LACANS-003	001.中国艺术史一个断层的重建.txt	33	33	中国艺术史一个断层的重建	书论	他日米南宫自以为高于著。然太清楼帖。不及秘阁本。盖以米体杂置魏晋。乃不如著之醇也。	欧阳元跋	欧阳元评王著与米芾、秘阁本的书法高下。		
LACANS-004	001.中国艺术史一个断层的重建.txt	33	33	中国艺术史一个断层的重建	鉴藏文句	今世间所收内府旧藏羲献及六朝人真迹。大概多唐人双钩。及淳化拓本有逼真者。宣和皆以七印识之。与真价埒。不可复辨。	欧阳元跋	关于内府旧藏真迹、双钩与宣和印识的鉴藏判断。		
LACANS-005	001.中国艺术史一个断层的重建.txt	35	35	中国艺术史一个断层的重建	书评短句	善书。笔意媚婉。颇多家法。	项元汴跋	项元汴引述王著书法特征。		
LACANS-006	001.中国艺术史一个断层的重建.txt	35	35	中国艺术史一个断层的重建	书评比喻	如宫女插花。嫔嫱对鉴。雅有一般态度。	项元汴跋	项元汴以宫女插花、嫔嫱对鉴比喻王著书法。		
LACANS-007	001.中国艺术史一个断层的重建.txt	37	37	中国艺术史一个断层的重建	书评	结构匀整。功候纯密。亦不可及。今此千文卷。格度和婉。当是著得意之作。	于敏中跋	于敏中评王著《千文》结构、功候与格度。		
LACANS-008	001.中国艺术史一个断层的重建.txt	37	37	中国艺术史一个断层的重建	鉴藏文句	北宋至今几八百年。而纸墨完好若此。尤为难得。卷后周越跋。用笔端谨有法。	于敏中跋	说明王著卷保存状态与周越跋书法价值。		
LACANS-009	001.中国艺术史一个断层的重建.txt	49	49	中国艺术史一个断层的重建	书论	翰林侍书王著。笔法圆劲。今所藏乐毅论。周兴嗣千字文。皆著书墨迹。此其长处不减季海。	黄庭坚题跋	黄庭坚评价王著笔法，并指其长处不减徐浩。		
LACANS-010	001.中国艺术史一个断层的重建.txt	65	65	中国艺术史一个断层的重建	论书绝句	子发书名冠宋初，流传照乘四明珠。寥寥跋尾谁能及，不是苏髯莫唤奴。	启功《论书绝句》	启功论周越书名和跋尾地位。		
LACANS-011	001.中国艺术史一个断层的重建.txt	75	75	中国艺术史一个断层的重建	书评短句	笔势雄强飞动	启功评周越石刻	启功评陕刻怀素律公帖后周越跋。		
LACANS-012	001.中国艺术史一个断层的重建.txt	79	79	中国艺术史一个断层的重建	书史文句	天圣、庆历间，以书显，学者翕然宗之。落笔刚劲足法度，字字不妄作，然而真、行尤入妙，草字入能也。	《宣和书谱》	宣和书谱对周越书法和影响的概括。		
LACANS-013	001.中国艺术史一个断层的重建.txt	79	79	中国艺术史一个断层的重建	书评	若方古人，固为得笔；傥灭俗气，当为第一流矣！	《宣和书谱》	宣和书谱对周越得笔与俗气的评价。		
LACANS-014	001.中国艺术史一个断层的重建.txt	83	83	中国艺术史一个断层的重建	书史文句	起与其弟越，皆以能书为世所称，每书辄为人取去。	马宗霍《书林藻鉴》引王安石	王安石论周起、周越兄弟书名太盛以至书迹易散。		
LACANS-015	001.中国艺术史一个断层的重建.txt	97	97	中国艺术史一个断层的重建	鉴藏评语	世传著书，惟此一卷，行笔可谓珠圆玉润。更兼周越一跋，亦所罕睹者。	松泉老人《墨缘汇观录》	松泉老人评王著《千文》及周越跋的罕见性。		
LACANS-016	001.中国艺术史一个断层的重建.txt	103	103	中国艺术史一个断层的重建	书评	团结遒丽、出规入矩、全本唐法，无宋四家一笔。	裴景福《壮陶阁书画录》	裴景福评宋王著书杜诗卷的书法风格。		
LACANS-017	001.中国艺术史一个断层的重建.txt	103	103	中国艺术史一个断层的重建	鉴藏格言	甚矣！识古之难而暗中摸索之更难也！	裴景福《壮陶阁书画录》	裴景福从蜀素材质考定书迹时发出的鉴藏感慨。		
LACANS-018	001.中国艺术史一个断层的重建.txt	125	153	中国艺术史一个断层的重建	诗	物生有象象乃滋，\n梦幻无根成斯须，\n方其梦时了非无，\n泡影一失俯仰殊，\n清露未晞电已徂，\n此灭灭尽乃真吾，\n云如死灰实不枯。\n逢场作戏三昧俱，\n化身为医忘其躯，\n草书非学聊自娱，\n落笔已唤周越奴。\n苍鼠奋髯饮松腴，\n剡藤玉板开雪肤，\n游龙天飞万人呼，\n莫作羞涩羊氏姝。	苏轼《六观堂老人草书诗一首》	苏轼草书诗全文，本书借以说明周越对宋代书坛的影响。		
LACANS-019	001.中国艺术史一个断层的重建.txt	163	163	中国艺术史一个断层的重建	书论	书不病韵，自胜李西台（建中）、林和静（和靖，逋）矣。盖美而病韵者王著；劲而病韵者周越，皆渠侬(15)胸次之罪，非学者不尽功也。	黄庭坚《跋周子发帖》	黄庭坚以韵论王著、周越书法。		
LACANS-020	001.中国艺术史一个断层的重建.txt	163	163	中国艺术史一个断层的重建	书论	周子发下笔沉着，是古人法。若使笔意姿媚似苏子瞻（轼），但觉行间茂密，去古人不远矣！何止独行于今代耶？	黄庭坚《跋周越书后》	黄庭坚晚年对周越笔意的推重。		
LACANS-021	001.中国艺术史一个断层的重建.txt	165	165	中国艺术史一个断层的重建	书评比喻	周越如轻薄少年舞剑，气势雄健，而锋刃交加。	米芾《海岳书评》	米芾以少年舞剑比喻周越书法气势。		
LACANS-022	001.中国艺术史一个断层的重建.txt	165	165	中国艺术史一个断层的重建	书评	越书近世不甚贵重，然于众人中犹屹屹有立，庸可轻哉(19)！	孔武仲语	孔武仲肯定周越在众书家中的地位。		
LACANS-023	001.中国艺术史一个断层的重建.txt	165	165	中国艺术史一个断层的重建	书评	周氏真、草二体书，婉媚遒劲，皆中规矩，信其书之不徒作也！	李弥逊语	李弥逊论周越真草二体皆有规矩。		
LACANS-024	001.中国艺术史一个断层的重建.txt	169	169	中国艺术史一个断层的重建	书家自述	余年十岁写碑刻，学周越、苏子美札，自作一家，人谓有李邕笔法，闻而恶之，遂学沈传师，爱其不俗，自后数改献之字，亦取其落落不群之意耳。	米芾自述	米芾自述早年学周越、苏子美札与转益多师。		
LACANS-025	001.中国艺术史一个断层的重建.txt	175	175	中国艺术史一个断层的重建	书评比喻	草书精熟，博学有法度，而真、翰不及。如俊士半酣、容仪纵肆，虽未可以语妙，于能则优矣！	朱长文《墨池编》	朱长文评周越草书精熟而真翰不及。		
LACANS-026	001.中国艺术史一个断层的重建.txt	235	235	中国艺术史一个断层的重建	鉴藏文句	既幸予得见王珣，又幸珣书不尽湮没，得见吾也。	董其昌跋王珣《伯远帖》	李敖借董其昌语类比周越墨迹重现。		
LACANS-027	001.中国艺术史一个断层的重建.txt	239	239	中国艺术史一个断层的重建	书论	宋人评此帖者众矣，米芾、黄伯思，剖别真伪，最为详尽。顾其书虽真伪杂糅，而前代不传之迹，往往而在。且摹勒出自良工，神采视他刻俱胜。	张伯英《法帖提要》	张伯英为《淳化阁帖》真伪杂糅而仍有价值作公允评价。		
LACANS-028	001.中国艺术史一个断层的重建.txt	241	241	中国艺术史一个断层的重建	书论	怀素藏真、律公二帖乃游丝笔意、萦回恍渺，中有挽强饮石之劲，至不易得。跋尾周越书，得其遗意。	王元美语	王元美评怀素二帖与周越跋尾。		
LACANS-029	001.中国艺术史一个断层的重建.txt	257	257	中国艺术史一个断层的重建	艺论	昔人评艺，好标榜‘四家’，诗则王杨卢骆，文则韩柳欧曾，画则黄王倪吴，书则苏黄米蔡。此拼凑之宋四书家，不知作俑何人，其说本自俗不可医。	启功《论书绝句》	启功批评艺术史中拼凑四家的习气。		
LACANS-030	001.中国艺术史一个断层的重建.txt	259	259	中国艺术史一个断层的重建	书论	小篆散而八分生，八分破而隶书出，隶书悖而行书作，行书狂而草书圣。	周越《书苑》佚文	周越书苑佚文论篆、八分、隶、行、草之变。		
LACANS-031	001.中国艺术史一个断层的重建.txt	285	285	中国艺术史一个断层的重建	书史文句	周氏《书苑》十卷，历叙古文篆、隶而降凡五十四种，古今能书四百九十余人，笔法论叙二十余家，字画之变略尽于此。	李弥逊《宋周越书王龙图〈柳枝辞〉后》	李弥逊概述周越《书苑》的规模与价值。		
LACANS-032	001.中国艺术史一个断层的重建.txt	297	297	中国艺术史一个断层的重建	书评	笔法入神品，中外书学不能出其右，仰观英鉴，大不可诬	黄庭坚《题太宗皇帝御书》	黄庭坚评宋太宗御书笔法。		
