source_file	line	context
001.《丑陋的中国人研究》导引.txt	3	《庄子》中说惠施的哲学，有同异之说，所谓“大同而与小同异，此之谓小同异；万物毕同毕异，此之谓大同异。”意谓大同和小同相差异，叫做小同异；万物完全相同，也完全相异，叫做大同异。这一见解，用来说明所谓“民族性”或“国民性”（National Character），倒是十分贴切。
001.《丑陋的中国人研究》导引.txt	5	在世界各地民族中，由于山川灵气所钟、或穷山恶水所祸、或其他种种原因，自有“性相近，习相远”的小同异或大同异，其中差异，就概括成所谓民族性。对民族性的注意，早在古希腊时代就开始了。公元前五世纪的史家希罗多德（Herodotus），就对希腊与波斯的民族性做过比较研究。两千多年来，民族性的种种，一直引起人们的兴趣。
001.《丑陋的中国人研究》导引.txt	11	例如一谈到中国的民族性，框框看法在外国人眼中，就出现了所谓“邪恶的东方人”（Sinister Oriental）；在中国人眼中，就出现了所谓“丑陋的中国人”，其实东方人中国人固多邪恶丑陋，但是，不看三个臭皮匠而看看一个诸葛亮，你也会发现不同的视野与光明面，而诸葛亮的举手投足、光风霁月，也正是道道地地的中国人，你不能也无法抹杀他。
001.《丑陋的中国人研究》导引.txt	15	中国民族性中固然有丑陋的一面，但是，以偏盖全式的处理，却涉及这种作者的人格与学格的问题，虽然完全符合他的风格。令人惊异的是，这种作者口口声声所谓的“丑陋的中国人”，事实上，他真的肤尝身受过，却还无耻的想认他们父子做“孺慕”的对象，以“热情忠厚”“一代英雄”之颂，备加赞美呢！史家汪子飏（荣祖）在《谁是丑陋的中国人？》一文中指出这种作者“他虽不敢捋虎须，他确实遭遇到刻骨铭心的丑陋待遇，能不发泄一下吗？我认为他的《丑陋的中国人》是一种避重就轻的谴责。他把丑陋加诸所有的中国人，似乎很有勇气，引起外国记者的喝彩，但……他明知谁是丑陋的中国人，雅不欲实指而已。”这种作者不敢实指有名有姓的丑陋中国人，却泛指所有的中国人都丑陋，用来替他的怯懦垫背，这种行径所显示的，岂不正是最大的丑陋？原来“丑陋的中国人”非他，就是他作者自己！
002.蒋介石与孺慕症.txt	11	无识无知的老兵们在“强迫孺慕”的愚民政策下，其实并不上当；相对的，有所谓有识有知的国民党员，反倒真向蒋介石认爹、认爷爷不止呢！
003.蒋介石、蒋经国的“田单症””.txt	3	蒋介石、蒋经国父子都是不学有术的祸国人物。本来祸国就祸国，有术可也，何必曰学，但蒋氏父子却附庸风雅，硬要在术字上面加学码，于是就学术起来。不过因为基础本是不学，再怎么加，也白加，甚至还闹出笑话。笑话中最有趣的，是关于田单的。
003.蒋介石、蒋经国的“田单症””.txt	5	蒋介石好田单学，自谓“田单一日复齐七十余城”，是“战争艺术”，这一立论，见于一九六三年九月九日在政工干校讲的“军事教育的目的与宗旨”。因为以一介武夫，好田单学，所以以“毋忘在莒”运动为天下倡，说“毋忘在莒”典出田单复国云云，这就是大笑话。因为“毋忘在莒”典出古书《管子》，出自鲍叔牙向齐桓公、管仲、宁戚的祝福和劝告，原文是：“鲍叔牙奉杯而起曰：‘使公毋忘出入莒时也，使管子毋忘束缚在鲁也，使宁戚毋忘饭牛车下也。’桓公避席再拜曰：‘寡人与二大夫能毋忘夫子之言，国之社稷，必不危矣！’”大同小异的文字，也见于古书《新序》，新序原文是：“鲍叔奉酒而起曰：‘祝吾君无忘其出而在莒也，使管仲无忘其束缚而从鲁也，使宁子无忘其饭牛于车下也。’桓公避席再拜曰：‘寡人与二大夫皆无忘夫子之言，齐之社稷，必不废矣！’此言常思困隘之时，必不骄矣！”上面这种典故，在古人行文时，只要提到，一定就特指齐桓公的事，例如施补华《泽雅堂全集》里《别弟文》中，就有“管仲告齐桓曰：‘愿君勿忘在莒，臣亦念堂阜之囚’”的话，稍懂古书的人，没人敢“瞎猜”，说是指别的。
003.蒋介石、蒋经国的“田单症””.txt	13	文艺心理学上有所谓移情作用（empathy），它是罗斯金（John Ruskin）所谓的“情感的误置”（pathetic fallacy）。这种作用的重要表现是把自己神入文艺之中，对文艺，不是“旁观者”（contemplator），而是“分享者”（participant），分享到极致时候，陶然忘我、凄然成他，自不在话下。这种移情作用，表现在观众席上，有时到了有趣的程度。一位英国老太太，在看到《哈姆雷特》（Hamlet）最后决斗时，竟在剧院中大声警告：“当心呀，那把剑是上过毒药的！”一位台中女中女学生，在看到米基兰尼（Mickey Rooney）打拳放水时，竟在电影院中起立高叫：“你打呀！你打呀！你怎么不打呀！”
004.从认贼到被贼认.txt	11	《中国时报》所说“中国近代英文怪杰辜鸿铭”，生于一八五七，死在一九二八，鸿铭是他的字，本名汤生，别署汉滨读易者，福建同安人。他是英属马来西亚槟榔屿的华侨，早年留学英国、德国，得到文学、工学学位。一八八零年后，在新加坡英国殖民政府任职。后来跟马建忠一夕谈，深感当为祖国效命，第二天就辞职了，然后蓄辫易服，回祖国了。辜鸿铭从二十八岁（一八八五）起，入张之洞幕府，为张之洞主持英文译述，历时二十多年。他说张之洞对他“虽未敢云以国士相待，然始终礼遇不少衰”。张之洞死后，他以二十多年间见闻所及，写成《张文襄幕府纪闻》，对晚清掌故礼俗，多有生动的记述。另以英文写《中国的牛津运动》（The Story of a Chinese Oxford Movement）一书。德国汉学家卫礼贤（Richard Wilhelm）把它译为德文，名叫《中国反对欧洲观念之理由》，指定为哥廷根大学哲学系学生必读参考书。民国以后，辜汤生又用英文写成《原华》（The Spirit of the Chinese People）一书，一名《春秋大义》，宣传“中国文化”的博大精深。他晚年在北京大学教书，愤世玩世骂世，被人看做“老怪物”。但他的特立独行，却是一个榜样。
004.从认贼到被贼认.txt	17	“中国文化”中有一种“认族”文化，这种文化特色是“无赖认亲”。它的最早形态是自认是谁谁之后，例如唐朝皇帝自认是老子李耳之后，于是追尊李耳是“元元皇帝”，并把《史记》老子列传排名列传之首；又如郭崇韬自认是郭子仪之后，于是西征路上直奔郭子仪坟头，一厢情愿的大哭特哭。这类“无赖认亲”，认的还只是远祖远亲，除了迴转式的光宗耀祖，尚肉麻有限。不幸的是，这种“无赖认亲”，于今为烈以后，就变得越认越近了。例如罗绍威做了节度使大官，就认罗隐做叔叔，大送其礼；蔡京为了拍当道马屁，就认蔡襄做族兄，大送秋波。后来蔡京当道，蔡薿认蔡京做叔父，蔡京叫自己儿子出来见蔡薿，蔡薿一见，大叫认错了认错了，说他该认蔡京做叔祖才对、认蔡京的儿子做叔父才对，于是对蔡家父子一一磕头，亲上加亲，连认两代焉！
