id	decision	source_file	line_start	line_end	quote_text	category	reason
LAZWJ-001	keep	001.我的希望.txt	5	5	人必自侮，而后人侮之	孟子名句	李敖写青年自励时引孟子语，保留古典格言本身，周边救国议论不入表。
LAZWJ-002	keep	001.我的希望.txt	7	7	执事者各司其事	传统格言	李敖用来说明各人在其位尽其责，作为格言式表达保留。
LAZWJ-003	keep	001.我的希望.txt	9	9	努力去做那些最近于你们目前的事	西方格言	李敖明指克莱勒之语，强调先做切近之事。
LAZWJ-004	keep	001.我的希望.txt	9	9	在这世界里，就好像在大海中，最要紧的，是先救你自己	西方文学格言	李敖明指易卜生之语，作为自助箴言保留。
LAZWJ-005	keep	001.我的希望.txt	9	9	自作孽，不可活	尚书名句	李敖借古语说明自招其祸，保留典故化格言。
LAZWJ-006	keep	003.李敖札记.txt	5	5	你可以想要多快乐就多快乐	林肯语	李敖谈快乐技术时转述林肯语，保留为格言。
LAZWJ-007	keep	003.李敖札记.txt	5	5	“形式”可以决定“内容”、“程序”可以影响“实质”	李敖格言	李敖将快乐与行为技术相连，概括为形式、程序影响内容、实质。
LAZWJ-008	keep	003.李敖札记.txt	7	7	泪痕犹在，已见笑脸	李敖格言	标题式短句，概括儿童啼笑转化之快，非政治语录。
LAZWJ-009	keep	003.李敖札记.txt	13	13	国王之新衣	外国文学典故	李敖用童话典故讽刺自欺，保留典故名。
LAZWJ-010	keep	005.退孙中山的票.txt	5	5	与人为善	孟子成语	只保留成语本身，司法与革命信件相关政论引文不入表。
LAZWJ-011	keep	010.我所知道的韩福瑞.txt	9	9	破涕为笑	传统成语	李敖改写的韩福瑞轶事中使用此成语；政治人物轶事不入表，仅保留成语本身。
LAZWJ-012	keep	010.我所知道的韩福瑞.txt	15	15	小巫见大巫	传统成语	李敖改写的韩福瑞轶事中使用此成语；政治人物轶事不入表，仅保留成语本身。
LAZWJ-013	keep	009.关于厦门大学聘书诗三首.txt	7	21	垂老投闽\n喜得奇聘\n未见其止\n但见其进\n隔海传书\n通风报信\n厦大与我\n心心相印	李敖诗	李敖回应厦门大学聘书所作短诗之一，保留整首。
LAZWJ-014	keep	009.关于厦门大学聘书诗三首.txt	25	39	本期卧游\n起而坐困\n引为火首\n翻成水遁\n终身讲座\n格杀勿论\n厦大与我\n千载一瞬	李敖诗	李敖回应厦门大学聘书所作短诗之一，保留整首。
LAZWJ-015	keep	009.关于厦门大学聘书诗三首.txt	43	57	平景吾弟\n安时处顺\n其人察察\n其学闷闷\n吾道西行\n人神共愤\n引狼入室\n唯你是问	李敖诗	李敖回应厦门大学聘书所作短诗之一，保留整首。
LAZWJ-016	keep	012.中国奥运歌.txt	3	37	最早的奥运在希腊\n那是文明人的开锣\n中国的远处有希腊\n希腊的远处没有中国\n随后的奥运在欧美\n那是白种人的掠夺\n中国的远处有欧美\n欧美的远处没有中国\n再来的奥运在世界\n那是运动员的龙蛇\n中国的远处有世界\n世界的低处有中国\n今天的奥运在华夏\n那是中国人的磅礴\n中国的低处有世界\n世界的高处有中国\n世界的高处是我们中国\n世界的高处是我们中国	李敖歌词	李敖二〇〇七年所作奥运歌，按歌谣文本保留，不作为政治语录。
LAZWJ-017	keep	013.《李敖中文大句典》构想书.txt	3	3	畅所欲译	林语堂谐语	李敖评论《林语堂当代汉英词典》个别译法时保留此谐语。
LAZWJ-018	keep	013.《李敖中文大句典》构想书.txt	5	5	何陋之有	古典名句	李敖谈自备书房时化用古典名句。
LAZWJ-019	keep	013.《李敖中文大句典》构想书.txt	5	5	前无古人后无来者	传统成语	李敖描述中文句典构想规模时使用，保留成语。
LAZWJ-020	keep	013.《李敖中文大句典》构想书.txt	7	7	拨云见日	传统成语	李敖写两岸隔世后文化工程出现转机，保留成语本身。
LAZWJ-021	keep	013.《李敖中文大句典》构想书.txt	7	7	周邦新命	诗经化用	李敖以古典语汇形容文化新局，保留典故化短语。
LAZWJ-022	keep	014.给吕佳真的工作日志.txt	11	11	谨言慎行	传统格言	李敖称其为座右铭，保留为非政治格言。
LAZWJ-023	keep	015.《政治家》开“李敖答问”专栏缘起.txt	5	5	行云流水	传统成语	李敖形容答问文字随兴自然，保留成语。
LAZWJ-024	keep	015.《政治家》开“李敖答问”专栏缘起.txt	5	5	老生常谈	传统成语	李敖列举可答问题类型时使用，保留成语本身。
LAZWJ-025	keep	015.《政治家》开“李敖答问”专栏缘起.txt	5	5	以不教教之，是谓教也。	古语	李敖说明不答也是一种答时引用，保留古语。
