id	file	line_start	line_end	chapter	category	quote_text	source_or_origin	summary
LACMR-001	《中国命研究》自序.txt	25	25	《中国命研究》自序	汉书名句	孔子罕言命，盖难言之。非通幽明之变，恶能识乎性命！	《汉书·外戚传》	自序以《汉书》语点出命与性命难言。
LACMR-002	001.为中国人信命寻根.txt	9	9	为中国人信命寻根	题赠诗句	旷世超奇出上虞，《论衡》精处古今无	宋恕《六斋卑议》	宋恕称许王充与《论衡》的诗句。
LACMR-003	001.为中国人信命寻根.txt	11	11	为中国人信命寻根	论衡文句	贵人之气，更稟贱物之精，安能精微？	王充《论衡·奇怪》	王充疑古破除贵人生异说。
LACMR-004	001.为中国人信命寻根.txt	13	13	为中国人信命寻根	论语名句	死生有命，富贵在天	《论语·颜渊》	李敖用子夏语概括中国宿命思想。
LACMR-005	001.为中国人信命寻根.txt	19	19	为中国人信命寻根	论衡文句	夫天道自然，自然无为。……使应政事，是有为，非自然也。	王充《论衡·寒温》	王充以自然无为破天人感应。
LACMR-006	001.为中国人信命寻根.txt	21	21	为中国人信命寻根	论衡文句	夫天道，自然也，无为。如谴告人，是有为，非自然也。	王充《论衡·谴告》	王充否定天对人事作谴告。
LACMR-007	001.为中国人信命寻根.txt	25	25	为中国人信命寻根	儒者旧说	天地故生人	王充《论衡·物势》所引	王充批评儒者以天地有意生人为妄。
LACMR-008	001.为中国人信命寻根.txt	27	27	为中国人信命寻根	论衡文句	天地合气，万物自生，犹夫妇合气，子自生矣。	王充《论衡·自然》	王充以气合自生解释万物生成。
LACMR-009	001.为中国人信命寻根.txt	27	27	为中国人信命寻根	论衡格言	无心于为，而物自化；无意于生，而物自成。	王充《论衡·自然》	王充说明天道无意而物自成。
LACMR-010	001.为中国人信命寻根.txt	27	27	为中国人信命寻根	易传名句	黄帝尧舜垂衣裳而天下治	《周易·系辞下》	王充引《易》说明垂拱无为。
LACMR-011	001.为中国人信命寻根.txt	27	27	为中国人信命寻根	易传名句	大人与天地合其德	《周易·乾卦·文言》	王充引《易》说明大人与天地合德。
LACMR-012	001.为中国人信命寻根.txt	27	27	为中国人信命寻根	论衡格言	本不求功，故其功立；本不求名，故其名成。	王充《论衡·自然》	王充总结无为而功名自立。
LACMR-013	001.为中国人信命寻根.txt	35	35	为中国人信命寻根	论衡文句	夫天地合气，人偶自生也。犹夫妇合气，子则自生也。	王充《论衡·物势》	王充提出人偶自生而非天地故生。
LACMR-014	001.为中国人信命寻根.txt	35	35	为中国人信命寻根	论衡文句	胜者未必受金气，负者未必得木精也。	王充《论衡·物势》	王充破除五行解释胜负的说法。
LACMR-015	001.为中国人信命寻根.txt	39	39	为中国人信命寻根	论衡命论	有幸有不幸	王充《论衡·幸偶》	李敖提炼王充对祸福偶然性的说法。
LACMR-016	001.为中国人信命寻根.txt	43	43	为中国人信命寻根	论衡文句	凡人操行，有贤有愚；及遭祸福，有幸有不幸。	王充《论衡·幸偶》	王充说明操行与祸福并不相配。
LACMR-017	001.为中国人信命寻根.txt	47	47	为中国人信命寻根	孔子语	不幸短命死矣！	《论衡》引孔子语	王充用颜回早夭例说明命与幸不幸。
LACMR-018	001.为中国人信命寻根.txt	51	51	为中国人信命寻根	命论短语	皆由命也！	李敖概括王充命论	李敖提炼王充以命解释祸福的结论。
LACMR-019	001.为中国人信命寻根.txt	57	57	为中国人信命寻根	论衡命论	贵富有命，福禄不在贤哲与辩慧	王充《论衡·命禄》	王充认为贵富福禄不由贤智决定。
LACMR-020	001.为中国人信命寻根.txt	57	57	为中国人信命寻根	论衡格言	富不可以筹筴得、贵不可以才能成	王充《论衡·命禄》	王充说明富贵并非谋算才能可得。
LACMR-021	001.为中国人信命寻根.txt	57	57	为中国人信命寻根	论衡格言	贵贱在命，不在智愚；贫富在禄，不在顽慧。	王充《论衡·命禄》	王充概括命禄与智愚贤否无关。
