status	id	file	line_start	line_end	quote_text	category_or_reason	source_or_origin
included	LAHS11001	002.第一幕——夏至.txt	293	293	白虎临身日，临身必有灾。	小说引文	《警世通言》
included	LAHS11002	002.第一幕——夏至.txt	293	293	前朱鸟而后玄武，左青龙而右白虎。	古书引文	《礼记》
included	LAHS11003	002.第一幕——夏至.txt	297	297	见者主有喜庆	古书引文	《岭南异物志》，李时珍《本草纲目》转引
included	LAHS11004	002.第一幕——夏至.txt	297	297	啮人不可疗	古书引文	李时珍《本草纲目》
included	LAHS11005	002.第一幕——夏至.txt	315	315	此何遽不为福乎？	寓言引文	《淮南子》塞翁失马故事
included	LAHS11006	002.第一幕——夏至.txt	315	315	此何遽不能为祸乎？	寓言引文	《淮南子》塞翁失马故事
included	LAHS11007	002.第一幕——夏至.txt	315	315	塞翁失马，焉知非福	成语典故	《淮南子》塞翁失马故事
included	LAHS11008	002.第一幕——夏至.txt	315	315	福之为祸，祸之为福，化不可极，深不可测	古书引文	《淮南子》
included	LAHS11009	002.第一幕——夏至.txt	315	315	其为政也，善因祸而为福，转败而为功	史书引文	司马迁《史记》评管仲
included	LAHS11010	002.第一幕——夏至.txt	315	315	祸兮福之所倚，福兮祸之所伏	古书引文	《老子》
included	LAHS11011	002.第一幕——夏至.txt	315	315	祸福无不自己求之者	儒家引文	《孟子》
included	LAHS11012	002.第一幕——夏至.txt	315	315	祸之来也，人自生之；福之来也，人自成之。祸与福同门，利与害为邻	古书引文	《淮南子》
included	LAHS11013	002.第一幕——夏至.txt	315	315	管仲之器小哉！	论语成句	《论语》
included	LAHS11014	002.第一幕——夏至.txt	315	315	天下不如意，恒十居七八	古人格言	晋代贤者语
included	LAHS11015	002.第一幕——夏至.txt	315	315	如果在马路上跌倒了，不要立刻爬起来，先东张西望找找看，说不定会捡到什么宝贝，这一跤也不算白跌。	民间格言	友人父亲语
included	LAHS11016	002.第一幕——夏至.txt	389	389	从不曾想到我是给关起来了，高墙实在等于浪费材料……他们根本不知道如何对付我……他们总以为我唯一的目的是想站到墙外面。每在我沉思的时候，看守那种紧张样子，真教人好笑。他们哪里知道才一转身，我就毫无阻挡的跟着出去了……	外国文学引文	梭罗《湖滨散记》相关语
included	LAHS11017	002.第一幕——夏至.txt	389	389	肉体虽给关起来，灵魂并没关起来	外国名言	甘地语
included	LAHS11018	002.第一幕——夏至.txt	389	389	问题的关键，还在一个人自己和他所持的心理状态	外国名言	甘地语意
included	LAHS11019	002.第一幕——夏至.txt	389	389	他们抓了我，却给了我自由。	外国名言	甘地语
included	LAHS11020	002.第一幕——夏至.txt	397	397	没有人能完全自由，除非所有人完全自由；没有人能完全道德，除非所有人完全道德；没有人能完全快乐，除非所有人完全快乐。	外国哲学格言	斯宾塞语
included	LAHS11021	002.第一幕——夏至.txt	397	397	有谁软弱，我不软弱呢？有谁跌倒，我不焦急呢？	宗教经典	《新约·哥林多后书》第十一章
included	LAHS11022	002.第一幕——夏至.txt	415	415	仁者不忧	论语成句	《论语》
included	LAHS11023	002.第一幕——夏至.txt	415	415	先天下之忧而忧	宋文名句	范仲淹《岳阳楼记》
included	LAHS11024	002.第一幕——夏至.txt	415	415	悠悠我心忧	诗文名句	文天祥相关诗句
included	LAHS11025	002.第一幕——夏至.txt	415	415	生年不满百，常怀千岁忧	古诗名句	《古诗十九首》
included	LAHS11026	002.第一幕——夏至.txt	415	415	后天下之乐而乐	宋文名句	范仲淹《岳阳楼记》
included	LAHS11027	002.第一幕——夏至.txt	431	431	世界上三样最可靠的东西是老妻、老狗和现金	外国格言	富兰克林语意
included	LAHS11028	002.第一幕——夏至.txt	435	435	我从不伤害一个女人，或是与女人为伍的一个男人。	文学引文	罗宾汉传说
included	LAHS11029	002.第一幕——夏至.txt	435	435	Nay, I cannot grant that boon, for never have I injured a woman or a man in woman's company.	英文文学引文	罗宾汉传说
included	LAHS11030	002.第一幕——夏至.txt	435	435	埋我在箭落的地方。	文学引文	罗宾汉传说
included	LAHS11031	002.第一幕——夏至.txt	435	435	Lay me where the arrow drops.	英文文学引文	罗宾汉传说
included	LAHS11032	002.第一幕——夏至.txt	525	525	放下屠刀，立地成佛	佛教成语	佛教俗语
included	LAHS11033	002.第一幕——夏至.txt	559	559	鼎镬甘如饴	诗文引文	文天祥《正气歌》
included	LAHS11034	002.第一幕——夏至.txt	587	587	旧时处长堂前狗，牵入调查局长家。	改写诗句	李敖改写刘禹锡《乌衣巷》句
included	LAHS11035	002.第一幕——夏至.txt	591	591	有施必有报、有感必有应	佛教成语	佛教因果说
included	LAHS11036	002.第一幕——夏至.txt	591	591	善有善报、恶有恶报	民间俗语	传统因果俗语
included	LAHS11037	002.第一幕——夏至.txt	591	591	种瓜得瓜、种豆得豆	民间俗语	传统因果俗语
included	LAHS11038	002.第一幕——夏至.txt	603	603	欲加之罪，其无辞乎？	左传引文	《左传》里克语
included	LAHS11039	002.第一幕——夏至.txt	603	603	欲加之罪，何患无辞	传统谚语	由《左传》句演变的中国谚语
included	LAHS11040	002.第一幕——夏至.txt	603	603	给狗一条罪名，就可吊死它	西方谚语	英语谚语
included	LAHS11041	002.第一幕——夏至.txt	603	603	Give a dog a bad name and hang him	英文谚语	英语谚语
included	LAHS11042	002.第一幕——夏至.txt	603	603	给我六行贵人之言，我就能找到理由吊死他	外国格言	利希留语
included	LAHS11043	002.第一幕——夏至.txt	603	603	莫须有	历史成语	秦桧构陷岳飞典故
included	LAHS11044	002.第一幕——夏至.txt	603	603	皇天后土，可以表明我的心	史传引文	岳飞语
included	LAHS11045	002.第一幕——夏至.txt	639	639	鸟之将死，其鸣也哀；人之将死，其言也善	论语成句	《论语·泰伯》
included	LAHS11046	002.第一幕——夏至.txt	731	731	韩信点兵，多多益善。	历史成语	韩信典故
