id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LAHS-001	keep-first-pass	中文熟语	家常便饭	中文熟语	《李敖好讼集》小引.txt	3	3	本书在相关章节使用或引录“家常便饭”，保留其可独立检索的中文熟语性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
LAHS-002	keep-first-pass	古典成句	不亦宜乎	《论语》句式化用	《李敖好讼集》小引.txt	5	5	本书在相关章节使用或引录“不亦宜乎”，保留其可独立检索的古典成句性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
LAHS-003	keep-first-pass	中文成语	冲锋陷阵	传统成语	001.打倒胡秋原谎话的二十个例子.txt	51	51	本书在相关章节使用或引录“冲锋陷阵”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
LAHS-004	keep-first-pass	中文成语	恍然大悟	传统成语	001.打倒胡秋原谎话的二十个例子.txt	51	51	本书在相关章节使用或引录“恍然大悟”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
LAHS-005	keep-first-pass	文学化成句	落花飞絮	传统文学意象	001.打倒胡秋原谎话的二十个例子.txt	51	51	本书在相关章节使用或引录“落花飞絮”，保留其可独立检索的文学化成句性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
LAHS-006	keep-first-pass	中文成语	自高自大	传统成语	001.打倒胡秋原谎话的二十个例子.txt	51	51	本书在相关章节使用或引录“自高自大”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
LAHS-007	keep-first-pass	中文成语	语无伦次	传统成语	001.打倒胡秋原谎话的二十个例子.txt	53	53	本书在相关章节使用或引录“语无伦次”，保留其可独立检索的中文成语性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
LAHS-008	keep-first-pass	古典诗句	横看成岭侧成峰，远近高低各不同	苏轼《题西林壁》	001.打倒胡秋原谎话的二十个例子.txt	59	59	本书在相关章节使用或引录“横看成岭侧成峰，远近高低各不同”，保留其可独立检索的古典诗句性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
LAHS-009	keep-first-pass	古典诗句	不识庐山真面目，只缘身在此山中。	苏轼《题西林壁》	001.打倒胡秋原谎话的二十个例子.txt	61	61	本书在相关章节使用或引录“不识庐山真面目，只缘身在此山中。”，保留其可独立检索的古典诗句性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
LAHS-010	keep-first-pass	古典文句	真面目，握真镜一照便见。若入沉吟，呵气满镜矣！何由得露纤毫？	李日华《六研斋三笔》	001.打倒胡秋原谎话的二十个例子.txt	65	65	本书在相关章节使用或引录“真面目，握真镜一照便见。若入沉吟，呵气满镜矣！何由得露纤毫？”，保留其可独立检索的古典文句性质。	首轮保守收录：《李敖好讼集》为胡秋原、《中央日报》、法院与媒体纠纷密集文本；现代党政口号、政治史判断、司法诉求、机关法条、判例定义、人物攻防和意识形态语录不收；仅保留句子本身可独立检索的成语、俗语、古典成句、文学引文、称谓典故和少量文法格言。
