id	source_file	line_start	line_end	present	political_hits	quote_text
LAGMDYJ-001	001.国民党建党有九十年吗？.txt	15	15	yes		贪人之功
LAGMDYJ-002	001.国民党建党有九十年吗？.txt	15	15	yes		贪天之功
LAGMDYJ-003	001.国民党建党有九十年吗？.txt	15	15	yes		知当时实事者已少，夸诞之士，乃欲一切笼为己有
LAGMDYJ-004	002.国民党“意淫大陆，手淫台湾”.txt	5	5	yes		你如今闭了眼睛正想得我好！
LAGMDYJ-005	002.国民党“意淫大陆，手淫台湾”.txt	5	5	yes		如今何罪？
LAGMDYJ-006	002.国民党“意淫大陆，手淫台湾”.txt	11	11	yes		看的何妨？闭眼想的独狠。
LAGMDYJ-007	002.国民党“意淫大陆，手淫台湾”.txt	11	11	yes		我未曾看你。
LAGMDYJ-008	003.国民党的“余态”.txt	11	11	yes		吹大法螺、击大法鼓、燃大法炬、雨胜法雨。
LAGMDYJ-009	003.国民党的“余态”.txt	21	21	yes		譬如妖韶女，老自有余态。
LAGMDYJ-010	005.国民党杂碎.txt	7	7	yes		情不可却
LAGMDYJ-011	005.国民党杂碎.txt	7	7	yes		情非得已
LAGMDYJ-012	005.国民党杂碎.txt	11	11	yes		当这乱世，我虽希望真命天子出现，却不愿再有纣王复生……
LAGMDYJ-013	006.国民党与变造照片.txt	17	17	yes		莫予毒也
LAGMDYJ-014	006.国民党与变造照片.txt	19	19	yes		那拉氏者，先帝之遗妾耳
LAGMDYJ-015	006.国民党与变造照片.txt	21	21	yes		得计矣。
LAGMDYJ-016	006.国民党与变造照片.txt	21	21	yes		民间随意伪造，此风不可长
LAGMDYJ-017	006.国民党与变造照片.txt	23	23	yes		羊车行幸六宫
LAGMDYJ-018	007.国民党与钞票.txt	11	11	yes		目下一言为定，早晚市价不同
LAGMDYJ-019	007.国民党与钞票.txt	61	61	yes		不胜枚举
LAGMDYJ-020	007.国民党与钞票.txt	65	65	yes		勇于代人受过
LAGMDYJ-021	009.国民党与国泰诈财.txt	21	21	yes		天下没有白吃的午餐
