action	target	source_file	line_range	quote_or_candidate	reason
keep	LAFT9018-001	001.19850412《民主天地周刊》专访李敖.txt	7-7	音容宛在	形容谈话记录保留其人声貌。
keep	LAFT9018-002	001.19850412《民主天地周刊》专访李敖.txt	7-7	雪泥鸿爪	以鸿爪雪泥比喻留下片段痕迹。
keep	LAFT9018-003	001.19850412《民主天地周刊》专访李敖.txt	9-9	牵骆驼	以牵骆驼比喻借奇观带动信服。
keep	LAFT9018-004	001.19850412《民主天地周刊》专访李敖.txt	105-105	每个人都挖走他一段生命	以生命被挖走形容应酬消耗写作精力。
keep	LAFT9018-005	002.19901120戴小华专访李敖.txt	33-33	横眉冷对千夫指	以鲁迅诗句说明不取悦众人的姿态。
keep	LAFT9018-006	002.19901120戴小华专访李敖.txt	97-97	当别人捧我的时候，我很不安，因为捧得不够，我要自己捧才过瘾。	以玩世口吻说明自我夸饰。
keep	LAFT9018-007	002.19901120戴小华专访李敖.txt	121-121	以德报怨，何以报德？	以孔子反问说明恩怨分明。
keep	LAFT9018-008	002.19901120戴小华专访李敖.txt	121-121	报怨以直	以相等待遇回应怨怼。
keep	LAFT9018-009	002.19901120戴小华专访李敖.txt	125-125	予岂好辩哉！予不得已也！	以孟子语说明辩讼出于不得已。
keep	LAFT9018-010	002.19901120戴小华专访李敖.txt	149-149	善于化祸为福，转失败为成功	以管仲之能说明转化挫败的本领。
keep	LAFT9018-011	002.19901120戴小华专访李敖.txt	149-149	炉火纯青	形容修炼到成熟境界。
keep	LAFT9018-012	002.19901120戴小华专访李敖.txt	149-149	“失败者”有一张王牌，就是“不怕失败”。	把不怕失败视为失败者的优势。
keep	LAFT9018-013	002.19901120戴小华专访李敖.txt	149-149	生根、发叶、开花、结果	以植物成长比喻努力终会发生影响。
keep	LAFT9018-014	003.19960415《远见》专访李敖.txt	9-9	孤独的愉悦	以孤独之乐说明知识境界。
keep	LAFT9018-015	003.19960415《远见》专访李敖.txt	9-9	独与天地精神往来	以庄子语说明独来独往的思想气魄。
keep	LAFT9018-016	003.19960415《远见》专访李敖.txt	13-13	不畏浮云遮望眼，自缘身在最高层。	以身在高层说明不惧遮蔽。
keep	LAFT9018-017	003.19960415《远见》专访李敖.txt	15-15	免除寂寞的方法，是要去充实自己	以自我充实作为免除寂寞的方法。
keep	LAFT9018-018	003.19960415《远见》专访李敖.txt	33-33	不要把寂寞寄托在一个人身上	提醒不要把消解寂寞依附于他人。
keep	LAFT9018-019	003.19960415《远见》专访李敖.txt	35-35	拜伦式的不快乐	以拜伦式多愁善感概括病态的不快乐。
keep	LAFT9018-020	004.1997李敖养生之道——打官司.txt	21-21	凡是我不喜欢的东西都是坏习惯。	以反讽口吻概括个人生活取舍。
keep	LAFT9018-021	006.199810《跨海看台湾》专访李敖.txt	13-13	金玉满堂，莫之能守。	以金玉满堂而不能守讽喻堆砌之俗。
keep	LAFT9018-022	006.199810《跨海看台湾》专访李敖.txt	23-23	要找佩服的人，我就照照镜子。	以照镜子表达自我佩服。
keep	LAFT9018-023	006.199810《跨海看台湾》专访李敖.txt	25-25	前无古人，后无来者	形容前后无人可及。
keep	LAFT9018-024	006.199810《跨海看台湾》专访李敖.txt	27-27	出神入化	形容文字运用达到高妙境界。
keep	LAFT9018-025	006.199810《跨海看台湾》专访李敖.txt	31-31	临溪而渔，溪深而鱼肥；酿泉为酒，酒洌而泉香。	以欧阳修文句说明声韵修辞。
keep	LAFT9018-026	006.199810《跨海看台湾》专访李敖.txt	31-31	酒洌而泉香，不如泉香而酒洌	以字音顺序说明修辞取舍。
keep	LAFT9018-027	006.199810《跨海看台湾》专访李敖.txt	31-31	行云流水	形容文章自然流动。
keep	LAFT9018-028	006.199810《跨海看台湾》专访李敖.txt	31-31	Let me show you！	作为翻译例句引出中文表达。
keep	LAFT9018-029	006.199810《跨海看台湾》专访李敖.txt	31-31	看我的！	以短促有力的译法传达口语动作。
keep	LAFT9018-030	006.199810《跨海看台湾》专访李敖.txt	53-53	必须乐观。不乐观你活不下去的，必须乐观。	把乐观视为生存方法。
keep	LAFT9018-031	006.199810《跨海看台湾》专访李敖.txt	53-53	你可以像你自己所要求那样子快乐，那样快乐。	说明快乐可以由自我要求塑造。
keep	LAFT9018-032	006.199810《跨海看台湾》专访李敖.txt	55-55	与人无爱与人无憎	以无爱无憎说明情绪坐标。
keep	LAFT9018-033	006.199810《跨海看台湾》专访李敖.txt	55-55	差强人意	以还算令人满意说明振作应对。
keep	LAFT9018-034	006.199810《跨海看台湾》专访李敖.txt	59-59	重温旧梦就是破坏旧梦	以旧梦不宜重温概括怀旧风险。
keep	LAFT9018-035	006.199810《跨海看台湾》专访李敖.txt	61-61	读活书	强调读书要活用。
keep	LAFT9018-036	006.199810《跨海看台湾》专访李敖.txt	61-61	横看成岭侧成峰，远近高低无一同，不识庐山真面目，只缘身在此山中。	以看山角度说明保持距离。
keep	LAFT9018-037	006.199810《跨海看台湾》专访李敖.txt	69-69	值得看，可是不值得跑去看	以是否值得跋涉区分知识与亲临。
keep	LAFT9018-038	007.19990403《长江日报》专访李敖.txt	51-51	近乡情怯	形容接近故地时的复杂心情。
keep	LAFT9018-039	007.19990403《长江日报》专访李敖.txt	67-67	卧游	以卧中游历说明书本想象。
keep	LAFT9018-040	007.19990403《长江日报》专访李敖.txt	67-67	神游	以精神游历说明不必亲至。
keep	LAFT9018-041	007.19990403《长江日报》专访李敖.txt	67-67	故一世之雄也，如今安在哉	以一世之雄今安在写历史兴亡。
keep	LAFT9018-042	007.19990403《长江日报》专访李敖.txt	67-67	不识庐山真面目，只缘身在此山中。	以庐山诗句说明距离有助认知。
keep	LAFT9018-043	007.19990403《长江日报》专访李敖.txt	107-107	如果说我真佩服哪一个人的话，我只要照照镜子就知道了。	以照镜子回应最佩服何人。
keep	LAFT9018-044	007.19990403《长江日报》专访李敖.txt	111-111	不出户知天下	以不出门而知天下说明书本与资料的力量。
