id	source_file	line_range	quote_text	category	source_or_origin	reason
LASHZJ-0014	004.假戏真做与假戏假做.txt	23-23	假戏假做	成语化短语	李敖	短语直接落在明星谈政治、政客拉拢明星的结论中，校对轮按公共讽刺语境删除。
LASHZJ-0024	007.学者名流与公帑.txt	11-11	杜门潜修，炳烛余光	古语化短语	李敖引文	原文为总统、公帑与人物礼遇语境中的称述，政治人物场景过重。
LASHZJ-0030	008.给黄少谷先生的又一公开信.txt	59-59	水落石出	成语	成语	司法案情追究中的成语，原文与法院、冤狱叙事直接相连。
LASHZJ-0032	008.给黄少谷先生的又一公开信.txt	87-87	迟来的正义就不算是正义	西方谚语	西方谚语	西方谚语被用于冤狱判决与法院场景，按司法攻防语境删除。
LASHZJ-0033	008.给黄少谷先生的又一公开信.txt	101-101	积善之家，必有余庆	古语引用	《易传》	《易传》句被用于公开信中的党派人物规劝，政治语境强于格言价值。
LASHZJ-0034	008.给黄少谷先生的又一公开信.txt	101-101	积不善之家，必有余殃	古语引用	《易传》	《易传》句被用于公开信中的党派人物规劝，政治语境强于格言价值。
LASHZJ-0044	010.不要凭借已成的势力.txt	9-9	妄想凭借已成的势力	人物警语	章太炎	章太炎语被置入媒体垄断与党派权力讨论中，按现代公共议题语境删除。
LASHZJ-0053	011.国民党与豹.txt	19-19	皮之不存，毛将焉附	成语	成语	成语直接服务国民党与言论尺度讽刺，删除。
LASHZJ-0054	011.国民党与豹.txt	19-19	皮里阳秋	成语	成语	成语直接服务国民党与言论尺度讽刺，删除。
LASHZJ-0055	011.国民党与豹.txt	19-19	豹死留皮	成语	成语	成语直接服务国民党与言论尺度讽刺，删除。
LASHZJ-0057	012.要舍得骂自己人.txt	35-35	重蹈《深耕》那次不准我批评的覆辙	成语化短语	李敖	quote_text 已含具体刊物和批评禁令，直接属于党外论争语境。
LASHZJ-0065	015.林洋港与应召女郎.txt	123-123	釜底抽薪	成语	成语	成语嵌在公权取缔与警政责任讨论中，校对轮删除。
LASHZJ-0066	015.林洋港与应召女郎.txt	133-133	大业鸿开	成语化短语	古语	短语用于公权取缔与色情营业调查语境，独立格言价值不足。
LASHZJ-0067	015.林洋港与应召女郎.txt	151-151	非不能也，是不为也	古语化短语	古语	古语化短句直接用于警政责任判断，公共治理语境过重。
LASHZJ-0068	015.林洋港与应召女郎.txt	153-153	车水马龙	成语	成语	成语只是警政调查场景的街面描写，独立检索价值不足。
LASHZJ-0082	017.君子之爱与细人之爱.txt	21-21	他的能力就是那样子的，他不能更高了！	现代引语	电影台词转述	电影台词被直接用于现代公共人物能力评判，校对轮删除。
LASHZJ-0103	020.惭愧是不够的！.txt	103-103	宁鸣而死，不默而生	古语引用	范仲淹语意	古语被用于政治迫害、言论自由与斗士叙事，按政治语录相关删除。
LASHZJ-0104	020.惭愧是不够的！.txt	107-107	女（汝）安则为之	古语引用	古语	古语引用处在枪林弹雨、敌我与公共斗争语境中，删除。
LASHZJ-0116	023.“体外射精”的一些成绩.txt	75-75	知其不可为而为之	古语引用	《论语》语意	《论语》语意被用于总统、党派与烈士叙事，现代政治语境过重。
LASHZJ-0117	023.“体外射精”的一些成绩.txt	83-83	有话直说、说真话、不做乡愿的人，常注定是悲剧的下场。	处世格言	来信引语	处世句被用于党派杂志与烈士角色自述，校对轮删除。
LASHZJ-0118	023.“体外射精”的一些成绩.txt	83-83	燃烧自己、照亮别人	人生格言	来信引语	燃烧自己、照亮别人被用于公共斗争角色叙事，删除。
LASHZJ-0119	023.“体外射精”的一些成绩.txt	95-95	任重道远	成语	成语	成语所在原文明确谈政治问题共识，删除。
LASHZJ-0121	024.“一字师”还敢否？.txt	5-5	买一送一	俗语	俗语	短语嵌在后援会与党派文章调度语境中，独立格言价值不足。
LASHZJ-0122	024.“一字师”还敢否？.txt	5-5	侵权行为，死罪死罪	幽默短语	李敖	幽默短句嵌在后援会与党派文章调度语境中，删除。
LASHZJ-0123	024.“一字师”还敢否？.txt	21-21	锦上添花	成语	成语	成语用于竞选原则和党外发展论述，删除。
LASHZJ-0128	027.给方素敏的一封信.txt	13-13	挽断罗衣	诗词典故	诗词典故	诗词典故被用于受难者、抗暴和复仇场景，政治受难语境过重。
LASHZJ-0129	028.会计学上的新成本.txt	19-19	读书破万卷	古诗引用	杜甫诗句	古诗句被直接置入查禁、抢书和出版管制语境，删除。
LASHZJ-0130	028.会计学上的新成本.txt	25-25	挂羊头卖狗肉	俗语	俗语	俗语直接服务报刊出版管制讽刺，删除。
LASHZJ-0131	028.会计学上的新成本.txt	25-25	生米煮成熟饭	俗语	俗语	俗语直接服务报刊出版管制讽刺，删除。
LASHZJ-0133	031.“不要动”与“快半拍”.txt	11-11	旧梦重温	成语	成语	成语来自查禁与警察局场景，删除。
LASHZJ-0134	031.“不要动”与“快半拍”.txt	23-23	一网兜收	俗语化短语	李敖	短语用于查扣书刊场景，删除。
LASHZJ-0135	031.“不要动”与“快半拍”.txt	29-29	不打不相识	俗语	俗语	俗语来自查禁公文进入公司的现场叙事，删除。
LASHZJ-0136	031.“不要动”与“快半拍”.txt	63-63	铁证如山	成语	成语	成语直接连着查禁与国民党统治语境，删除。
LASHZJ-0137	031.“不要动”与“快半拍”.txt	63-63	一棒打死	俗语	俗语	俗语直接连着查禁与国民党统治语境，删除。
LASHZJ-0138	031.“不要动”与“快半拍”.txt	67-67	留青山	俗语化短语	俗语	俗语化短语来自因义受难与保留实力语境，公共斗争色彩过重。
LASHZJ-0139	031.“不要动”与“快半拍”.txt	107-107	快半拍	俗语化短语	李敖	短语为查禁命令时点判断，非独立诗文格言。
LASHZJ-0140	032.上县太爷书.txt	19-19	团体不失立场，个人不失身份	处世格言	左舜生	左舜生语被用于党派合作与地方政治分寸，删除。
LASHZJ-0141	032.上县太爷书.txt	21-21	狗眼看人低	俗语	俗语	俗语来自阿登纳、一党独大和集中营政治寓言，校对轮删除。
LASHZJ-0142	032.上县太爷书.txt	21-21	走老运	俗语	俗语	俗语来自阿登纳、一党独大和集中营政治寓言，校对轮删除。
LASHZJ-0143	032.上县太爷书.txt	21-21	张牙舞爪	成语	成语	成语来自阿登纳、一党独大和集中营政治寓言，校对轮删除。
LASHZJ-0144	032.上县太爷书.txt	23-23	志在春秋与千秋	人生格言	李敖	短句直接规劝党外人士，现代党派语境过重。
LASHZJ-0145	033.宾馆、牢房与猪鬃.txt	7-7	池鱼之殃	成语	成语	成语用于三通、政治对立与国民党批评语境，删除。
LASHZJ-0146	033.宾馆、牢房与猪鬃.txt	7-7	只许州官放火，不许百姓点灯	俗语	俗语	俗语用于三通、政治对立与国民党批评语境，删除。
LASHZJ-0147	033.宾馆、牢房与猪鬃.txt	11-11	法律之前人人平等	法理格言	法理常语	法理常语处在跨海、外交和通匪等公共法律论述中，删除。
LASHZJ-0148	034.“有谁跌倒，我不焦急呢？”.txt	7-7	小孩子被板凳绊了一跤，要怪小孩子，不要怪板凳。	比喻格言	李敖	比喻句直接用于党外主流派与公共人物失败评价，删除。
LASHZJ-0149	034.“有谁跌倒，我不焦急呢？”.txt	15-15	自大呷破碗	俗语	台语俗语	俗语直接用于政治人物失败评价，删除。
LASHZJ-0150	034.“有谁跌倒，我不焦急呢？”.txt	25-25	悲从中来	成语	成语	成语直接用于党外选后叙事，删除。
LASHZJ-0151	034.“有谁跌倒，我不焦急呢？”.txt	25-25	喜极而泣	成语	成语	成语直接用于党外选后叙事，删除。
LASHZJ-0154	034.“有谁跌倒，我不焦急呢？”.txt	33-33	君子之爱	古语短语	《礼记·檀弓》	古语短语在此处重复出现，且原文直接进入竞选人物评价，删除。
LASHZJ-0155	034.“有谁跌倒，我不焦急呢？”.txt	33-33	细人之爱	古语短语	《礼记·檀弓》	古语短语在此处重复出现，且原文直接进入竞选人物评价，删除。
LASHZJ-0161	035.给“雷震之女”的一封信.txt	15-15	不能再等了，不能再等了。	催促短语	李敖	催促短句直接依附雷震家属书写与政治人物记忆场景，删除。
